"date, price"
"2014-12-04","35.450001"
"2014-12-05","35.685001"
"2014-12-08","35.395000"
"2014-12-09","35.235001"
"2014-12-10","34.720001"
"2014-12-11","34.965000"
"2014-12-12","34.174999"
"2014-12-15","34.485001"
"2014-12-16","34.380001"
"2014-12-17","35.025002"
"2014-12-18","35.845001"
"2014-12-19","35.660000"
"2014-12-22","36.185001"
"2014-12-23","36.514999"
"2014-12-24","36.325001"
"2014-12-26","36.275002"
"2014-12-29","36.169998"
"2014-12-30","35.994999"
"2014-12-31","35.485001"
"2015-01-02","35.310001"
"2015-01-05","34.910000"
"2015-01-06","34.945000"
"2015-01-07","35.419998"
"2015-01-08","36.139999"
"2015-01-09","36.035000"
"2015-01-12","35.985001"
"2015-01-13","36.110001"
"2015-01-14","35.895000"
"2015-01-15","35.860001"
"2015-01-16","36.520000"
"2015-01-20","36.575001"
"2015-01-21","36.209999"
"2015-01-22","36.814999"
"2015-01-23","37.029999"
"2015-01-26","37.154999"
"2015-01-27","36.619999"
"2015-01-28","36.419998"
"2015-01-29","36.935001"
"2015-01-30","36.264999"
"2015-02-02","36.720001"
"2015-02-03","37.244999"
"2015-02-04","37.900002"
"2015-02-05","38.560001"
"2015-02-06","38.490002"
"2015-02-09","38.235001"
"2015-02-10","38.750000"
"2015-02-11","38.845001"
"2015-02-12","39.224998"
"2015-02-13","39.349998"
"2015-02-17","39.369999"
"2015-02-18","39.525002"
"2015-02-19","39.525002"
"2015-02-20","39.525002"
"2015-02-23","39.404999"
"2015-02-24","39.520000"
"2015-02-25","39.450001"
"2015-02-26","39.320000"
"2015-02-27","39.035000"
"2015-03-02","39.435001"
"2015-03-03","39.250000"
"2015-03-04","38.990002"
"2015-03-05","38.980000"
"2015-03-06","38.764999"
"2015-03-09","39.070000"
"2015-03-10","38.365002"
"2015-03-11","38.474998"
"2015-03-12","39.119999"
"2015-03-13","38.700001"
"2015-03-16","39.334999"
"2015-03-17","39.285000"
"2015-03-18","39.919998"
"2015-03-19","40.090000"
"2015-03-20","40.145000"
"2015-03-23","40.119999"
"2015-03-24","39.799999"
"2015-03-25","38.915001"
"2015-03-26","39.215000"
"2015-03-27","39.200001"
"2015-03-30","39.865002"
"2015-03-31","39.700001"
"2015-04-01","39.790001"
"2015-04-02","39.814999"
"2015-04-06","39.915001"
