"date, price"
"2014-12-04","56.750000"
"2014-12-05","57.230000"
"2014-12-08","56.549999"
"2014-12-09","56.369999"
"2014-12-10","55.549999"
"2014-12-11","56.299999"
"2014-12-12","56.060001"
"2014-12-15","56.200001"
"2014-12-16","56.900002"
"2014-12-17","57.369999"
"2014-12-18","58.360001"
"2014-12-19","54.630001"
"2014-12-22","54.330002"
"2014-12-23","55.220001"
"2014-12-24","55.250000"
"2014-12-26","55.540001"
"2014-12-29","55.900002"
"2014-12-30","55.040001"
"2014-12-31","54.990002"
"2015-01-02","54.970001"
"2015-01-05","55.130001"
"2015-01-06","54.410000"
"2015-01-07","54.669998"
"2015-01-08","55.000000"
"2015-01-09","53.220001"
"2015-01-12","52.610001"
"2015-01-13","51.910000"
"2015-01-14","52.200001"
"2015-01-15","51.959999"
"2015-01-16","52.540001"
"2015-01-20","52.080002"
"2015-01-21","52.820000"
"2015-01-22","53.840000"
"2015-01-23","54.939999"
"2015-01-26","54.849998"
"2015-01-27","54.650002"
"2015-01-28","55.049999"
"2015-01-29","55.770000"
"2015-01-30","54.919998"
"2015-02-02","54.700001"
"2015-02-03","56.150002"
"2015-02-04","56.580002"
"2015-02-05","56.130001"
"2015-02-06","55.740002"
"2015-02-09","59.660000"
"2015-02-10","61.610001"
"2015-02-11","61.200001"
"2015-02-12","62.160000"
"2015-02-13","62.740002"
"2015-02-17","62.470001"
"2015-02-18","62.119999"
"2015-02-19","61.779999"
"2015-02-20","61.830002"
"2015-02-23","62.020000"
"2015-02-24","62.049999"
"2015-02-25","62.080002"
"2015-02-26","62.500000"
"2015-02-27","62.320000"
"2015-03-02","63.150002"
"2015-03-03","62.720001"
"2015-03-04","62.430000"
"2015-03-05","62.430000"
"2015-03-06","61.650002"
"2015-03-09","61.970001"
"2015-03-10","61.349998"
"2015-03-11","60.910000"
"2015-03-12","61.700001"
"2015-03-13","60.730000"
"2015-03-16","61.500000"
"2015-03-17","61.599998"
"2015-03-18","61.430000"
"2015-03-19","61.099998"
"2015-03-20","61.080002"
"2015-03-23","61.380001"
"2015-03-24","61.490002"
"2015-03-25","60.680000"
"2015-03-26","60.560001"
"2015-03-27","61.029999"
"2015-03-30","62.570000"
"2015-03-31","63.240002"
"2015-04-01","63.790001"
"2015-04-02","63.450001"
"2015-04-06","64.150002"
"2015-04-07","63.610001"
"2015-04-08","64.040001"
"2015-04-09","64.209999"
"2015-04-10","64.220001"
"2015-04-13","63.880001"
"2015-04-14","64.480003"
"2015-04-15","64.820000"
"2015-04-16","66.050003"
"2015-04-17","65.889999"
