"date, price"
"2014-12-04","94.631462"
"2014-12-05","95.041405"
"2014-12-08","94.145241"
"2014-12-09","94.688660"
"2014-12-10","92.953529"
"2014-12-11","93.325340"
"2014-12-12","91.409073"
"2014-12-15","91.342331"
"2014-12-16","91.885757"
"2014-12-17","93.106071"
"2014-12-18","95.937576"
"2014-12-19","96.442863"
"2014-12-22","96.490532"
"2014-12-23","97.224625"
"2014-12-24","97.205559"
"2014-12-26","96.890945"
"2014-12-29","96.929077"
"2014-12-30","96.023376"
"2014-12-31","95.260681"
"2015-01-02","95.556229"
"2015-01-05","93.735291"
"2015-01-06","93.516014"
"2015-01-07","94.192909"
"2015-01-08","95.908974"
"2015-01-09","94.316849"
"2015-01-12","93.859230"
"2015-01-13","94.526588"
"2015-01-14","94.088036"
"2015-01-15","92.581718"
"2015-01-16","93.639954"
"2015-01-20","94.364517"
"2015-01-21","94.621925"
"2015-01-22","94.755394"
"2015-01-23","97.720375"
"2015-01-26","97.138824"
"2015-01-27","96.194984"
"2015-01-28","95.165344"
"2015-01-29","95.499023"
"2015-01-30","93.201408"
"2015-02-02","95.117676"
"2015-02-03","96.547729"
"2015-02-04","96.051979"
"2015-02-05","97.567841"
"2015-02-06","97.005348"
"2015-02-09","96.852814"
"2015-02-10","97.663177"
"2015-02-11","97.653641"
"2015-02-12","98.673744"
"2015-02-13","99.512711"
"2015-02-17","99.150429"
"2015-02-18","99.741524"
"2015-02-19","99.817787"
"2015-02-20","100.447014"
"2015-02-23","99.512711"
"2015-02-24","99.436440"
"2015-02-25","99.522247"
"2015-02-26","98.807220"
"2015-02-27","97.987320"
"2015-03-02","99.703384"
"2015-03-03","99.188568"
"2015-03-04","98.244728"
"2015-03-05","98.320999"
"2015-03-06","97.119751"
"2015-03-09","98.330536"
"2015-03-10","96.452393"
"2015-03-11","95.956642"
"2015-03-12","97.682243"
"2015-03-13","96.452393"
"2015-03-16","97.987320"
"2015-03-17","97.443901"
"2015-03-18","98.997894"
"2015-03-19","98.216125"
"2015-03-20","100.485146"
"2015-03-23","99.436440"
"2015-03-24","99.207634"
"2015-03-25","97.176956"
