"date, price"
"2014-12-04","53.631374"
"2014-12-05","53.772549"
"2014-12-08","53.474510"
"2014-12-09","53.090195"
"2014-12-10","52.360783"
"2014-12-11","52.941177"
"2014-12-12","52.470589"
"2014-12-15","51.584312"
"2014-12-16","51.921570"
"2014-12-17","52.584312"
"2014-12-18","53.254902"
"2014-12-19","53.925491"
"2014-12-22","53.917648"
"2014-12-23","54.007843"
"2014-12-24","54.066666"
"2014-12-26","53.878429"
"2014-12-29","53.937256"
"2014-12-30","53.984314"
"2014-12-31","53.392159"
"2015-01-02","53.662746"
"2015-01-05","53.180393"
"2015-01-06","52.870586"
"2015-01-07","54.333332"
"2015-01-08","55.098038"
"2015-01-09","55.376472"
"2015-01-12","54.847057"
"2015-01-13","54.721569"
"2015-01-14","54.545097"
"2015-01-15","54.054901"
"2015-01-16","54.705883"
"2015-01-20","54.313725"
"2015-01-21","54.180393"
"2015-01-22","55.905884"
"2015-01-23","56.207844"
"2015-01-26","56.309803"
"2015-01-27","55.976471"
"2015-01-28","55.133331"
"2015-01-29","54.905884"
"2015-01-30","54.145100"
"2015-02-02","54.411766"
"2015-02-03","54.447060"
"2015-02-04","54.780392"
"2015-02-05","55.360783"
"2015-02-06","54.835293"
"2015-02-09","54.599998"
"2015-02-10","55.380390"
"2015-02-11","55.682354"
"2015-02-12","55.866669"
"2015-02-13","56.149021"
"2015-02-17","55.811764"
"2015-02-18","55.721569"
"2015-02-19","55.239216"
"2015-02-20","55.901962"
"2015-02-23","56.078430"
"2015-02-24","55.447060"
"2015-02-25","55.298038"
"2015-02-26","55.074509"
"2015-02-27","54.921570"
"2015-03-02","55.639217"
"2015-03-03","55.203922"
"2015-03-04","55.243137"
"2015-03-05","55.145100"
"2015-03-06","54.054901"
"2015-03-09","54.498039"
"2015-03-10","53.796078"
"2015-03-11","53.650982"
"2015-03-12","54.239216"
"2015-03-13","53.478432"
"2015-03-16","54.580391"
"2015-03-17","54.250980"
"2015-03-18","54.576469"
"2015-03-19","55.172550"
"2015-03-20","56.082352"
"2015-03-23","55.741177"
"2015-03-24","55.164707"
"2015-03-25","54.333332"
"2015-03-26","53.815685"
"2015-03-27","54.431374"
"2015-03-30","55.231373"
"2015-03-31","54.752941"
"2015-04-01","54.203922"
"2015-04-02","54.639217"
"2015-04-06","55.043137"
"2015-04-07","54.854900"
"2015-04-08","54.945099"
"2015-04-09","55.607841"
"2015-04-10","55.627453"
"2015-04-13","55.741177"
"2015-04-14","55.129414"
"2015-04-15","54.917648"
"2015-04-16","55.003922"
"2015-04-17","54.223530"
"2015-04-20","54.772549"
"2015-04-21","54.890198"
"2015-04-22","55.337254"
"2015-04-23","55.623528"
"2015-04-24","55.898041"
"2015-04-27","54.898041"
"2015-04-28","54.917648"
"2015-04-29","54.568626"
"2015-04-30","53.764706"
"2015-05-01","54.447060"
"2015-05-04","55.709805"
"2015-05-05","54.247059"
"2015-05-06","53.501961"
"2015-05-07","53.721569"
"2015-05-08","54.223530"
"2015-05-11","53.886276"
"2015-05-12","53.894119"
"2015-05-13","54.090195"
"2015-05-14","55.039215"
"2015-05-15","54.811764"
"2015-05-18","55.313725"
"2015-05-19","55.478432"
"2015-05-20","55.396076"
"2015-05-21","55.537254"
"2015-05-22","55.705883"
"2015-05-26","55.411766"
"2015-05-27","55.984314"
"2015-05-28","55.945099"
"2015-05-29","55.556862"
"2015-06-01","56.070587"
"2015-06-02","55.737255"
"2015-06-03","55.882355"
"2015-06-04","55.247059"
"2015-06-05","54.988235"
"2015-06-08","54.815685"
"2015-06-09","54.635296"
"2015-06-10","55.878429"
"2015-06-11","56.239216"
"2015-06-12","55.749020"
"2015-06-15","55.313725"
"2015-06-16","55.768627"
"2015-06-17","56.027451"
"2015-06-18","56.890198"
"2015-06-19","56.799999"
"2015-06-22","57.141174"
"2015-06-23","57.129414"
"2015-06-24","56.596077"
"2015-06-25","56.662746"
"2015-06-26","57.039215"
"2015-06-29","55.772549"
"2015-06-30","55.733334"
"2015-07-01","56.564705"
"2015-07-02","56.647060"
"2015-07-06","56.666668"
"2015-07-07","56.921570"
"2015-07-08","55.890198"
"2015-07-09","56.250980"
"2015-07-10","57.047058"
"2015-07-13","57.462746"
"2015-07-14","57.741177"
"2015-07-15","57.819607"
