"date, price"
"2014-12-04","14.256577"
"2014-12-05","14.372042"
"2014-12-08","14.003863"
"2014-12-09","14.080113"
"2014-12-10","13.690149"
"2014-12-11","13.696684"
"2014-12-12","13.557256"
"2014-12-15","13.348113"
"2014-12-16","13.086684"
"2014-12-17","13.223934"
"2014-12-18","13.380791"
"2014-12-19","13.396041"
"2014-12-22","13.369898"
"2014-12-23","13.330684"
"2014-12-24","13.467934"
"2014-12-26","13.587756"
"2014-12-29","13.487541"
"2014-12-30","13.402577"
"2014-12-31","13.243541"
"2015-01-02","13.136791"
"2015-01-05","13.060541"
"2015-01-06","13.108470"
"2015-01-07","13.084506"
"2015-01-08","13.404756"
"2015-01-09","13.400399"
"2015-01-12","13.173827"
"2015-01-13","13.526756"
"2015-01-14","13.378613"
"2015-01-15","13.254434"
"2015-01-16","13.420006"
"2015-01-20","13.572506"
"2015-01-21","13.467934"
"2015-01-22","13.568149"
"2015-01-23","13.814327"
"2015-01-26","13.988613"
"2015-01-27","13.738077"
"2015-01-28","13.430899"
"2015-01-29","13.226113"
"2015-01-30","13.278398"
"2015-02-02","13.637863"
"2015-02-03","13.955934"
"2015-02-04","13.071434"
"2015-02-05","13.071434"
"2015-02-06","13.075791"
"2015-02-09","13.069256"
"2015-02-10","13.125898"
"2015-02-11","13.437434"
"2015-02-12","13.864434"
"2015-02-13","14.073577"
"2015-02-17","14.265292"
"2015-02-18","14.400363"
"2015-02-19","14.439578"
"2015-02-20","14.609506"
"2015-02-23","14.644363"
"2015-02-24","14.696649"
"2015-02-25","14.633470"
"2015-02-26","14.646542"
"2015-02-27","14.687935"
"2015-03-02","14.929756"
"2015-03-03","14.905792"
"2015-03-04","14.914506"
"2015-03-05","15.110578"
"2015-03-06","15.169399"
"2015-03-09","15.202078"
"2015-03-10","14.803399"
"2015-03-11","14.757649"
"2015-03-12","14.953721"
"2015-03-13","14.809935"
"2015-03-16","14.718435"
"2015-03-17","14.979863"
"2015-03-18","15.062649"
"2015-03-19","14.886185"
"2015-03-20","14.877471"
"2015-03-23","14.846971"
"2015-03-24","14.748935"
"2015-03-25","14.563756"
"2015-03-26","14.443935"
"2015-03-27","14.694470"
"2015-03-30","14.596435"
"2015-03-31","14.698828"
"2015-04-01","14.631292"
"2015-04-02","14.705363"
"2015-04-06","14.788149"
"2015-04-07","15.123649"
"2015-04-08","15.799007"
"2015-04-09","15.807721"
"2015-04-10","15.803364"
"2015-04-13","15.805542"
"2015-04-14","15.642149"
"2015-04-15","15.696614"
"2015-04-16","15.677007"
"2015-04-17","15.413399"
"2015-04-20","15.561542"
"2015-04-21","15.690078"
"2015-04-22","15.923185"
"2015-04-23","15.768507"
"2015-04-24","15.716221"
"2015-04-27","15.544114"
"2015-04-28","15.568078"
"2015-04-29","15.637792"
"2015-04-30","15.210792"
"2015-05-01","15.613828"
"2015-05-04","15.624721"
"2015-05-05","15.968935"
"2015-05-06","16.077864"
"2015-05-07","16.016865"
"2015-05-08","16.023399"
"2015-05-11","15.962400"
"2015-05-12","15.879614"
"2015-05-13","15.755435"
"2015-05-14","16.112720"
"2015-05-15","16.158470"
"2015-05-18","16.215115"
"2015-05-19","16.193329"
"2015-05-20","16.282650"
"2015-05-21","16.337114"
"2015-05-22","16.539721"
"2015-05-26","16.212934"
"2015-05-27","16.554972"
"2015-05-28","16.402472"
"2015-05-29","16.354544"
"2015-06-01","16.757578"
"2015-06-02","16.626863"
"2015-06-03","16.886114"
"2015-06-04","16.659542"
"2015-06-05","16.685686"
"2015-06-08","16.454758"
"2015-06-09","16.367615"
"2015-06-10","16.892651"
"2015-06-11","16.792437"
"2015-06-12","16.541901"
"2015-06-15","16.618151"
"2015-06-16","16.659542"
"2015-06-17","16.561506"
"2015-06-18","16.757578"
"2015-06-19","16.644293"
"2015-06-22","16.944937"
"2015-06-23","17.138828"
"2015-06-24","16.831650"
"2015-06-25","17.687828"
"2015-06-26","17.533150"
"2015-06-29","17.062578"
"2015-06-30","17.354507"
"2015-07-01","17.437292"
"2015-07-02","17.629007"
"2015-07-06","17.380650"
"2015-07-07","17.350149"
"2015-07-08","17.210722"
"2015-07-09","17.402435"
"2015-07-10","17.559294"
"2015-07-13","17.988472"
"2015-07-14","18.428543"
"2015-07-15","17.905685"
"2015-07-16","18.029865"
"2015-07-17","18.286936"
"2015-07-20","18.319614"
"2015-07-21","18.119186"
"2015-07-22","18.125723"
"2015-07-23","17.949259"
"2015-07-24","17.796759"
"2015-07-27","17.435114"
"2015-07-28","17.559294"
"2015-07-29","16.927507"
"2015-07-30","16.825113"
"2015-07-31","16.831650"
"2015-08-03","16.613792"
"2015-08-04","16.748863"
"2015-08-05","16.714006"
"2015-08-06","16.182434"
"2015-08-07","16.230364"
"2015-08-10","16.439507"
"2015-08-11","16.215115"
"2015-08-12","16.230364"
"2015-08-13","16.110542"
"2015-08-14","16.371971"
"2015-08-17","16.385042"
"2015-08-18","16.162828"
"2015-08-19","16.036470"
"2015-08-20","15.500542"
"2015-08-21","15.393792"
"2015-08-24","14.653078"
"2015-08-25","14.648720"
"2015-08-26","15.189006"
"2015-08-27","15.611649"
"2015-08-28","15.563721"
"2015-08-31","15.206435"
"2015-09-01","15.071363"
"2015-09-02","15.278328"
"2015-09-03","15.293578"
"2015-09-04","15.006006"
"2015-09-08","15.158506"
"2015-09-09","15.082256"
"2015-09-10","14.951542"
"2015-09-11","14.971149"
"2015-09-14","14.907971"
"2015-09-15","15.319721"
"2015-09-16","15.461328"
"2015-09-17","15.441721"
"2015-09-18","15.090971"
"2015-09-21","14.942828"
"2015-09-22","14.803399"
"2015-09-23","14.831721"
"2015-09-24","14.781613"
"2015-09-25","14.574649"
"2015-09-28","14.075756"
"2015-09-29","14.058327"
"2015-09-30","14.219542"
"2015-10-01","14.208649"
"2015-10-02","14.722792"
"2015-10-05","14.997292"
"2015-10-06","15.265256"
"2015-10-07","15.546292"
"2015-10-08","15.748899"
"2015-10-09","15.511435"
"2015-10-12","15.563721"
"2015-10-13","15.742364"
"2015-10-14","15.369828"
"2015-10-15","15.417756"
"2015-10-16","15.548471"
"2015-10-19","15.358935"
"2015-10-20","15.034328"
"2015-10-21","14.672685"
"2015-10-22","14.738042"
"2015-10-23","14.966792"
"2015-10-26","14.720613"
"2015-10-27","14.067042"
"2015-10-28","14.350256"
"2015-10-29","14.622578"
"2015-10-30","14.598613"
"2015-11-02","14.483149"
"2015-11-03","14.402542"
"2015-11-04","14.356792"
"2015-11-05","14.134577"
"2015-11-06","14.465720"
"2015-11-09","14.439578"
"2015-11-10","14.380756"
"2015-11-11","14.228256"
"2015-11-12","14.213006"
"2015-11-13","14.160720"
"2015-11-16","14.104077"
"2015-11-17","13.618256"
"2015-11-18","13.550720"
"2015-11-19","13.563791"
"2015-11-20","13.929792"
"2015-11-23","13.720649"
"2015-11-24","13.775113"
"2015-11-25","13.766399"
"2015-11-27","13.709756"
"2015-11-30","13.679256"
"2015-12-01","13.607363"
"2015-12-02","13.650934"
"2015-12-03","13.254434"
"2015-12-04","13.361184"
"2015-12-07","13.217398"
"2015-12-08","13.167291"
"2015-12-09","12.938541"
"2015-12-10","12.940720"
"2015-12-11","12.999541"
"2015-12-14","13.073613"
"2015-12-15","13.304541"
"2015-12-16","13.603006"
"2015-12-17","13.402577"
"2015-12-18","13.108470"
"2015-12-21","13.182541"
"2015-12-22","13.343756"
"2015-12-23","13.359006"
"2015-12-24","13.428720"
"2015-12-28","13.186898"
"2015-12-29","13.289291"
"2015-12-30","13.215220"
"2015-12-31","13.082327"
"2016-01-04","12.788220"
"2016-01-05","12.890613"
"2016-01-06","12.814363"
"2016-01-07","12.176041"
"2016-01-08","12.158612"
"2016-01-11","12.341612"
"2016-01-12","12.470148"
"2016-01-13","11.912434"
"2016-01-14","12.064934"
"2016-01-15","11.864505"
"2016-01-19","11.365612"
"2016-01-20","11.041005"
"2016-01-21","11.088933"
"2016-01-22","11.642291"
"2016-01-25","11.167362"
"2016-01-26","11.261040"
"2016-01-27","11.219648"
"2016-01-28","11.001790"
"2016-01-29","11.315505"
"2016-02-01","11.317683"
"2016-02-02","11.082398"
"2016-02-03","9.973504"
"2016-02-04","9.847147"
"2016-02-05","9.309040"
"2016-02-08","8.860254"
"2016-02-09","8.805789"
"2016-02-10","8.794897"
"2016-02-11","8.705575"
"2016-02-12","9.038897"
"2016-02-16","9.400540"
"2016-02-17","9.568290"
"2016-02-18","9.651075"
"2016-02-19","9.642361"
"2016-02-22","9.851504"
"2016-02-23","9.598790"
"2016-02-24","9.727326"
"2016-02-25","9.653254"
"2016-02-26","9.666326"
"2016-02-29","9.677218"
"2016-03-01","9.964790"
"2016-03-02","10.276326"
"2016-03-03","10.306826"
"2016-03-04","10.400504"
"2016-03-07","10.313361"
"2016-03-08","10.230576"
"2016-03-09","10.034504"
"2016-03-10","9.925576"
"2016-03-11","10.184826"
"2016-03-14","10.189183"
"2016-03-15","9.988754"
"2016-03-16","10.254540"
"2016-03-17","10.332969"
"2016-03-18","10.254540"
"2016-03-21","10.245826"
"2016-03-22","10.180469"
"2016-03-23","9.940826"
"2016-03-24","9.958254"
"2016-03-28","9.936468"
"2016-03-29","9.988754"
"2016-03-30","10.058469"
"2016-03-31","10.256719"
"2016-04-01","10.158683"
"2016-04-04","10.065004"
"2016-04-05","9.929933"
"2016-04-06","10.102040"
"2016-04-07","9.973504"
"2016-04-08","10.204433"
"2016-04-11","10.141254"
"2016-04-12","10.132540"
"2016-04-13","10.328611"
"2016-04-14","10.332969"
"2016-04-15","10.332969"
"2016-04-18","10.346040"
"2016-04-19","10.256719"
"2016-04-20","10.365647"
"2016-04-21","10.315540"
"2016-04-22","10.169576"
"2016-04-25","10.030147"
"2016-04-26","10.017076"
"2016-04-27","9.977861"
"2016-04-28","10.065004"
"2016-04-29","10.095504"
"2016-05-02","10.420112"
"2016-05-03","10.287219"
"2016-05-04","11.326398"
"2016-05-05","11.535541"
"2016-05-06","11.716362"
"2016-05-09","11.742505"
"2016-05-10","12.095434"
"2016-05-11","11.990862"
"2016-05-12","11.851434"
"2016-05-13","11.847076"
"2016-05-16","11.901541"
"2016-05-17","11.729434"
"2016-05-18","11.692398"
"2016-05-19","11.561683"
"2016-05-20","11.838362"
"2016-05-23","11.816576"
"2016-05-24","12.023541"
"2016-05-25","12.047505"
"2016-05-26","12.062755"
"2016-05-27","12.258827"
"2016-05-31","12.173862"
"2016-06-01","12.014826"
"2016-06-02","12.158612"
"2016-06-03","12.086719"
"2016-06-06","12.034434"
"2016-06-07","11.940755"
"2016-06-08","11.823112"
"2016-06-09","12.154255"
"2016-06-10","11.866684"
"2016-06-13","11.613969"
"2016-06-14","12.006112"
"2016-06-15","11.770826"
"2016-06-16","11.709826"
"2016-06-17","11.923326"
"2016-06-20","12.086719"
"2016-06-21","12.243577"
"2016-06-22","12.258827"
"2016-06-23","12.372112"
"2016-06-24","11.988684"
"2016-06-27","11.389576"
"2016-06-28","11.620505"
"2016-06-29","11.973434"
"2016-06-30","12.265362"
"2016-07-01","12.376470"
"2016-07-05","12.200005"
"2016-07-06","12.263184"
"2016-07-07","12.223969"
"2016-07-08","12.424398"
"2016-07-11","12.522434"
"2016-07-12","13.016970"
"2016-07-13","12.892791"
"2016-07-14","12.879720"
"2016-07-15","12.853577"
"2016-07-18","12.899327"
"2016-07-19","13.051827"
"2016-07-20","13.003898"
"2016-07-21","12.993005"
"2016-07-22","13.101934"
"2016-07-25","13.062720"
"2016-07-26","13.165113"
"2016-07-27","13.036577"
"2016-07-28","12.513720"
"2016-07-29","12.627005"
"2016-08-01","12.792577"
"2016-08-02","12.681470"
"2016-08-03","12.844863"
"2016-08-04","13.125898"
"2016-08-05","13.154220"
"2016-08-08","13.136791"
"2016-08-09","13.210863"
"2016-08-10","13.176006"
"2016-08-11","13.010434"
"2016-08-12","12.934184"
"2016-08-15","12.820898"
"2016-08-16","12.592148"
"2016-08-17","12.437470"
"2016-08-18","12.367755"
"2016-08-19","12.616112"
"2016-08-22","12.589970"
"2016-08-23","12.526791"
"2016-08-24","12.439648"
"2016-08-25","12.467970"
"2016-08-26","12.459255"
"2016-08-29","12.568184"
"2016-08-30","12.707612"
"2016-08-31","12.790398"
"2016-09-01","12.842684"
"2016-09-02","12.853577"
"2016-09-06","12.999541"
"2016-09-07","12.973398"
"2016-09-08","12.853577"
"2016-09-09","12.454898"
"2016-09-12","12.587791"
"2016-09-13","12.531148"
"2016-09-14","12.574720"
"2016-09-15","12.664041"
"2016-09-16","12.703255"
"2016-09-19","12.679291"
"2016-09-20","13.202148"
"2016-09-21","13.415649"
"2016-09-22","13.655291"
"2016-09-23","13.609541"
"2016-09-26","13.526756"
"2016-09-27","13.642220"
"2016-09-28","13.851363"
"2016-09-29","13.703220"
"2016-09-30","13.609541"
"2016-10-03","13.681434"
"2016-10-04","13.576863"
"2016-10-05","13.716291"
"2016-10-06","13.533291"
"2016-10-07","13.409113"
"2016-10-10","13.594291"
"2016-10-11","13.507149"
"2016-10-12","13.526756"
"2016-10-13","13.446149"
"2016-10-14","13.420006"
"2016-10-17","13.622613"
"2016-10-18","14.077935"
"2016-10-19","14.339363"
"2016-10-20","14.341542"
"2016-10-21","14.419970"
"2016-10-24","14.668328"
"2016-10-25","14.626935"
"2016-10-26","14.435220"
"2016-10-27","14.265292"
"2016-10-28","14.197756"
"2016-10-31","14.038720"
"2016-11-01","14.132399"
"2016-11-02","13.500613"
"2016-11-03","14.245685"
"2016-11-04","14.021292"
"2016-11-07","14.147649"
"2016-11-08","14.300149"
"2016-11-09","14.252220"
"2016-11-10","14.254399"
"2016-11-11","14.502756"
"2016-11-14","14.260935"
"2016-11-15","14.363327"
"2016-11-16","14.393827"
"2016-11-17","14.494042"
"2016-11-18","14.609506"
"2016-11-21","14.914506"
"2016-11-22","14.964613"
"2016-11-23","14.897078"
"2016-11-25","14.849149"
"2016-11-28","14.757649"
"2016-11-29","14.899256"
"2016-11-30","14.674863"
"2016-12-01","14.208649"
"2016-12-02","14.280542"
"2016-12-05","14.461363"
"2016-12-06","14.572470"
"2016-12-07","14.698828"
"2016-12-08","14.783792"
"2016-12-09","14.866578"
"2016-12-12","14.607328"
"2016-12-13","14.733685"
"2016-12-14","14.487506"
"2016-12-15","14.313220"
"2016-12-16","14.361149"
"2016-12-19","14.459185"
"2016-12-20","14.478792"
"2016-12-21","14.321935"
"2016-12-22","14.406899"
"2016-12-23","14.348077"
"2016-12-27","14.311042"
"2016-12-28","14.304506"
"2016-12-29","14.306685"
"2016-12-30","14.114970"
"2017-01-03","14.692292"
"2017-01-04","14.851328"
"2017-01-05","15.108399"
"2017-01-06","15.173756"
"2017-01-09","15.202078"
"2017-01-10","15.230399"
"2017-01-11","15.406864"
"2017-01-12","15.234756"
"2017-01-13","15.456971"
"2017-01-17","15.182471"
"2017-01-18","15.337149"
"2017-01-19","15.489649"
"2017-01-20","15.162864"
"2017-01-23","15.239114"
"2017-01-24","15.321899"
"2017-01-25","15.304471"
"2017-01-26","15.239114"
"2017-01-27","15.186828"
"2017-01-30","15.016899"
"2017-01-31","14.990756"
"2017-02-01","14.866578"
"2017-02-02","15.868721"
"2017-02-03","16.278294"
"2017-02-06","16.395935"
"2017-02-07","16.618151"
"2017-02-08","16.624685"
"2017-02-09","16.735792"
"2017-02-10","16.533186"
"2017-02-13","16.661720"
"2017-02-14","16.557150"
"2017-02-15","16.583294"
"2017-02-16","16.517937"
"2017-02-17","16.422077"
"2017-02-21","16.474363"
"2017-02-22","16.415543"
"2017-02-23","16.199863"
"2017-02-24","16.215115"
"2017-02-27","16.217293"
"2017-02-28","16.108364"
"2017-03-01","16.184614"
"2017-03-02","16.104008"
"2017-03-03","16.104008"
"2017-03-06","16.038651"
"2017-03-07","16.090935"
"2017-03-08","16.112720"
"2017-03-09","16.132328"
"2017-03-10","16.119257"
"2017-03-13","16.154114"
"2017-03-14","16.084400"
"2017-03-15","16.110542"
"2017-03-16","16.077864"
"2017-03-17","16.123613"
"2017-03-20","16.066971"
"2017-03-21","15.724935"
"2017-03-22","15.775042"
"2017-03-23","15.764150"
"2017-03-24","15.846935"
"2017-03-27","16.053900"
"2017-03-28","16.051722"
"2017-03-29","16.121435"
"2017-03-30","16.167185"
"2017-03-31","16.060434"
"2017-04-03","16.119257"
"2017-04-04","16.498327"
"2017-04-05","16.226007"
"2017-04-06","16.341471"
"2017-04-07","16.258684"
"2017-04-10","16.313150"
"2017-04-11","16.271757"
"2017-04-12","16.308792"
"2017-04-13","16.287006"
"2017-04-17","16.350185"
"2017-04-18","16.424257"
"2017-04-19","16.600721"
"2017-04-20","16.718365"
"2017-04-21","17.158436"
"2017-04-24","17.241222"
"2017-04-25","17.517900"
"2017-04-26","17.827257"
"2017-04-27","18.099579"
"2017-04-28","18.084330"
"2017-05-01","18.341400"
"2017-05-02","20.966579"
"2017-05-03","20.918652"
"2017-05-04","21.306438"
"2017-05-05","21.883759"
"2017-05-08","21.905544"
"2017-05-09","22.219259"
"2017-05-10","22.308580"
"2017-05-11","22.511189"
"2017-05-12","22.349974"
"2017-05-15","22.578724"
"2017-05-16","22.570009"
"2017-05-17","22.018831"
"2017-05-18","22.177866"
"2017-05-19","22.480688"
"2017-05-22","22.493759"
"2017-05-23","22.489403"
"2017-05-24","22.550402"
"2017-05-25","22.707260"
"2017-05-26","23.260616"
"2017-05-30","23.201796"
"2017-05-31","23.166939"
"2017-06-01","23.271509"
"2017-06-02","23.513330"
"2017-06-05","23.195259"
"2017-06-06","23.142975"
"2017-06-07","22.946903"
"2017-06-08","23.158224"
"2017-06-09","22.308580"
"2017-06-12","21.944759"
"2017-06-13","22.077652"
"2017-06-14","22.180044"
"2017-06-15","21.994865"
"2017-06-16","22.099438"
"2017-06-19","22.737761"
"2017-06-20","22.430580"
"2017-06-21","22.794401"
"2017-06-22","22.774796"
"2017-06-23","22.840153"
"2017-06-26","22.914225"
"2017-06-27","22.554760"
"2017-06-28","22.953438"
"2017-06-29","22.428402"
"2017-06-30","22.491581"
"2017-07-03","22.336903"
"2017-07-05","22.343437"
"2017-07-06","22.042795"
"2017-07-07","22.339081"
"2017-07-10","22.417509"
"2017-07-11","22.648438"
"2017-07-12","23.151688"
"2017-07-13","23.108116"
"2017-07-14","22.953438"
"2017-07-17","23.238831"
"2017-07-18","23.687616"
"2017-07-19","23.696331"
"2017-07-20","23.116831"
