"date, price"
"2014-12-04","72.120003"
"2014-12-05","71.940002"
"2014-12-08","71.760002"
"2014-12-09","71.250000"
"2014-12-10","71.239998"
"2014-12-11","71.029999"
"2014-12-12","70.209999"
"2014-12-15","69.910004"
"2014-12-16","69.889999"
"2014-12-17","70.510002"
"2014-12-18","72.309998"
"2014-12-19","71.660004"
"2014-12-22","72.760002"
"2014-12-23","73.449997"
"2014-12-24","73.480003"
"2014-12-26","73.110001"
"2014-12-29","72.910004"
"2014-12-30","72.699997"
"2014-12-31","71.680000"
"2015-01-02","71.599998"
"2015-01-05","71.379997"
"2015-01-06","71.480003"
"2015-01-07","72.519997"
"2015-01-08","74.199997"
"2015-01-09","73.849998"
"2015-01-12","73.230003"
"2015-01-13","73.790001"
"2015-01-14","74.809998"
"2015-01-15","75.510002"
"2015-01-16","76.459999"
"2015-01-20","77.800003"
"2015-01-21","78.739998"
"2015-01-22","79.339996"
"2015-01-23","78.510002"
"2015-01-26","79.120003"
"2015-01-27","79.199997"
"2015-01-28","78.459999"
"2015-01-29","79.080002"
"2015-01-30","77.269997"
"2015-02-02","78.500000"
"2015-02-03","77.820000"
"2015-02-04","78.650002"
"2015-02-05","77.360001"
"2015-02-06","77.989998"
"2015-02-09","77.879997"
"2015-02-10","78.790001"
"2015-02-11","79.489998"
"2015-02-12","78.300003"
"2015-02-13","76.949997"
"2015-02-17","77.070000"
"2015-02-18","78.019997"
"2015-02-19","78.220001"
"2015-02-20","78.820000"
"2015-02-23","78.849998"
"2015-02-24","78.910004"
"2015-02-25","79.029999"
"2015-02-26","78.190002"
"2015-02-27","78.790001"
"2015-03-02","79.199997"
"2015-03-03","78.989998"
"2015-03-04","78.019997"
"2015-03-05","78.900002"
"2015-03-06","78.349998"
"2015-03-09","78.790001"
"2015-03-10","77.949997"
"2015-03-11","76.870003"
"2015-03-12","77.559998"
"2015-03-13","76.690002"
"2015-03-16","77.269997"
"2015-03-17","75.739998"
"2015-03-18","76.650002"
"2015-03-19","76.110001"
"2015-03-20","77.029999"
"2015-03-23","77.400002"
"2015-03-24","77.610001"
"2015-03-25","77.169998"
"2015-03-26","79.099998"
"2015-03-27","78.919998"
"2015-03-30","79.669998"
"2015-03-31","78.480003"
"2015-04-01","78.500000"
"2015-04-02","78.120003"
"2015-04-06","78.680000"
"2015-04-07","79.330002"
"2015-04-08","78.820000"
"2015-04-09","79.019997"
"2015-04-10","78.720001"
"2015-04-13","78.099998"
"2015-04-14","78.150002"
"2015-04-15","78.019997"
"2015-04-16","78.360001"
"2015-04-17","76.980003"
"2015-04-20","77.790001"
"2015-04-21","79.190002"
"2015-04-22","78.809998"
"2015-04-23","78.949997"
"2015-04-24","78.860001"
"2015-04-27","77.239998"
"2015-04-28","76.250000"
"2015-04-29","75.300003"
"2015-04-30","74.580002"
"2015-05-01","75.970001"
"2015-05-04","76.169998"
"2015-05-05","75.550003"
"2015-05-06","75.519997"
"2015-05-07","75.750000"
"2015-05-08","76.510002"
"2015-05-11","76.370003"
"2015-05-12","75.760002"
"2015-05-13","77.010002"
"2015-05-14","77.660004"
"2015-05-15","77.410004"
"2015-05-18","77.349998"
"2015-05-19","77.480003"
"2015-05-20","77.400002"
"2015-05-21","77.690002"
"2015-05-22","77.059998"
"2015-05-26","76.440002"
"2015-05-27","77.370003"
"2015-05-28","76.989998"
"2015-05-29","76.639999"
"2015-06-01","76.459999"
"2015-06-02","76.000000"
"2015-06-03","76.139999"
"2015-06-04","75.260002"
"2015-06-05","73.860001"
"2015-06-08","73.459999"
"2015-06-09","73.269997"
"2015-06-10","74.040001"
"2015-06-11","74.169998"
"2015-06-12","73.540001"
"2015-06-15","72.750000"
"2015-06-16","73.540001"
"2015-06-17","74.089996"
"2015-06-18","74.769997"
"2015-06-19","74.599998"
"2015-06-22","74.680000"
"2015-06-23","74.250000"
"2015-06-24","74.419998"
"2015-06-25","74.690002"
"2015-06-26","74.870003"
"2015-06-29","73.330002"
"2015-06-30","72.900002"
"2015-07-01","74.570000"
"2015-07-02","74.180000"
"2015-07-06","75.150002"
"2015-07-07","77.339996"
"2015-07-08","76.129997"
"2015-07-09","76.339996"
"2015-07-10","77.180000"
"2015-07-13","78.309998"
"2015-07-14","78.570000"
"2015-07-15","78.320000"
"2015-07-16","78.760002"
"2015-07-17","78.669998"
"2015-07-20","79.150002"
"2015-07-21","78.779999"
"2015-07-22","78.720001"
"2015-07-23","77.260002"
"2015-07-24","77.919998"
"2015-07-27","77.639999"
"2015-07-28","78.980003"
"2015-07-29","79.500000"
"2015-07-30","79.820000"
"2015-07-31","80.220001"
"2015-08-03","80.610001"
"2015-08-04","81.529999"
"2015-08-05","83.239998"
"2015-08-06","82.290001"
"2015-08-07","81.870003"
"2015-08-10","81.769997"
"2015-08-11","81.660004"
"2015-08-12","81.610001"
"2015-08-13","82.120003"
"2015-08-14","82.250000"
"2015-08-17","83.000000"
"2015-08-18","82.779999"
"2015-08-19","82.589996"
"2015-08-20","81.419998"
"2015-08-21","79.000000"
"2015-08-24","76.750000"
"2015-08-25","75.019997"
"2015-08-26","76.620003"
"2015-08-27","77.059998"
"2015-08-28","77.110001"
"2015-08-31","76.730003"
"2015-09-01","75.410004"
"2015-09-02","76.610001"
"2015-09-03","76.949997"
"2015-09-04","75.769997"
"2015-09-08","77.669998"
"2015-09-09","76.019997"
"2015-09-10","75.949997"
"2015-09-11","76.449997"
"2015-09-14","76.199997"
"2015-09-15","76.800003"
"2015-09-16","77.260002"
"2015-09-17","77.809998"
"2015-09-18","77.230003"
"2015-09-21","78.059998"
"2015-09-22","77.260002"
"2015-09-23","77.629997"
"2015-09-24","77.820000"
"2015-09-25","78.209999"
"2015-09-28","77.190002"
"2015-09-29","78.239998"
"2015-09-30","79.050003"
"2015-10-01","79.220001"
"2015-10-02","79.570000"
"2015-10-05","82.570000"
"2015-10-06","81.959999"
"2015-10-07","83.110001"
"2015-10-08","83.599998"
"2015-10-09","83.699997"
"2015-10-12","84.029999"
"2015-10-13","83.599998"
"2015-10-14","82.800003"
"2015-10-15","82.980003"
"2015-10-16","84.129997"
"2015-10-19","84.900002"
"2015-10-20","84.730003"
"2015-10-21","84.820000"
"2015-10-22","89.599998"
"2015-10-23","89.889999"
"2015-10-26","89.879997"
"2015-10-27","90.489998"
"2015-10-28","90.930000"
"2015-10-29","90.080002"
"2015-10-30","89.370003"
