"date, price"
"2014-12-04","72.059998"
"2014-12-05","71.750000"
"2014-12-08","69.250000"
"2014-12-09","70.769997"
"2014-12-10","68.940002"
"2014-12-11","68.910004"
"2014-12-12","67.570000"
"2014-12-15","66.320000"
"2014-12-16","66.500000"
"2014-12-17","67.400002"
"2014-12-18","69.080002"
"2014-12-19","69.019997"
"2014-12-22","69.309998"
"2014-12-23","70.459999"
"2014-12-24","70.290001"
"2014-12-26","70.339996"
"2014-12-29","70.190002"
"2014-12-30","69.879997"
"2014-12-31","69.089996"
"2015-01-02","69.000000"
"2015-01-05","67.070000"
"2015-01-06","65.730003"
"2015-01-07","65.750000"
"2015-01-08","66.720001"
"2015-01-09","66.290001"
"2015-01-12","66.250000"
"2015-01-13","66.000000"
"2015-01-14","65.779999"
"2015-01-15","65.089996"
"2015-01-16","65.040001"
"2015-01-20","66.480003"
"2015-01-21","67.150002"
"2015-01-22","67.879997"
"2015-01-23","66.889999"
"2015-01-26","68.099998"
"2015-01-27","67.160004"
"2015-01-28","67.080002"
"2015-01-29","67.800003"
"2015-01-30","67.910004"
"2015-02-02","69.599998"
"2015-02-03","71.050003"
"2015-02-04","69.570000"
"2015-02-05","69.669998"
"2015-02-06","70.449997"
"2015-02-09","70.820000"
"2015-02-10","71.010002"
"2015-02-11","70.419998"
"2015-02-12","71.169998"
"2015-02-13","72.230003"
"2015-02-17","69.169998"
"2015-02-18","70.099998"
"2015-02-19","69.449997"
"2015-02-20","70.180000"
"2015-02-23","69.949997"
"2015-02-24","69.699997"
"2015-02-25","70.099998"
"2015-02-26","69.620003"
"2015-02-27","69.040001"
"2015-03-02","70.480003"
"2015-03-03","70.370003"
"2015-03-04","68.949997"
"2015-03-05","68.849998"
"2015-03-06","67.779999"
"2015-03-09","67.610001"
"2015-03-10","65.370003"
"2015-03-11","66.480003"
"2015-03-12","66.779999"
"2015-03-13","65.500000"
"2015-03-16","66.629997"
"2015-03-17","66.889999"
"2015-03-18","67.690002"
"2015-03-19","66.599998"
"2015-03-20","65.059998"
"2015-03-23","64.379997"
"2015-03-24","65.639999"
"2015-03-25","64.750000"
"2015-03-26","64.290001"
"2015-03-27","64.419998"
"2015-03-30","65.570000"
"2015-03-31","65.389999"
"2015-04-01","65.169998"
"2015-04-02","64.980003"
"2015-04-06","66.400002"
"2015-04-07","64.550003"
"2015-04-08","63.970001"
"2015-04-09","64.430000"
"2015-04-10","64.360001"
"2015-04-13","64.500000"
"2015-04-14","65.190002"
"2015-04-15","65.980003"
"2015-04-16","65.120003"
"2015-04-17","64.510002"
"2015-04-20","65.180000"
"2015-04-21","66.470001"
"2015-04-22","66.330002"
"2015-04-23","67.650002"
"2015-04-24","67.029999"
"2015-04-27","67.379997"
"2015-04-28","67.349998"
"2015-04-29","68.610001"
"2015-04-30","66.860001"
"2015-05-01","66.709999"
"2015-05-04","67.010002"
"2015-05-05","66.199997"
"2015-05-06","66.660004"
"2015-05-07","66.360001"
"2015-05-08","66.599998"
"2015-05-11","67.370003"
"2015-05-12","68.070000"
"2015-05-13","69.430000"
"2015-05-14","71.110001"
"2015-05-15","69.279999"
"2015-05-18","69.440002"
"2015-05-19","69.300003"
"2015-05-20","69.059998"
"2015-05-21","69.370003"
"2015-05-22","69.330002"
"2015-05-26","68.800003"
"2015-05-27","69.830002"
"2015-05-28","68.489998"
"2015-05-29","67.209999"
"2015-06-01","67.550003"
"2015-06-02","67.419998"
"2015-06-03","67.949997"
"2015-06-04","66.660004"
"2015-06-05","67.419998"
"2015-06-08","66.900002"
"2015-06-09","66.800003"
"2015-06-10","67.440002"
"2015-06-11","67.209999"
"2015-06-12","66.080002"
"2015-06-15","64.300003"
"2015-06-16","62.480000"
"2015-06-17","63.340000"
"2015-06-18","63.410000"
"2015-06-19","63.279999"
"2015-06-22","63.860001"
"2015-06-23","63.869999"
"2015-06-24","63.590000"
"2015-06-25","62.459999"
"2015-06-26","62.470001"
"2015-06-29","60.930000"
"2015-06-30","60.889999"
"2015-07-01","60.910000"
"2015-07-02","60.680000"
"2015-07-06","60.470001"
"2015-07-07","61.369999"
"2015-07-08","60.009998"
"2015-07-09","59.849998"
"2015-07-10","60.169998"
"2015-07-13","60.490002"
"2015-07-14","60.450001"
"2015-07-15","59.590000"
"2015-07-16","59.599998"
"2015-07-17","59.029999"
"2015-07-20","59.270000"
"2015-07-21","58.910000"
"2015-07-22","58.799999"
"2015-07-23","58.799999"
"2015-07-24","57.720001"
"2015-07-27","58.869999"
"2015-07-28","59.240002"
"2015-07-29","59.779999"
"2015-07-30","60.820000"
"2015-07-31","60.549999"
"2015-08-03","60.060001"
"2015-08-04","60.360001"
"2015-08-05","61.500000"
"2015-08-06","61.029999"
"2015-08-07","61.590000"
"2015-08-10","62.779999"
"2015-08-11","61.880001"
