"date, price"
"2016-08-11","27.790001"
"2016-08-12","28.040001"
"2016-08-15","29.219999"
"2016-08-16","29.320000"
"2016-08-17","28.139999"
"2016-08-18","27.770000"
"2016-08-19","28.530001"
"2016-08-22","29.260000"
"2016-08-23","29.190001"
"2016-08-24","28.080000"
"2016-08-25","27.690001"
"2016-08-26","27.129999"
"2016-08-29","28.200001"
"2016-08-30","27.860001"
"2016-08-31","28.250000"
"2016-09-01","29.245001"
"2016-09-02","30.700001"
"2016-09-06","30.480000"
"2016-09-07","29.400000"
"2016-09-08","30.049999"
"2016-09-09","29.549999"
"2016-09-12","29.750000"
"2016-09-13","29.820000"
"2016-09-14","30.139999"
"2016-09-15","30.010000"
"2016-09-16","30.450001"
"2016-09-19","30.570000"
"2016-09-20","30.440001"
"2016-09-21","30.030001"
"2016-09-22","29.950001"
"2016-09-23","29.549999"
"2016-09-26","29.030001"
"2016-09-27","29.320000"
"2016-09-28","29.440001"
"2016-09-29","28.969999"
"2016-09-30","29.860001"
"2016-10-03","30.530001"
"2016-10-04","29.969999"
"2016-10-05","30.110001"
"2016-10-06","29.389999"
"2016-10-07","30.209999"
"2016-10-10","30.250000"
"2016-10-11","29.660000"
"2016-10-12","29.340000"
"2016-10-13","29.690001"
"2016-10-14","29.200001"
"2016-10-17","29.500000"
"2016-10-18","30.700001"
"2016-10-19","30.780001"
"2016-10-20","30.910000"
"2016-10-21","31.299999"
"2016-10-24","31.090000"
"2016-10-25","30.400000"
"2016-10-26","29.670000"
"2016-10-27","28.740000"
"2016-10-28","28.889999"
"2016-10-31","29.020000"
"2016-11-01","29.090000"
"2016-11-02","29.830000"
"2016-11-03","29.070000"
"2016-11-04","30.969999"
"2016-11-07","31.719999"
"2016-11-08","32.250000"
"2016-11-09","33.689999"
"2016-11-10","34.450001"
"2016-11-11","34.349998"
"2016-11-14","34.689999"
"2016-11-15","36.009998"
"2016-11-16","35.880001"
"2016-11-17","35.860001"
"2016-11-18","35.990002"
"2016-11-21","35.939999"
"2016-11-22","36.130001"
"2016-11-23","36.900002"
"2016-11-25","37.459999"
"2016-11-28","36.529999"
"2016-11-29","36.779999"
"2016-11-30","35.680000"
"2016-12-01","35.209999"
"2016-12-02","36.990002"
"2016-12-05","37.459999"
"2016-12-06","37.869999"
"2016-12-07","37.240002"
"2016-12-08","36.549999"
"2016-12-09","36.000000"
"2016-12-12","34.529999"
"2016-12-13","34.020000"
"2016-12-14","33.689999"
"2016-12-15","33.709999"
"2016-12-16","34.400002"
"2016-12-19","34.990002"
"2016-12-20","35.889999"
"2016-12-21","36.000000"
"2016-12-22","35.779999"
"2016-12-23","35.880001"
"2016-12-27","35.959999"
"2016-12-28","35.799999"
"2016-12-29","35.770000"
"2016-12-30","36.070000"
"2017-01-03","35.910000"
"2017-01-04","36.389999"
"2017-01-05","35.830002"
"2017-01-06","35.820000"
"2017-01-09","35.720001"
"2017-01-10","36.330002"
"2017-01-11","35.639999"
"2017-01-12","35.320000"
"2017-01-13","35.459999"
"2017-01-17","34.779999"
"2017-01-18","34.599998"
"2017-01-19","34.369999"
"2017-01-20","34.980000"
"2017-01-23","34.349998"
"2017-01-24","34.900002"
"2017-01-25","35.130001"
"2017-01-26","35.049999"
"2017-01-27","35.020000"
"2017-01-30","34.340000"
"2017-01-31","34.889999"
"2017-02-01","34.750000"
"2017-02-02","33.700001"
"2017-02-03","33.400002"
"2017-02-06","33.020000"
"2017-02-07","32.750000"
"2017-02-08","32.660000"
"2017-02-09","33.779999"
"2017-02-10","34.330002"
"2017-02-13","34.160000"
"2017-02-14","34.410000"
"2017-02-15","35.110001"
"2017-02-16","35.830002"
"2017-02-17","35.220001"
"2017-02-21","35.430000"
"2017-02-22","35.570000"
"2017-02-23","35.560001"
"2017-02-24","36.110001"
"2017-02-27","36.380001"
"2017-02-28","28.950001"
"2017-03-01","28.629999"
"2017-03-02","28.990000"
"2017-03-03","28.860001"
"2017-03-06","28.219999"
"2017-03-07","28.320000"
"2017-03-08","28.549999"
"2017-03-09","29.160000"
"2017-03-10","28.520000"
"2017-03-13","28.379999"
"2017-03-14","28.120001"
"2017-03-15","28.320000"
"2017-03-16","28.450001"
"2017-03-17","27.660000"
"2017-03-20","27.059999"
"2017-03-21","26.559999"
"2017-03-22","26.620001"
"2017-03-23","27.100000"
"2017-03-24","26.910000"
"2017-03-27","27.230000"
"2017-03-28","27.230000"
"2017-03-29","28.040001"
"2017-03-30","28.299999"
"2017-03-31","29.850000"
"2017-04-03","30.360001"
"2017-04-04","30.070000"
"2017-04-05","30.180000"
"2017-04-06","30.040001"
"2017-04-07","29.709999"
"2017-04-10","29.320000"
"2017-04-11","29.450001"
"2017-04-12","28.930000"
"2017-04-13","28.440001"
"2017-04-17","29.000000"
"2017-04-18","29.000000"
"2017-04-19","30.100000"
"2017-04-20","30.440001"
"2017-04-21","30.459999"
"2017-04-24","30.959999"
"2017-04-25","31.200001"
"2017-04-26","31.160000"
"2017-04-27","31.559999"
"2017-04-28","31.709999"
"2017-05-01","32.389999"
"2017-05-02","22.469999"
"2017-05-03","22.180000"
"2017-05-04","22.600000"
"2017-05-05","22.980000"
"2017-05-08","24.170000"
"2017-05-09","24.469999"
"2017-05-10","24.840000"
"2017-05-11","25.250000"
"2017-05-12","25.670000"
"2017-05-15","26.340000"
