"date, price"
"2014-12-04","139.210007"
"2014-12-05","138.199997"
"2014-12-08","139.990005"
"2014-12-09","140.380005"
"2014-12-10","135.509995"
"2014-12-11","135.529999"
"2014-12-12","134.600006"
"2014-12-15","134.279999"
"2014-12-16","127.000000"
"2014-12-17","128.979996"
"2014-12-18","128.130005"
"2014-12-19","128.500000"
"2014-12-22","127.410004"
"2014-12-23","126.540001"
"2014-12-24","127.839996"
"2014-12-26","129.729996"
"2014-12-29","129.449997"
"2014-12-30","127.699997"
"2014-12-31","127.669998"
"2015-01-02","125.849998"
"2015-01-05","124.300003"
"2015-01-06","122.080002"
"2015-01-07","121.839996"
"2015-01-08","123.660004"
"2015-01-09","122.290001"
"2015-01-12","120.279999"
"2015-01-13","119.980003"
"2015-01-14","118.529999"
"2015-01-15","116.889999"
"2015-01-16","119.320000"
"2015-01-20","122.480003"
"2015-01-21","123.099998"
"2015-01-22","125.660004"
"2015-01-23","127.290001"
"2015-01-26","127.510002"
"2015-01-27","128.070007"
"2015-01-28","126.250000"
"2015-01-29","127.660004"
"2015-01-30","123.940002"
"2015-02-02","125.540001"
"2015-02-03","129.089996"
"2015-02-04","127.769997"
"2015-02-05","129.570007"
"2015-02-06","126.110001"
"2015-02-09","125.589996"
"2015-02-10","128.350006"
"2015-02-11","127.839996"
"2015-02-12","131.940002"
"2015-02-13","129.990005"
"2015-02-17","131.850006"
"2015-02-18","132.610001"
"2015-02-19","130.500000"
"2015-02-20","130.919998"
"2015-02-23","131.559998"
"2015-02-24","132.490005"
"2015-02-25","134.220001"
"2015-02-26","131.009995"
"2015-02-27","130.970001"
"2015-03-02","133.300003"
"2015-03-03","133.899994"
"2015-03-04","131.300003"
"2015-03-05","132.000000"
"2015-03-06","129.199997"
"2015-03-09","125.000000"
"2015-03-10","123.910004"
"2015-03-11","126.510002"
"2015-03-12","127.889999"
"2015-03-13","125.709999"
"2015-03-16","127.089996"
"2015-03-17","127.660004"
"2015-03-18","126.279999"
"2015-03-19","122.910004"
"2015-03-20","124.589996"
"2015-03-23","125.430000"
"2015-03-24","122.339996"
"2015-03-25","121.110001"
"2015-03-26","121.410004"
"2015-03-27","122.849998"
"2015-03-30","121.669998"
"2015-03-31","122.519997"
"2015-04-01","123.860001"
"2015-04-02","125.139999"
"2015-04-06","126.269997"
"2015-04-07","126.970001"
"2015-04-08","128.589996"
"2015-04-09","129.699997"
"2015-04-10","131.600006"
"2015-04-13","130.710007"
"2015-04-14","131.570007"
"2015-04-15","132.199997"
"2015-04-16","131.169998"
"2015-04-17","130.000000"
"2015-04-20","133.529999"
"2015-04-21","136.949997"
"2015-04-22","138.039993"
"2015-04-23","138.970001"
"2015-04-24","137.479996"
"2015-04-27","136.850006"
"2015-04-28","140.240005"
"2015-04-29","142.979996"
"2015-04-30","142.330002"
"2015-05-01","145.350006"
"2015-05-04","152.270004"
"2015-05-05","149.190002"
"2015-05-06","148.509995"
"2015-05-07","145.100006"
"2015-05-08","146.630005"
"2015-05-11","146.179993"
"2015-05-12","145.669998"
"2015-05-13","144.660004"
"2015-05-14","146.789993"
"2015-05-15","146.460007"
"2015-05-18","147.820007"
"2015-05-19","145.580002"
"2015-05-20","147.100006"
"2015-05-21","149.009995"
"2015-05-22","147.479996"
"2015-05-26","145.740005"
"2015-05-27","146.429993"
"2015-05-28","146.500000"
"2015-05-29","145.130005"
"2015-06-01","143.679993"
"2015-06-02","143.009995"
"2015-06-03","143.470001"
"2015-06-04","143.289993"
"2015-06-05","144.940002"
"2015-06-08","142.679993"
"2015-06-09","143.259995"
"2015-06-10","145.449997"
"2015-06-11","141.429993"
"2015-06-12","143.660004"
"2015-06-15","141.970001"
"2015-06-16","143.509995"
"2015-06-17","143.320007"
"2015-06-18","145.460007"
"2015-06-19","147.160004"
"2015-06-22","146.720001"
"2015-06-23","150.990005"
"2015-06-24","149.139999"
"2015-06-25","149.639999"
"2015-06-26","147.729996"
"2015-06-29","141.130005"
"2015-06-30","141.699997"
"2015-07-01","141.460007"
"2015-07-02","138.710007"
"2015-07-06","135.990005"
"2015-07-07","135.289993"
"2015-07-08","129.899994"
"2015-07-09","133.309998"
"2015-07-10","135.630005"
"2015-07-13","135.639999"
"2015-07-14","134.899994"
"2015-07-15","135.600006"
