"date, price"
"2014-12-04","14.610000"
"2014-12-05","15.000000"
"2014-12-08","15.060000"
"2014-12-09","15.730000"
"2014-12-10","15.490000"
"2014-12-11","15.370000"
"2014-12-12","15.670000"
"2014-12-15","15.650000"
"2014-12-16","16.620001"
"2014-12-17","17.480000"
"2014-12-18","19.090000"
"2014-12-19","18.840000"
"2014-12-22","19.530001"
"2014-12-23","19.379999"
"2014-12-24","19.410000"
"2014-12-26","19.379999"
"2014-12-29","19.230000"
"2014-12-30","18.330000"
"2014-12-31","18.520000"
"2015-01-02","19.240000"
"2015-01-05","19.280001"
"2015-01-06","19.740000"
"2015-01-07","21.700001"
"2015-01-08","22.230000"
"2015-01-09","22.270000"
"2015-01-12","21.980000"
"2015-01-13","21.809999"
"2015-01-14","21.740000"
"2015-01-15","21.090000"
"2015-01-16","21.250000"
"2015-01-20","20.889999"
"2015-01-21","19.750000"
"2015-01-22","19.420000"
"2015-01-23","19.270000"
"2015-01-26","19.900000"
"2015-01-27","20.980000"
"2015-01-28","20.459999"
"2015-01-29","21.290001"
"2015-01-30","20.750000"
"2015-02-02","20.959999"
"2015-02-03","21.139999"
"2015-02-04","21.510000"
"2015-02-05","22.959999"
"2015-02-06","22.650000"
"2015-02-09","22.170000"
"2015-02-10","22.330000"
"2015-02-11","22.350000"
"2015-02-12","22.590000"
"2015-02-13","22.510000"
"2015-02-17","22.520000"
"2015-02-18","22.559999"
"2015-02-19","23.080000"
"2015-02-20","23.700001"
"2015-02-23","24.180000"
"2015-02-24","23.129999"
"2015-02-25","23.320000"
"2015-02-26","23.969999"
"2015-02-27","23.770000"
"2015-03-02","24.190001"
"2015-03-03","23.549999"
"2015-03-04","24.400000"
"2015-03-05","26.650000"
"2015-03-06","25.080000"
"2015-03-09","24.969999"
"2015-03-10","24.540001"
"2015-03-11","24.059999"
"2015-03-12","24.410000"
"2015-03-13","25.610001"
"2015-03-16","26.610001"
"2015-03-17","27.549999"
"2015-03-18","29.559999"
"2015-03-19","29.920000"
"2015-03-20","29.850000"
"2015-03-23","27.129999"
"2015-03-24","27.510000"
"2015-03-25","25.719999"
"2015-03-26","26.370001"
