"date, price"
"2014-12-04","50.085712"
"2014-12-05","50.131428"
"2014-12-08","48.497143"
"2014-12-09","49.111427"
"2014-12-10","47.759998"
"2014-12-11","47.804287"
"2014-12-12","47.782856"
"2014-12-15","46.720001"
"2014-12-16","45.205715"
"2014-12-17","47.664288"
"2014-12-18","47.774284"
"2014-12-19","48.588570"
"2014-12-22","48.097141"
"2014-12-23","48.061428"
"2014-12-24","48.871429"
"2014-12-26","48.578571"
"2014-12-29","48.847141"
"2014-12-30","49.032856"
"2014-12-31","48.801430"
"2015-01-02","49.848572"
"2015-01-05","47.311428"
"2015-01-06","46.501431"
"2015-01-07","46.742859"
"2015-01-08","47.779999"
"2015-01-09","47.041428"
"2015-01-12","45.547142"
"2015-01-13","46.255714"
"2015-01-14","46.320000"
"2015-01-15","46.251431"
"2015-01-16","48.191429"
"2015-01-20","49.828571"
"2015-01-21","58.468571"
"2015-01-22","61.205715"
"2015-01-23","62.494286"
"2015-01-26","63.794285"
"2015-01-27","64.881432"
"2015-01-28","63.208572"
"2015-01-29","63.400002"
"2015-01-30","63.114285"
"2015-02-02","63.009998"
"2015-02-03","65.274284"
"2015-02-04","64.101433"
"2015-02-05","64.129997"
"2015-02-06","63.480000"
"2015-02-09","63.295715"
"2015-02-10","64.849998"
"2015-02-11","64.984283"
"2015-02-12","65.247147"
"2015-02-13","66.585716"
"2015-02-17","67.137146"
"2015-02-18","67.865715"
"2015-02-19","67.800003"
"2015-02-20","68.314285"
"2015-02-23","67.405716"
"2015-02-24","67.839996"
"2015-02-25","68.332855"
"2015-02-26","69.004288"
"2015-02-27","67.844284"
"2015-03-02","68.607140"
"2015-03-03","67.815712"
"2015-03-04","67.110001"
"2015-03-05","66.807144"
"2015-03-06","64.874283"
"2015-03-09","63.661430"
"2015-03-10","62.151428"
"2015-03-11","62.884285"
"2015-03-12","64.045715"
"2015-03-13","62.628571"
"2015-03-16","60.281429"
"2015-03-17","59.788570"
"2015-03-18","60.445713"
"2015-03-19","60.744286"
"2015-03-20","61.185715"
"2015-03-23","60.714287"
"2015-03-24","62.611427"
"2015-03-25","60.250000"
"2015-03-26","59.751431"
"2015-03-27","59.252857"
"2015-03-30","60.367142"
"2015-03-31","59.527142"
"2015-04-01","59.017143"
"2015-04-02","59.154285"
"2015-04-06","60.330002"
"2015-04-07","60.494286"
"2015-04-08","63.049999"
"2015-04-09","62.785713"
"2015-04-10","64.938568"
"2015-04-13","67.811432"
"2015-04-14","68.387146"
"2015-04-15","67.922859"
"2015-04-16","80.292854"
"2015-04-17","81.650002"
"2015-04-20","81.055717"
"2015-04-21","80.062859"
"2015-04-22","79.668571"
"2015-04-23","79.865715"
"2015-04-24","79.771431"
"2015-04-27","80.868568"
"2015-04-28","80.437141"
"2015-04-29","80.407143"
"2015-04-30","79.500000"
"2015-05-01","79.575714"
"2015-05-04","79.271431"
"2015-05-05","80.792854"
"2015-05-06","80.077141"
"2015-05-07","80.748573"
"2015-05-08","82.085716"
"2015-05-11","84.278572"
"2015-05-12","83.377144"
"2015-05-13","82.872856"
"2015-05-14","83.835716"
"2015-05-15","87.607140"
"2015-05-18","88.267143"
"2015-05-19","88.068573"
"2015-05-20","88.790001"
"2015-05-21","89.002853"
"2015-05-22","88.838570"
"2015-05-26","87.992859"
"2015-05-27","89.857140"
"2015-05-28","89.507141"
"2015-05-29","89.151428"
"2015-06-01","89.002853"
"2015-06-02","89.129997"
"2015-06-03","88.808571"
"2015-06-04","89.348572"
"2015-06-05","90.459999"
"2015-06-08","89.604286"
"2015-06-09","92.449997"
"2015-06-10","95.871429"
"2015-06-11","95.094284"
"2015-06-12","94.418571"
"2015-06-15","93.431427"
"2015-06-16","95.272858"
"2015-06-17","94.271431"
"2015-06-18","94.742859"
"2015-06-19","93.871429"
"2015-06-22","96.414284"
"2015-06-23","97.312859"
"2015-06-24","96.944283"
"2015-06-25","94.891426"
"2015-06-26","93.088570"
"2015-06-29","92.231430"
"2015-06-30","93.848572"
"2015-07-01","93.635712"
"2015-07-02","94.044289"
"2015-07-06","94.571426"
"2015-07-07","94.091431"
"2015-07-08","93.507141"
"2015-07-09","95.727142"
"2015-07-10","97.228569"
"2015-07-13","101.087143"
"2015-07-14","100.371429"
"2015-07-15","98.129997"
"2015-07-16","115.809998"
"2015-07-17","114.769997"
"2015-07-20","110.550003"
"2015-07-21","112.510002"
"2015-07-22","111.500000"
"2015-07-23","110.099998"
"2015-07-24","109.339996"
"2015-07-27","106.430000"
"2015-07-28","106.900002"
"2015-07-29","107.080002"
"2015-07-30","111.559998"
"2015-07-31","114.309998"
"2015-08-03","112.559998"
"2015-08-04","121.150002"
"2015-08-05","123.709999"
"2015-08-06","126.449997"
"2015-08-07","123.519997"
"2015-08-10","123.029999"
"2015-08-11","122.739998"
"2015-08-12","120.510002"
"2015-08-13","123.730003"
"2015-08-14","123.389999"
"2015-08-17","125.360001"
"2015-08-18","124.050003"
"2015-08-19","122.059998"
"2015-08-20","112.489998"
"2015-08-21","103.959999"
"2015-08-24","96.879997"
"2015-08-25","101.519997"
"2015-08-26","110.129997"
"2015-08-27","117.660004"
"2015-08-28","117.629997"
"2015-08-31","115.029999"
"2015-09-01","105.790001"
"2015-09-02","105.440002"
"2015-09-03","101.059998"
"2015-09-04","98.790001"
"2015-09-08","94.949997"
"2015-09-09","99.180000"
"2015-09-10","99.480003"
"2015-09-11","97.510002"
"2015-09-14","95.690002"
"2015-09-15","99.160004"
"2015-09-16","104.080002"
"2015-09-17","104.209999"
"2015-09-18","102.620003"
"2015-09-21","100.300003"
"2015-09-22","98.470001"
"2015-09-23","98.070000"
"2015-09-24","103.760002"
"2015-09-25","102.239998"
"2015-09-28","99.470001"
"2015-09-29","98.349998"
"2015-09-30","103.260002"
"2015-10-01","105.980003"
"2015-10-02","106.110001"
"2015-10-05","111.250000"
"2015-10-06","108.330002"
"2015-10-07","108.099998"
"2015-10-08","114.930000"
"2015-10-09","113.330002"
"2015-10-12","113.449997"
"2015-10-13","109.730003"
"2015-10-14","110.230003"
"2015-10-15","101.089996"
"2015-10-16","98.989998"
"2015-10-19","101.690002"
"2015-10-20","98.989998"
"2015-10-21","97.959999"
"2015-10-22","97.320000"
"2015-10-23","100.040001"
"2015-10-26","103.040001"
"2015-10-27","103.070000"
"2015-10-28","105.800003"
"2015-10-29","105.120003"
"2015-10-30","108.379997"
"2015-11-02","107.639999"
"2015-11-03","109.739998"
"2015-11-04","114.050003"
"2015-11-05","113.500000"
"2015-11-06","114.059998"
"2015-11-09","109.860001"
"2015-11-10","112.699997"
"2015-11-11","112.860001"
"2015-11-12","108.919998"
"2015-11-13","103.650002"
"2015-11-16","111.349998"
"2015-11-17","117.099998"
"2015-11-18","120.629997"
"2015-11-19","120.220001"
"2015-11-20","123.839996"
"2015-11-23","125.029999"
"2015-11-24","123.309998"
"2015-11-25","124.160004"
"2015-11-27","125.440002"
"2015-11-30","123.330002"
"2015-12-01","125.370003"
"2015-12-02","128.929993"
"2015-12-03","126.809998"
"2015-12-04","130.929993"
"2015-12-07","125.360001"
"2015-12-08","126.980003"
"2015-12-09","124.199997"
"2015-12-10","122.910004"
"2015-12-11","118.910004"
"2015-12-14","120.669998"
"2015-12-15","118.599998"
"2015-12-16","122.639999"
"2015-12-17","122.510002"
"2015-12-18","118.019997"
"2015-12-21","116.629997"
"2015-12-22","116.239998"
"2015-12-23","118.160004"
"2015-12-24","117.330002"
"2015-12-28","117.110001"
"2015-12-29","119.120003"
"2015-12-30","116.709999"
"2015-12-31","114.379997"
"2016-01-04","109.959999"
"2016-01-05","107.660004"
"2016-01-06","117.680000"
"2016-01-07","114.559998"
"2016-01-08","111.389999"
"2016-01-11","114.970001"
"2016-01-12","116.580002"
"2016-01-13","106.559998"
"2016-01-14","107.059998"
"2016-01-15","104.040001"
"2016-01-19","107.889999"
"2016-01-20","107.739998"
"2016-01-21","102.349998"
"2016-01-22","100.720001"
"2016-01-25","99.120003"
"2016-01-26","97.830002"
"2016-01-27","91.150002"
"2016-01-28","94.410004"
"2016-01-29","91.839996"
"2016-02-01","94.089996"
"2016-02-02","91.489998"
"2016-02-03","90.739998"
"2016-02-04","89.709999"
"2016-02-05","82.790001"
"2016-02-08","83.320000"
"2016-02-09","86.129997"
"2016-02-10","88.449997"
"2016-02-11","86.349998"
"2016-02-12","87.400002"
"2016-02-16","89.050003"
"2016-02-17","94.760002"
"2016-02-18","90.489998"
"2016-02-19","89.230003"
"2016-02-22","91.930000"
"2016-02-23","89.120003"
"2016-02-24","91.610001"
"2016-02-25","94.529999"
"2016-02-26","94.790001"
"2016-02-29","93.410004"
"2016-03-01","98.300003"
"2016-03-02","97.610001"
"2016-03-03","97.930000"
"2016-03-04","101.580002"
"2016-03-07","95.489998"
"2016-03-08","96.230003"
"2016-03-09","98.000000"
"2016-03-10","97.360001"
"2016-03-11","97.660004"
"2016-03-14","98.129997"
"2016-03-15","97.860001"
"2016-03-16","99.349998"
"2016-03-17","99.720001"
"2016-03-18","101.120003"
"2016-03-21","101.059998"
"2016-03-22","99.839996"
"2016-03-23","99.589996"
"2016-03-24","98.360001"
"2016-03-28","101.209999"
"2016-03-29","104.129997"
"2016-03-30","102.190002"
"2016-03-31","102.230003"
"2016-04-01","105.699997"
"2016-04-04","104.349998"
"2016-04-05","104.940002"
"2016-04-06","104.830002"
"2016-04-07","104.449997"
"2016-04-08","103.809998"
"2016-04-11","102.680000"
"2016-04-12","106.980003"
"2016-04-13","109.650002"
"2016-04-14","110.419998"
"2016-04-15","111.510002"
"2016-04-18","108.400002"
"2016-04-19","94.339996"
"2016-04-20","96.769997"
"2016-04-21","94.980003"
"2016-04-22","95.900002"
"2016-04-25","93.559998"
"2016-04-26","92.430000"
"2016-04-27","91.040001"
"2016-04-28","90.279999"
"2016-04-29","90.029999"
"2016-05-02","93.110001"
"2016-05-03","91.540001"
"2016-05-04","90.790001"
"2016-05-05","89.370003"
"2016-05-06","90.839996"
"2016-05-09","90.540001"
"2016-05-10","92.889999"
"2016-05-11","90.019997"
"2016-05-12","87.739998"
"2016-05-13","87.879997"
"2016-05-16","89.120003"
"2016-05-17","88.629997"
"2016-05-18","90.500000"
"2016-05-19","89.550003"
"2016-05-20","92.489998"
"2016-05-23","94.889999"
"2016-05-24","97.889999"
"2016-05-25","100.199997"
"2016-05-26","102.809998"
"2016-05-27","103.300003"
"2016-05-31","102.570000"
"2016-06-01","101.510002"
"2016-06-02","101.250000"
"2016-06-03","99.589996"
"2016-06-06","100.739998"
"2016-06-07","99.889999"
"2016-06-08","97.860001"
"2016-06-09","97.089996"
"2016-06-10","93.750000"
"2016-06-13","93.849998"
"2016-06-14","94.120003"
"2016-06-15","94.290001"
"2016-06-16","95.440002"
"2016-06-17","94.449997"
"2016-06-20","93.800003"
"2016-06-21","90.989998"
"2016-06-22","90.010002"
"2016-06-23","91.660004"
"2016-06-24","88.440002"
"2016-06-27","85.330002"
"2016-06-28","87.970001"
"2016-06-29","91.059998"
"2016-06-30","91.480003"
"2016-07-01","96.669998"
"2016-07-05","97.910004"
"2016-07-06","94.599998"
"2016-07-07","95.099998"
"2016-07-08","97.059998"
"2016-07-11","94.669998"
"2016-07-12","95.970001"
"2016-07-13","96.430000"
"2016-07-14","98.019997"
"2016-07-15","98.389999"
"2016-07-18","98.809998"
"2016-07-19","85.839996"
"2016-07-20","87.910004"
"2016-07-21","85.989998"
"2016-07-22","85.889999"
"2016-07-25","87.660004"
"2016-07-26","91.410004"
"2016-07-27","92.040001"
"2016-07-28","91.650002"
"2016-07-29","91.250000"
"2016-08-01","94.370003"
"2016-08-02","93.559998"
"2016-08-03","93.099998"
"2016-08-04","93.440002"
"2016-08-05","97.029999"
"2016-08-08","95.110001"
"2016-08-09","93.989998"
"2016-08-10","93.930000"
"2016-08-11","95.889999"
"2016-08-12","96.589996"
"2016-08-15","95.309998"
"2016-08-16","95.120003"
"2016-08-17","96.370003"
"2016-08-18","96.160004"
"2016-08-19","95.870003"
"2016-08-22","95.260002"
"2016-08-23","95.940002"
"2016-08-24","95.180000"
"2016-08-25","97.320000"
"2016-08-26","97.580002"
"2016-08-29","97.300003"
"2016-08-30","97.449997"
"2016-08-31","97.449997"
"2016-09-01","97.379997"
"2016-09-02","97.379997"
"2016-09-06","100.089996"
"2016-09-07","99.150002"
"2016-09-08","99.660004"
"2016-09-09","96.500000"
"2016-09-12","99.050003"
"2016-09-13","96.089996"
"2016-09-14","97.010002"
"2016-09-15","97.339996"
"2016-09-16","99.480003"
"2016-09-19","98.059998"
"2016-09-20","98.250000"
"2016-09-21","94.879997"
"2016-09-22","95.830002"
"2016-09-23","95.940002"
