"date, price"
"2016-09-30","37.000000"
"2016-10-03","44.459999"
"2016-10-04","38.090000"
"2016-10-05","36.180000"
"2016-10-06","36.700001"
"2016-10-07","38.150002"
"2016-10-10","34.810001"
"2016-10-11","32.009998"
"2016-10-12","32.500000"
"2016-10-13","34.700001"
"2016-10-14","33.150002"
"2016-10-17","30.650000"
"2016-10-18","30.740000"
"2016-10-19","29.990000"
"2016-10-20","28.500000"
"2016-10-21","29.209999"
"2016-10-24","29.770000"
"2016-10-25","29.150000"
"2016-10-26","28.760000"
"2016-10-27","27.430000"
"2016-10-28","24.840000"
"2016-10-31","24.500000"
"2016-11-01","24.160000"
"2016-11-02","24.549999"
"2016-11-03","23.900000"
"2016-11-04","24.129999"
"2016-11-07","23.370001"
"2016-11-08","26.889999"
"2016-11-09","28.920000"
"2016-11-10","27.250000"
"2016-11-11","28.270000"
"2016-11-14","28.200001"
"2016-11-15","32.450001"
"2016-11-16","32.779999"
"2016-11-17","31.200001"
"2016-11-18","34.689999"
"2016-11-21","33.660000"
"2016-11-22","33.110001"
"2016-11-23","34.130001"
"2016-11-25","34.000000"
"2016-11-28","33.340000"
"2016-11-29","34.090000"
"2016-11-30","32.000000"
"2016-12-01","27.600000"
"2016-12-02","27.770000"
"2016-12-05","27.980000"
"2016-12-06","27.500000"
"2016-12-07","27.100000"
"2016-12-08","27.549999"
"2016-12-09","27.420000"
"2016-12-12","26.120001"
"2016-12-13","25.000000"
"2016-12-14","25.280001"
"2016-12-15","28.639999"
"2016-12-16","28.740000"
"2016-12-19","28.629999"
"2016-12-20","29.410000"
"2016-12-21","28.540001"
"2016-12-22","28.950001"
"2016-12-23","28.469999"
"2016-12-27","28.600000"
"2016-12-28","27.209999"
"2016-12-29","26.180000"
"2016-12-30","26.559999"
"2017-01-03","26.309999"
"2017-01-04","28.120001"
"2017-01-05","26.740000"
"2017-01-06","27.709999"
"2017-01-09","29.350000"
"2017-01-10","29.180000"
"2017-01-11","29.959999"
"2017-01-12","30.170000"
"2017-01-13","30.459999"
"2017-01-17","30.049999"
"2017-01-18","28.170000"
"2017-01-19","28.280001"
"2017-01-20","28.350000"
"2017-01-23","30.049999"
"2017-01-24","30.180000"
"2017-01-25","31.660000"
"2017-01-26","30.260000"
"2017-01-27","30.309999"
"2017-01-30","29.219999"
"2017-01-31","30.270000"
"2017-02-01","29.010000"
"2017-02-02","29.309999"
"2017-02-03","31.520000"
"2017-02-06","31.020000"
"2017-02-07","30.410000"
"2017-02-08","31.650000"
"2017-02-09","32.000000"
"2017-02-10","32.130001"
"2017-02-13","32.200001"
"2017-02-14","32.139999"
"2017-02-15","33.099998"
"2017-02-16","31.959999"
"2017-02-17","31.469999"
"2017-02-21","31.809999"
"2017-02-22","30.840000"
"2017-02-23","30.150000"
"2017-02-24","29.820000"
"2017-02-27","30.120001"
"2017-02-28","29.990000"
"2017-03-01","30.730000"
"2017-03-02","31.120001"
"2017-03-03","23.000000"
"2017-03-06","21.309999"
"2017-03-07","21.389999"
"2017-03-08","21.200001"
"2017-03-09","21.490000"
"2017-03-10","21.299999"
"2017-03-13","20.730000"
"2017-03-14","20.559999"
"2017-03-15","20.270000"
"2017-03-16","20.600000"
"2017-03-17","20.410000"
"2017-03-20","20.320000"
"2017-03-21","19.809999"
"2017-03-22","19.670000"
"2017-03-23","19.370001"
"2017-03-24","19.500000"
"2017-03-27","19.780001"
"2017-03-28","19.920000"
"2017-03-29","18.770000"
"2017-03-30","19.150000"
"2017-03-31","18.770000"
"2017-04-03","18.150000"
"2017-04-04","17.650000"
"2017-04-05","17.459999"
"2017-04-06","18.280001"
"2017-04-07","18.629999"
"2017-04-10","18.580000"
"2017-04-11","18.080000"
"2017-04-12","17.690001"
"2017-04-13","17.209999"
"2017-04-17","17.190001"
"2017-04-18","17.150000"
"2017-04-19","16.440001"
"2017-04-20","16.420000"
"2017-04-21","16.280001"
"2017-04-24","16.080000"
"2017-04-25","16.299999"
"2017-04-26","15.700000"
"2017-04-27","15.630000"
"2017-04-28","15.190000"
"2017-05-01","14.460000"
"2017-05-02","15.820000"
"2017-05-03","15.300000"
"2017-05-04","15.430000"
"2017-05-05","16.290001"
"2017-05-08","16.600000"
"2017-05-09","16.270000"
"2017-05-10","16.740000"
"2017-05-11","16.410000"
"2017-05-12","16.360001"
"2017-05-15","17.000000"
"2017-05-16","16.940001"
"2017-05-17","16.150000"
"2017-05-18","16.000000"
"2017-05-19","16.000000"
"2017-05-22","17.500000"
"2017-05-23","17.020000"
"2017-05-24","17.450001"
"2017-05-25","17.570000"
"2017-05-26","19.590000"
"2017-05-30","18.139999"
"2017-05-31","18.650000"
"2017-06-01","18.580000"
"2017-06-02","18.580000"
"2017-06-05","18.670000"
"2017-06-06","18.440001"
"2017-06-07","18.600000"
"2017-06-08","17.879999"
"2017-06-09","17.480000"
"2017-06-12","17.280001"
"2017-06-13","17.950001"
"2017-06-14","17.440001"
"2017-06-15","17.459999"
"2017-06-16","17.665001"
"2017-06-19","18.360001"
"2017-06-20","18.250000"
"2017-06-21","18.340000"
"2017-06-22","18.500000"
"2017-06-23","19.309999"
"2017-06-26","19.750000"
"2017-06-27","18.639999"
"2017-06-28","20.360001"
"2017-06-29","19.930000"
"2017-06-30","20.150000"
"2017-07-03","19.240000"
"2017-07-05","19.500000"
"2017-07-06","18.690001"
"2017-07-07","19.120001"
"2017-07-10","19.160000"
"2017-07-11","19.120001"
"2017-07-12","19.530001"
"2017-07-13","20.270000"
"2017-07-14","22.120001"
"2017-07-17","22.750000"
"2017-07-18","23.570000"
"2017-07-19","24.410000"
"2017-07-20","24.049999"
"2017-07-21","23.730000"
"2017-07-24","23.360001"
"2017-07-25","23.730000"
"2017-07-26","22.969999"
"2017-07-27","21.820000"
"2017-07-28","21.740000"
"2017-07-31","21.245001"
"2017-08-01","21.440001"
"2017-08-02","21.190001"
"2017-08-03","20.990000"
"2017-08-04","21.420000"
"2017-08-07","22.160000"
"2017-08-08","21.930000"
"2017-08-09","21.910000"
"2017-08-10","20.700001"
"2017-08-11","21.480000"
"2017-08-14","22.059999"
"2017-08-15","21.320000"
"2017-08-16","21.730000"
"2017-08-17","21.840000"
"2017-08-18","21.910000"
"2017-08-21","21.559999"
"2017-08-22","21.850000"
"2017-08-23","21.730000"
"2017-08-24","21.900000"
"2017-08-25","21.950001"
"2017-08-28","22.200001"
"2017-08-29","22.190001"
"2017-08-30","21.900000"
"2017-08-31","22.000000"
"2017-09-01","22.000000"
"2017-09-05","21.299999"
"2017-09-06","22.480000"
"2017-09-07","22.160000"
"2017-09-08","21.730000"
"2017-09-11","22.049999"
"2017-09-12","21.950001"
"2017-09-13","21.490000"
"2017-09-14","21.610001"
"2017-09-15","21.559999"
"2017-09-18","22.730000"
"2017-09-19","22.000000"
"2017-09-20","23.000000"
"2017-09-21","23.459999"
"2017-09-22","24.500000"
"2017-09-25","23.180000"
"2017-09-26","23.490000"
"2017-09-27","23.129999"
"2017-09-28","22.430000"
"2017-09-29","22.389999"
"2017-10-02","23.510000"
"2017-10-03","23.170000"
"2017-10-04","22.850000"
"2017-10-05","23.200001"
"2017-10-06","23.139999"
"2017-10-09","23.309999"
"2017-10-10","25.610001"
"2017-10-11","26.660000"
