"date, price"
"2014-12-04","53.560001"
"2014-12-05","53.306667"
"2014-12-08","52.520000"
"2014-12-09","51.880001"
"2014-12-10","51.706669"
"2014-12-11","52.400002"
"2014-12-12","51.893333"
"2014-12-15","51.599998"
"2014-12-16","50.806667"
"2014-12-17","51.353333"
"2014-12-18","52.066666"
"2014-12-19","51.493332"
"2014-12-22","51.833332"
"2014-12-23","52.419998"
"2014-12-24","52.893333"
"2014-12-26","52.553333"
"2014-12-29","52.346668"
"2014-12-30","52.066666"
"2014-12-31","51.759998"
"2015-01-02","51.673332"
"2015-01-05","50.360001"
"2015-01-06","49.413334"
"2015-01-07","49.146667"
"2015-01-08","50.439999"
"2015-01-09","49.419998"
"2015-01-12","48.886665"
"2015-01-13","48.886665"
"2015-01-14","48.453335"
"2015-01-15","48.066666"
"2015-01-16","48.259998"
"2015-01-20","48.493332"
"2015-01-21","47.893333"
"2015-01-22","49.240002"
"2015-01-23","49.906666"
"2015-01-26","49.500000"
"2015-01-27","48.933334"
"2015-01-28","48.419998"
"2015-01-29","47.526669"
"2015-01-30","46.746666"
"2015-02-02","47.506668"
"2015-02-03","48.006668"
"2015-02-04","47.573334"
"2015-02-05","49.113335"
"2015-02-06","49.459999"
"2015-02-09","48.993332"
"2015-02-10","49.459999"
"2015-02-11","49.693333"
"2015-02-12","50.193333"
"2015-02-13","50.840000"
"2015-02-17","50.993332"
"2015-02-18","51.273335"
"2015-02-19","51.799999"
"2015-02-20","51.853333"
"2015-02-23","51.866669"
"2015-02-24","52.286667"
"2015-02-25","52.366669"
"2015-02-26","52.240002"
"2015-02-27","52.080002"
"2015-03-02","52.906666"
"2015-03-03","52.020000"
"2015-03-04","51.766666"
"2015-03-05","51.766666"
"2015-03-06","51.673332"
"2015-03-09","51.833332"
"2015-03-10","51.206669"
"2015-03-11","51.926666"
"2015-03-12","52.273335"
"2015-03-13","52.126667"
"2015-03-16","52.853333"
"2015-03-17","53.186668"
"2015-03-18","53.586666"
"2015-03-19","53.580002"
"2015-03-20","53.419998"
"2015-03-23","52.853333"
"2015-03-24","52.119999"
"2015-03-25","51.186668"
"2015-03-26","51.320000"
"2015-03-27","51.380001"
"2015-03-30","51.653332"
"2015-03-31","51.533333"
"2015-04-01","50.373333"
"2015-04-02","48.946667"
"2015-04-06","48.266666"
"2015-04-07","48.346668"
"2015-04-08","47.926666"
"2015-04-09","47.786667"
"2015-04-10","48.093334"
"2015-04-13","48.000000"
"2015-04-14","48.133331"
"2015-04-15","48.386665"
"2015-04-16","48.666668"
"2015-04-17","48.520000"
"2015-04-20","49.493332"
"2015-04-21","49.860001"
"2015-04-22","49.666668"
"2015-04-23","50.193333"
"2015-04-24","49.560001"
"2015-04-27","49.660000"
"2015-04-28","49.926666"
"2015-04-29","48.759998"
"2015-04-30","47.419998"
"2015-05-01","48.006668"
"2015-05-04","47.913334"
"2015-05-05","47.000000"
"2015-05-06","47.180000"
"2015-05-07","47.833332"
"2015-05-08","48.259998"
"2015-05-11","48.093334"
"2015-05-12","48.006668"
"2015-05-13","47.486668"
"2015-05-14","47.233334"
"2015-05-15","47.306667"
"2015-05-18","48.200001"
"2015-05-19","47.939999"
"2015-05-20","47.180000"
"2015-05-21","48.026669"
"2015-05-22","47.486668"
"2015-05-26","46.806667"
"2015-05-27","47.720001"
"2015-05-28","47.599998"
"2015-05-29","45.340000"
"2015-06-01","45.613335"
"2015-06-02","45.000000"
"2015-06-03","45.406666"
"2015-06-04","45.720001"
"2015-06-05","46.913334"
"2015-06-08","46.080002"
"2015-06-09","46.013332"
"2015-06-10","46.413334"
"2015-06-11","47.033333"
"2015-06-12","46.840000"
"2015-06-15","46.573334"
"2015-06-16","46.533333"
"2015-06-17","47.026669"
"2015-06-18","47.639999"
"2015-06-19","47.806667"
"2015-06-22","47.660000"
"2015-06-23","47.253334"
"2015-06-24","46.240002"
"2015-06-25","46.020000"
"2015-06-26","45.913334"
"2015-06-29","45.366669"
"2015-06-30","45.740002"
"2015-07-01","46.006668"
"2015-07-02","45.799999"
"2015-07-06","45.180000"
"2015-07-07","45.173332"
"2015-07-08","44.480000"
"2015-07-09","44.933334"
"2015-07-10","45.119999"
"2015-07-13","45.366669"
"2015-07-14","44.913334"
"2015-07-15","44.393333"
"2015-07-16","45.293331"
"2015-07-17","45.259998"
"2015-07-20","45.693333"
"2015-07-21","46.273335"
"2015-07-22","45.973331"
"2015-07-23","45.113335"
"2015-07-24","44.713333"
"2015-07-27","44.486668"
"2015-07-28","45.333332"
"2015-07-29","47.046665"
"2015-07-30","48.486668"
"2015-07-31","48.766666"
"2015-08-03","49.373333"
"2015-08-04","49.153332"
"2015-08-05","49.413334"
"2015-08-06","48.913334"
"2015-08-07","48.220001"
"2015-08-10","48.720001"
"2015-08-11","48.706669"
"2015-08-12","48.413334"
"2015-08-13","48.333332"
"2015-08-14","48.759998"
"2015-08-17","48.886665"
"2015-08-18","48.606667"
"2015-08-19","47.866669"
"2015-08-20","47.080002"
"2015-08-21","45.466667"
"2015-08-24","43.919998"
"2015-08-25","43.099998"
"2015-08-26","44.153332"
"2015-08-27","44.900002"
"2015-08-28","44.919998"
"2015-08-31","44.326668"
"2015-09-01","42.919998"
"2015-09-02","43.606667"
"2015-09-03","44.193333"
"2015-09-04","44.046665"
"2015-09-08","45.060001"
"2015-09-09","44.506668"
"2015-09-10","45.419998"
"2015-09-11","45.206669"
"2015-09-14","44.853333"
"2015-09-15","45.626667"
"2015-09-16","45.526669"
"2015-09-17","45.206669"
