"date, price"
"2014-12-04","29.139999"
"2014-12-05","29.745001"
"2014-12-08","29.450001"
"2014-12-09","29.584999"
"2014-12-10","28.309999"
"2014-12-11","28.525000"
"2014-12-12","28.075001"
"2014-12-15","28.309999"
"2014-12-16","28.020000"
"2014-12-17","28.309999"
"2014-12-18","28.530001"
"2014-12-19","28.959999"
"2014-12-22","29.020000"
"2014-12-23","29.584999"
"2014-12-24","29.405001"
"2014-12-26","29.469999"
"2014-12-29","29.230000"
"2014-12-30","29.459999"
"2014-12-31","29.129999"
"2015-01-02","29.059999"
"2015-01-05","28.580000"
"2015-01-06","27.670000"
"2015-01-07","28.100000"
"2015-01-08","28.500000"
"2015-01-09","28.465000"
"2015-01-12","28.020000"
"2015-01-13","28.635000"
"2015-01-14","28.330000"
"2015-01-15","28.635000"
"2015-01-16","29.180000"
"2015-01-20","29.309999"
"2015-01-21","29.135000"
"2015-01-22","29.195000"
"2015-01-23","29.299999"
"2015-01-26","29.389999"
"2015-01-27","29.795000"
"2015-01-28","27.084999"
"2015-01-29","27.924999"
"2015-01-30","28.334999"
"2015-02-02","27.920000"
"2015-02-03","28.450001"
"2015-02-04","28.270000"
"2015-02-05","29.475000"
"2015-02-06","28.934999"
"2015-02-09","29.264999"
"2015-02-10","29.500000"
"2015-02-11","29.825001"
"2015-02-12","30.100000"
"2015-02-13","30.594999"
"2015-02-17","30.305000"
"2015-02-18","29.805000"
"2015-02-19","29.830000"
"2015-02-20","29.875000"
"2015-02-23","29.715000"
"2015-02-24","29.115000"
"2015-02-25","29.365000"
"2015-02-26","29.590000"
"2015-02-27","29.110001"
"2015-03-02","29.260000"
"2015-03-03","29.055000"
"2015-03-04","28.950001"
"2015-03-05","28.790001"
"2015-03-06","28.375000"
"2015-03-09","28.745001"
"2015-03-10","27.250000"
"2015-03-11","26.840000"
"2015-03-12","27.670000"
"2015-03-13","27.330000"
"2015-03-16","27.570000"
"2015-03-17","27.825001"
"2015-03-18","28.184999"
"2015-03-19","27.924999"
"2015-03-20","28.290001"
"2015-03-23","28.235001"
"2015-03-24","27.965000"
"2015-03-25","27.100000"
"2015-03-26","26.900000"
"2015-03-27","26.549999"
"2015-03-30","26.490000"
"2015-03-31","26.445000"
"2015-04-01","26.969999"
"2015-04-02","26.780001"
"2015-04-06","26.865000"
"2015-04-07","27.680000"
"2015-04-08","27.680000"
"2015-04-09","27.760000"
"2015-04-10","28.000000"
"2015-04-13","28.230000"
"2015-04-14","28.264999"
"2015-04-15","29.055000"
"2015-04-16","29.170000"
"2015-04-17","28.610001"
"2015-04-20","28.410000"
"2015-04-21","28.754999"
"2015-04-22","28.620001"
"2015-04-23","28.705000"
"2015-04-24","27.915001"
"2015-04-27","28.000000"
"2015-04-28","27.695000"
"2015-04-29","25.965000"
"2015-04-30","25.290001"
"2015-05-01","25.209999"
"2015-05-04","25.305000"
"2015-05-05","25.010000"
"2015-05-06","24.885000"
"2015-05-07","24.639999"
"2015-05-08","24.620001"
"2015-05-11","24.290001"
"2015-05-12","24.129999"
"2015-05-13","24.030001"
"2015-05-14","24.075001"
"2015-05-15","24.405001"
"2015-05-18","24.195000"
"2015-05-19","24.094999"
"2015-05-20","24.500000"
"2015-05-21","21.225000"
"2015-05-22","21.520000"
"2015-05-26","21.375000"
"2015-05-27","21.215000"
"2015-05-28","21.264999"
"2015-05-29","21.219999"
"2015-06-01","21.100000"
"2015-06-02","21.165001"
"2015-06-03","21.209999"
"2015-06-04","21.059999"
"2015-06-05","21.195000"
"2015-06-08","21.250000"
"2015-06-09","21.219999"
"2015-06-10","21.320000"
"2015-06-11","21.344999"
"2015-06-12","21.340000"
"2015-06-15","21.370001"
"2015-06-16","21.370001"
"2015-06-17","21.299999"
"2015-06-18","21.315001"
"2015-06-19","21.014999"
"2015-06-22","20.934999"
"2015-06-23","20.905001"
"2015-06-24","20.760000"
"2015-06-25","20.570000"
"2015-06-26","20.395000"
"2015-06-29","20.059999"
"2015-06-30","20.264999"
"2015-07-01","20.299999"
"2015-07-02","20.305000"
"2015-07-06","19.785000"
"2015-07-07","19.870001"
"2015-07-08","19.570000"
"2015-07-09","19.575001"
"2015-07-10","19.570000"
"2015-07-13","19.590000"
"2015-07-14","19.584999"
"2015-07-15","19.325001"
"2015-07-16","19.469999"
"2015-07-17","19.295000"
"2015-07-20","19.200001"
"2015-07-21","19.010000"
"2015-07-22","19.040001"
"2015-07-23","19.010000"
"2015-07-24","18.700001"
"2015-07-27","18.450001"
"2015-07-28","18.584999"
"2015-07-29","18.815001"
"2015-07-30","22.865000"
"2015-07-31","22.754999"
"2015-08-03","22.830000"
"2015-08-04","23.010000"
"2015-08-05","22.905001"
"2015-08-06","22.855000"
"2015-08-07","22.975000"
"2015-08-10","23.170000"
"2015-08-11","22.879999"
"2015-08-12","22.860001"
"2015-08-13","22.955000"
"2015-08-14","22.934999"
"2015-08-17","22.930000"
"2015-08-18","22.980000"
"2015-08-19","22.790001"
"2015-08-20","22.334999"
"2015-08-21","21.934999"
"2015-08-24","21.225000"
