"date, price"
"2014-12-04","47.330002"
"2014-12-05","47.400002"
"2014-12-08","47.110001"
"2014-12-09","46.709999"
"2014-12-10","46.610001"
"2014-12-11","46.869999"
"2014-12-12","46.099998"
"2014-12-15","46.509998"
"2014-12-16","46.430000"
"2014-12-17","47.180000"
"2014-12-18","47.750000"
"2014-12-19","46.299999"
"2014-12-22","47.029999"
"2014-12-23","47.369999"
"2014-12-24","47.060001"
"2014-12-26","47.189999"
"2014-12-29","47.049999"
"2014-12-30","46.860001"
"2014-12-31","46.169998"
"2015-01-02","46.240002"
"2015-01-05","46.320000"
"2015-01-06","45.990002"
"2015-01-07","46.830002"
"2015-01-08","47.560001"
"2015-01-09","47.139999"
"2015-01-12","47.080002"
"2015-01-13","47.080002"
"2015-01-14","47.139999"
"2015-01-15","47.080002"
"2015-01-16","47.299999"
"2015-01-20","47.540001"
"2015-01-21","47.349998"
"2015-01-22","47.959999"
"2015-01-23","48.380001"
"2015-01-26","48.180000"
"2015-01-27","47.669998"
"2015-01-28","46.880001"
"2015-01-29","46.380001"
"2015-01-30","45.259998"
"2015-02-02","45.959999"
"2015-02-03","46.910000"
"2015-02-04","47.070000"
"2015-02-05","47.490002"
"2015-02-06","47.730000"
"2015-02-09","47.439999"
"2015-02-10","47.930000"
"2015-02-11","48.160000"
"2015-02-12","48.410000"
"2015-02-13","48.759998"
"2015-02-17","48.759998"
"2015-02-18","48.959999"
"2015-02-19","49.230000"
"2015-02-20","49.560001"
"2015-02-23","49.529999"
"2015-02-24","49.970001"
"2015-02-25","49.919998"
"2015-02-26","49.939999"
"2015-02-27","49.840000"
"2015-03-02","50.400002"
"2015-03-03","49.330002"
"2015-03-04","48.790001"
"2015-03-05","49.180000"
"2015-03-06","48.950001"
"2015-03-09","49.279999"
"2015-03-10","49.000000"
"2015-03-11","48.990002"
"2015-03-12","50.259998"
"2015-03-13","49.919998"
"2015-03-16","51.009998"
"2015-03-17","51.009998"
"2015-03-18","51.299999"
"2015-03-19","51.240002"
"2015-03-20","51.619999"
"2015-03-23","51.259998"
"2015-03-24","51.299999"
"2015-03-25","49.200001"
"2015-03-26","49.009998"
"2015-03-27","49.549999"
"2015-03-30","50.009998"
"2015-03-31","49.619999"
"2015-04-01","49.500000"
"2015-04-02","49.250000"
"2015-04-06","49.209999"
"2015-04-07","49.139999"
"2015-04-08","49.340000"
"2015-04-09","49.389999"
"2015-04-10","49.279999"
"2015-04-13","49.060001"
"2015-04-14","48.900002"
"2015-04-15","48.980000"
"2015-04-16","49.040001"
"2015-04-17","48.279999"
"2015-04-20","48.980000"
"2015-04-21","49.060001"
"2015-04-22","49.279999"
"2015-04-23","49.520000"
"2015-04-24","49.230000"
"2015-04-27","49.279999"
"2015-04-28","49.270000"
"2015-04-29","48.840000"
"2015-04-30","48.389999"
"2015-05-01","48.849998"
"2015-05-04","49.389999"
"2015-05-05","49.090000"
"2015-05-06","49.000000"
