"date, price"
"2014-12-04","14.720000"
"2014-12-05","14.920000"
"2014-12-08","14.890000"
"2014-12-09","14.890000"
"2014-12-10","14.580000"
"2014-12-11","14.700000"
"2014-12-12","14.570000"
"2014-12-15","14.490000"
"2014-12-16","14.510000"
"2014-12-17","14.830000"
"2014-12-18","14.920000"
"2014-12-19","15.160000"
"2014-12-22","15.160000"
"2014-12-23","15.300000"
"2014-12-24","15.230000"
"2014-12-26","15.250000"
"2014-12-29","15.390000"
"2014-12-30","15.280000"
"2014-12-31","15.180000"
"2015-01-02","15.150000"
"2015-01-05","14.790000"
"2015-01-06","14.550000"
"2015-01-07","14.690000"
"2015-01-08","14.890000"
"2015-01-09","14.590000"
"2015-01-12","14.560000"
"2015-01-13","14.500000"
"2015-01-14","14.400000"
"2015-01-15","14.170000"
"2015-01-16","14.280000"
"2015-01-20","14.120000"
"2015-01-21","14.150000"
"2015-01-22","14.730000"
"2015-01-23","14.570000"
"2015-01-26","14.600000"
"2015-01-27","14.380000"
"2015-01-28","13.990000"
"2015-01-29","14.180000"
"2015-01-30","14.070000"
"2015-02-02","14.340000"
"2015-02-03","14.590000"
"2015-02-04","14.420000"
"2015-02-05","14.580000"
"2015-02-06","14.710000"
"2015-02-09","14.680000"
"2015-02-10","14.740000"
"2015-02-11","14.670000"
"2015-02-12","14.950000"
"2015-02-13","14.950000"
"2015-02-17","15.020000"
"2015-02-18","14.850000"
"2015-02-19","14.890000"
"2015-02-20","14.970000"
"2015-02-23","15.010000"
"2015-02-24","15.100000"
"2015-02-25","15.040000"
"2015-02-26","15.070000"
"2015-02-27","15.130000"
"2015-03-02","15.190000"
"2015-03-03","15.200000"
"2015-03-04","15.080000"
"2015-03-05","15.080000"
"2015-03-06","15.130000"
"2015-03-09","15.180000"
"2015-03-10","14.930000"
"2015-03-11","14.880000"
"2015-03-12","15.200000"
"2015-03-13","15.080000"
"2015-03-16","15.190000"
"2015-03-17","15.270000"
"2015-03-18","15.350000"
"2015-03-19","15.180000"
"2015-03-20","15.350000"
"2015-03-23","15.230000"
"2015-03-24","15.200000"
"2015-03-25","15.060000"
"2015-03-26","15.060000"
"2015-03-27","15.090000"
"2015-03-30","15.270000"
"2015-03-31","15.200000"
"2015-04-01","15.090000"
"2015-04-02","15.180000"
"2015-04-06","15.140000"
"2015-04-07","15.130000"
"2015-04-08","15.120000"
"2015-04-09","15.030000"
"2015-04-10","15.070000"
"2015-04-13","15.150000"
"2015-04-14","15.090000"
"2015-04-15","15.190000"
"2015-04-16","15.230000"
"2015-04-17","15.040000"
"2015-04-20","15.310000"
"2015-04-21","15.310000"
"2015-04-22","15.330000"
"2015-04-23","15.220000"
"2015-04-24","15.150000"
"2015-04-27","15.080000"
"2015-04-28","15.330000"
"2015-04-29","15.180000"
"2015-04-30","15.110000"
"2015-05-01","14.990000"
"2015-05-04","15.160000"
"2015-05-05","15.070000"
"2015-05-06","15.240000"
"2015-05-07","15.170000"
"2015-05-08","15.330000"
"2015-05-11","15.330000"
"2015-05-12","15.310000"
"2015-05-13","15.370000"
"2015-05-14","15.410000"
"2015-05-15","15.240000"
"2015-05-18","15.380000"
"2015-05-19","15.570000"
"2015-05-20","15.530000"
"2015-05-21","15.450000"
"2015-05-22","15.420000"
"2015-05-26","15.350000"
"2015-05-27","15.510000"
"2015-05-28","15.560000"
"2015-05-29","15.560000"
"2015-06-01","15.530000"
"2015-06-02","15.560000"
"2015-06-03","15.780000"
"2015-06-04","15.700000"
"2015-06-05","15.890000"
"2015-06-08","15.870000"
"2015-06-09","15.930000"
"2015-06-10","16.070000"
"2015-06-11","16.070000"
"2015-06-12","16.040001"
"2015-06-15","16.030001"
"2015-06-16","16.129999"
"2015-06-17","15.970000"
"2015-06-18","16.129999"
