"date, price"
"2014-12-04","27.860001"
"2014-12-05","28.410000"
"2014-12-08","29.320000"
"2014-12-09","27.540001"
"2014-12-10","27.180000"
"2014-12-11","26.674999"
"2014-12-12","25.580000"
"2014-12-15","25.030001"
"2014-12-16","24.580000"
"2014-12-17","24.719999"
"2014-12-18","26.299999"
"2014-12-19","25.879999"
"2014-12-22","26.549999"
"2014-12-23","25.629999"
"2014-12-24","26.100000"
"2014-12-26","26.230000"
"2014-12-29","26.100000"
"2014-12-30","25.660000"
"2014-12-31","26.110001"
"2015-01-02","25.670000"
"2015-01-05","26.260000"
"2015-01-06","25.639999"
"2015-01-07","25.995001"
"2015-01-08","26.250000"
"2015-01-09","25.500000"
"2015-01-12","25.350000"
"2015-01-13","24.049999"
"2015-01-14","23.840000"
"2015-01-15","23.090000"
"2015-01-16","23.065001"
"2015-01-20","23.160000"
"2015-01-21","22.930000"
"2015-01-22","23.440001"
"2015-01-23","24.920000"
"2015-01-26","24.549999"
"2015-01-27","24.150000"
"2015-01-28","24.469999"
"2015-01-29","25.190001"
"2015-01-30","23.559999"
"2015-02-02","23.250000"
"2015-02-03","23.450001"
"2015-02-04","23.809999"
"2015-02-05","24.740000"
"2015-02-06","26.520000"
"2015-02-09","27.139999"
"2015-02-10","28.080000"
"2015-02-11","28.730000"
"2015-02-12","28.209999"
"2015-02-13","28.590000"
"2015-02-17","28.750000"
"2015-02-18","28.719999"
"2015-02-19","30.299999"
"2015-02-20","30.209999"
"2015-02-23","30.400000"
"2015-02-24","30.370001"
"2015-02-25","29.900000"
"2015-02-26","29.700001"
"2015-02-27","29.889999"
"2015-03-02","29.440001"
"2015-03-03","28.940001"
"2015-03-04","28.680000"
"2015-03-05","28.440001"
"2015-03-06","28.200001"
"2015-03-09","28.860001"
"2015-03-10","28.610001"
"2015-03-11","28.980000"
"2015-03-12","29.139999"
"2015-03-13","29.350000"
"2015-03-16","29.990000"
"2015-03-17","31.600000"
"2015-03-18","31.480000"
"2015-03-19","31.879999"
"2015-03-20","32.630001"
"2015-03-23","32.049999"
"2015-03-24","30.680000"
"2015-03-25","29.490000"
"2015-03-26","29.570000"
"2015-03-27","29.510000"
"2015-03-30","29.860001"
"2015-03-31","28.639999"
"2015-04-01","28.610001"
"2015-04-02","28.850000"
"2015-04-06","29.049999"
"2015-04-07","29.070000"
"2015-04-08","29.090000"
"2015-04-09","26.930000"
"2015-04-10","28.080000"
"2015-04-13","29.540001"
"2015-04-14","28.990000"
"2015-04-15","30.129999"
"2015-04-16","30.299999"
"2015-04-17","29.730000"
"2015-04-20","30.219999"
"2015-04-21","30.650000"
"2015-04-22","31.290001"
"2015-04-23","31.389999"
"2015-04-24","31.110001"
"2015-04-27","30.629999"
"2015-04-28","29.820000"
"2015-04-29","28.860001"
"2015-04-30","28.150000"
"2015-05-01","27.100000"
"2015-05-04","29.040001"
"2015-05-05","27.959999"
"2015-05-06","27.250000"
"2015-05-07","28.490000"
"2015-05-08","32.750000"
"2015-05-11","33.290001"
"2015-05-12","33.720001"
