"date, price"
"2018-07-26","26.700001"
"2018-07-27","24.600000"
"2018-07-30","22.500000"
"2018-07-31","22.590000"
"2018-08-01","20.309999"
"2018-08-02","19.660000"
"2018-08-03","19.070000"
"2018-08-06","20.160000"
"2018-08-07","20.889999"
"2018-08-08","20.270000"
"2018-08-09","20.000000"
"2018-08-10","19.510000"
"2018-08-13","19.440001"
"2018-08-14","19.000000"
"2018-08-15","17.700001"
"2018-08-16","19.040001"
"2018-08-17","19.000000"
"2018-08-20","18.950001"
"2018-08-21","18.750000"
"2018-08-22","18.400000"
"2018-08-23","18.309999"
"2018-08-24","17.219999"
"2018-08-27","19.170000"
"2018-08-28","19.540001"
"2018-08-29","21.150000"
"2018-08-30","17.990000"
"2018-08-31","19.350000"
"2018-09-04","20.750000"
"2018-09-05","18.799999"
"2018-09-06","19.110001"
"2018-09-07","19.570000"
"2018-09-10","19.740000"
"2018-09-11","23.570000"
"2018-09-12","23.040001"
"2018-09-13","29.959999"
"2018-09-14","26.340000"
"2018-09-17","24.360001"
"2018-09-18","22.639999"
"2018-09-19","23.000000"
"2018-09-20","24.650000"
"2018-09-21","25.600000"
"2018-09-24","26.490000"
"2018-09-25","26.940001"
"2018-09-26","26.059999"
"2018-09-27","26.330000"
"2018-09-28","26.290001"
"2018-10-01","27.690001"
"2018-10-02","25.660000"
"2018-10-03","26.280001"
"2018-10-04","22.700001"
"2018-10-05","21.780001"
"2018-10-08","21.190001"
"2018-10-09","22.340000"
"2018-10-10","20.330000"
"2018-10-11","20.820000"
"2018-10-12","21.620001"
"2018-10-15","21.110001"
"2018-10-16","20.809999"
"2018-10-17","19.990000"
"2018-10-18","18.799999"
"2018-10-19","18.680000"
"2018-10-22","19.950001"
"2018-10-23","18.510000"
"2018-10-24","17.320000"
"2018-10-25","18.559999"
"2018-10-26","18.200001"
"2018-10-29","17.370001"
"2018-10-30","17.200001"
"2018-10-31","17.650000"
"2018-11-01","20.340000"
"2018-11-02","20.370001"
"2018-11-05","20.049999"
"2018-11-06","19.639999"
"2018-11-07","20.719999"
"2018-11-08","19.280001"
"2018-11-09","18.309999"
"2018-11-12","17.219999"
"2018-11-13","17.150000"
"2018-11-14","19.150000"
"2018-11-15","20.379999"
"2018-11-16","20.830000"
"2018-11-19","19.840000"
"2018-11-20","23.139999"
"2018-11-21","23.660000"
"2018-11-23","22.500000"
"2018-11-26","21.219999"
"2018-11-27","22.450001"
"2018-11-28","22.900000"
"2018-11-29","22.440001"
"2018-11-30","22.959999"
"2018-12-03","23.969999"
"2018-12-04","23.320000"
"2018-12-06","22.540001"
"2018-12-07","20.610001"
"2018-12-10","20.110001"
"2018-12-11","20.809999"
"2018-12-12","22.650000"
"2018-12-13","22.580000"
"2018-12-14","23.100000"
"2018-12-17","22.180000"
"2018-12-18","23.000000"
"2018-12-19","22.320000"
"2018-12-20","21.490000"
"2018-12-21","21.129999"
"2018-12-24","21.299999"
"2018-12-26","21.510000"
"2018-12-27","21.900000"
"2018-12-28","22.059999"
"2018-12-31","22.440001"
"2019-01-02","22.209999"
"2019-01-03","21.520000"
"2019-01-04","22.690001"
"2019-01-07","23.209999"
"2019-01-08","24.000000"
"2019-01-09","25.540001"
"2019-01-10","26.379999"
"2019-01-11","26.160000"
"2019-01-14","24.370001"
"2019-01-15","24.410000"
"2019-01-16","25.139999"
"2019-01-17","24.540001"
