"date, price"
"2014-12-04","3.700000"
"2014-12-05","3.600000"
"2014-12-08","3.370000"
"2014-12-09","3.280000"
"2014-12-10","3.190000"
"2014-12-11","3.100000"
"2014-12-12","2.930000"
"2014-12-15","2.770000"
"2014-12-16","2.730000"
"2014-12-17","2.940000"
"2014-12-18","2.920000"
"2014-12-19","3.050000"
"2014-12-22","3.050000"
"2014-12-23","3.060000"
"2014-12-24","3.050000"
"2014-12-26","3.080000"
"2014-12-29","3.130000"
"2014-12-30","3.120000"
"2014-12-31","3.000000"
"2015-01-02","2.980000"
"2015-01-05","3.010000"
"2015-01-06","3.050000"
"2015-01-07","3.050000"
"2015-01-08","3.080000"
"2015-01-09","3.010000"
"2015-01-12","2.940000"
"2015-01-13","2.910000"
"2015-01-14","2.750000"
"2015-01-15","2.550000"
"2015-01-16","2.670000"
"2015-01-20","2.600000"
"2015-01-21","2.680000"
"2015-01-22","2.900000"
"2015-01-23","2.870000"
"2015-01-26","3.070000"
"2015-01-27","3.180000"
"2015-01-28","2.890000"
"2015-01-29","2.750000"
"2015-01-30","2.670000"
"2015-02-02","2.780000"
"2015-02-03","2.880000"
"2015-02-04","2.870000"
"2015-02-05","2.890000"
"2015-02-06","2.910000"
"2015-02-09","2.910000"
"2015-02-10","3.060000"
"2015-02-11","3.260000"
"2015-02-12","3.150000"
"2015-02-13","3.150000"
"2015-02-17","3.140000"
"2015-02-18","3.070000"
"2015-02-19","3.140000"
"2015-02-20","3.240000"
"2015-02-23","3.280000"
"2015-02-24","3.160000"
"2015-02-25","3.120000"
"2015-02-26","3.110000"
"2015-02-27","3.080000"
"2015-03-02","3.130000"
"2015-03-03","3.020000"
"2015-03-04","2.930000"
"2015-03-05","2.970000"
"2015-03-06","2.970000"
"2015-03-09","2.910000"
"2015-03-10","2.860000"
"2015-03-11","2.800000"
"2015-03-12","2.780000"
"2015-03-13","2.860000"
"2015-03-16","2.750000"
"2015-03-17","2.610000"
"2015-03-18","2.590000"
"2015-03-19","2.710000"
"2015-03-20","2.660000"
"2015-03-23","2.650000"
"2015-03-24","2.670000"
"2015-03-25","2.630000"
"2015-03-26","2.620000"
"2015-03-27","2.640000"
"2015-03-30","2.680000"
"2015-03-31","2.590000"
"2015-04-01","2.520000"
"2015-04-02","2.560000"
"2015-04-06","2.520000"
"2015-04-07","2.510000"
"2015-04-08","2.490000"
"2015-04-09","2.620000"
"2015-04-10","2.610000"
"2015-04-13","2.590000"
"2015-04-14","2.670000"
"2015-04-15","2.780000"
"2015-04-16","2.720000"
"2015-04-17","2.670000"
"2015-04-20","2.720000"
"2015-04-21","2.670000"
"2015-04-22","2.650000"
"2015-04-23","2.670000"
"2015-04-24","2.650000"
"2015-04-27","2.590000"
"2015-04-28","2.570000"
"2015-04-29","2.560000"
"2015-04-30","2.540000"
"2015-05-01","2.490000"
"2015-05-04","2.500000"
"2015-05-05","2.420000"
"2015-05-06","2.460000"
"2015-05-07","2.460000"
"2015-05-08","2.430000"
"2015-05-11","2.550000"
"2015-05-12","2.630000"
"2015-05-13","2.620000"
"2015-05-14","2.630000"
"2015-05-15","2.610000"
"2015-05-18","2.580000"
"2015-05-19","2.680000"
"2015-05-20","2.620000"
"2015-05-21","2.620000"
"2015-05-22","2.580000"
"2015-05-26","2.580000"
"2015-05-27","2.710000"
"2015-05-28","2.730000"
"2015-05-29","2.720000"
"2015-06-01","2.680000"
"2015-06-02","2.800000"
"2015-06-03","2.820000"
"2015-06-04","2.740000"
"2015-06-05","2.740000"
"2015-06-08","2.740000"
"2015-06-09","2.690000"
"2015-06-10","2.700000"
"2015-06-11","2.690000"
"2015-06-12","2.690000"
"2015-06-15","2.690000"
"2015-06-16","2.660000"
"2015-06-17","2.590000"
"2015-06-18","2.590000"
"2015-06-19","2.600000"
"2015-06-22","2.640000"
"2015-06-23","2.630000"
"2015-06-24","2.580000"
"2015-06-25","2.570000"
"2015-06-26","2.570000"
"2015-06-29","2.450000"
"2015-06-30","2.450000"
"2015-07-01","2.350000"
"2015-07-02","2.320000"
"2015-07-06","2.230000"
"2015-07-07","2.540000"
"2015-07-08","2.340000"
"2015-07-09","2.330000"
"2015-07-10","2.280000"
"2015-07-13","2.350000"
"2015-07-14","2.340000"
"2015-07-15","2.290000"
"2015-07-16","2.310000"
"2015-07-17","2.380000"
"2015-07-20","2.370000"
"2015-07-21","2.480000"
"2015-07-22","2.490000"
"2015-07-23","2.430000"
"2015-07-24","2.380000"
"2015-07-27","2.320000"
"2015-07-28","2.390000"
"2015-07-29","2.390000"
