"date, price"
"2014-12-04","37.389999"
"2014-12-05","38.299999"
"2014-12-08","38.180000"
"2014-12-09","38.689999"
"2014-12-10","37.500000"
"2014-12-11","37.930000"
"2014-12-12","37.700001"
"2014-12-15","37.400002"
"2014-12-16","37.410000"
"2014-12-17","38.480000"
"2014-12-18","38.770000"
"2014-12-19","38.529999"
"2014-12-22","38.970001"
"2014-12-23","39.130001"
"2014-12-24","39.310001"
"2014-12-26","39.759998"
"2014-12-29","39.950001"
"2014-12-30","39.880001"
"2014-12-31","39.540001"
"2015-01-02","38.900002"
"2015-01-05","37.790001"
"2015-01-06","36.820000"
"2015-01-07","36.830002"
"2015-01-08","37.430000"
"2015-01-09","36.009998"
"2015-01-12","35.799999"
"2015-01-13","35.930000"
"2015-01-14","35.779999"
"2015-01-15","35.520000"
"2015-01-16","36.340000"
"2015-01-20","35.959999"
"2015-01-21","36.220001"
"2015-01-22","38.189999"
"2015-01-23","37.799999"
"2015-01-26","38.110001"
"2015-01-27","37.369999"
"2015-01-28","35.919998"
"2015-01-29","36.689999"
"2015-01-30","35.939999"
"2015-02-02","36.930000"
"2015-02-03","37.709999"
"2015-02-04","37.529999"
"2015-02-05","39.380001"
"2015-02-06","39.639999"
"2015-02-09","38.770000"
"2015-02-10","39.240002"
"2015-02-11","39.549999"
"2015-02-12","40.459999"
"2015-02-13","40.680000"
"2015-02-17","41.360001"
"2015-02-18","40.459999"
"2015-02-19","40.160000"
"2015-02-20","40.480000"
"2015-02-23","40.430000"
"2015-02-24","40.770000"
"2015-02-25","40.880001"
"2015-02-26","41.689999"
"2015-02-27","42.000000"
"2015-03-02","42.430000"
"2015-03-03","42.439999"
"2015-03-04","41.970001"
"2015-03-05","42.060001"
"2015-03-06","42.240002"
"2015-03-09","42.580002"
"2015-03-10","41.570000"
"2015-03-11","42.480000"
"2015-03-12","44.259998"
"2015-03-13","44.250000"
"2015-03-16","44.049999"
"2015-03-17","44.220001"
"2015-03-18","44.060001"
"2015-03-19","44.040001"
"2015-03-20","45.189999"
"2015-03-23","44.619999"
"2015-03-24","44.680000"
"2015-03-25","43.590000"
"2015-03-26","44.130001"
"2015-03-27","43.950001"
"2015-03-30","44.529999"
"2015-03-31","44.459999"
"2015-04-01","44.250000"
"2015-04-02","44.790001"
"2015-04-06","44.459999"
"2015-04-07","44.610001"
"2015-04-08","45.689999"
"2015-04-09","44.860001"
"2015-04-10","44.669998"
"2015-04-13","46.029999"
"2015-04-14","45.599998"
"2015-04-15","46.450001"
"2015-04-16","46.509998"
"2015-04-17","45.450001"
"2015-04-20","46.150002"
"2015-04-21","47.490002"
"2015-04-22","47.740002"
"2015-04-23","47.570000"
"2015-04-24","47.040001"
"2015-04-27","46.619999"
"2015-04-28","47.279999"
"2015-04-29","48.599998"
"2015-04-30","47.650002"
"2015-05-01","48.000000"
"2015-05-04","48.349998"
"2015-05-05","48.259998"
"2015-05-06","48.299999"
"2015-05-07","47.880001"
"2015-05-08","47.910000"
"2015-05-11","48.680000"
"2015-05-12","48.799999"
"2015-05-13","49.290001"
"2015-05-14","49.669998"
"2015-05-15","49.060001"
"2015-05-18","50.130001"
"2015-05-19","50.560001"
"2015-05-20","49.939999"
"2015-05-21","49.590000"
"2015-05-22","49.220001"
"2015-05-26","48.919998"
"2015-05-27","49.619999"
"2015-05-28","49.840000"
"2015-05-29","49.509998"
"2015-06-01","49.330002"
"2015-06-02","50.599998"
"2015-06-03","51.689999"
"2015-06-04","50.750000"
"2015-06-05","52.130001"
"2015-06-08","52.520000"
"2015-06-09","53.009998"
"2015-06-10","53.770000"
"2015-06-11","53.799999"
"2015-06-12","53.380001"
"2015-06-15","53.450001"
"2015-06-16","53.560001"
"2015-06-17","52.790001"
"2015-06-18","53.500000"
"2015-06-19","53.360001"
"2015-06-22","54.389999"
"2015-06-23","54.880001"
"2015-06-24","54.419998"
"2015-06-25","54.630001"
"2015-06-26","54.689999"
"2015-06-29","53.590000"
"2015-06-30","54.369999"
"2015-07-01","55.040001"
"2015-07-02","53.630001"
"2015-07-06","52.849998"
"2015-07-07","52.270000"
"2015-07-08","52.250000"
"2015-07-09","52.889999"
"2015-07-10","54.340000"
"2015-07-13","54.779999"
"2015-07-14","55.099998"
"2015-07-15","55.180000"
"2015-07-16","55.000000"
"2015-07-17","54.160000"
"2015-07-20","55.080002"
"2015-07-21","54.910000"
"2015-07-22","54.619999"
"2015-07-23","53.970001"
"2015-07-24","53.099998"
"2015-07-27","52.080002"
"2015-07-28","52.209999"
"2015-07-29","52.610001"
"2015-07-30","52.860001"
"2015-07-31","53.090000"
"2015-08-03","52.669998"
"2015-08-04","52.360001"
"2015-08-05","52.549999"
"2015-08-06","51.950001"
"2015-08-07","51.939999"
"2015-08-10","52.930000"
"2015-08-11","51.830002"
"2015-08-12","50.770000"
"2015-08-13","51.459999"
"2015-08-14","52.189999"
"2015-08-17","52.240002"
"2015-08-18","51.799999"
"2015-08-19","50.720001"
"2015-08-20","48.799999"
"2015-08-21","48.790001"
"2015-08-24","45.910000"
"2015-08-25","45.029999"
"2015-08-26","45.599998"
"2015-08-27","47.650002"
"2015-08-28","47.230000"
"2015-08-31","47.419998"
"2015-09-01","45.169998"
"2015-09-02","46.029999"
"2015-09-03","46.189999"
"2015-09-04","46.130001"
"2015-09-08","48.389999"
"2015-09-09","47.459999"
"2015-09-10","47.820000"
"2015-09-11","48.480000"
"2015-09-14","48.599998"
"2015-09-15","49.320000"
"2015-09-16","49.160000"
"2015-09-17","48.220001"
"2015-09-18","46.810001"
"2015-09-21","47.950001"
"2015-09-22","47.599998"
