"date, price"
"2014-12-04","37.590000"
"2014-12-05","37.090000"
"2014-12-08","37.509998"
"2014-12-09","36.570000"
"2014-12-10","35.950001"
"2014-12-11","35.790001"
"2014-12-12","33.590000"
"2014-12-15","32.400002"
"2014-12-16","32.250000"
"2014-12-17","33.000000"
"2014-12-18","33.150002"
"2014-12-19","33.480000"
"2014-12-22","34.029999"
"2014-12-23","33.520000"
"2014-12-24","34.009998"
"2014-12-26","34.070000"
"2014-12-29","33.720001"
"2014-12-30","33.529999"
"2014-12-31","32.790001"
"2015-01-02","31.660000"
"2015-01-05","30.809999"
"2015-01-06","31.260000"
"2015-01-07","32.119999"
"2015-01-08","33.119999"
"2015-01-09","33.700001"
"2015-01-12","33.160000"
"2015-01-13","31.690001"
"2015-01-14","31.530001"
"2015-01-15","34.570000"
"2015-01-16","34.139999"
"2015-01-20","35.709999"
"2015-01-21","35.009998"
"2015-01-22","35.549999"
"2015-01-23","35.450001"
"2015-01-26","36.950001"
"2015-01-27","37.020000"
"2015-01-28","28.049999"
"2015-01-29","29.090000"
"2015-01-30","27.150000"
"2015-02-02","26.799999"
"2015-02-03","26.270000"
"2015-02-04","26.160000"
"2015-02-05","26.100000"
"2015-02-06","26.180000"
"2015-02-09","25.639999"
"2015-02-10","26.490000"
"2015-02-11","25.870001"
"2015-02-12","25.980000"
"2015-02-13","26.750000"
"2015-02-17","27.430000"
"2015-02-18","28.309999"
"2015-02-19","27.430000"
"2015-02-20","27.650000"
"2015-02-23","27.580000"
"2015-02-24","27.549999"
"2015-02-25","27.049999"
"2015-02-26","27.510000"
"2015-02-27","27.430000"
"2015-03-02","28.350000"
"2015-03-03","28.610001"
"2015-03-04","28.030001"
"2015-03-05","27.200001"
"2015-03-06","26.430000"
"2015-03-09","26.290001"
"2015-03-10","26.530001"
"2015-03-11","25.370001"
"2015-03-12","25.180000"
"2015-03-13","25.040001"
"2015-03-16","25.059999"
"2015-03-17","26.209999"
"2015-03-18","26.750000"
"2015-03-19","26.940001"
"2015-03-20","26.840000"
"2015-03-23","26.150000"
"2015-03-24","23.950001"
"2015-03-25","23.799999"
"2015-03-26","23.549999"
"2015-03-27","23.709999"
"2015-03-30","23.350000"
"2015-03-31","22.590000"
"2015-04-01","23.760000"
"2015-04-02","24.440001"
"2015-04-06","24.010000"
"2015-04-07","23.900000"
"2015-04-08","24.129999"
"2015-04-09","23.510000"
"2015-04-10","23.290001"
"2015-04-13","23.840000"
"2015-04-14","24.530001"
"2015-04-15","24.709999"
"2015-04-16","25.100000"
"2015-04-17","24.559999"
"2015-04-20","24.440001"
"2015-04-21","24.200001"
"2015-04-22","24.370001"
"2015-04-23","23.500000"
"2015-04-24","23.620001"
"2015-04-27","24.400000"
"2015-04-28","24.270000"
"2015-04-29","24.080000"
"2015-04-30","24.700001"
"2015-05-01","25.440001"
"2015-05-04","25.490000"
"2015-05-05","25.170000"
"2015-05-06","24.459999"
"2015-05-07","24.330000"
"2015-05-08","24.780001"
"2015-05-11","25.730000"
"2015-05-12","25.760000"
"2015-05-13","25.750000"
"2015-05-14","25.719999"
"2015-05-15","25.700001"
"2015-05-18","25.990000"
"2015-05-19","25.530001"
"2015-05-20","25.430000"
"2015-05-21","26.240000"
"2015-05-22","26.500000"
"2015-05-26","27.000000"
"2015-05-27","26.230000"
"2015-05-28","25.620001"
"2015-05-29","25.580000"
"2015-06-01","24.920000"
"2015-06-02","24.370001"
"2015-06-03","24.740000"
"2015-06-04","24.410000"
"2015-06-05","24.360001"
"2015-06-08","24.250000"
"2015-06-09","24.059999"
"2015-06-10","24.260000"
"2015-06-11","24.309999"
"2015-06-12","24.620001"
"2015-06-15","24.150000"
"2015-06-16","24.490000"
"2015-06-17","24.510000"
"2015-06-18","24.330000"
"2015-06-19","25.570000"
"2015-06-22","25.680000"
"2015-06-23","25.750000"
"2015-06-24","25.219999"
"2015-06-25","24.879999"
"2015-06-26","23.920000"
"2015-06-29","23.389999"
"2015-06-30","22.969999"
"2015-07-01","23.389999"
"2015-07-02","23.250000"
"2015-07-06","22.750000"
"2015-07-07","23.219999"
"2015-07-08","22.450001"
"2015-07-09","22.480000"
"2015-07-10","22.590000"
"2015-07-13","22.900000"
"2015-07-14","23.170000"
"2015-07-15","22.299999"
"2015-07-16","21.920000"
"2015-07-17","21.719999"
"2015-07-20","21.049999"
"2015-07-21","20.850000"
"2015-07-22","20.530001"
"2015-07-23","19.990000"
"2015-07-24","19.559999"
"2015-07-27","19.410000"
"2015-07-28","19.820000"
"2015-07-29","20.110001"
"2015-07-30","21.920000"
"2015-07-31","21.639999"
"2015-08-03","22.030001"
"2015-08-04","22.400000"
"2015-08-05","22.410000"
"2015-08-06","22.549999"
"2015-08-07","22.559999"
"2015-08-10","22.610001"
"2015-08-11","22.059999"
"2015-08-12","22.700001"
"2015-08-13","22.770000"
"2015-08-14","22.860001"
"2015-08-17","22.969999"
"2015-08-18","22.860001"
"2015-08-19","22.139999"
"2015-08-20","21.959999"
"2015-08-21","21.900000"
"2015-08-24","20.780001"
"2015-08-25","20.230000"
"2015-08-26","20.370001"
"2015-08-27","20.770000"
"2015-08-28","20.809999"
"2015-08-31","20.980000"
"2015-09-01","19.900000"
"2015-09-02","20.420000"
"2015-09-03","20.850000"
"2015-09-04","20.540001"
"2015-09-08","20.629999"
"2015-09-09","20.650000"
"2015-09-10","20.850000"
"2015-09-11","21.070000"
"2015-09-14","21.059999"
"2015-09-15","21.290001"
"2015-09-16","21.559999"
"2015-09-17","21.530001"
"2015-09-18","20.990000"
"2015-09-21","21.120001"
"2015-09-22","20.370001"
"2015-09-23","20.570000"
"2015-09-24","20.950001"
"2015-09-25","21.030001"
"2015-09-28","20.090000"
