"date, price"
"2014-12-04","54.060001"
"2014-12-05","54.110001"
"2014-12-08","54.500000"
"2014-12-09","55.849998"
"2014-12-10","54.560001"
"2014-12-11","55.529999"
"2014-12-12","56.389999"
"2014-12-15","56.020000"
"2014-12-16","54.590000"
"2014-12-17","55.099998"
"2014-12-18","54.799999"
"2014-12-19","53.799999"
"2014-12-22","55.220001"
"2014-12-23","55.099998"
"2014-12-24","55.360001"
"2014-12-26","55.619999"
"2014-12-29","55.730000"
"2014-12-30","55.400002"
"2014-12-31","55.799999"
"2015-01-02","57.000000"
"2015-01-05","57.389999"
"2015-01-06","57.750000"
"2015-01-07","60.509998"
"2015-01-08","61.529999"
"2015-01-09","61.790001"
"2015-01-12","62.049999"
"2015-01-13","63.049999"
"2015-01-14","62.520000"
"2015-01-15","62.320000"
"2015-01-16","61.980000"
"2015-01-20","61.130001"
"2015-01-21","61.500000"
"2015-01-22","60.970001"
"2015-01-23","61.980000"
"2015-01-26","63.310001"
"2015-01-27","62.990002"
"2015-01-28","63.340000"
"2015-01-29","64.500000"
"2015-01-30","63.459999"
"2015-02-02","62.480000"
"2015-02-03","63.189999"
"2015-02-04","63.790001"
"2015-02-05","63.310001"
"2015-02-06","62.910000"
"2015-02-09","62.139999"
"2015-02-10","63.299999"
"2015-02-11","62.790001"
"2015-02-12","63.220001"
"2015-02-13","62.110001"
"2015-02-17","62.430000"
"2015-02-18","62.930000"
"2015-02-19","64.209999"
"2015-02-20","64.830002"
"2015-02-23","65.430000"
"2015-02-24","65.269997"
"2015-02-25","64.260002"
"2015-02-26","63.919998"
"2015-02-27","61.840000"
"2015-03-02","63.660000"
"2015-03-03","61.880001"
"2015-03-04","62.230000"
"2015-03-05","61.930000"
"2015-03-06","59.860001"
"2015-03-09","61.160000"
"2015-03-10","60.599998"
"2015-03-11","60.110001"
"2015-03-12","61.779999"
"2015-03-13","60.849998"
"2015-03-16","61.790001"
"2015-03-17","62.599998"
"2015-03-18","62.419998"
"2015-03-19","63.669998"
"2015-03-20","64.300003"
"2015-03-23","63.810001"
"2015-03-24","64.430000"
