"date, price"
"2014-12-04","40.349998"
"2014-12-05","40.349998"
"2014-12-08","40.520000"
"2014-12-09","40.900002"
"2014-12-10","39.549999"
"2014-12-11","39.090000"
"2014-12-12","41.480000"
"2014-12-15","39.759998"
"2014-12-16","40.650002"
"2014-12-17","44.270000"
"2014-12-18","46.650002"
"2014-12-19","48.380001"
"2014-12-22","49.270000"
"2014-12-23","45.730000"
"2014-12-24","45.169998"
"2014-12-26","44.060001"
"2014-12-29","43.599998"
"2014-12-30","44.040001"
"2014-12-31","43.880001"
"2015-01-02","46.400002"
"2015-01-05","47.500000"
"2015-01-06","47.099998"
"2015-01-07","48.650002"
"2015-01-08","51.900002"
"2015-01-09","54.060001"
"2015-01-12","55.810001"
"2015-01-13","53.320000"
"2015-01-14","53.990002"
"2015-01-15","50.770000"
"2015-01-16","53.259998"
"2015-01-20","52.919998"
"2015-01-21","50.290001"
"2015-01-22","51.869999"
"2015-01-23","52.209999"
"2015-01-26","58.209999"
"2015-01-27","57.509998"
"2015-01-28","56.110001"
"2015-01-29","58.000000"
"2015-01-30","58.099998"
"2015-02-02","56.740002"
"2015-02-03","57.580002"
"2015-02-04","55.230000"
"2015-02-05","54.990002"
"2015-02-06","53.400002"
"2015-02-09","52.509998"
"2015-02-10","53.650002"
"2015-02-11","53.009998"
"2015-02-12","53.980000"
"2015-02-13","54.099998"
"2015-02-17","54.480000"
"2015-02-18","55.450001"
"2015-02-19","55.380001"
"2015-02-20","55.570000"
"2015-02-23","55.689999"
"2015-02-24","53.590000"
"2015-02-25","55.750000"
"2015-02-26","56.419998"
"2015-02-27","54.270000"
"2015-03-02","57.389999"
"2015-03-03","55.730000"
"2015-03-04","56.770000"
"2015-03-05","59.220001"
"2015-03-06","59.250000"
"2015-03-09","57.189999"
"2015-03-10","56.619999"
"2015-03-11","56.580002"
"2015-03-12","56.830002"
"2015-03-13","57.230000"
"2015-03-16","58.939999"
"2015-03-17","62.209999"
"2015-03-18","60.919998"
"2015-03-19","62.889999"
"2015-03-20","62.060001"
"2015-03-23","59.959999"
"2015-03-24","58.369999"
"2015-03-25","56.630001"
"2015-03-26","54.169998"
"2015-03-27","56.560001"
"2015-03-30","60.950001"
"2015-03-31","62.090000"
"2015-04-01","61.389999"
"2015-04-02","62.200001"
"2015-04-06","58.799999"
"2015-04-07","58.480000"
"2015-04-08","59.950001"
"2015-04-09","60.070000"
"2015-04-10","62.139999"
"2015-04-13","62.900002"
"2015-04-14","63.049999"
"2015-04-15","64.269997"
"2015-04-16","65.000000"
"2015-04-17","62.950001"
"2015-04-20","62.590000"
"2015-04-21","64.220001"
"2015-04-22","66.959999"
"2015-04-23","68.900002"
"2015-04-24","69.650002"
"2015-04-27","63.889999"
"2015-04-28","59.500000"
"2015-04-29","59.520000"
"2015-04-30","56.430000"
"2015-05-01","59.820000"
"2015-05-04","61.669998"
"2015-05-05","62.630001"
"2015-05-06","64.500000"
"2015-05-07","61.900002"
"2015-05-08","63.000000"
"2015-05-11","67.220001"
"2015-05-12","72.269997"
"2015-05-13","73.760002"
"2015-05-14","75.500000"
"2015-05-15","79.339996"
"2015-05-18","81.410004"
"2015-05-19","83.339996"
"2015-05-20","84.519997"
"2015-05-21","84.889999"
"2015-05-22","83.129997"
"2015-05-26","82.639999"
"2015-05-27","86.739998"
"2015-05-28","88.059998"
"2015-05-29","87.000000"
"2015-06-01","86.650002"
"2015-06-02","92.559998"
"2015-06-03","91.620003"
"2015-06-04","87.029999"
"2015-06-05","89.239998"
"2015-06-08","88.769997"
"2015-06-09","89.050003"
"2015-06-10","89.620003"
"2015-06-11","87.720001"
"2015-06-12","88.269997"
"2015-06-15","88.660004"
"2015-06-16","92.110001"
"2015-06-17","95.000000"
"2015-06-18","97.849998"
"2015-06-19","100.589996"
"2015-06-22","102.970001"
"2015-06-23","103.709999"
"2015-06-24","100.300003"
"2015-06-25","99.830002"
"2015-06-26","103.160004"
"2015-06-29","98.440002"
"2015-06-30","102.389999"
"2015-07-01","103.860001"
"2015-07-02","102.709999"
"2015-07-06","102.699997"
"2015-07-07","104.379997"
"2015-07-08","99.019997"
"2015-07-09","112.650002"
"2015-07-10","116.940002"
"2015-07-13","118.970001"
"2015-07-14","126.769997"
"2015-07-15","126.199997"
"2015-07-16","124.870003"
"2015-07-17","132.800003"
"2015-07-20","134.089996"
"2015-07-21","128.199997"
"2015-07-22","131.910004"
"2015-07-23","133.380005"
"2015-07-24","131.360001"
"2015-07-27","117.059998"
"2015-07-28","120.599998"
"2015-07-29","116.440002"
"2015-07-30","115.820000"
"2015-07-31","120.930000"
"2015-08-03","117.760002"
"2015-08-04","116.449997"
"2015-08-05","120.269997"
"2015-08-06","112.470001"
"2015-08-07","109.639999"
"2015-08-10","113.889999"
"2015-08-11","111.900002"
"2015-08-12","114.919998"
"2015-08-13","112.300003"
"2015-08-14","110.510002"
"2015-08-17","114.669998"
"2015-08-18","111.610001"
"2015-08-19","116.989998"
"2015-08-20","108.110001"
"2015-08-21","102.870003"
"2015-08-24","93.510002"
"2015-08-25","99.290001"
"2015-08-26","107.400002"
"2015-08-27","108.099998"
"2015-08-28","113.430000"
"2015-08-31","111.620003"
"2015-09-01","111.080002"
"2015-09-02","121.690002"
"2015-09-03","116.250000"
"2015-09-04","116.290001"
"2015-09-08","124.830002"
"2015-09-09","121.029999"
"2015-09-10","120.580002"
"2015-09-11","121.709999"
"2015-09-14","122.830002"
"2015-09-15","123.750000"
"2015-09-16","124.709999"
"2015-09-17","131.470001"
"2015-09-18","129.910004"
"2015-09-21","111.800003"
"2015-09-22","107.629997"
"2015-09-23","106.410004"
"2015-09-24","101.680000"
"2015-09-25","94.110001"
"2015-09-28","87.889999"
"2015-09-29","86.610001"
"2015-09-30","96.309998"
"2015-10-01","98.980003"
"2015-10-02","104.690002"
"2015-10-05","100.000000"
"2015-10-06","94.120003"
"2015-10-07","95.269997"
"2015-10-08","87.870003"
"2015-10-09","90.699997"
"2015-10-12","89.889999"
"2015-10-13","82.489998"
"2015-10-14","81.129997"
"2015-10-15","84.849998"
"2015-10-16","86.809998"
"2015-10-19","88.940002"
"2015-10-20","85.739998"
"2015-10-21","87.019997"
"2015-10-22","90.720001"
"2015-10-23","96.949997"
"2015-10-26","97.279999"
"2015-10-27","101.250000"
"2015-10-28","106.199997"
"2015-10-29","100.120003"
"2015-10-30","99.349998"
"2015-11-02","109.629997"
"2015-11-03","109.660004"
"2015-11-04","108.570000"
"2015-11-05","103.040001"
"2015-11-06","103.739998"
"2015-11-09","102.330002"
"2015-11-10","97.430000"
"2015-11-11","96.339996"
"2015-11-12","94.709999"
"2015-11-13","95.699997"
"2015-11-16","96.389999"
"2015-11-17","99.940002"
"2015-11-18","103.760002"
"2015-11-19","97.709999"
"2015-11-20","93.919998"
"2015-11-23","98.750000"
"2015-11-24","94.459999"
"2015-11-25","94.930000"
"2015-11-27","100.820000"
