"date, price"
"2017-03-16","2.750000"
"2017-03-17","2.900000"
"2017-03-20","2.900000"
"2017-03-21","2.750000"
"2017-03-22","2.720000"
"2017-03-23","2.890000"
"2017-03-24","2.830000"
"2017-03-27","2.900000"
"2017-03-28","2.850000"
"2017-03-29","2.890000"
"2017-03-30","2.980000"
"2017-03-31","3.090000"
"2017-04-03","3.080000"
"2017-04-04","3.100000"
"2017-04-05","3.160000"
"2017-04-06","3.210000"
"2017-04-07","3.270000"
"2017-04-10","3.370000"
"2017-04-11","3.430000"
"2017-04-12","3.460000"
"2017-04-13","3.500000"
"2017-04-17","3.450000"
"2017-04-18","3.450000"
"2017-04-19","3.480000"
"2017-04-20","3.590000"
"2017-04-21","3.580000"
"2017-04-24","3.750000"
"2017-04-25","3.980000"
"2017-04-26","3.910000"
"2017-04-27","3.880000"
"2017-04-28","3.890000"
"2017-05-01","3.960000"
"2017-05-02","3.960000"
"2017-05-03","3.880000"
"2017-05-04","3.890000"
"2017-05-05","3.750000"
"2017-05-08","3.740000"
"2017-05-09","3.620000"
"2017-05-10","3.820000"
"2017-05-11","3.830000"
"2017-05-12","3.740000"
"2017-05-15","3.670000"
"2017-05-16","3.640000"
"2017-05-17","3.550000"
"2017-05-18","3.400000"
"2017-05-19","3.510000"
"2017-05-22","3.410000"
"2017-05-23","3.410000"
"2017-05-24","3.380000"
"2017-05-25","3.510000"
"2017-05-26","3.470000"
"2017-05-30","3.450000"
"2017-05-31","3.570000"
"2017-06-01","3.750000"
"2017-06-02","3.750000"
"2017-06-05","3.720000"
"2017-06-06","3.620000"
"2017-06-07","3.690000"
"2017-06-08","3.680000"
"2017-06-09","3.730000"
"2017-06-12","3.850000"
"2017-06-13","3.950000"
"2017-06-14","4.070000"
"2017-06-15","4.240000"
"2017-06-16","3.990000"
"2017-06-19","4.040000"
"2017-06-20","4.070000"
"2017-06-21","3.840000"
"2017-06-22","3.790000"
"2017-06-23","3.750000"
"2017-06-26","3.880000"
"2017-06-27","3.750000"
"2017-06-28","3.870000"
"2017-06-29","3.740000"
"2017-06-30","3.750000"
"2017-07-03","3.550000"
"2017-07-05","3.850000"
"2017-07-06","3.690000"
"2017-07-07","3.680000"
"2017-07-10","3.700000"
"2017-07-11","3.700000"
"2017-07-12","3.740000"
"2017-07-13","3.680000"
"2017-07-14","3.710000"
"2017-07-17","3.590000"
"2017-07-18","3.560000"
"2017-07-19","3.490000"
"2017-07-20","3.500000"
"2017-07-21","3.460000"
"2017-07-24","3.470000"
"2017-07-25","3.530000"
"2017-07-26","3.440000"
"2017-07-27","3.400000"
"2017-07-28","3.300000"
"2017-07-31","3.390000"
"2017-08-01","3.330000"
"2017-08-02","3.290000"
"2017-08-03","3.360000"
"2017-08-04","3.200000"
"2017-08-07","3.200000"
"2017-08-08","3.260000"
"2017-08-09","3.210000"
"2017-08-10","3.130000"
"2017-08-11","3.080000"
"2017-08-14","3.270000"
"2017-08-15","3.330000"
"2017-08-16","3.220000"
"2017-08-17","3.160000"
"2017-08-18","3.170000"
"2017-08-21","3.160000"
"2017-08-22","3.180000"
"2017-08-23","3.180000"
"2017-08-24","3.230000"
"2017-08-25","3.200000"
"2017-08-28","3.210000"
"2017-08-29","3.240000"
"2017-08-30","3.250000"
"2017-08-31","3.300000"
"2017-09-01","3.270000"
"2017-09-05","3.260000"
"2017-09-06","3.230000"
"2017-09-07","3.270000"
"2017-09-08","3.260000"
"2017-09-11","3.280000"
"2017-09-12","3.170000"
"2017-09-13","3.110000"
"2017-09-14","3.150000"
"2017-09-15","3.290000"
"2017-09-18","3.280000"
"2017-09-19","3.320000"
"2017-09-20","3.380000"
"2017-09-21","3.620000"
"2017-09-22","3.590000"
"2017-09-25","3.450000"
"2017-09-26","3.510000"
"2017-09-27","3.660000"
"2017-09-28","3.710000"
"2017-09-29","3.710000"
"2017-10-02","3.760000"
"2017-10-03","3.760000"
"2017-10-04","3.730000"
"2017-10-05","3.750000"
"2017-10-06","3.720000"
"2017-10-09","3.790000"
"2017-10-10","3.660000"
"2017-10-11","3.590000"
"2017-10-12","3.490000"
"2017-10-13","3.530000"
"2017-10-16","3.590000"
"2017-10-17","3.630000"
"2017-10-18","3.630000"
"2017-10-19","3.610000"
"2017-10-20","3.680000"
"2017-10-23","3.670000"
"2017-10-24","3.760000"
"2017-10-25","3.740000"
"2017-10-26","3.770000"
"2017-10-27","3.890000"
"2017-10-30","3.770000"
"2017-10-31","3.800000"
"2017-11-01","3.920000"
