"date, price"
"2014-12-04","62.549999"
"2014-12-05","62.650002"
"2014-12-08","62.840000"
"2014-12-09","63.119999"
"2014-12-10","63.049999"
"2014-12-11","63.189999"
"2014-12-12","62.509998"
"2014-12-15","61.540001"
"2014-12-16","61.560001"
"2014-12-17","63.360001"
"2014-12-18","64.430000"
"2014-12-19","63.970001"
"2014-12-22","64.910004"
"2014-12-23","64.339996"
"2014-12-24","64.300003"
"2014-12-26","64.440002"
"2014-12-29","64.830002"
"2014-12-30","64.959999"
"2014-12-31","63.779999"
"2015-01-02","64.809998"
"2015-01-05","65.540001"
"2015-01-06","66.010002"
"2015-01-07","67.720001"
"2015-01-08","67.480003"
"2015-01-09","67.339996"
"2015-01-12","68.349998"
"2015-01-13","67.980003"
"2015-01-14","69.129997"
"2015-01-15","68.059998"
"2015-01-16","69.250000"
"2015-01-20","68.150002"
"2015-01-21","67.970001"
"2015-01-22","69.470001"
"2015-01-23","68.660004"
"2015-01-26","69.820000"
"2015-01-27","69.870003"
"2015-01-28","69.709999"
"2015-01-29","69.879997"
"2015-01-30","68.559998"
"2015-02-02","68.489998"
"2015-02-03","69.529999"
"2015-02-04","68.970001"
"2015-02-05","69.300003"
"2015-02-06","67.370003"
"2015-02-09","66.769997"
"2015-02-10","66.790001"
"2015-02-11","66.650002"
"2015-02-12","67.230003"
"2015-02-13","66.769997"
"2015-02-17","66.430000"
"2015-02-18","67.269997"
"2015-02-19","65.370003"
"2015-02-20","66.099998"
"2015-02-23","66.839996"
"2015-02-24","65.559998"
"2015-02-25","65.599998"
"2015-02-26","64.750000"
"2015-02-27","65.629997"
"2015-03-02","66.220001"
"2015-03-03","65.970001"
"2015-03-04","65.279999"
"2015-03-05","65.529999"
"2015-03-06","63.570000"
"2015-03-09","63.900002"
"2015-03-10","63.889999"
"2015-03-11","64.279999"
"2015-03-12","65.129997"
"2015-03-13","65.330002"
"2015-03-16","66.360001"
"2015-03-17","66.470001"
"2015-03-18","68.070000"
"2015-03-19","67.730003"
"2015-03-20","69.900002"
"2015-03-23","69.610001"
"2015-03-24","68.620003"
"2015-03-25","67.430000"
"2015-03-26","66.870003"
"2015-03-27","67.459999"
"2015-03-30","68.639999"
"2015-03-31","68.040001"
"2015-04-01","67.709999"
"2015-04-02","68.410004"
"2015-04-06","69.180000"
"2015-04-07","67.669998"
"2015-04-08","67.730003"
"2015-04-09","66.160004"
"2015-04-10","66.349998"
"2015-04-13","65.970001"
"2015-04-14","66.199997"
"2015-04-15","65.709999"
"2015-04-16","65.940002"
"2015-04-17","65.309998"
"2015-04-20","65.139999"
"2015-04-21","65.650002"
"2015-04-22","65.639999"
"2015-04-23","65.820000"
"2015-04-24","66.000000"
"2015-04-27","66.389999"
"2015-04-28","65.970001"
"2015-04-29","64.330002"
"2015-04-30","62.779999"
"2015-05-01","63.189999"
"2015-05-04","63.820000"
"2015-05-05","62.200001"
"2015-05-06","62.419998"
"2015-05-07","63.630001"
"2015-05-08","64.959999"
"2015-05-11","64.040001"
"2015-05-12","64.430000"
"2015-05-13","63.919998"
"2015-05-14","65.430000"
"2015-05-15","65.889999"
"2015-05-18","65.389999"
"2015-05-19","65.070000"
"2015-05-20","64.809998"
"2015-05-21","64.559998"
"2015-05-22","64.800003"
"2015-05-26","64.040001"
"2015-05-27","64.690002"
"2015-05-28","64.040001"
"2015-05-29","63.139999"
"2015-06-01","64.250000"
"2015-06-02","63.500000"
"2015-06-03","62.500000"
"2015-06-04","62.240002"
"2015-06-05","61.759998"
"2015-06-08","61.639999"
"2015-06-09","61.049999"
"2015-06-10","61.590000"
"2015-06-11","61.950001"
"2015-06-12","61.630001"
"2015-06-15","61.259998"
"2015-06-16","61.430000"
"2015-06-17","61.759998"
"2015-06-18","63.009998"
"2015-06-19","62.250000"
"2015-06-22","61.610001"
"2015-06-23","61.230000"
"2015-06-24","60.520000"
"2015-06-25","59.900002"
"2015-06-26","60.259998"
"2015-06-29","59.099998"
"2015-06-30","58.980000"
"2015-07-01","60.230000"
"2015-07-02","60.509998"
"2015-07-06","61.049999"
"2015-07-07","62.599998"
"2015-07-08","62.400002"
"2015-07-09","61.910000"
"2015-07-10","62.389999"
"2015-07-13","62.310001"
"2015-07-14","62.419998"
"2015-07-15","62.500000"
"2015-07-16","62.970001"
"2015-07-17","62.490002"
"2015-07-20","62.700001"
"2015-07-21","62.490002"
"2015-07-22","62.820000"
"2015-07-23","61.980000"
"2015-07-24","62.070000"
"2015-07-27","62.169998"
"2015-07-28","62.430000"
"2015-07-29","63.349998"
"2015-07-30","63.340000"
"2015-07-31","63.970001"
"2015-08-03","64.419998"
"2015-08-04","63.930000"
"2015-08-05","63.320000"
"2015-08-06","63.250000"
"2015-08-07","63.500000"
"2015-08-10","62.709999"
"2015-08-11","63.380001"
"2015-08-12","63.610001"
"2015-08-13","63.779999"
