"date, price"
"2014-12-04","69.825638"
"2014-12-05","69.784615"
"2014-12-08","70.943588"
"2014-12-09","69.117950"
"2014-12-10","68.923080"
"2014-12-11","70.410255"
"2014-12-12","70.051285"
"2014-12-15","69.230766"
"2014-12-16","68.974358"
"2014-12-17","69.025642"
"2014-12-18","69.353844"
"2014-12-19","70.420509"
"2014-12-22","69.846153"
"2014-12-23","70.276924"
"2014-12-24","70.369232"
"2014-12-26","71.497437"
"2014-12-29","72.666664"
"2014-12-30","72.615387"
"2014-12-31","73.097435"
"2015-01-02","71.733330"
"2015-01-05","70.974358"
"2015-01-06","69.671799"
"2015-01-07","69.025642"
"2015-01-08","67.599998"
"2015-01-09","67.723076"
"2015-01-12","68.235893"
"2015-01-13","68.235893"
"2015-01-14","68.123077"
"2015-01-15","68.133331"
"2015-01-16","66.430771"
"2015-01-20","69.148720"
"2015-01-21","68.194870"
"2015-01-22","68.461540"
"2015-01-23","70.564102"
"2015-01-26","69.876923"
"2015-01-27","70.061539"
"2015-01-28","69.076920"
"2015-01-29","70.020515"
"2015-01-30","67.671799"
"2015-02-02","65.025642"
"2015-02-03","66.543587"
"2015-02-04","66.153847"
"2015-02-05","65.641029"
"2015-02-06","64.758972"
"2015-02-09","63.743591"
"2015-02-10","66.020515"
"2015-02-11","64.215385"
"2015-02-12","65.425644"
"2015-02-13","63.035896"
"2015-02-17","63.989742"
"2015-02-18","64.707695"
"2015-02-19","65.723076"
"2015-02-20","65.897438"
"2015-02-23","66.461540"
"2015-02-24","66.153847"
"2015-02-25","65.517952"
"2015-02-26","65.158974"
"2015-02-27","64.974358"
"2015-03-02","64.420509"
"2015-03-03","64.933334"
"2015-03-04","65.630768"
"2015-03-05","65.487183"
"2015-03-06","64.717949"
"2015-03-09","64.994873"
"2015-03-10","65.015388"
"2015-03-11","64.451279"
"2015-03-12","66.810257"
"2015-03-13","65.497437"
"2015-03-16","65.466667"
"2015-03-17","65.743591"
"2015-03-18","65.979485"
"2015-03-19","66.564102"
"2015-03-20","66.984612"
"2015-03-23","66.882050"
"2015-03-24","67.199997"
"2015-03-25","67.087181"
"2015-03-26","66.328201"
"2015-03-27","67.897438"
"2015-03-30","67.692307"
"2015-03-31","68.482048"
"2015-04-01","67.723076"
"2015-04-02","66.605125"
"2015-04-06","65.558975"
"2015-04-07","67.651283"
"2015-04-08","68.000000"
"2015-04-09","67.846153"
"2015-04-10","67.794868"
"2015-04-13","67.774361"
"2015-04-14","67.620514"
"2015-04-15","67.179489"
"2015-04-16","67.548721"
"2015-04-17","66.400002"
"2015-04-20","67.692307"
"2015-04-21","68.451279"
"2015-04-22","68.328201"
"2015-04-23","68.194870"
"2015-04-24","68.717949"
"2015-04-27","68.205132"
"2015-04-28","68.307693"
"2015-04-29","67.128204"
"2015-04-30","66.512817"
"2015-05-01","68.512817"
"2015-05-04","68.215385"
"2015-05-05","68.523079"
"2015-05-06","67.292305"
"2015-05-07","68.533333"
"2015-05-08","69.230766"
"2015-05-11","69.210258"
"2015-05-12","67.384613"
"2015-05-13","67.641029"
"2015-05-14","68.707695"
"2015-05-15","69.743591"
"2015-05-18","68.707695"
"2015-05-19","67.394875"
"2015-05-20","65.517952"
"2015-05-21","65.907692"
"2015-05-22","66.861542"
"2015-05-26","67.928207"
"2015-05-27","68.994873"
"2015-05-28","69.743591"
"2015-05-29","68.307693"
"2015-06-01","68.676926"
"2015-06-02","68.717949"
"2015-06-03","72.420509"
"2015-06-04","71.897438"
"2015-06-05","71.589745"
"2015-06-08","70.502563"
"2015-06-09","70.769234"
"2015-06-10","71.682053"
"2015-06-11","71.948715"
"2015-06-12","72.984612"
"2015-06-15","72.410255"
"2015-06-16","72.420509"
"2015-06-17","71.969231"
"2015-06-18","73.015388"
"2015-06-19","73.097435"
"2015-06-22","75.169228"
"2015-06-23","74.502563"
"2015-06-24","74.687180"
"2015-06-25","74.389748"
"2015-06-26","74.656410"
"2015-06-29","72.882050"
"2015-06-30","73.179489"
"2015-07-01","74.348717"
"2015-07-02","74.615387"
"2015-07-06","74.317947"
"2015-07-07","73.764107"
"2015-07-08","72.533333"
"2015-07-09","73.589745"
"2015-07-10","75.128204"
"2015-07-13","75.610252"
"2015-07-14","75.866669"
"2015-07-15","75.497437"
"2015-07-16","75.497437"
"2015-07-17","75.384613"
"2015-07-20","74.871796"
"2015-07-21","74.707695"
"2015-07-22","75.425644"
"2015-07-23","75.497437"
"2015-07-24","74.543587"
"2015-07-27","74.174362"
"2015-07-28","74.676926"
"2015-07-29","75.035896"
"2015-07-30","75.025642"
"2015-07-31","76.010254"
"2015-08-03","76.851280"
"2015-08-04","76.707695"
"2015-08-05","76.943588"
"2015-08-06","77.589745"
"2015-08-07","76.430771"
"2015-08-10","76.430771"
"2015-08-11","75.917946"
"2015-08-12","76.430771"
"2015-08-13","78.112823"
"2015-08-14","77.076920"
"2015-08-17","77.825638"
"2015-08-18","77.517952"
"2015-08-19","77.035896"
"2015-08-20","75.610252"
"2015-08-21","73.917946"
"2015-08-24","71.733330"
"2015-08-25","72.933334"
"2015-08-26","74.369232"
"2015-08-27","75.835899"
"2015-08-28","75.835899"
"2015-08-31","74.820511"
"2015-09-01","73.856407"
"2015-09-02","76.276924"
"2015-09-03","78.194870"
"2015-09-04","78.266670"
"2015-09-08","79.487183"
"2015-09-09","82.800003"
"2015-09-10","83.917946"
"2015-09-11","83.692307"
"2015-09-14","83.117950"
"2015-09-15","84.010254"
"2015-09-16","84.215385"
"2015-09-17","84.030769"
"2015-09-18","83.302567"
"2015-09-21","82.348717"
"2015-09-22","82.000000"
"2015-09-23","82.810257"
"2015-09-24","81.066666"
"2015-09-25","81.025642"
"2015-09-28","80.379486"
"2015-09-29","79.589745"
"2015-09-30","80.307693"
"2015-10-01","80.553848"
"2015-10-02","80.235893"
"2015-10-05","81.948715"
"2015-10-06","79.764107"
"2015-10-07","77.323074"
"2015-10-08","78.533333"
"2015-10-09","78.246155"
"2015-10-12","79.374359"
"2015-10-13","78.943588"
"2015-10-14","79.876923"
"2015-10-15","80.687180"
"2015-10-16","82.246155"
"2015-10-19","82.215385"
"2015-10-20","82.235893"
"2015-10-21","81.466667"
"2015-10-22","80.871796"
"2015-10-23","82.810257"
"2015-10-26","83.599998"
"2015-10-27","82.625641"
"2015-10-28","80.540001"
"2015-10-29","78.629997"
"2015-10-30","78.190002"
"2015-11-02","80.540001"
"2015-11-03","83.510002"
"2015-11-04","83.610001"
"2015-11-05","84.269997"
"2015-11-06","84.500000"
"2015-11-09","82.470001"
"2015-11-10","81.690002"
"2015-11-11","81.599998"
"2015-11-12","81.199997"
"2015-11-13","80.410004"
"2015-11-16","80.059998"
"2015-11-17","80.169998"
"2015-11-18","80.290001"
"2015-11-19","80.360001"
"2015-11-20","80.489998"
"2015-11-23","79.669998"
"2015-11-24","77.860001"
"2015-11-25","77.089996"
"2015-11-27","77.599998"
"2015-11-30","76.900002"
"2015-12-01","77.029999"
"2015-12-02","78.000000"
"2015-12-03","78.699997"
"2015-12-04","80.980003"
"2015-12-07","82.260002"
"2015-12-08","82.639999"
"2015-12-09","81.599998"
"2015-12-10","82.410004"
"2015-12-11","81.809998"
"2015-12-14","82.070000"
"2015-12-15","83.540001"
"2015-12-16","84.730003"
"2015-12-17","83.800003"
"2015-12-18","84.750000"
"2015-12-21","86.099998"
"2015-12-22","86.250000"
"2015-12-23","86.730003"
"2015-12-24","87.070000"
"2015-12-28","87.320000"
"2015-12-29","87.639999"
"2015-12-30","86.959999"
"2015-12-31","86.459999"
"2016-01-04","84.639999"
"2016-01-05","85.489998"
"2016-01-06","85.669998"
"2016-01-07","84.129997"
"2016-01-08","85.290001"
"2016-01-11","85.639999"
"2016-01-12","86.989998"
"2016-01-13","85.900002"
"2016-01-14","85.419998"
"2016-01-15","83.239998"
"2016-01-19","84.900002"
"2016-01-20","83.919998"
"2016-01-21","82.860001"
"2016-01-22","82.680000"
"2016-01-25","80.419998"
"2016-01-26","81.940002"
"2016-01-27","79.720001"
"2016-01-28","77.489998"
"2016-01-29","78.349998"
"2016-02-01","81.489998"
"2016-02-02","80.349998"
"2016-02-03","79.790001"
"2016-02-04","78.919998"
"2016-02-05","75.980003"
"2016-02-08","74.190002"
"2016-02-09","76.269997"
"2016-02-10","79.489998"
"2016-02-11","79.099998"
"2016-02-12","78.349998"
"2016-02-16","79.000000"
"2016-02-17","82.690002"
"2016-02-18","83.830002"
"2016-02-19","84.690002"
"2016-02-22","82.589996"
"2016-02-23","82.690002"
"2016-02-24","82.730003"
"2016-02-25","83.389999"
"2016-02-26","83.000000"
"2016-02-29","83.169998"
"2016-03-01","83.330002"
"2016-03-02","83.830002"
"2016-03-03","83.300003"
"2016-03-04","85.089996"
"2016-03-07","83.500000"
"2016-03-08","81.430000"
"2016-03-09","80.360001"
"2016-03-10","81.699997"
"2016-03-11","82.879997"
"2016-03-14","82.260002"
"2016-03-15","81.889999"
"2016-03-16","83.260002"
"2016-03-17","82.660004"
"2016-03-18","83.339996"
"2016-03-21","83.790001"
"2016-03-22","82.910004"
"2016-03-23","83.750000"
"2016-03-24","83.330002"
"2016-03-28","84.059998"
"2016-03-29","85.070000"
"2016-03-30","86.129997"
"2016-03-31","85.820000"
"2016-04-01","86.349998"
"2016-04-04","86.620003"
"2016-04-05","85.290001"
"2016-04-06","84.419998"
"2016-04-07","82.870003"
"2016-04-08","82.209999"
"2016-04-11","81.949997"
"2016-04-12","82.320000"
"2016-04-13","83.599998"
"2016-04-14","82.269997"
"2016-04-15","82.209999"
"2016-04-18","82.709999"
"2016-04-19","83.849998"
"2016-04-20","81.970001"
"2016-04-21","80.489998"
"2016-04-22","80.349998"
"2016-04-25","80.489998"
"2016-04-26","81.339996"
"2016-04-27","82.309998"
"2016-04-28","81.709999"
"2016-04-29","80.949997"
"2016-05-02","82.110001"
"2016-05-03","80.059998"
"2016-05-04","80.110001"
"2016-05-05","79.480003"
"2016-05-06","79.440002"
"2016-05-09","79.639999"
"2016-05-10","80.580002"
"2016-05-11","79.330002"
"2016-05-12","77.839996"
"2016-05-13","76.709999"
"2016-05-16","78.260002"
"2016-05-17","79.900002"
"2016-05-18","79.290001"
"2016-05-19","79.360001"
"2016-05-20","79.360001"
"2016-05-23","80.309998"
"2016-05-24","82.150002"
"2016-05-25","85.459999"
"2016-05-26","85.800003"
"2016-05-27","85.910004"
"2016-05-31","87.400002"
"2016-06-01","87.400002"
"2016-06-02","87.410004"
"2016-06-03","87.169998"
"2016-06-06","86.730003"
"2016-06-07","86.699997"
"2016-06-08","85.599998"
"2016-06-09","85.919998"
"2016-06-10","83.400002"
"2016-06-13","81.330002"
"2016-06-14","78.709999"
"2016-06-15","77.570000"
"2016-06-16","76.400002"
"2016-06-17","77.330002"
"2016-06-20","79.739998"
"2016-06-21","80.849998"
"2016-06-22","80.199997"
"2016-06-23","81.139999"
"2016-06-24","77.610001"
"2016-06-27","66.820000"
"2016-06-28","67.639999"
"2016-06-29","68.470001"
"2016-06-30","69.540001"
"2016-07-01","71.099998"
"2016-07-05","69.559998"
"2016-07-06","69.629997"
"2016-07-07","69.949997"
"2016-07-08","69.760002"
"2016-07-11","70.110001"
"2016-07-12","71.849998"
"2016-07-13","70.889999"
"2016-07-14","72.489998"
"2016-07-15","71.190002"
"2016-07-18","71.089996"
"2016-07-19","70.690002"
"2016-07-20","70.000000"
"2016-07-21","67.730003"
"2016-07-22","67.709999"
"2016-07-25","68.779999"
"2016-07-26","68.400002"
"2016-07-27","69.440002"
"2016-07-28","70.839996"
"2016-07-29","70.769997"
"2016-08-01","70.269997"
"2016-08-02","69.239998"
"2016-08-03","69.900002"
"2016-08-04","70.220001"
"2016-08-05","71.470001"
"2016-08-08","70.099998"
"2016-08-09","71.139999"
"2016-08-10","70.589996"
"2016-08-11","71.000000"
"2016-08-12","72.550003"
"2016-08-15","72.190002"
"2016-08-16","70.949997"
"2016-08-17","71.889999"
"2016-08-18","72.059998"
"2016-08-19","72.080002"
"2016-08-22","72.680000"
"2016-08-23","72.400002"
"2016-08-24","72.410004"
"2016-08-25","73.010002"
"2016-08-26","72.720001"
"2016-08-29","72.349998"
"2016-08-30","73.570000"
"2016-08-31","72.610001"
"2016-09-01","74.250000"
"2016-09-02","75.000000"
"2016-09-06","76.199997"
"2016-09-07","76.309998"
"2016-09-08","79.500000"
"2016-09-09","78.669998"
"2016-09-12","78.029999"
"2016-09-13","76.930000"
"2016-09-14","76.519997"
"2016-09-15","77.510002"
"2016-09-16","76.809998"
"2016-09-19","76.360001"
"2016-09-20","75.000000"
"2016-09-21","75.559998"
"2016-09-22","75.290001"
"2016-09-23","75.059998"
"2016-09-26","74.180000"
"2016-09-27","75.000000"
"2016-09-28","75.139999"
"2016-09-29","74.040001"
"2016-09-30","75.029999"
"2016-10-03","75.419998"
"2016-10-04","72.709999"
"2016-10-05","73.139999"
"2016-10-06","73.010002"
"2016-10-07","68.959999"
"2016-10-10","68.199997"
"2016-10-11","67.790001"
"2016-10-12","68.000000"
"2016-10-13","67.989998"
"2016-10-14","68.779999"
"2016-10-17","69.629997"
"2016-10-18","72.150002"
"2016-10-19","72.480003"
"2016-10-20","74.300003"
"2016-10-21","73.370003"
"2016-10-24","74.290001"
"2016-10-25","74.180000"
"2016-10-26","75.050003"
"2016-10-27","74.470001"
"2016-10-28","75.169998"
"2016-10-31","75.089996"
"2016-11-01","74.930000"
"2016-11-02","75.550003"
"2016-11-03","76.110001"
"2016-11-04","75.309998"
"2016-11-07","79.199997"
"2016-11-08","80.379997"
"2016-11-09","82.019997"
"2016-11-10","82.440002"
"2016-11-11","82.709999"
"2016-11-14","82.529999"
"2016-11-15","82.970001"
"2016-11-16","81.860001"
"2016-11-17","83.809998"
"2016-11-18","83.300003"
"2016-11-21","82.500000"
"2016-11-22","83.419998"
"2016-11-23","82.680000"
"2016-11-25","82.169998"
"2016-11-28","82.300003"
"2016-11-29","82.339996"
