"date, price"
"2015-03-26","20.700001"
"2015-03-27","21.070000"
"2015-03-30","22.070000"
"2015-03-31","21.930000"
"2015-04-01","22.240000"
"2015-04-02","23.070000"
"2015-04-06","22.480000"
"2015-04-07","23.209999"
"2015-04-08","23.719999"
"2015-04-09","24.280001"
"2015-04-10","24.129999"
"2015-04-13","24.330000"
"2015-04-14","24.510000"
"2015-04-15","24.230000"
"2015-04-16","25.450001"
"2015-04-17","24.750000"
"2015-04-20","24.615000"
"2015-04-21","23.680000"
"2015-04-22","23.809999"
"2015-04-23","24.790001"
"2015-04-24","24.889999"
"2015-04-27","25.440001"
"2015-04-28","26.600000"
"2015-04-29","25.740000"
"2015-04-30","25.000000"
"2015-05-01","26.770000"
"2015-05-04","28.610001"
"2015-05-05","27.530001"
"2015-05-06","26.080000"
"2015-05-07","26.389999"
"2015-05-08","31.100000"
"2015-05-11","33.959999"
"2015-05-12","34.139999"
"2015-05-13","32.220001"
"2015-05-14","34.209999"
"2015-05-15","37.349998"
"2015-05-18","37.230000"
"2015-05-19","35.689999"
"2015-05-20","35.849998"
"2015-05-21","35.419998"
"2015-05-22","34.220001"
"2015-05-26","35.980000"
"2015-05-27","36.689999"
"2015-05-28","37.919998"
"2015-05-29","37.439999"
"2015-06-01","40.000000"
"2015-06-02","37.450001"
"2015-06-03","38.509998"
"2015-06-04","40.810001"
"2015-06-05","39.380001"
"2015-06-08","38.669998"
"2015-06-09","38.799999"
"2015-06-10","38.349998"
"2015-06-11","38.599998"
"2015-06-12","37.099998"
"2015-06-15","37.529999"
"2015-06-16","38.910000"
"2015-06-17","39.509998"
"2015-06-18","39.200001"
"2015-06-19","42.200001"
"2015-06-22","39.509998"
"2015-06-23","39.430000"
"2015-06-24","39.560001"
"2015-06-25","39.020000"
"2015-06-26","38.180000"
"2015-06-29","35.669998"
"2015-06-30","36.349998"
"2015-07-01","36.680000"
"2015-07-02","36.090000"
"2015-07-06","32.790001"
"2015-07-07","30.719999"
"2015-07-08","27.480000"
"2015-07-09","27.910000"
"2015-07-10","31.889999"
"2015-07-13","33.439999"
"2015-07-14","32.500000"
"2015-07-15","32.080002"
"2015-07-16","31.900000"
"2015-07-17","31.350000"
"2015-07-20","32.049999"
"2015-07-21","30.180000"
"2015-07-22","29.270000"
"2015-07-23","29.110001"
"2015-07-24","29.440001"
"2015-07-27","27.990000"
"2015-07-28","30.139999"
"2015-07-29","30.799999"
"2015-07-30","31.330000"
"2015-07-31","30.870001"
"2015-08-03","31.299999"
"2015-08-04","29.719999"
"2015-08-05","30.750000"
"2015-08-06","27.400000"
"2015-08-07","28.590000"
"2015-08-10","27.830000"
"2015-08-11","28.000000"
"2015-08-12","30.299999"
"2015-08-13","27.260000"
"2015-08-14","27.280001"
"2015-08-17","27.879999"
"2015-08-18","26.879999"
"2015-08-19","25.090000"
"2015-08-20","24.600000"
"2015-08-21","22.440001"
"2015-08-24","23.200001"
"2015-08-25","24.000000"
"2015-08-26","23.889999"
"2015-08-27","25.520000"
"2015-08-28","25.410000"
"2015-08-31","25.120001"
"2015-09-01","24.860001"
"2015-09-02","25.410000"
"2015-09-03","27.120001"
"2015-09-04","26.540001"
"2015-09-08","27.049999"
"2015-09-09","26.840000"
"2015-09-10","27.950001"
"2015-09-11","28.790001"
"2015-09-14","27.559999"
"2015-09-15","28.420000"
"2015-09-16","27.870001"
"2015-09-17","27.090000"
"2015-09-18","27.600000"
"2015-09-21","25.900000"
"2015-09-22","25.190001"
"2015-09-23","24.299999"
"2015-09-24","23.889999"
"2015-09-25","24.540001"
"2015-09-28","21.570000"
"2015-09-29","22.580000"
"2015-09-30","22.920000"
"2015-10-01","21.760000"
"2015-10-02","22.700001"
"2015-10-05","24.510000"
"2015-10-06","24.370001"
"2015-10-07","24.650000"
"2015-10-08","25.110001"
"2015-10-09","24.219999"
"2015-10-12","23.799999"
"2015-10-13","22.570000"
"2015-10-14","22.129999"
"2015-10-15","23.690001"
"2015-10-16","22.450001"
"2015-10-19","22.920000"
"2015-10-20","22.450001"
"2015-10-21","21.360001"
"2015-10-22","21.580000"
"2015-10-23","20.920000"
"2015-10-26","21.629999"
"2015-10-27","19.844999"
"2015-10-28","20.530001"
"2015-10-29","20.400000"
"2015-10-30","18.490000"
"2015-11-02","18.090000"
"2015-11-03","18.830000"
"2015-11-04","17.180000"
"2015-11-05","22.010000"
"2015-11-06","20.520000"
"2015-11-09","18.540001"
"2015-11-10","17.500000"
"2015-11-11","15.460000"
"2015-11-12","16.120001"
"2015-11-13","17.010000"
"2015-11-16","17.059999"
"2015-11-17","16.120001"
"2015-11-18","16.910000"
"2015-11-19","18.389999"
"2015-11-20","18.270000"
"2015-11-23","18.709999"
"2015-11-24","18.680000"
"2015-11-25","18.940001"
"2015-11-27","19.080000"
"2015-11-30","19.629999"
"2015-12-01","19.740000"
"2015-12-02","19.980000"
"2015-12-03","18.799999"
"2015-12-04","18.879999"
"2015-12-07","18.790001"
"2015-12-08","18.629999"
"2015-12-09","19.200001"
"2015-12-10","19.559999"
"2015-12-11","19.900000"
"2015-12-14","20.969999"
"2015-12-15","21.990000"
"2015-12-16","25.750000"
"2015-12-17","26.080000"
"2015-12-18","26.950001"
"2015-12-21","27.850000"
"2015-12-22","27.680000"
"2015-12-23","27.920000"
"2015-12-24","27.950001"
"2015-12-28","27.600000"
"2015-12-29","27.530001"
"2015-12-30","28.629999"
"2015-12-31","28.170000"
"2016-01-04","28.000000"
"2016-01-05","29.490000"
"2016-01-06","29.129999"
"2016-01-07","27.660000"
"2016-01-08","26.709999"
"2016-01-11","26.120001"
"2016-01-12","25.139999"
"2016-01-13","24.250000"
"2016-01-14","24.760000"
"2016-01-15","24.959999"
"2016-01-19","24.000000"
"2016-01-20","24.190001"
"2016-01-21","25.000000"
"2016-01-22","25.719999"
"2016-01-25","25.190001"
"2016-01-26","27.059999"
"2016-01-27","27.299999"
"2016-01-28","27.850000"
"2016-01-29","28.270000"
"2016-02-01","28.570000"
"2016-02-02","26.709999"
"2016-02-03","27.440001"
"2016-02-04","29.540001"
"2016-02-05","28.600000"
"2016-02-08","27.120001"
"2016-02-09","25.750000"
"2016-02-10","23.469999"
"2016-02-11","23.600000"
"2016-02-12","26.020000"
"2016-02-16","26.580000"
"2016-02-17","26.590000"
"2016-02-18","25.840000"
"2016-02-19","25.379999"
