"date, price"
"2014-12-04","36.500000"
"2014-12-05","36.099998"
"2014-12-08","33.529999"
"2014-12-09","35.360001"
"2014-12-10","34.310001"
"2014-12-11","33.740002"
"2014-12-12","32.250000"
"2014-12-15","31.410000"
"2014-12-16","31.860001"
"2014-12-17","32.139999"
"2014-12-18","33.040001"
"2014-12-19","32.889999"
"2014-12-22","32.650002"
"2014-12-23","31.240000"
"2014-12-24","31.100000"
"2014-12-26","32.000000"
"2014-12-29","32.700001"
"2014-12-30","32.279999"
"2014-12-31","32.130001"
"2015-01-02","32.540001"
"2015-01-05","33.049999"
"2015-01-06","31.450001"
"2015-01-07","32.150002"
"2015-01-08","31.740000"
"2015-01-09","30.549999"
"2015-01-12","32.029999"
"2015-01-13","31.610001"
"2015-01-14","31.840000"
"2015-01-15","30.540001"
"2015-01-16","31.370001"
"2015-01-20","31.719999"
"2015-01-21","31.480000"
"2015-01-22","32.320000"
"2015-01-23","32.299999"
"2015-01-26","33.020000"
"2015-01-27","33.200001"
"2015-01-28","31.740000"
"2015-01-29","31.500000"
"2015-01-30","31.160000"
"2015-02-02","31.040001"
"2015-02-03","31.370001"
"2015-02-04","31.200001"
"2015-02-05","32.570000"
"2015-02-06","32.549999"
"2015-02-09","33.049999"
"2015-02-10","32.450001"
"2015-02-11","31.040001"
"2015-02-12","31.209999"
"2015-02-13","31.570000"
"2015-02-17","32.509998"
"2015-02-18","34.139999"
"2015-02-19","34.830002"
"2015-02-20","34.959999"
"2015-02-23","34.369999"
"2015-02-24","33.759998"
"2015-02-25","36.630001"
"2015-02-26","36.430000"
"2015-02-27","36.250000"
"2015-03-02","36.000000"
"2015-03-03","35.150002"
"2015-03-04","35.119999"
"2015-03-05","35.599998"
"2015-03-06","35.320000"
"2015-03-09","34.930000"
"2015-03-10","37.160000"
"2015-03-11","36.410000"
"2015-03-12","38.110001"
"2015-03-13","38.310001"
"2015-03-16","39.130001"
"2015-03-17","38.900002"
"2015-03-18","38.889999"
"2015-03-19","39.689999"
"2015-03-20","38.860001"
"2015-03-23","37.660000"
"2015-03-24","37.689999"
"2015-03-25","35.189999"
"2015-03-26","35.720001"
"2015-03-27","36.220001"
"2015-03-30","36.099998"
"2015-03-31","35.349998"
"2015-04-01","35.049999"
"2015-04-02","35.380001"
"2015-04-06","35.509998"
"2015-04-07","36.009998"
"2015-04-08","35.840000"
"2015-04-09","36.209999"
"2015-04-10","37.090000"
"2015-04-13","37.900002"
"2015-04-14","37.490002"
"2015-04-15","36.610001"
"2015-04-16","36.570000"
"2015-04-17","36.130001"
"2015-04-20","36.810001"
"2015-04-21","37.240002"
"2015-04-22","36.919998"
"2015-04-23","37.500000"
"2015-04-24","37.139999"
"2015-04-27","35.470001"
"2015-04-28","34.779999"
"2015-04-29","35.070000"
"2015-04-30","34.340000"
"2015-05-01","34.029999"
"2015-05-04","34.200001"
"2015-05-05","35.000000"
"2015-05-06","37.270000"
"2015-05-07","38.040001"
"2015-05-08","41.130001"
"2015-05-11","39.750000"
"2015-05-12","40.130001"
"2015-05-13","39.790001"
"2015-05-14","40.240002"
"2015-05-15","39.939999"
"2015-05-18","40.500000"
"2015-05-19","41.230000"
"2015-05-20","42.990002"
"2015-05-21","43.759998"
"2015-05-22","43.230000"
"2015-05-26","42.810001"
"2015-05-27","42.500000"
"2015-05-28","43.160000"
"2015-05-29","43.090000"
"2015-06-01","43.389999"
"2015-06-02","45.520000"
"2015-06-03","45.790001"
"2015-06-04","45.669998"
"2015-06-05","46.869999"
"2015-06-08","47.799999"
"2015-06-09","46.410000"
"2015-06-10","46.450001"
"2015-06-11","46.950001"
"2015-06-12","46.910000"
"2015-06-15","46.770000"
"2015-06-16","46.619999"
"2015-06-17","46.849998"
"2015-06-18","48.360001"
"2015-06-19","48.290001"
"2015-06-22","49.189999"
"2015-06-23","49.630001"
"2015-06-24","48.020000"
"2015-06-25","47.689999"
"2015-06-26","47.450001"
"2015-06-29","46.869999"
"2015-06-30","48.400002"
"2015-07-01","47.820000"
"2015-07-02","47.650002"
"2015-07-06","47.500000"
"2015-07-07","46.480000"
"2015-07-08","46.070000"
"2015-07-09","46.520000"
"2015-07-10","47.090000"
"2015-07-13","47.470001"
"2015-07-14","48.650002"
"2015-07-15","49.459999"
"2015-07-16","49.419998"
"2015-07-17","51.610001"
"2015-07-20","50.689999"
"2015-07-21","51.130001"
"2015-07-22","51.020000"
"2015-07-23","50.810001"
"2015-07-24","48.430000"
"2015-07-27","48.060001"
"2015-07-28","48.930000"
"2015-07-29","47.500000"
"2015-07-30","47.340000"
"2015-07-31","47.869999"
"2015-08-03","46.580002"
"2015-08-04","46.840000"
"2015-08-05","46.830002"
"2015-08-06","44.980000"
"2015-08-07","44.650002"
"2015-08-10","45.700001"
"2015-08-11","45.009998"
"2015-08-12","44.790001"
"2015-08-13","45.119999"
"2015-08-14","44.000000"
"2015-08-17","46.450001"
"2015-08-18","45.509998"
"2015-08-19","44.759998"
"2015-08-20","42.810001"
"2015-08-21","41.169998"
"2015-08-24","38.740002"
"2015-08-25","39.150002"
"2015-08-26","40.259998"
"2015-08-27","41.240002"
"2015-08-28","42.250000"
"2015-08-31","40.270000"
"2015-09-01","39.320000"
"2015-09-02","40.230000"
"2015-09-03","39.290001"
"2015-09-04","40.200001"
"2015-09-08","42.119999"
"2015-09-09","41.290001"
"2015-09-10","41.580002"
"2015-09-11","45.009998"
"2015-09-14","46.790001"
"2015-09-15","48.750000"
"2015-09-16","47.959999"
"2015-09-17","48.680000"
"2015-09-18","47.360001"
"2015-09-21","44.619999"
"2015-09-22","44.660000"
"2015-09-23","43.889999"
"2015-09-24","42.980000"
"2015-09-25","39.340000"
"2015-09-28","37.279999"
"2015-09-29","37.040001"
"2015-09-30","38.560001"
"2015-10-01","38.060001"
"2015-10-02","40.320000"
"2015-10-05","40.290001"
"2015-10-06","38.590000"
"2015-10-07","39.500000"
"2015-10-08","38.509998"
"2015-10-09","39.380001"
"2015-10-12","38.759998"
"2015-10-13","37.160000"
"2015-10-14","37.580002"
"2015-10-15","40.439999"
"2015-10-16","39.730000"
"2015-10-19","38.990002"
"2015-10-20","38.060001"
"2015-10-21","38.700001"
"2015-10-22","39.759998"
"2015-10-23","40.419998"
"2015-10-26","41.459999"
"2015-10-27","42.939999"
"2015-10-28","42.990002"
"2015-10-29","42.139999"
"2015-10-30","41.490002"
"2015-11-02","42.759998"
"2015-11-03","43.009998"
"2015-11-04","44.279999"
"2015-11-05","43.590000"
"2015-11-06","43.020000"
"2015-11-09","44.889999"
"2015-11-10","45.520000"
"2015-11-11","43.750000"
"2015-11-12","42.349998"
"2015-11-13","42.810001"
"2015-11-16","43.770000"
"2015-11-17","45.279999"
"2015-11-18","44.970001"
"2015-11-19","43.980000"
"2015-11-20","44.119999"
"2015-11-23","42.730000"
"2015-11-24","41.130001"
"2015-11-25","42.209999"
"2015-11-27","43.169998"
"2015-11-30","41.980000"
"2015-12-01","41.549999"
"2015-12-02","41.020000"
