"date, price"
"2014-12-04","27.160000"
"2014-12-05","27.330000"
"2014-12-08","27.280001"
"2014-12-09","27.219999"
"2014-12-10","26.870001"
"2014-12-11","26.940001"
"2014-12-12","26.400000"
"2014-12-15","26.100000"
"2014-12-16","25.969999"
"2014-12-17","26.219999"
"2014-12-18","26.500000"
"2014-12-19","26.559999"
"2014-12-22","26.670000"
"2014-12-23","26.850000"
"2014-12-24","26.930000"
"2014-12-26","27.010000"
"2014-12-29","27.370001"
"2014-12-30","27.330000"
"2014-12-31","27.170000"
"2015-01-02","26.790001"
"2015-01-05","26.389999"
"2015-01-06","25.900000"
"2015-01-07","25.990000"
"2015-01-08","26.760000"
"2015-01-09","26.480000"
"2015-01-12","26.530001"
"2015-01-13","26.680000"
"2015-01-14","26.500000"
"2015-01-15","26.370001"
"2015-01-16","26.660000"
"2015-01-20","26.600000"
"2015-01-21","26.540001"
"2015-01-22","27.020000"
"2015-01-23","26.959999"
"2015-01-26","27.020000"
"2015-01-27","26.930000"
"2015-01-28","26.670000"
"2015-01-29","26.940001"
"2015-01-30","25.820000"
"2015-02-02","26.000000"
"2015-02-03","26.650000"
"2015-02-04","26.820000"
"2015-02-05","27.670000"
"2015-02-06","27.760000"
"2015-02-09","27.510000"
"2015-02-10","27.540001"
"2015-02-11","27.600000"
"2015-02-12","27.610001"
"2015-02-13","27.360001"
"2015-02-17","27.260000"
"2015-02-18","27.320000"
"2015-02-19","27.860001"
"2015-02-20","27.719999"
"2015-02-23","27.799999"
"2015-02-24","27.879999"
"2015-02-25","27.540001"
"2015-02-26","27.629999"
"2015-02-27","27.230000"
"2015-03-02","27.450001"
"2015-03-03","27.350000"
"2015-03-04","26.860001"
"2015-03-05","26.910000"
"2015-03-06","26.389999"
"2015-03-09","26.730000"
"2015-03-10","27.420000"
"2015-03-11","27.940001"
"2015-03-12","28.940001"
"2015-03-13","28.719999"
"2015-03-16","29.209999"
"2015-03-17","29.340000"
"2015-03-18","29.730000"
"2015-03-19","29.459999"
"2015-03-20","29.650000"
"2015-03-23","29.940001"
"2015-03-24","29.570000"
"2015-03-25","28.910000"
"2015-03-26","28.889999"
"2015-03-27","28.959999"
"2015-03-30","29.190001"
"2015-03-31","29.049999"
"2015-04-01","29.230000"
"2015-04-02","29.370001"
"2015-04-06","29.270000"
"2015-04-07","28.700001"
"2015-04-08","28.790001"
"2015-04-09","28.700001"
"2015-04-10","28.500000"
"2015-04-13","28.809999"
"2015-04-14","28.719999"
"2015-04-15","28.660000"
"2015-04-16","28.860001"
"2015-04-17","27.900000"
"2015-04-20","28.400000"
