"date, price"
"2014-12-04","130.259995"
"2014-12-05","130.860001"
"2014-12-08","130.910004"
"2014-12-09","130.979996"
"2014-12-10","130.110001"
"2014-12-11","130.529999"
"2014-12-12","128.000000"
"2014-12-15","128.070007"
"2014-12-16","127.769997"
"2014-12-17","128.479996"
"2014-12-18","132.500000"
"2014-12-19","132.070007"
"2014-12-22","132.949997"
"2014-12-23","133.429993"
"2014-12-24","133.270004"
"2014-12-26","133.089996"
"2014-12-29","133.279999"
"2014-12-30","132.589996"
"2014-12-31","131.080002"
"2015-01-02","131.639999"
"2015-01-05","130.100006"
"2015-01-06","130.500000"
"2015-01-07","131.300003"
"2015-01-08","133.270004"
"2015-01-09","131.919998"
"2015-01-12","132.320007"
"2015-01-13","135.210007"
"2015-01-14","134.750000"
"2015-01-15","133.509995"
"2015-01-16","134.149994"
"2015-01-20","134.199997"
"2015-01-21","134.289993"
"2015-01-22","135.360001"
"2015-01-23","135.100006"
"2015-01-26","135.279999"
"2015-01-27","134.440002"
"2015-01-28","133.449997"
"2015-01-29","133.330002"
"2015-01-30","131.289993"
"2015-02-02","131.979996"
"2015-02-03","133.490005"
"2015-02-04","133.339996"
"2015-02-05","134.970001"
"2015-02-06","130.190002"
"2015-02-09","130.830002"
"2015-02-10","131.470001"
"2015-02-11","131.589996"
"2015-02-12","131.809998"
"2015-02-13","131.070007"
"2015-02-17","131.910004"
"2015-02-18","134.649994"
"2015-02-19","134.089996"
"2015-02-20","134.610001"
"2015-02-23","134.860001"
"2015-02-24","134.570007"
"2015-02-25","135.399994"
"2015-02-26","135.000000"
"2015-02-27","134.970001"
"2015-03-02","137.149994"
"2015-03-03","136.289993"
"2015-03-04","135.110001"
"2015-03-05","136.289993"
"2015-03-06","136.190002"
"2015-03-09","137.539993"
"2015-03-10","136.059998"
"2015-03-11","135.669998"
"2015-03-12","136.880005"
"2015-03-13","136.410004"
"2015-03-16","138.679993"
"2015-03-17","138.809998"
"2015-03-18","140.509995"
"2015-03-19","140.000000"
"2015-03-20","139.789993"
"2015-03-23","140.529999"
"2015-03-24","140.339996"
"2015-03-25","138.600006"
"2015-03-26","138.289993"
"2015-03-27","138.960007"
"2015-03-30","140.860001"
"2015-03-31","140.429993"
"2015-04-01","138.800003"
"2015-04-02","140.139999"
"2015-04-06","141.289993"
"2015-04-07","139.919998"
"2015-04-08","140.660004"
"2015-04-09","141.539993"
"2015-04-10","141.929993"
"2015-04-13","141.559998"
"2015-04-14","140.809998"
"2015-04-15","141.190002"
"2015-04-16","140.830002"
"2015-04-17","138.059998"
"2015-04-20","138.919998"
"2015-04-21","139.380005"
"2015-04-22","139.660004"
"2015-04-23","140.500000"
"2015-04-24","136.940002"
"2015-04-27","135.059998"
"2015-04-28","135.289993"
"2015-04-29","134.070007"
"2015-04-30","133.429993"
"2015-05-01","134.179993"
"2015-05-04","135.240005"
"2015-05-05","132.759995"
"2015-05-06","132.800003"
"2015-05-07","133.100006"
"2015-05-08","134.009995"
"2015-05-11","133.570007"
"2015-05-12","134.339996"
"2015-05-13","134.419998"
"2015-05-14","136.710007"
"2015-05-15","136.800003"
"2015-05-18","138.199997"
"2015-05-19","138.460007"
"2015-05-20","137.800003"
"2015-05-21","138.250000"
"2015-05-22","138.240005"
"2015-05-26","137.360001"
"2015-05-27","138.449997"
"2015-05-28","138.169998"
"2015-05-29","137.300003"
"2015-06-01","137.580002"
"2015-06-02","136.880005"
"2015-06-03","137.529999"
"2015-06-04","136.720001"
"2015-06-05","136.399994"
"2015-06-08","136.399994"
"2015-06-09","135.339996"
"2015-06-10","136.610001"
"2015-06-11","137.089996"
"2015-06-12","135.820007"
"2015-06-15","134.750000"
"2015-06-16","135.460007"
"2015-06-17","135.610001"
"2015-06-18","137.479996"
"2015-06-19","137.089996"
"2015-06-22","137.520004"
"2015-06-23","137.389999"
"2015-06-24","135.710007"
"2015-06-25","135.009995"
"2015-06-26","135.729996"
"2015-06-29","133.270004"
"2015-06-30","133.910004"
"2015-07-01","134.850006"
"2015-07-02","134.639999"
"2015-07-06","136.929993"
"2015-07-07","136.350006"
"2015-07-08","133.789993"
"2015-07-09","133.850006"
"2015-07-10","134.770004"
"2015-07-13","135.520004"
"2015-07-14","135.160004"
"2015-07-15","134.559998"
"2015-07-16","138.919998"
"2015-07-17","136.419998"
"2015-07-20","135.179993"
"2015-07-21","133.419998"
"2015-07-22","133.240005"
"2015-07-23","132.630005"
"2015-07-24","132.919998"
"2015-07-27","132.330002"
"2015-07-28","134.610001"
"2015-07-29","140.259995"
"2015-07-30","140.410004"
"2015-07-31","140.970001"
"2015-08-03","140.929993"
"2015-08-04","141.630005"
"2015-08-05","143.300003"
"2015-08-06","141.860001"
"2015-08-07","142.949997"
"2015-08-10","144.300003"
"2015-08-11","144.279999"
"2015-08-12","144.779999"
"2015-08-13","144.970001"
"2015-08-14","145.529999"
"2015-08-17","146.619995"
"2015-08-18","148.250000"
"2015-08-19","148.259995"
"2015-08-20","146.619995"
"2015-08-21","143.429993"
"2015-08-24","138.029999"
"2015-08-25","135.679993"
"2015-08-26","139.250000"
"2015-08-27","141.839996"
"2015-08-28","142.000000"
"2015-08-31","141.139999"
"2015-09-01","139.070007"
"2015-09-02","141.220001"
"2015-09-03","142.100006"
"2015-09-04","141.559998"
"2015-09-08","145.610001"
"2015-09-09","136.250000"
"2015-09-10","138.509995"
"2015-09-11","140.020004"
"2015-09-14","137.059998"
"2015-09-15","138.339996"
"2015-09-16","137.149994"
"2015-09-17","138.179993"
"2015-09-18","137.050003"
"2015-09-21","139.070007"
"2015-09-22","138.289993"
"2015-09-23","138.500000"
"2015-09-24","138.889999"
"2015-09-25","140.050003"
"2015-09-28","138.259995"
"2015-09-29","138.210007"
"2015-09-30","139.309998"
"2015-10-01","140.479996"
"2015-10-02","141.869995"
"2015-10-05","144.130005"
"2015-10-06","143.279999"
"2015-10-07","144.699997"
"2015-10-08","146.830002"
"2015-10-09","148.630005"
"2015-10-12","149.619995"
"2015-10-13","149.279999"
"2015-10-14","147.509995"
"2015-10-15","148.520004"
"2015-10-16","149.479996"
"2015-10-19","150.839996"
"2015-10-20","149.929993"
"2015-10-21","148.910004"
"2015-10-22","149.039993"
"2015-10-23","120.309998"
"2015-10-26","123.089996"
"2015-10-27","121.919998"
"2015-10-28","121.500000"
"2015-10-29","122.449997"
"2015-10-30","121.370003"
"2015-11-02","124.320000"
"2015-11-03","125.000000"
"2015-11-04","123.919998"
"2015-11-05","124.089996"
"2015-11-06","125.879997"
"2015-11-09","123.940002"
"2015-11-10","124.529999"
"2015-11-11","123.970001"
"2015-11-12","122.989998"
"2015-11-13","122.769997"
"2015-11-16","122.809998"
"2015-11-17","122.309998"
"2015-11-18","122.209999"
"2015-11-19","120.820000"
"2015-11-20","121.910004"
"2015-11-23","123.300003"
"2015-11-24","123.599998"
"2015-11-25","122.410004"
"2015-11-27","120.690002"
"2015-11-30","120.720001"
"2015-12-01","120.629997"
"2015-12-02","118.769997"
"2015-12-03","113.639999"
"2015-12-04","116.639999"
"2015-12-07","115.989998"
"2015-12-08","115.959999"
"2015-12-09","116.550003"
"2015-12-10","117.580002"
"2015-12-11","116.199997"
"2015-12-14","117.089996"
"2015-12-15","118.529999"
"2015-12-16","118.610001"
"2015-12-17","118.660004"
"2015-12-18","116.750000"
"2015-12-21","118.290001"
"2015-12-22","119.660004"
"2015-12-23","121.180000"
"2015-12-24","120.989998"
"2015-12-28","121.639999"
"2015-12-29","123.150002"
"2015-12-30","121.779999"
"2015-12-31","120.599998"
"2016-01-04","117.870003"
"2016-01-05","120.529999"
"2016-01-06","120.010002"
"2016-01-07","119.510002"
"2016-01-08","118.239998"
"2016-01-11","119.419998"
"2016-01-12","121.019997"
"2016-01-13","116.309998"
"2016-01-14","116.410004"
"2016-01-15","115.160004"
"2016-01-19","115.820000"
"2016-01-20","115.120003"
"2016-01-21","114.989998"
"2016-01-22","117.949997"
"2016-01-25","116.910004"
"2016-01-26","118.169998"
"2016-01-27","117.870003"
"2016-01-28","116.930000"
"2016-01-29","120.349998"
"2016-02-01","120.650002"
"2016-02-02","118.320000"
"2016-02-03","117.199997"
"2016-02-04","115.940002"
"2016-02-05","111.120003"
"2016-02-08","105.989998"
"2016-02-09","106.029999"
"2016-02-10","107.910004"
"2016-02-11","106.050003"
"2016-02-12","106.919998"
"2016-02-16","109.470001"
"2016-02-17","111.410004"
"2016-02-18","111.540001"
"2016-02-19","109.660004"
"2016-02-22","111.239998"
"2016-02-23","112.300003"
"2016-02-24","113.139999"
"2016-02-25","114.519997"
"2016-02-26","115.540001"
"2016-02-29","113.930000"
"2016-03-01","117.949997"
"2016-03-02","114.650002"
"2016-03-03","115.550003"
"2016-03-04","114.870003"
"2016-03-07","114.709999"
"2016-03-08","113.720001"
"2016-03-09","114.089996"
"2016-03-10","113.519997"
"2016-03-11","116.010002"
"2016-03-14","115.949997"
"2016-03-15","118.459999"
"2016-03-16","118.879997"
"2016-03-17","120.690002"
"2016-03-18","122.099998"
"2016-03-21","123.000000"
"2016-03-22","123.620003"
"2016-03-23","123.809998"
"2016-03-24","124.110001"
"2016-03-28","124.339996"
"2016-03-29","125.330002"
"2016-03-30","125.680000"
"2016-03-31","126.190002"
"2016-04-01","127.629997"
"2016-04-04","127.480003"
"2016-04-05","126.800003"
"2016-04-06","127.250000"
"2016-04-07","127.239998"
"2016-04-08","128.199997"
"2016-04-11","126.099998"
"2016-04-12","125.529999"
"2016-04-13","126.339996"
"2016-04-14","125.370003"
"2016-04-15","125.419998"
"2016-04-18","125.849998"
"2016-04-19","125.370003"
"2016-04-20","125.440002"
"2016-04-21","123.709999"
"2016-04-22","123.980003"
"2016-04-25","122.800003"
"2016-04-26","122.599998"
"2016-04-27","122.989998"
"2016-04-28","121.739998"
"2016-04-29","95.559998"
"2016-05-02","95.739998"
"2016-05-03","94.550003"
"2016-05-04","97.589996"
"2016-05-05","95.099998"
"2016-05-06","95.160004"
"2016-05-09","96.010002"
"2016-05-10","96.040001"
"2016-05-11","94.510002"
"2016-05-12","93.269997"
"2016-05-13","93.699997"
"2016-05-16","95.470001"
"2016-05-17","97.669998"
"2016-05-18","98.370003"
"2016-05-19","97.300003"
"2016-05-20","96.410004"
"2016-05-23","96.110001"
"2016-05-24","97.980003"
"2016-05-25","97.470001"
"2016-05-26","98.339996"
"2016-05-27","97.570000"
"2016-05-31","97.989998"
"2016-06-01","98.559998"
"2016-06-02","98.730003"
"2016-06-03","98.550003"
"2016-06-06","99.360001"
"2016-06-07","102.000000"
"2016-06-08","102.139999"
"2016-06-09","100.860001"
"2016-06-10","100.080002"
"2016-06-13","100.370003"
"2016-06-14","100.570000"
"2016-06-15","101.209999"
"2016-06-16","102.889999"
"2016-06-17","101.480003"
"2016-06-20","101.970001"
"2016-06-21","101.410004"
"2016-06-22","101.879997"
"2016-06-23","103.379997"
"2016-06-24","100.720001"
"2016-06-27","99.169998"
"2016-06-28","99.949997"
"2016-06-29","101.980003"
"2016-06-30","104.120003"
"2016-07-01","104.330002"
"2016-07-05","102.550003"
"2016-07-06","102.820000"
"2016-07-07","102.059998"
"2016-07-08","104.699997"
"2016-07-11","104.419998"
"2016-07-12","105.209999"
"2016-07-13","104.900002"
"2016-07-14","106.190002"
"2016-07-15","105.910004"
"2016-07-18","105.860001"
"2016-07-19","106.370003"
"2016-07-20","106.519997"
"2016-07-21","106.269997"
"2016-07-22","107.250000"
"2016-07-25","106.410004"
"2016-07-26","107.080002"
"2016-07-27","106.480003"
"2016-07-28","105.930000"
"2016-07-29","90.269997"
"2016-08-01","89.370003"
"2016-08-02","87.690002"
"2016-08-03","87.989998"
"2016-08-04","88.190002"
"2016-08-05","89.940002"
"2016-08-08","89.489998"
"2016-08-09","87.669998"
"2016-08-10","87.849998"
"2016-08-11","86.959999"
"2016-08-12","87.019997"
"2016-08-15","87.040001"
"2016-08-16","85.879997"
"2016-08-17","85.559998"
"2016-08-18","84.989998"
"2016-08-19","85.129997"
"2016-08-22","85.790001"
"2016-08-23","85.349998"
"2016-08-24","84.940002"
"2016-08-25","84.709999"
"2016-08-26","83.650002"
"2016-08-29","84.680000"
"2016-08-30","84.839996"
"2016-08-31","85.980003"
"2016-09-01","85.360001"
"2016-09-02","84.150002"
"2016-09-06","83.489998"
"2016-09-07","82.790001"
"2016-09-08","82.639999"
"2016-09-09","82.070000"
"2016-09-12","82.889999"
"2016-09-13","82.139999"
"2016-09-14","81.599998"
"2016-09-15","81.760002"
"2016-09-16","81.239998"
"2016-09-19","78.000000"
"2016-09-20","77.010002"
"2016-09-21","78.000000"
"2016-09-22","79.260002"
"2016-09-23","79.540001"
"2016-09-26","79.739998"
"2016-09-27","80.260002"
"2016-09-28","81.529999"
"2016-09-29","80.500000"
"2016-09-30","80.139999"
"2016-10-03","79.760002"
"2016-10-04","77.339996"
"2016-10-05","76.580002"
"2016-10-06","76.400002"
"2016-10-07","75.099998"
"2016-10-10","76.860001"
"2016-10-11","76.160004"
"2016-10-12","75.129997"
"2016-10-13","74.379997"
"2016-10-14","75.470001"
"2016-10-17","74.190002"
"2016-10-18","74.849998"
"2016-10-19","75.050003"
"2016-10-20","74.680000"
"2016-10-21","74.779999"
"2016-10-24","74.470001"
"2016-10-25","75.900002"
"2016-10-26","76.570000"
"2016-10-27","73.959999"
"2016-10-28","79.730003"
"2016-10-31","80.089996"
"2016-11-01","77.870003"
"2016-11-02","76.029999"
"2016-11-03","73.050003"
"2016-11-04","72.639999"
"2016-11-07","73.910004"
"2016-11-08","74.230003"
"2016-11-09","74.080002"
"2016-11-10","74.720001"
"2016-11-11","75.000000"
"2016-11-14","74.879997"
"2016-11-15","75.209999"
"2016-11-16","74.889999"
"2016-11-17","75.269997"
"2016-11-18","76.089996"
"2016-11-21","75.809998"
"2016-11-22","75.629997"
"2016-11-23","75.589996"
"2016-11-25","76.769997"
"2016-11-28","76.070000"
"2016-11-29","75.830002"
"2016-11-30","72.970001"
"2016-12-01","73.440002"
"2016-12-02","72.489998"
"2016-12-05","71.610001"
"2016-12-06","71.820000"
"2016-12-07","72.000000"
"2016-12-08","73.489998"
"2016-12-09","74.370003"
"2016-12-12","74.919998"
"2016-12-13","76.279999"
"2016-12-14","75.430000"
"2016-12-15","77.500000"
"2016-12-16","77.160004"
"2016-12-19","77.120003"
"2016-12-20","76.879997"
"2016-12-21","76.510002"
"2016-12-22","77.279999"
"2016-12-23","77.459999"
"2016-12-27","77.169998"
"2016-12-28","76.110001"
"2016-12-29","76.860001"
"2016-12-30","77.040001"
"2017-01-03","75.839996"
"2017-01-04","77.839996"
"2017-01-05","77.650002"
"2017-01-06","79.379997"
"2017-01-09","78.839996"
"2017-01-10","78.040001"
