"date, price"
"2014-12-04","22.690001"
"2014-12-05","22.680000"
"2014-12-08","22.200001"
"2014-12-09","22.510000"
"2014-12-10","21.690001"
"2014-12-11","21.309999"
"2014-12-12","20.370001"
"2014-12-15","19.760000"
"2014-12-16","19.480000"
"2014-12-17","20.080000"
"2014-12-18","19.540001"
"2014-12-19","19.760000"
"2014-12-22","19.160000"
"2014-12-23","19.340000"
"2014-12-24","19.400000"
"2014-12-26","19.379999"
"2014-12-29","19.600000"
"2014-12-30","20.090000"
"2014-12-31","19.740000"
"2015-01-02","19.900000"
"2015-01-05","18.700001"
"2015-01-06","18.160000"
"2015-01-07","18.420000"
"2015-01-08","19.059999"
"2015-01-09","18.900000"
"2015-01-12","18.170000"
"2015-01-13","17.510000"
"2015-01-14","17.250000"
"2015-01-15","17.180000"
"2015-01-16","17.350000"
"2015-01-20","17.129999"
"2015-01-21","17.299999"
"2015-01-22","17.830000"
"2015-01-23","17.020000"
"2015-01-26","17.469999"
"2015-01-27","17.670000"
"2015-01-28","17.700001"
"2015-01-29","16.930000"
"2015-01-30","17.040001"
"2015-02-02","17.139999"
"2015-02-03","18.090000"
"2015-02-04","18.010000"
"2015-02-05","19.040001"
"2015-02-06","19.010000"
"2015-02-09","19.170000"
"2015-02-10","19.110001"
"2015-02-11","19.160000"
"2015-02-12","19.820000"
"2015-02-13","20.010000"
"2015-02-17","19.719999"
"2015-02-18","19.299999"
"2015-02-19","19.240000"
"2015-02-20","19.469999"
"2015-02-23","19.480000"
"2015-02-24","19.690001"
"2015-02-25","18.900000"
"2015-02-26","18.600000"
"2015-02-27","18.219999"
"2015-03-02","18.059999"
"2015-03-03","18.110001"
"2015-03-04","18.450001"
"2015-03-05","18.760000"
"2015-03-06","18.230000"
"2015-03-09","17.879999"
"2015-03-10","17.110001"
"2015-03-11","17.610001"
"2015-03-12","18.320000"
"2015-03-13","18.280001"
"2015-03-16","18.299999"
"2015-03-17","18.629999"
"2015-03-18","20.270000"
"2015-03-19","19.770000"
"2015-03-20","20.200001"
"2015-03-23","20.400000"
"2015-03-24","20.240000"
"2015-03-25","20.340000"
"2015-03-26","20.010000"
"2015-03-27","19.500000"
"2015-03-30","20.219999"
"2015-03-31","20.100000"
"2015-04-01","19.780001"
"2015-04-02","20.430000"
"2015-04-06","20.020000"
"2015-04-07","20.320000"
"2015-04-08","20.420000"
"2015-04-09","20.700001"
"2015-04-10","20.610001"
