"date, price"
"2014-12-04","16.670000"
"2014-12-05","16.693333"
"2014-12-08","16.603333"
"2014-12-09","17.023333"
"2014-12-10","16.650000"
"2014-12-11","16.763332"
"2014-12-12","16.373333"
"2014-12-15","16.366667"
"2014-12-16","16.636667"
"2014-12-17","17.313334"
"2014-12-18","17.670000"
"2014-12-19","17.270000"
"2014-12-22","17.503332"
"2014-12-23","17.523333"
"2014-12-24","17.536667"
"2014-12-26","17.603333"
"2014-12-29","17.783333"
"2014-12-30","17.690001"
"2014-12-31","17.733334"
"2015-01-02","17.456667"
"2015-01-05","17.100000"
"2015-01-06","16.833332"
"2015-01-07","17.010000"
"2015-01-08","17.400000"
"2015-01-09","17.490000"
"2015-01-12","17.573334"
"2015-01-13","17.446667"
"2015-01-14","17.620001"
"2015-01-15","16.686666"
"2015-01-16","17.016666"
"2015-01-20","16.663334"
"2015-01-21","16.536667"
"2015-01-22","16.666668"
"2015-01-23","16.603333"
"2015-01-26","17.113333"
"2015-01-27","16.806667"
"2015-01-28","16.446667"
"2015-01-29","17.033333"
"2015-01-30","16.686666"
"2015-02-02","16.870001"
"2015-02-03","17.446667"
"2015-02-04","17.056667"
"2015-02-05","17.466667"
"2015-02-06","17.270000"
"2015-02-09","17.106667"
"2015-02-10","17.133333"
"2015-02-11","17.059999"
"2015-02-12","17.356667"
"2015-02-13","17.430000"
"2015-02-17","17.423332"
"2015-02-18","17.723333"
"2015-02-19","16.786667"
"2015-02-20","17.633333"
"2015-02-23","17.613333"
"2015-02-24","18.160000"
"2015-02-25","18.016666"
"2015-02-26","18.003332"
"2015-02-27","18.016666"
"2015-03-02","18.113333"
"2015-03-03","17.776667"
"2015-03-04","17.586666"
"2015-03-05","17.366667"
"2015-03-06","17.260000"
"2015-03-09","17.276667"
"2015-03-10","16.776667"
"2015-03-11","17.056667"
"2015-03-12","17.690001"
"2015-03-13","17.773333"
"2015-03-16","17.610001"
"2015-03-17","17.573334"
"2015-03-18","17.713333"
"2015-03-19","17.570000"
"2015-03-20","17.809999"
"2015-03-23","17.596666"
"2015-03-24","17.896667"
"2015-03-25","17.696667"
"2015-03-26","17.816668"
"2015-03-27","18.063334"
"2015-03-30","18.413334"
"2015-03-31","18.493334"
"2015-04-01","18.166668"
"2015-04-02","18.126667"
"2015-04-06","18.000000"
"2015-04-07","17.696667"
"2015-04-08","17.853333"
"2015-04-09","17.690001"
"2015-04-10","17.676666"
"2015-04-13","17.809999"
"2015-04-14","17.983334"
"2015-04-15","18.226667"
"2015-04-16","18.733334"
"2015-04-17","18.080000"
"2015-04-20","18.403334"
"2015-04-21","18.483334"
"2015-04-22","18.833332"
"2015-04-23","18.850000"
"2015-04-24","18.986668"
"2015-04-27","18.910000"
"2015-04-28","19.350000"
"2015-04-29","19.043333"
"2015-04-30","18.440001"
"2015-05-01","18.416668"
"2015-05-04","18.233334"
"2015-05-05","18.146667"
"2015-05-06","18.230000"
"2015-05-07","18.596666"
"2015-05-08","18.653334"
"2015-05-11","18.733334"
"2015-05-12","18.650000"
"2015-05-13","18.646667"
"2015-05-14","18.719999"
"2015-05-15","18.523333"
"2015-05-18","18.876667"
"2015-05-19","19.003332"
"2015-05-20","18.923332"
"2015-05-21","18.736668"
"2015-05-22","18.553333"
"2015-05-26","18.219999"
"2015-05-27","18.676666"
"2015-05-28","18.676666"
"2015-05-29","18.453333"
"2015-06-01","18.483334"
"2015-06-02","18.496668"
"2015-06-03","18.733334"
"2015-06-04","18.469999"
"2015-06-05","18.430000"
"2015-06-08","18.213333"
"2015-06-09","17.833332"
"2015-06-10","18.040001"
"2015-06-11","18.080000"
"2015-06-12","17.996668"
"2015-06-15","17.660000"
"2015-06-16","17.893333"
"2015-06-17","17.783333"
"2015-06-18","17.830000"
"2015-06-19","17.846666"
"2015-06-22","17.983334"
"2015-06-23","17.963333"
"2015-06-24","17.910000"
"2015-06-25","17.963333"
"2015-06-26","17.969999"
"2015-06-29","17.406668"
"2015-06-30","17.343332"
"2015-07-01","17.373333"
"2015-07-02","17.396667"
"2015-07-06","17.276667"
"2015-07-07","17.133333"
"2015-07-08","17.010000"
"2015-07-09","16.940001"
"2015-07-10","17.170000"
"2015-07-13","17.293333"
"2015-07-14","17.370001"
"2015-07-15","17.123333"
"2015-07-16","19.540001"
"2015-07-17","20.013332"
"2015-07-20","20.340000"
"2015-07-21","20.280001"
"2015-07-22","20.693333"
"2015-07-23","20.603333"
"2015-07-24","20.393333"
"2015-07-27","20.340000"
"2015-07-28","20.620001"
"2015-07-29","20.633333"
"2015-07-30","20.600000"
"2015-07-31","21.166668"
"2015-08-03","20.846666"
"2015-08-04","20.913334"
"2015-08-05","20.863333"
"2015-08-06","20.733334"
"2015-08-07","20.606667"
"2015-08-10","21.223333"
"2015-08-11","20.980000"
"2015-08-12","20.879999"
"2015-08-13","21.110001"
"2015-08-14","21.299999"
"2015-08-17","21.510000"
"2015-08-18","21.403334"
"2015-08-19","21.386667"
"2015-08-20","21.136667"
"2015-08-21","20.940001"
"2015-08-24","20.020000"
"2015-08-25","19.700001"
"2015-08-26","19.896667"
"2015-08-27","20.000000"
"2015-08-28","20.023333"
"2015-08-31","20.020000"
"2015-09-01","19.600000"
"2015-09-02","19.836666"
"2015-09-03","20.200001"
"2015-09-04","20.053333"
"2015-09-08","20.316668"
"2015-09-09","20.226667"
"2015-09-10","20.036667"
"2015-09-11","19.990000"
"2015-09-14","19.736668"
"2015-09-15","20.570000"
"2015-09-16","20.690001"
"2015-09-17","20.836666"
"2015-09-18","20.436666"
"2015-09-21","20.316668"
"2015-09-22","19.976667"
"2015-09-23","20.123333"
"2015-09-24","19.923332"
"2015-09-25","19.820000"
"2015-09-28","19.506666"
"2015-09-29","19.316668"
"2015-09-30","19.226667"
"2015-10-01","19.343332"
"2015-10-02","19.543333"
"2015-10-05","19.753332"
"2015-10-06","19.486668"
"2015-10-07","19.900000"
"2015-10-08","20.799999"
"2015-10-09","20.980000"
"2015-10-12","21.020000"
"2015-10-13","20.549999"
"2015-10-14","20.346666"
"2015-10-15","23.723333"
"2015-10-16","23.646667"
"2015-10-19","23.606667"
"2015-10-20","23.663334"
"2015-10-21","23.876667"
"2015-10-22","24.603333"
"2015-10-23","24.696667"
"2015-10-26","24.556667"
"2015-10-27","24.379999"
"2015-10-28","25.059999"
"2015-10-29","24.546667"
"2015-10-30","24.209999"
"2015-11-02","24.906668"
"2015-11-03","24.629999"
"2015-11-04","25.000000"
"2015-11-05","24.813334"
"2015-11-06","25.360001"
"2015-11-09","25.020000"
"2015-11-10","25.020000"
"2015-11-11","24.926666"
"2015-11-12","24.330000"
"2015-11-13","24.593332"
"2015-11-16","24.600000"
"2015-11-17","24.786667"
"2015-11-18","25.173332"
"2015-11-19","25.500000"
"2015-11-20","25.360001"
"2015-11-23","25.863333"
"2015-11-24","25.966667"
"2015-11-25","25.836666"
"2015-11-27","25.920000"
"2015-11-30","25.753332"
"2015-12-01","25.719999"
"2015-12-02","25.820000"
"2015-12-03","25.663334"
"2015-12-04","25.969999"
"2015-12-07","25.666668"
"2015-12-08","23.593332"
"2015-12-09","23.876667"
"2015-12-10","24.136667"
"2015-12-11","23.813334"
"2015-12-14","23.363333"
"2015-12-15","23.693333"
"2015-12-16","24.170000"
"2015-12-17","23.186666"
"2015-12-18","22.776667"
"2015-12-21","22.990000"
"2015-12-22","22.969999"
"2015-12-23","22.973333"
"2015-12-24","22.959999"
"2015-12-28","23.010000"
"2015-12-29","23.180000"
"2015-12-30","22.803333"
"2015-12-31","22.790001"
"2016-01-04","22.040001"
"2016-01-05","22.293333"
"2016-01-06","22.343332"
"2016-01-07","21.816668"
"2016-01-08","21.356667"
"2016-01-11","20.796667"
"2016-01-12","21.496668"
"2016-01-13","21.549999"
"2016-01-14","21.900000"
"2016-01-15","22.216667"
"2016-01-19","21.646667"
"2016-01-20","21.513332"
"2016-01-21","21.646667"
"2016-01-22","22.420000"
"2016-01-25","21.543333"
"2016-01-26","22.326668"
"2016-01-27","21.636667"
"2016-01-28","21.920000"
"2016-01-29","22.963333"
"2016-02-01","22.139999"
"2016-02-02","21.540001"
"2016-02-03","21.313334"
"2016-02-04","21.233334"
"2016-02-05","20.719999"
"2016-02-08","20.496668"
"2016-02-09","20.563334"
"2016-02-10","20.379999"
"2016-02-11","20.346666"
"2016-02-12","20.636667"
"2016-02-16","20.736668"
"2016-02-17","21.363333"
"2016-02-18","22.906668"
"2016-02-19","22.846666"
"2016-02-22","23.536667"
"2016-02-23","24.153334"
"2016-02-24","25.103333"
"2016-02-25","25.459999"
"2016-02-26","25.773333"
"2016-02-29","25.573334"
"2016-03-01","26.129999"
"2016-03-02","26.230000"
"2016-03-03","26.340000"
"2016-03-04","26.230000"
"2016-03-07","26.583332"
"2016-03-08","26.020000"
"2016-03-09","26.493334"
"2016-03-10","26.026667"
"2016-03-11","26.446667"
"2016-03-14","26.216667"
"2016-03-15","26.053333"
"2016-03-16","26.280001"
"2016-03-17","26.856667"
"2016-03-18","27.860001"
"2016-03-21","27.163334"
"2016-03-22","27.243334"
"2016-03-23","26.956667"
"2016-03-24","27.543333"
"2016-03-28","27.276667"
"2016-03-29","28.316668"
"2016-03-30","28.196667"
"2016-03-31","28.606667"
"2016-04-01","29.053333"
"2016-04-04","28.356667"
"2016-04-05","28.370001"
"2016-04-06","29.063334"
"2016-04-07","27.783333"
"2016-04-08","27.503332"
"2016-04-11","27.466667"
"2016-04-12","27.299999"
"2016-04-13","28.320000"
"2016-04-14","28.480000"
"2016-04-15","28.506666"
"2016-04-18","27.873333"
"2016-04-19","28.250000"
"2016-04-20","28.636667"
"2016-04-21","27.143333"
"2016-04-22","28.663334"
"2016-04-25","27.209999"
"2016-04-26","27.576668"
"2016-04-27","27.459999"
"2016-04-28","27.163334"
"2016-04-29","25.549999"
"2016-05-02","27.593332"
"2016-05-03","26.760000"
"2016-05-04","27.209999"
"2016-05-05","27.463333"
"2016-05-06","27.933332"
"2016-05-09","27.683332"
"2016-05-10","28.026667"
"2016-05-11","27.716667"
"2016-05-12","27.566668"
"2016-05-13","27.223333"
"2016-05-16","27.216667"
"2016-05-17","26.590000"
"2016-05-18","26.696667"
"2016-05-19","26.650000"
"2016-05-20","27.100000"
"2016-05-23","27.020000"
"2016-05-24","27.940001"
"2016-05-25","27.896667"
"2016-05-26","27.930000"
"2016-05-27","28.033333"
"2016-05-31","27.980000"
"2016-06-01","28.423332"
"2016-06-02","28.153334"
"2016-06-03","28.353333"
"2016-06-06","28.700001"
"2016-06-07","28.600000"
"2016-06-08","29.230000"
"2016-06-09","29.163334"
"2016-06-10","28.763332"
"2016-06-13","28.450001"
"2016-06-14","29.080000"
"2016-06-15","29.576668"
"2016-06-16","29.346666"
"2016-06-17","28.963333"
"2016-06-20","29.466667"
"2016-06-21","29.610001"
"2016-06-22","29.180000"
"2016-06-23","30.496668"
"2016-06-24","28.790001"
"2016-06-27","28.256666"
"2016-06-28","28.486668"
"2016-06-29","29.576668"
"2016-06-30","30.896667"
"2016-07-01","31.533333"
"2016-07-05","31.756666"
"2016-07-06","32.380001"
"2016-07-07","32.433334"
"2016-07-08","32.946667"
"2016-07-11","33.380001"
"2016-07-12","33.556667"
"2016-07-13","33.673332"
"2016-07-14","33.653332"
"2016-07-15","33.263332"
"2016-07-18","33.663334"
"2016-07-19","33.586666"
"2016-07-20","33.943333"
"2016-07-21","33.173332"
"2016-07-22","35.026669"
"2016-07-25","35.169998"
"2016-07-26","35.820000"
"2016-07-27","36.299999"
"2016-07-28","35.939999"
"2016-07-29","36.040001"
"2016-08-01","36.336666"
"2016-08-02","35.853333"
"2016-08-03","36.193333"
"2016-08-04","35.843334"
"2016-08-05","35.926666"
"2016-08-08","35.766666"
"2016-08-09","35.660000"
"2016-08-10","35.743332"
"2016-08-11","36.046665"
"2016-08-12","35.873333"
"2016-08-15","35.566666"
"2016-08-16","35.183334"
"2016-08-17","35.400002"
"2016-08-18","35.270000"
"2016-08-19","35.246666"
"2016-08-22","35.883331"
"2016-08-23","36.246666"
"2016-08-24","36.130001"
"2016-08-25","36.273335"
"2016-08-26","35.860001"
"2016-08-29","36.430000"
"2016-08-30","36.523335"
"2016-08-31","36.383331"
"2016-09-01","36.036667"
"2016-09-02","36.663334"
"2016-09-06","36.593334"
"2016-09-07","36.223331"
"2016-09-08","35.766666"
"2016-09-09","34.203335"
"2016-09-12","33.996666"
"2016-09-13","32.556667"
"2016-09-14","32.516666"
"2016-09-15","32.926666"
"2016-09-16","32.663334"
"2016-09-19","33.423332"
"2016-09-20","33.476665"
"2016-09-21","34.163334"
"2016-09-22","34.823334"
"2016-09-23","34.110001"
"2016-09-26","33.599998"
"2016-09-27","33.583332"
"2016-09-28","33.703335"
"2016-09-29","32.973331"
"2016-09-30","32.830002"
"2016-10-03","32.666668"
"2016-10-04","32.713333"
"2016-10-05","32.910000"
"2016-10-06","33.796665"
"2016-10-07","33.360001"
"2016-10-10","33.836666"
"2016-10-11","32.696667"
"2016-10-12","33.320000"
"2016-10-13","32.590000"
"2016-10-14","32.869999"
"2016-10-17","32.436668"
"2016-10-18","31.983334"
"2016-10-19","30.583332"
"2016-10-20","31.420000"
"2016-10-21","30.933332"
"2016-10-24","30.906668"
"2016-10-25","29.473333"
"2016-10-26","28.730000"
"2016-10-27","28.543333"
"2016-10-28","28.803333"
"2016-10-31","28.663334"
"2016-11-01","28.306667"
"2016-11-02","28.190001"
"2016-11-03","27.803333"
"2016-11-04","28.030001"
"2016-11-07","28.603333"
"2016-11-08","29.023333"
"2016-11-09","29.793333"
"2016-11-10","30.206667"
"2016-11-11","31.093332"
"2016-11-14","31.753332"
"2016-11-15","32.043331"
"2016-11-16","32.150002"
"2016-11-17","32.613335"
"2016-11-18","32.663334"
"2016-11-21","33.290001"
"2016-11-22","34.000000"
"2016-11-23","34.090000"
"2016-11-25","34.673332"
"2016-11-28","33.743332"
"2016-11-29","33.919998"
"2016-11-30","33.113335"
"2016-12-01","33.166668"
"2016-12-02","32.950001"
"2016-12-05","34.160000"
"2016-12-06","34.286667"
"2016-12-07","35.296665"
"2016-12-08","35.340000"
"2016-12-09","35.293331"
"2016-12-12","35.613335"
"2016-12-13","35.486668"
"2016-12-14","35.009998"
"2016-12-15","34.406666"
"2016-12-16","33.986668"
"2016-12-19","34.313332"
"2016-12-20","35.383331"
"2016-12-21","35.696667"
"2016-12-22","35.646667"
"2016-12-23","35.233334"
"2016-12-27","35.630001"
"2016-12-28","34.643333"
"2016-12-29","34.606667"
"2016-12-30","34.060001"
"2017-01-03","34.716667"
"2017-01-04","34.669998"
"2017-01-05","34.113335"
"2017-01-06","33.830002"
"2017-01-09","33.533333"
"2017-01-10","34.333332"
"2017-01-11","34.490002"
"2017-01-12","33.506668"
"2017-01-13","34.256668"
"2017-01-17","33.466667"
"2017-01-18","33.956669"
"2017-01-19","32.613335"
"2017-01-20","32.513332"
"2017-01-23","33.523335"
"2017-01-24","34.700001"
"2017-01-25","35.416668"
"2017-01-26","34.833332"
"2017-01-27","34.709999"
"2017-01-30","33.903332"
"2017-01-31","33.903332"
"2017-02-01","33.820000"
"2017-02-02","33.560001"
"2017-02-03","33.973331"
"2017-02-06","33.619999"
"2017-02-07","33.830002"
"2017-02-08","33.799999"
"2017-02-09","34.450001"
"2017-02-10","35.283333"
"2017-02-13","34.619999"
"2017-02-14","34.426666"
"2017-02-15","35.700001"
"2017-02-16","35.426666"
"2017-02-17","34.896667"
"2017-02-21","35.650002"
"2017-02-22","35.146667"
"2017-02-23","32.029999"
"2017-02-24","31.833332"
"2017-02-27","32.480000"
"2017-02-28","31.936666"
"2017-03-01","33.430000"
"2017-03-02","33.013332"
"2017-03-03","32.330002"
"2017-03-06","32.290001"
"2017-03-07","31.969999"
"2017-03-08","31.343332"
"2017-03-09","31.646667"
"2017-03-10","31.496668"
"2017-03-13","31.743334"
"2017-03-14","31.360001"
"2017-03-15","32.653332"
"2017-03-16","33.163334"
"2017-03-17","33.353333"
"2017-03-20","33.106667"
"2017-03-21","32.090000"
"2017-03-22","31.613333"
"2017-03-23","32.126667"
"2017-03-24","32.323334"
"2017-03-27","32.480000"
"2017-03-28","32.633331"
"2017-03-29","32.173332"
"2017-03-30","32.663334"
"2017-03-31","32.846668"
"2017-04-03","31.083332"
"2017-04-04","31.719999"
"2017-04-05","31.590000"
"2017-04-06","31.850000"
"2017-04-07","31.943333"
"2017-04-10","32.076668"
"2017-04-11","32.799999"
"2017-04-12","32.176666"
"2017-04-13","31.663334"
"2017-04-17","32.483334"
"2017-04-18","32.726665"
"2017-04-19","31.250000"
"2017-04-20","31.756666"
"2017-04-21","31.773333"
"2017-04-24","32.070000"
"2017-04-25","32.266666"
"2017-04-26","32.203335"
"2017-04-27","32.403332"
"2017-04-28","31.763332"
"2017-05-01","31.673332"
"2017-05-02","31.576668"
"2017-05-03","31.296667"
"2017-05-04","30.793333"
"2017-05-05","30.673332"
"2017-05-08","30.063334"
"2017-05-09","29.906668"
"2017-05-10","29.986668"
"2017-05-11","29.966667"
"2017-05-12","29.209999"
"2017-05-15","29.463333"
"2017-05-16","29.980000"
"2017-05-17","30.000000"
"2017-05-18","29.900000"
"2017-05-19","30.076668"
"2017-05-22","30.193333"
"2017-05-23","30.083332"
"2017-05-24","30.090000"
"2017-05-25","30.123333"
"2017-05-26","30.236668"
"2017-05-30","29.780001"
"2017-05-31","29.309999"
"2017-06-01","29.650000"
"2017-06-02","29.959999"
"2017-06-05","29.396667"
"2017-06-06","29.410000"
"2017-06-07","28.433332"
"2017-06-08","28.493334"
"2017-06-09","28.663334"
"2017-06-12","28.930000"
"2017-06-13","29.003332"
"2017-06-14","29.273333"
"2017-06-15","29.403334"
"2017-06-16","29.673332"
"2017-06-19","29.870001"
"2017-06-20","29.753332"
"2017-06-21","29.309999"
"2017-06-22","29.000000"
"2017-06-23","29.283333"
"2017-06-26","29.253332"
"2017-06-27","28.573334"
"2017-06-28","29.106667"
"2017-06-29","29.013332"
"2017-06-30","29.103333"
"2017-07-03","29.580000"
"2017-07-05","29.366667"
"2017-07-06","29.100000"
"2017-07-07","28.833332"
