"date, price"
"2014-12-04","54.570000"
"2014-12-05","55.849998"
"2014-12-08","55.139999"
"2014-12-09","55.840000"
"2014-12-10","53.459999"
"2014-12-11","53.750000"
"2014-12-12","53.160000"
"2014-12-15","53.450001"
"2014-12-16","54.630001"
"2014-12-17","56.099998"
"2014-12-18","56.790001"
"2014-12-19","56.820000"
"2014-12-22","56.439999"
"2014-12-23","56.900002"
"2014-12-24","57.049999"
"2014-12-26","57.599998"
"2014-12-29","58.209999"
"2014-12-30","57.759998"
"2014-12-31","56.889999"
"2015-01-02","56.090000"
"2015-01-05","54.459999"
"2015-01-06","52.240002"
"2015-01-07","52.459999"
"2015-01-08","53.240002"
"2015-01-09","51.520000"
"2015-01-12","51.400002"
"2015-01-13","51.259998"
"2015-01-14","50.560001"
"2015-01-15","49.810001"
"2015-01-16","51.240002"
"2015-01-20","50.599998"
"2015-01-21","50.430000"
"2015-01-22","53.439999"
"2015-01-23","52.470001"
"2015-01-26","52.779999"
"2015-01-27","52.029999"
"2015-01-28","48.759998"
"2015-01-29","48.599998"
"2015-01-30","48.520000"
"2015-02-02","49.590000"
"2015-02-03","50.770000"
"2015-02-04","51.110001"
"2015-02-05","52.730000"
"2015-02-06","53.099998"
"2015-02-09","52.240002"
"2015-02-10","52.310001"
"2015-02-11","51.419998"
"2015-02-12","52.790001"
"2015-02-13","52.810001"
"2015-02-17","53.160000"
"2015-02-18","52.000000"
"2015-02-19","51.240002"
"2015-02-20","52.200001"
"2015-02-23","52.459999"
"2015-02-24","52.880001"
"2015-02-25","52.830002"
"2015-02-26","52.840000"
"2015-02-27","51.540001"
"2015-03-02","51.610001"
"2015-03-03","51.549999"
"2015-03-04","51.610001"
"2015-03-05","51.840000"
"2015-03-06","51.740002"
"2015-03-09","51.889999"
"2015-03-10","50.639999"
"2015-03-11","51.130001"
"2015-03-12","52.250000"
"2015-03-13","51.869999"
"2015-03-16","51.990002"
"2015-03-17","52.119999"
"2015-03-18","51.520000"
"2015-03-19","51.830002"
"2015-03-20","51.990002"
"2015-03-23","52.049999"
"2015-03-24","52.220001"
"2015-03-25","51.450001"
"2015-03-26","51.880001"
"2015-03-27","52.130001"
"2015-03-30","53.590000"
"2015-03-31","52.889999"
"2015-04-01","52.070000"
"2015-04-02","52.500000"
"2015-04-06","51.610001"
"2015-04-07","51.820000"
"2015-04-08","52.090000"
"2015-04-09","52.330002"
"2015-04-10","52.790001"
"2015-04-13","53.410000"
"2015-04-14","52.849998"
"2015-04-15","53.740002"
"2015-04-16","53.680000"
"2015-04-17","52.779999"
"2015-04-20","53.169998"
"2015-04-21","53.020000"
"2015-04-22","53.310001"
"2015-04-23","53.250000"
"2015-04-24","52.500000"
"2015-04-27","52.430000"
"2015-04-28","50.410000"
"2015-04-29","50.840000"
"2015-04-30","49.790001"
"2015-05-01","49.930000"
"2015-05-04","50.900002"
"2015-05-05","51.990002"
"2015-05-06","52.439999"
"2015-05-07","52.200001"
"2015-05-08","52.090000"
"2015-05-11","52.139999"
"2015-05-12","52.270000"
"2015-05-13","52.380001"
"2015-05-14","52.630001"
"2015-05-15","51.700001"
"2015-05-18","52.799999"
"2015-05-19","53.150002"
"2015-05-20","52.770000"
"2015-05-21","52.410000"
"2015-05-22","51.980000"
"2015-05-26","51.450001"
"2015-05-27","52.209999"
"2015-05-28","52.310001"
"2015-05-29","51.790001"
"2015-06-01","51.830002"
"2015-06-02","53.349998"
"2015-06-03","54.709999"
"2015-06-04","54.230000"
"2015-06-05","55.860001"
"2015-06-08","55.810001"
"2015-06-09","56.549999"
"2015-06-10","57.770000"
"2015-06-11","57.240002"
"2015-06-12","57.349998"
"2015-06-15","57.480000"
"2015-06-16","57.889999"
"2015-06-17","56.389999"
"2015-06-18","57.209999"
"2015-06-19","57.639999"
"2015-06-22","58.119999"
"2015-06-23","57.830002"
"2015-06-24","57.540001"
"2015-06-25","57.709999"
"2015-06-26","58.049999"
"2015-06-29","56.680000"
"2015-06-30","57.020000"
"2015-07-01","57.779999"
"2015-07-02","56.439999"
"2015-07-06","56.810001"
"2015-07-07","55.520000"
"2015-07-08","54.939999"
"2015-07-09","56.029999"
"2015-07-10","56.919998"
"2015-07-13","57.230000"
"2015-07-14","57.060001"
