"date, price"
"2014-12-04","62.419998"
"2014-12-05","63.259998"
"2014-12-08","63.400002"
"2014-12-09","63.299999"
"2014-12-10","63.000000"
"2014-12-11","62.889999"
"2014-12-12","62.389999"
"2014-12-15","62.580002"
"2014-12-16","62.770000"
"2014-12-17","63.750000"
"2014-12-18","64.849998"
"2014-12-19","64.699997"
"2014-12-22","65.150002"
"2014-12-23","64.919998"
"2014-12-24","64.879997"
"2014-12-26","64.760002"
"2014-12-29","64.709999"
"2014-12-30","64.820000"
"2014-12-31","64.050003"
"2015-01-02","63.970001"
"2015-01-05","63.139999"
"2015-01-06","62.919998"
"2015-01-07","62.959999"
"2015-01-08","63.590000"
"2015-01-09","63.090000"
"2015-01-12","62.970001"
"2015-01-13","63.430000"
"2015-01-14","62.970001"
"2015-01-15","62.700001"
"2015-01-16","62.900002"
"2015-01-20","63.200001"
"2015-01-21","63.430000"
"2015-01-22","64.260002"
"2015-01-23","65.110001"
"2015-01-26","64.910004"
"2015-01-27","64.300003"
"2015-01-28","64.010002"
"2015-01-29","64.260002"
"2015-01-30","64.349998"
"2015-02-02","64.870003"
"2015-02-03","65.739998"
"2015-02-04","65.750000"
"2015-02-05","66.769997"
"2015-02-06","65.959999"
"2015-02-09","65.970001"
"2015-02-10","66.080002"
"2015-02-11","66.459999"
"2015-02-12","67.440002"
"2015-02-13","67.900002"
"2015-02-17","67.559998"
"2015-02-18","67.690002"
"2015-02-19","67.510002"
"2015-02-20","67.800003"
"2015-02-23","67.800003"
"2015-02-24","67.910004"
"2015-02-25","72.180000"
"2015-02-26","72.269997"
"2015-02-27","71.809998"
"2015-03-02","71.870003"
"2015-03-03","71.599998"
"2015-03-04","70.690002"
"2015-03-05","71.089996"
"2015-03-06","70.660004"
"2015-03-09","71.360001"
"2015-03-10","68.540001"
"2015-03-11","69.779999"
"2015-03-12","71.000000"
"2015-03-13","71.230003"
"2015-03-16","71.639999"
"2015-03-17","71.709999"
"2015-03-18","71.750000"
"2015-03-19","71.550003"
"2015-03-20","71.500000"
"2015-03-23","71.110001"
"2015-03-24","70.639999"
"2015-03-25","69.760002"
"2015-03-26","69.839996"
"2015-03-27","70.480003"
"2015-03-30","71.160004"
"2015-03-31","71.400002"
"2015-04-01","71.529999"
"2015-04-02","72.269997"
"2015-04-06","72.059998"
"2015-04-07","71.720001"
"2015-04-08","72.400002"
"2015-04-09","72.870003"
"2015-04-10","72.860001"
"2015-04-13","72.540001"
"2015-04-14","72.750000"
"2015-04-15","72.650002"
"2015-04-16","72.669998"
"2015-04-17","71.839996"
"2015-04-20","72.379997"
"2015-04-21","72.610001"
"2015-04-22","72.290001"
"2015-04-23","72.480003"
"2015-04-24","72.680000"
"2015-04-27","72.940002"
"2015-04-28","72.639999"
"2015-04-29","76.849998"
"2015-04-30","75.040001"
"2015-05-01","75.709999"
"2015-05-04","76.389999"
"2015-05-05","74.510002"
"2015-05-06","72.489998"
"2015-05-07","72.099998"
"2015-05-08","73.660004"
"2015-05-11","73.769997"
"2015-05-12","73.750000"
"2015-05-13","73.220001"
"2015-05-14","73.449997"
"2015-05-15","73.739998"
"2015-05-18","73.360001"
"2015-05-19","73.400002"
"2015-05-20","73.129997"
"2015-05-21","73.410004"
"2015-05-22","73.440002"
"2015-05-26","72.449997"
"2015-05-27","73.400002"
"2015-05-28","73.160004"
"2015-05-29","72.580002"
"2015-06-01","73.570000"
"2015-06-02","72.849998"
"2015-06-03","74.180000"
"2015-06-04","73.739998"
"2015-06-05","74.040001"
"2015-06-08","73.199997"
"2015-06-09","73.699997"
"2015-06-10","74.040001"
"2015-06-11","74.529999"
"2015-06-12","74.250000"
"2015-06-15","73.900002"
"2015-06-16","74.129997"
"2015-06-17","74.800003"
"2015-06-18","75.330002"
"2015-06-19","75.250000"
"2015-06-22","75.290001"
"2015-06-23","74.959999"
"2015-06-24","74.089996"
"2015-06-25","74.660004"
"2015-06-26","74.510002"
"2015-06-29","72.680000"
"2015-06-30","72.760002"
"2015-07-01","72.949997"
"2015-07-02","73.059998"
"2015-07-06","73.760002"
"2015-07-07","73.419998"
"2015-07-08","71.989998"
"2015-07-09","72.400002"
"2015-07-10","73.239998"
"2015-07-13","74.209999"
"2015-07-14","74.610001"
"2015-07-15","75.019997"
"2015-07-16","75.620003"
"2015-07-17","75.389999"
"2015-07-20","75.540001"
"2015-07-21","73.800003"
"2015-07-22","74.410004"
"2015-07-23","74.139999"
"2015-07-24","74.449997"
"2015-07-27","72.930000"
"2015-07-28","73.239998"
"2015-07-29","78.599998"
"2015-07-30","78.570000"
"2015-07-31","78.110001"
"2015-08-03","77.800003"
"2015-08-04","77.610001"
"2015-08-05","77.989998"
"2015-08-06","76.599998"
"2015-08-07","77.660004"
"2015-08-10","77.839996"
"2015-08-11","77.000000"
"2015-08-12","76.750000"
"2015-08-13","76.879997"
"2015-08-14","76.800003"
"2015-08-17","76.720001"
"2015-08-18","77.230003"
"2015-08-19","77.650002"
"2015-08-20","75.360001"
"2015-08-21","73.919998"
"2015-08-24","71.580002"
"2015-08-25","70.769997"
"2015-08-26","72.650002"
"2015-08-27","74.250000"
"2015-08-28","73.940002"
"2015-08-31","73.080002"
"2015-09-01","71.580002"
"2015-09-02","73.660004"
"2015-09-03","73.820000"
"2015-09-04","72.809998"
"2015-09-08","74.779999"
"2015-09-09","73.470001"
"2015-09-10","73.760002"
"2015-09-11","73.870003"
"2015-09-14","73.169998"
"2015-09-15","73.820000"
"2015-09-16","73.779999"
"2015-09-17","73.570000"
"2015-09-18","73.000000"
"2015-09-21","74.309998"
"2015-09-22","73.790001"
"2015-09-23","74.260002"
"2015-09-24","73.529999"
"2015-09-25","73.779999"
"2015-09-28","71.720001"
"2015-09-29","72.250000"
"2015-09-30","73.910004"
"2015-10-01","78.160004"
"2015-10-02","79.879997"
"2015-10-05","81.279999"
"2015-10-06","80.820000"
"2015-10-07","80.940002"
"2015-10-08","81.410004"
"2015-10-09","81.129997"
"2015-10-12","81.459999"
"2015-10-13","80.589996"
"2015-10-14","79.029999"
"2015-10-15","79.470001"
"2015-10-16","79.529999"
"2015-10-19","79.610001"
"2015-10-20","79.830002"
"2015-10-21","79.199997"
"2015-10-22","79.949997"
"2015-10-23","81.150002"
"2015-10-26","81.500000"
"2015-10-27","80.330002"
"2015-10-28","72.660004"
"2015-10-29","70.260002"
"2015-10-30","71.610001"
"2015-11-02","70.309998"
"2015-11-03","69.879997"
"2015-11-04","69.430000"
"2015-11-05","69.029999"
"2015-11-06","70.120003"
"2015-11-09","70.120003"
"2015-11-10","71.029999"
"2015-11-11","70.860001"
"2015-11-12","71.930000"
"2015-11-13","71.660004"
"2015-11-16","72.720001"
"2015-11-17","71.580002"
"2015-11-18","73.330002"
"2015-11-19","73.269997"
"2015-11-20","73.779999"
"2015-11-23","73.639999"
"2015-11-24","73.660004"
"2015-11-25","74.459999"
"2015-11-27","74.879997"
"2015-11-30","74.949997"
"2015-12-01","76.099998"
"2015-12-02","74.970001"
"2015-12-03","74.150002"
"2015-12-04","75.320000"
"2015-12-07","75.790001"
"2015-12-08","76.599998"
"2015-12-09","76.470001"
"2015-12-10","76.269997"
"2015-12-11","75.050003"
"2015-12-14","76.129997"
"2015-12-15","77.190002"
"2015-12-16","78.820000"
"2015-12-17","76.910004"
"2015-12-18","75.099998"
"2015-12-21","75.970001"
"2015-12-22","76.279999"
"2015-12-23","77.000000"
"2015-12-24","76.959999"
"2015-12-28","77.169998"
"2015-12-29","77.769997"
"2015-12-30","77.510002"
"2015-12-31","76.879997"
"2016-01-04","75.300003"
"2016-01-05","75.029999"
"2016-01-06","74.639999"
"2016-01-07","73.040001"
"2016-01-08","73.370003"
"2016-01-11","74.040001"
"2016-01-12","74.529999"
"2016-01-13","71.889999"
"2016-01-14","72.349998"
"2016-01-15","72.059998"
"2016-01-19","71.529999"
"2016-01-20","70.970001"
"2016-01-21","70.440002"
"2016-01-22","71.139999"
"2016-01-25","69.949997"
"2016-01-26","71.199997"
"2016-01-27","70.839996"
"2016-01-28","71.209999"
"2016-01-29","73.000000"
"2016-02-01","72.110001"
"2016-02-02","70.720001"
"2016-02-03","68.870003"
"2016-02-04","68.930000"
"2016-02-05","67.930000"
"2016-02-08","65.949997"
"2016-02-09","67.769997"
"2016-02-10","66.889999"
"2016-02-11","66.349998"
"2016-02-12","68.059998"
"2016-02-16","68.220001"
"2016-02-17","68.389999"
"2016-02-18","68.449997"
"2016-02-19","67.949997"
"2016-02-22","68.480003"
"2016-02-23","68.010002"
"2016-02-24","71.650002"
"2016-02-25","73.900002"
"2016-02-26","74.029999"
"2016-02-29","72.839996"
"2016-03-01","74.339996"
"2016-03-02","74.660004"
"2016-03-03","76.150002"
"2016-03-04","76.699997"
"2016-03-07","76.139999"
"2016-03-08","75.650002"
"2016-03-09","76.480003"
"2016-03-10","75.739998"
"2016-03-11","76.300003"
"2016-03-14","76.589996"
"2016-03-15","76.459999"
"2016-03-16","76.910004"
"2016-03-17","77.190002"
"2016-03-18","77.480003"
"2016-03-21","78.000000"
"2016-03-22","77.870003"
"2016-03-23","77.519997"
"2016-03-24","77.610001"
"2016-03-28","77.760002"
"2016-03-29","78.629997"
"2016-03-30","78.730003"
"2016-03-31","79.919998"
"2016-04-01","80.190002"
"2016-04-04","79.449997"
"2016-04-05","78.709999"
"2016-04-06","79.750000"
"2016-04-07","78.269997"
"2016-04-08","77.580002"
"2016-04-11","76.839996"
"2016-04-12","77.739998"
"2016-04-13","78.570000"
"2016-04-14","77.860001"
"2016-04-15","78.150002"
"2016-04-18","78.610001"
"2016-04-19","78.599998"
"2016-04-20","78.589996"
"2016-04-21","78.059998"
"2016-04-22","78.190002"
"2016-04-25","78.430000"
"2016-04-26","78.790001"
"2016-04-27","78.699997"
"2016-04-28","78.680000"
"2016-04-29","77.580002"
"2016-05-02","77.779999"
"2016-05-03","77.129997"
"2016-05-04","77.489998"
"2016-05-05","77.230003"
"2016-05-06","77.849998"
"2016-05-09","77.769997"
"2016-05-10","78.760002"
"2016-05-11","77.459999"
"2016-05-12","77.809998"
"2016-05-13","77.080002"
"2016-05-16","77.900002"
"2016-05-17","76.860001"
"2016-05-18","76.660004"
"2016-05-19","76.339996"
"2016-05-20","77.040001"
"2016-05-23","76.989998"
"2016-05-24","78.790001"
"2016-05-25","79.180000"
"2016-05-26","78.980003"
"2016-05-27","79.260002"
"2016-05-31","79.389999"
"2016-06-01","79.440002"
"2016-06-02","79.980003"
"2016-06-03","79.779999"
"2016-06-06","79.900002"
"2016-06-07","79.620003"
"2016-06-08","79.919998"
"2016-06-09","79.580002"
"2016-06-10","78.760002"
"2016-06-13","79.099998"
"2016-06-14","78.860001"
"2016-06-15","78.389999"
"2016-06-16","78.419998"
"2016-06-17","77.800003"
"2016-06-20","78.919998"
"2016-06-21","80.160004"
"2016-06-22","78.959999"
"2016-06-23","80.129997"
"2016-06-24","77.959999"
"2016-06-27","76.000000"
"2016-06-28","77.470001"
"2016-06-29","79.160004"
"2016-06-30","81.080002"
"2016-07-01","80.930000"
"2016-07-05","81.620003"
"2016-07-06","81.660004"
"2016-07-07","81.849998"
"2016-07-08","83.400002"
"2016-07-11","84.019997"
"2016-07-12","84.480003"
"2016-07-13","84.709999"
"2016-07-14","85.599998"
"2016-07-15","85.239998"
"2016-07-18","85.059998"
"2016-07-19","85.540001"
"2016-07-20","85.400002"
"2016-07-21","84.800003"
"2016-07-22","85.750000"
"2016-07-25","85.519997"
"2016-07-26","85.360001"
"2016-07-27","85.169998"
"2016-07-28","85.540001"
"2016-07-29","85.279999"
"2016-08-01","84.860001"
"2016-08-02","83.720001"
"2016-08-03","79.430000"
"2016-08-04","81.129997"
"2016-08-05","82.169998"
"2016-08-08","81.510002"
"2016-08-09","81.730003"
"2016-08-10","81.449997"
"2016-08-11","81.570000"
"2016-08-12","81.419998"
"2016-08-15","81.629997"
"2016-08-16","81.589996"
"2016-08-17","81.760002"
"2016-08-18","81.690002"
"2016-08-19","81.949997"
"2016-08-22","82.269997"
"2016-08-23","82.290001"
"2016-08-24","82.110001"
"2016-08-25","83.000000"
"2016-08-26","83.139999"
"2016-08-29","83.099998"
"2016-08-30","83.000000"
"2016-08-31","83.050003"
"2016-09-01","83.300003"
"2016-09-02","83.839996"
"2016-09-06","84.059998"
"2016-09-07","83.620003"
"2016-09-08","82.820000"
"2016-09-09","81.959999"
"2016-09-12","82.750000"
"2016-09-13","81.809998"
"2016-09-14","81.139999"
"2016-09-15","81.489998"
"2016-09-16","80.639999"
"2016-09-19","80.720001"
"2016-09-20","80.570000"
"2016-09-21","80.860001"
"2016-09-22","81.050003"
"2016-09-23","81.320000"
"2016-09-26","81.120003"
"2016-09-27","81.389999"
"2016-09-28","81.870003"
"2016-09-29","81.050003"
"2016-09-30","81.279999"
"2016-10-03","81.230003"
"2016-10-04","80.650002"
"2016-10-05","80.300003"
"2016-10-06","79.750000"
"2016-10-07","79.610001"
"2016-10-10","80.099998"
"2016-10-11","79.400002"
"2016-10-12","79.519997"
"2016-10-13","79.360001"
"2016-10-14","79.370003"
"2016-10-17","79.470001"
