"date, price"
"2015-06-12","30.590000"
"2015-06-15","30.549999"
"2015-06-16","29.680000"
"2015-06-17","28.280001"
"2015-06-18","28.650000"
"2015-06-19","29.340000"
"2015-06-22","28.559999"
"2015-06-23","28.750000"
"2015-06-24","28.330000"
"2015-06-25","27.959999"
"2015-06-26","28.250000"
"2015-06-29","27.500000"
"2015-06-30","28.400000"
"2015-07-01","27.990000"
"2015-07-02","28.520000"
"2015-07-06","27.700001"
"2015-07-07","28.450001"
"2015-07-08","29.780001"
"2015-07-09","32.959999"
"2015-07-10","34.380001"
"2015-07-13","32.919998"
"2015-07-14","30.959999"
"2015-07-15","28.950001"
"2015-07-16","31.690001"
"2015-07-17","30.670000"
"2015-07-20","30.969999"
"2015-07-21","32.029999"
"2015-07-22","31.270000"
"2015-07-23","31.540001"
"2015-07-24","31.260000"
"2015-07-27","30.709999"
"2015-07-28","32.634998"
"2015-07-29","34.430000"
"2015-07-30","34.169998"
"2015-07-31","34.279999"
"2015-08-03","35.240002"
"2015-08-04","32.910000"
"2015-08-05","31.260000"
"2015-08-06","31.450001"
"2015-08-07","31.490000"
"2015-08-10","31.570000"
"2015-08-11","31.530001"
"2015-08-12","31.580000"
"2015-08-13","30.430000"
"2015-08-14","29.870001"
"2015-08-17","30.120001"
"2015-08-18","30.100000"
"2015-08-19","29.059999"
"2015-08-20","27.990000"
"2015-08-21","27.719999"
"2015-08-24","26.780001"
"2015-08-25","26.000000"
"2015-08-26","26.879999"
"2015-08-27","27.660000"
"2015-08-28","28.330000"
"2015-08-31","27.360001"
"2015-09-01","26.780001"
"2015-09-02","27.370001"
"2015-09-03","26.820000"
"2015-09-04","27.350000"
"2015-09-08","27.820000"
"2015-09-09","27.340000"
"2015-09-10","27.540001"
"2015-09-11","28.490000"
"2015-09-14","27.629999"
"2015-09-15","27.490000"
"2015-09-16","27.250000"
"2015-09-17","26.639999"
"2015-09-18","25.690001"
"2015-09-21","25.650000"
"2015-09-22","25.610001"
"2015-09-23","25.770000"
"2015-09-24","25.490000"
"2015-09-25","25.469999"
"2015-09-28","24.389999"
"2015-09-29","23.750000"
"2015-09-30","23.980000"
"2015-10-01","23.990000"
"2015-10-02","24.389999"
"2015-10-05","26.160000"
"2015-10-06","26.389999"
"2015-10-07","27.379999"
"2015-10-08","28.500000"
"2015-10-09","28.700001"
"2015-10-12","28.129999"
"2015-10-13","27.490000"
"2015-10-14","26.790001"
"2015-10-15","26.850000"
"2015-10-16","27.299999"
"2015-10-19","27.200001"
"2015-10-20","26.270000"
"2015-10-21","25.420000"
"2015-10-22","25.490000"
"2015-10-23","25.709999"
