"date, price"
"2014-12-04","44.639999"
"2014-12-05","45.220001"
"2014-12-08","45.299999"
"2014-12-09","45.939999"
"2014-12-10","44.459999"
"2014-12-11","45.049999"
"2014-12-12","44.459999"
"2014-12-15","43.799999"
"2014-12-16","44.209999"
"2014-12-17","45.330002"
"2014-12-18","46.049999"
"2014-12-19","46.000000"
"2014-12-22","46.400002"
"2014-12-23","46.680000"
"2014-12-24","46.590000"
"2014-12-26","46.830002"
"2014-12-29","47.130001"
"2014-12-30","47.290001"
"2014-12-31","46.759998"
"2015-01-02","46.419998"
"2015-01-05","45.509998"
"2015-01-06","44.380001"
"2015-01-07","44.770000"
"2015-01-08","45.130001"
"2015-01-09","44.290001"
"2015-01-12","44.040001"
"2015-01-13","43.930000"
"2015-01-14","43.130001"
"2015-01-15","42.639999"
"2015-01-16","43.740002"
"2015-01-20","43.110001"
"2015-01-21","42.830002"
"2015-01-22","45.080002"
"2015-01-23","44.400002"
"2015-01-26","44.810001"
"2015-01-27","44.230000"
"2015-01-28","43.119999"
"2015-01-29","43.970001"
"2015-01-30","43.470001"
"2015-02-02","44.689999"
"2015-02-03","45.470001"
"2015-02-04","45.349998"
"2015-02-05","46.639999"
"2015-02-06","47.020000"
"2015-02-09","46.470001"
"2015-02-10","46.779999"
"2015-02-11","46.610001"
"2015-02-12","47.680000"
"2015-02-13","47.799999"
"2015-02-17","48.290001"
"2015-02-18","47.040001"
"2015-02-19","47.029999"
"2015-02-20","47.689999"
"2015-02-23","47.730000"
"2015-02-24","47.830002"
"2015-02-25","47.430000"
"2015-02-26","47.520000"
"2015-02-27","47.090000"
"2015-03-02","47.400002"
"2015-03-03","47.290001"
"2015-03-04","46.930000"
"2015-03-05","46.889999"
"2015-03-06","47.049999"
"2015-03-09","47.410000"
"2015-03-10","46.490002"
"2015-03-11","47.189999"
"2015-03-12","48.689999"
"2015-03-13","48.439999"
"2015-03-16","48.009998"
"2015-03-17","47.910000"
"2015-03-18","47.599998"
"2015-03-19","47.459999"
"2015-03-20","47.880001"
"2015-03-23","47.689999"
"2015-03-24","47.669998"
"2015-03-25","46.880001"
"2015-03-26","47.119999"
"2015-03-27","46.849998"
"2015-03-30","47.389999"
"2015-03-31","47.680000"
"2015-04-01","47.860001"
"2015-04-02","48.000000"
"2015-04-06","47.740002"
"2015-04-07","48.009998"
"2015-04-08","48.080002"
"2015-04-09","47.900002"
"2015-04-10","47.880001"
"2015-04-13","48.439999"
"2015-04-14","48.220001"
"2015-04-15","48.770000"
"2015-04-16","49.299999"
"2015-04-17","48.639999"
"2015-04-20","49.049999"
"2015-04-21","48.830002"
"2015-04-22","49.029999"
"2015-04-23","48.980000"
"2015-04-24","48.619999"
"2015-04-27","48.660000"
"2015-04-28","49.270000"
"2015-04-29","49.230000"
"2015-04-30","48.740002"
"2015-05-01","49.130001"
"2015-05-04","49.189999"
"2015-05-05","48.820000"
"2015-05-06","49.080002"
"2015-05-07","48.970001"
"2015-05-08","49.189999"
"2015-05-11","49.430000"
"2015-05-12","49.580002"
"2015-05-13","50.110001"
"2015-05-14","50.590000"
"2015-05-15","49.950001"
"2015-05-18","50.889999"
"2015-05-19","51.490002"
"2015-05-20","50.880001"
"2015-05-21","50.689999"
"2015-05-22","50.340000"
"2015-05-26","49.959999"
"2015-05-27","50.470001"
"2015-05-28","50.730000"
"2015-05-29","50.099998"
"2015-06-01","49.849998"
"2015-06-02","50.560001"
"2015-06-03","51.270000"
"2015-06-04","50.430000"
"2015-06-05","51.709999"
"2015-06-08","52.080002"
"2015-06-09","52.450001"
"2015-06-10","53.080002"
"2015-06-11","53.209999"
"2015-06-12","53.150002"
"2015-06-15","52.759998"
"2015-06-16","53.389999"
"2015-06-17","52.160000"
"2015-06-18","52.560001"
"2015-06-19","52.360001"
"2015-06-22","52.919998"
"2015-06-23","53.439999"
"2015-06-24","53.360001"
"2015-06-25","53.619999"
"2015-06-26","53.970001"
"2015-06-29","52.860001"
"2015-06-30","53.380001"
"2015-07-01","53.860001"
"2015-07-02","52.980000"
"2015-07-06","52.849998"
"2015-07-07","52.049999"
"2015-07-08","51.810001"
"2015-07-09","52.310001"
"2015-07-10","53.000000"
"2015-07-13","53.250000"
"2015-07-14","53.549999"
"2015-07-15","53.919998"
"2015-07-16","55.209999"
"2015-07-17","54.950001"
"2015-07-20","55.290001"
"2015-07-21","54.700001"
"2015-07-22","55.310001"
"2015-07-23","54.540001"
"2015-07-24","54.110001"
"2015-07-27","53.490002"
"2015-07-28","53.500000"
"2015-07-29","53.779999"
"2015-07-30","54.180000"
"2015-07-31","53.919998"
"2015-08-03","54.070000"
"2015-08-04","53.750000"
"2015-08-05","54.110001"
