"date, price"
"2014-12-04","22.290001"
"2014-12-05","21.910000"
"2014-12-08","19.430000"
"2014-12-09","20.110001"
"2014-12-10","19.139999"
"2014-12-11","18.959999"
"2014-12-12","19.309999"
"2014-12-15","17.680000"
"2014-12-16","16.820000"
"2014-12-17","17.299999"
"2014-12-18","18.090000"
"2014-12-19","18.000000"
"2014-12-22","18.000000"
"2014-12-23","17.980000"
"2014-12-24","17.660000"
"2014-12-26","18.160000"
"2014-12-29","18.070000"
"2014-12-30","18.400000"
"2014-12-31","17.959999"
"2015-01-02","18.370001"
"2015-01-05","17.410000"
"2015-01-06","17.530001"
"2015-01-07","17.370001"
"2015-01-08","18.420000"
"2015-01-09","18.240000"
"2015-01-12","17.660000"
"2015-01-13","17.680000"
"2015-01-14","18.400000"
"2015-01-15","17.719999"
"2015-01-16","17.969999"
"2015-01-20","16.410000"
"2015-01-21","16.510000"
"2015-01-22","17.459999"
"2015-01-23","17.190001"
"2015-01-26","16.250000"
"2015-01-27","16.209999"
"2015-01-28","15.410000"
"2015-01-29","15.440000"
"2015-01-30","14.890000"
"2015-02-02","14.910000"
"2015-02-03","15.630000"
"2015-02-04","15.420000"
"2015-02-05","16.240000"
"2015-02-06","16.120001"
"2015-02-09","15.870000"
"2015-02-10","15.730000"
"2015-02-11","16.000000"
"2015-02-12","16.410000"
"2015-02-13","17.000000"
"2015-02-17","16.650000"
"2015-02-18","16.850000"
"2015-02-19","16.870001"
"2015-02-20","17.010000"
"2015-02-23","16.250000"
"2015-02-24","16.350000"
"2015-02-25","16.370001"
"2015-02-26","16.540001"
"2015-02-27","16.450001"
"2015-03-02","16.020000"
"2015-03-03","15.950000"
"2015-03-04","15.760000"
"2015-03-05","15.480000"
"2015-03-06","15.130000"
"2015-03-09","14.680000"
"2015-03-10","14.120000"
"2015-03-11","14.500000"
"2015-03-12","14.530000"
"2015-03-13","14.680000"
"2015-03-16","14.210000"
"2015-03-17","14.490000"
"2015-03-18","14.490000"
"2015-03-19","14.460000"
"2015-03-20","14.630000"
"2015-03-23","14.740000"
"2015-03-24","15.270000"
"2015-03-25","15.270000"
"2015-03-26","15.190000"
"2015-03-27","15.450000"
"2015-03-30","15.300000"
"2015-03-31","15.170000"
"2015-04-01","15.770000"
"2015-04-02","16.240000"
"2015-04-06","17.180000"
"2015-04-07","17.020000"
"2015-04-08","17.480000"
"2015-04-09","17.990000"
"2015-04-10","17.840000"
"2015-04-13","17.840000"
"2015-04-14","17.910000"
"2015-04-15","20.400000"
"2015-04-16","20.900000"
"2015-04-17","20.590000"
"2015-04-20","20.540001"
"2015-04-21","20.440001"
"2015-04-22","20.700001"
"2015-04-23","20.750000"
"2015-04-24","20.670000"
"2015-04-27","20.270000"
"2015-04-28","19.200001"
"2015-04-29","19.680000"
"2015-04-30","19.240000"
"2015-05-01","19.570000"
"2015-05-04","19.190001"
"2015-05-05","19.420000"
"2015-05-06","19.600000"
"2015-05-07","19.150000"
"2015-05-08","19.639999"
"2015-05-11","19.309999"
"2015-05-12","19.200001"
"2015-05-13","19.430000"
"2015-05-14","19.490000"
"2015-05-15","19.010000"
"2015-05-18","19.350000"
"2015-05-19","18.750000"
"2015-05-20","18.590000"
"2015-05-21","18.610001"
"2015-05-22","18.500000"
"2015-05-26","18.170000"
"2015-05-27","17.930000"
"2015-05-28","18.330000"
"2015-05-29","18.030001"
"2015-06-01","18.070000"
"2015-06-02","18.930000"
"2015-06-03","18.170000"
"2015-06-04","17.570000"
"2015-06-05","17.559999"
"2015-06-08","17.240000"
"2015-06-09","17.360001"
"2015-06-10","17.400000"
"2015-06-11","17.440001"
"2015-06-12","17.629999"
"2015-06-15","17.250000"
"2015-06-16","17.190001"
"2015-06-17","17.139999"
"2015-06-18","16.930000"
"2015-06-19","16.770000"
"2015-06-22","16.260000"
"2015-06-23","15.930000"
"2015-06-24","15.950000"
"2015-06-25","15.900000"
"2015-06-26","15.810000"
"2015-06-29","14.840000"
"2015-06-30","15.220000"
"2015-07-01","15.030000"
"2015-07-02","15.380000"
"2015-07-06","14.910000"
"2015-07-07","14.930000"
"2015-07-08","14.470000"
"2015-07-09","14.810000"
"2015-07-10","14.850000"
"2015-07-13","15.330000"
"2015-07-14","15.470000"
"2015-07-15","15.190000"
"2015-07-16","15.450000"
"2015-07-17","15.780000"
"2015-07-20","15.480000"
"2015-07-21","15.490000"
"2015-07-22","15.150000"
"2015-07-23","15.260000"
"2015-07-24","14.840000"
"2015-07-27","14.530000"
"2015-07-28","14.890000"
"2015-07-29","15.410000"
"2015-07-30","14.380000"
"2015-07-31","13.910000"
"2015-08-03","13.650000"
"2015-08-04","13.760000"
"2015-08-05","13.750000"
"2015-08-06","13.310000"
"2015-08-07","13.330000"
"2015-08-10","13.650000"
