"date, price"
"2014-12-04","76.550003"
"2014-12-05","76.489998"
"2014-12-08","75.279999"
"2014-12-09","76.169998"
"2014-12-10","75.480003"
"2014-12-11","75.830002"
"2014-12-12","74.089996"
"2014-12-15","74.669998"
"2014-12-16","75.010002"
"2014-12-17","76.180000"
"2014-12-18","77.949997"
"2014-12-19","78.099998"
"2014-12-22","78.349998"
"2014-12-23","78.080002"
"2014-12-24","78.330002"
"2014-12-26","78.099998"
"2014-12-29","78.050003"
"2014-12-30","78.320000"
"2014-12-31","77.410004"
"2015-01-02","77.430000"
"2015-01-05","76.339996"
"2015-01-06","75.790001"
"2015-01-07","77.720001"
"2015-01-08","79.379997"
"2015-01-09","80.540001"
"2015-01-12","80.660004"
"2015-01-13","82.540001"
"2015-01-14","81.230003"
"2015-01-15","81.279999"
"2015-01-16","82.910004"
"2015-01-20","82.150002"
"2015-01-21","82.730003"
"2015-01-22","84.959999"
"2015-01-23","84.190002"
"2015-01-26","84.540001"
"2015-01-27","84.610001"
"2015-01-28","84.180000"
"2015-01-29","83.669998"
"2015-01-30","83.459999"
"2015-02-02","84.070000"
"2015-02-03","86.629997"
"2015-02-04","86.500000"
"2015-02-05","86.959999"
"2015-02-06","87.150002"
"2015-02-09","87.430000"
"2015-02-10","88.089996"
"2015-02-11","88.269997"
"2015-02-12","89.470001"
"2015-02-13","90.529999"
"2015-02-17","89.489998"
"2015-02-18","89.540001"
"2015-02-19","89.739998"
"2015-02-20","91.000000"
"2015-02-23","91.489998"
"2015-02-24","92.400002"
"2015-02-25","91.580002"
"2015-02-26","91.760002"
"2015-02-27","91.050003"
"2015-03-02","91.800003"
"2015-03-03","91.360001"
"2015-03-04","91.029999"
"2015-03-05","91.160004"
"2015-03-06","89.629997"
"2015-03-09","89.400002"
"2015-03-10","87.800003"
"2015-03-11","88.000000"
"2015-03-12","87.820000"
"2015-03-13","87.709999"
"2015-03-16","88.900002"
"2015-03-17","85.980003"
"2015-03-18","85.820000"
"2015-03-19","86.070000"
"2015-03-20","88.160004"
"2015-03-23","92.250000"
"2015-03-24","90.989998"
"2015-03-25","88.199997"
"2015-03-26","86.389999"
"2015-03-27","87.410004"
"2015-03-30","88.019997"
"2015-03-31","90.720001"
"2015-04-01","89.559998"
"2015-04-02","89.339996"
"2015-04-06","91.720001"
"2015-04-07","92.589996"
"2015-04-08","94.379997"
"2015-04-09","95.500000"
"2015-04-10","95.459999"
"2015-04-13","94.129997"
"2015-04-14","95.050003"
"2015-04-15","95.809998"
"2015-04-16","96.510002"
"2015-04-17","95.529999"
"2015-04-20","96.129997"
"2015-04-21","96.959999"
"2015-04-22","97.080002"
"2015-04-23","97.980003"
"2015-04-24","96.690002"
"2015-04-27","94.809998"
"2015-04-28","95.269997"
"2015-04-29","94.160004"
"2015-04-30","92.080002"
"2015-05-01","92.500000"
"2015-05-04","92.029999"
"2015-05-05","90.489998"
"2015-05-06","89.680000"
"2015-05-07","91.269997"
"2015-05-08","92.779999"
"2015-05-11","93.059998"
"2015-05-12","93.660004"
"2015-05-13","106.750000"
"2015-05-14","108.199997"
"2015-05-15","109.489998"
"2015-05-18","109.739998"
"2015-05-19","109.669998"
"2015-05-20","108.980003"
"2015-05-21","109.339996"
"2015-05-22","109.650002"
"2015-05-26","107.989998"
"2015-05-27","107.230003"
"2015-05-28","109.400002"
"2015-05-29","109.639999"
"2015-06-01","110.339996"
"2015-06-02","114.089996"
"2015-06-03","114.070000"
"2015-06-04","113.470001"
"2015-06-05","114.290001"
"2015-06-08","112.949997"
"2015-06-09","112.480003"
"2015-06-10","115.680000"
"2015-06-11","115.570000"
"2015-06-12","114.650002"
"2015-06-15","114.260002"
"2015-06-16","113.680000"
"2015-06-17","112.970001"
"2015-06-18","115.230003"
"2015-06-19","116.580002"
"2015-06-22","118.190002"
"2015-06-23","117.919998"
"2015-06-24","115.430000"
"2015-06-25","114.709999"
"2015-06-26","113.000000"
"2015-06-29","109.000000"
"2015-06-30","111.050003"
"2015-07-01","112.809998"
"2015-07-02","112.430000"
"2015-07-06","111.839996"
"2015-07-07","112.320000"
"2015-07-08","108.470001"
"2015-07-09","108.440002"
"2015-07-10","109.750000"
"2015-07-13","110.510002"
"2015-07-14","114.059998"
"2015-07-15","111.989998"
"2015-07-16","114.099998"
"2015-07-17","114.180000"
"2015-07-20","115.379997"
"2015-07-21","114.529999"
"2015-07-22","113.709999"
"2015-07-23","112.849998"
"2015-07-24","110.889999"
"2015-07-27","106.620003"
"2015-07-28","107.510002"
"2015-07-29","106.309998"
"2015-07-30","105.970001"
"2015-07-31","107.629997"
"2015-08-03","105.680000"
"2015-08-04","105.180000"
"2015-08-05","105.889999"
"2015-08-06","104.190002"
"2015-08-07","106.080002"
"2015-08-10","110.040001"
"2015-08-11","83.800003"
"2015-08-12","87.559998"
"2015-08-13","86.739998"
"2015-08-14","89.180000"
"2015-08-17","90.589996"
"2015-08-18","87.010002"
"2015-08-19","87.070000"
"2015-08-20","84.809998"
"2015-08-21","81.250000"
"2015-08-24","79.029999"
"2015-08-25","78.000000"
"2015-08-26","80.029999"
"2015-08-27","83.699997"
"2015-08-28","83.419998"
"2015-08-31","82.879997"
"2015-09-01","80.620003"
"2015-09-02","80.690002"
"2015-09-03","80.129997"
"2015-09-04","79.139999"
"2015-09-08","82.690002"
"2015-09-09","81.050003"
"2015-09-10","81.250000"
"2015-09-11","81.610001"
"2015-09-14","80.209999"
"2015-09-15","83.029999"
"2015-09-16","84.410004"
"2015-09-17","86.900002"
"2015-09-18","84.559998"
"2015-09-21","83.000000"
"2015-09-22","81.430000"
"2015-09-23","80.489998"
"2015-09-24","80.040001"
"2015-09-25","78.080002"
"2015-09-28","74.440002"
"2015-09-29","72.209999"
"2015-09-30","76.550003"
"2015-10-01","76.860001"
"2015-10-02","78.730003"
"2015-10-05","79.660004"
"2015-10-06","78.139999"
"2015-10-07","79.029999"
"2015-10-08","78.089996"
"2015-10-09","78.330002"
"2015-10-12","77.309998"
"2015-10-13","75.620003"
"2015-10-14","74.629997"
"2015-10-15","74.870003"
"2015-10-16","75.000000"
"2015-10-19","73.750000"
"2015-10-20","73.050003"
"2015-10-21","71.870003"
"2015-10-22","72.650002"
"2015-10-23","76.040001"
"2015-10-26","76.239998"
"2015-10-27","75.370003"
"2015-10-28","78.639999"
"2015-10-29","77.839996"
"2015-10-30","76.900002"
"2015-11-02","78.620003"
"2015-11-03","78.620003"
"2015-11-04","79.680000"
"2015-11-05","79.589996"
"2015-11-06","81.449997"
"2015-11-09","82.989998"
"2015-11-10","75.779999"
"2015-11-11","75.300003"
"2015-11-12","71.040001"
"2015-11-13","67.709999"
"2015-11-16","72.199997"
"2015-11-17","73.529999"
"2015-11-18","75.190002"
"2015-11-19","75.519997"
"2015-11-20","74.889999"
