"date, price"
"2020-06-04","34.000000"
"2020-06-05","38.889999"
"2020-06-08","44.689999"
"2020-06-09","50.000000"
"2020-06-10","50.299999"
"2020-06-11","49.500000"
"2020-06-12","51.220001"
"2020-06-15","49.970001"
"2020-06-16","48.389999"
"2020-06-17","43.509998"
"2020-06-18","45.750000"
"2020-06-19","45.369999"
"2020-06-22","49.410000"
"2020-06-23","49.680000"
"2020-06-24","50.980000"
"2020-06-25","53.189999"
"2020-06-26","51.570000"
"2020-06-29","50.720001"
"2020-06-30","51.029999"
"2020-07-01","48.400002"
"2020-07-02","45.049999"
"2020-07-06","45.990002"
"2020-07-07","45.139999"
"2020-07-08","44.259998"
"2020-07-09","44.689999"
"2020-07-10","43.709999"
"2020-07-13","40.330002"
"2020-07-14","39.990002"
"2020-07-15","39.849998"
"2020-07-16","40.380001"
"2020-07-17","41.160000"
"2020-07-20","42.480000"
"2020-07-21","42.900002"
"2020-07-22","41.660000"
"2020-07-23","40.860001"
"2020-07-24","39.590000"
"2020-07-27","41.160000"
"2020-07-28","41.560001"
"2020-07-29","40.529999"
"2020-07-30","40.480000"
"2020-07-31","40.869999"
"2020-08-03","45.080002"
"2020-08-04","44.150002"
"2020-08-05","46.369999"
"2020-08-06","47.439999"
"2020-08-07","46.099998"
"2020-08-10","43.200001"
"2020-08-11","39.009998"
"2020-08-12","38.529999"
"2020-08-13","39.709999"
"2020-08-14","38.880001"
"2020-08-17","39.599998"
"2020-08-18","38.110001"
"2020-08-19","37.919998"
"2020-08-20","38.029999"
"2020-08-21","36.830002"
"2020-08-24","37.040001"
"2020-08-25","36.799999"
"2020-08-26","38.049999"
"2020-08-27","37.029999"
"2020-08-28","37.209999"
"2020-08-31","38.820000"
"2020-09-01","38.419998"
"2020-09-02","38.110001"
"2020-09-03","33.910000"
"2020-09-04","32.610001"
"2020-09-08","32.580002"
"2020-09-09","32.990002"
"2020-09-10","32.660000"
"2020-09-11","31.990000"
"2020-09-14","32.990002"
"2020-09-15","32.610001"
"2020-09-16","31.110001"
"2020-09-17","32.259998"
"2020-09-18","32.340000"
"2020-09-21","32.880001"
"2020-09-22","34.419998"
"2020-09-23","35.599998"
"2020-09-24","34.730000"
"2020-09-25","39.209999"
"2020-09-28","38.840000"
"2020-09-29","41.599998"
"2020-09-30","42.990002"
"2020-10-01","43.330002"
"2020-10-02","42.060001"
"2020-10-05","43.990002"
"2020-10-06","43.700001"
"2020-10-07","45.209999"
"2020-10-08","43.279999"
"2020-10-09","42.279999"
"2020-10-12","41.529999"
"2020-10-13","42.759998"
"2020-10-14","41.860001"
"2020-10-15","42.770000"
"2020-10-16","42.630001"
"2020-10-19","44.160000"
"2020-10-20","44.209999"
"2020-10-21","46.299999"
"2020-10-22","42.750000"
"2020-10-23","43.169998"
"2020-10-26","41.290001"
"2020-10-27","43.060001"
"2020-10-28","40.529999"
"2020-10-29","40.279999"
"2020-10-30","37.990002"
"2020-11-02","36.950001"
"2020-11-03","37.619999"
"2020-11-04","38.919998"
"2020-11-05","41.110001"
"2020-11-06","41.669998"
"2020-11-09","37.330002"
"2020-11-10","40.099998"
"2020-11-11","41.160000"
"2020-11-12","43.080002"
"2020-11-13","42.240002"
"2020-11-16","41.610001"
"2020-11-17","40.750000"
"2020-11-18","39.590000"
"2020-11-19","42.680000"
"2020-11-20","43.590000"
"2020-11-23","44.650002"
"2020-11-24","46.750000"
"2020-11-25","47.099998"
"2020-11-27","48.779999"
"2020-11-30","51.250000"
"2020-12-01","47.930000"
"2020-12-02","43.009998"
"2020-12-03","45.560001"
"2020-12-04","46.110001"
"2020-12-07","43.799999"
"2020-12-08","41.779999"
"2020-12-09","40.400002"
"2020-12-10","40.910000"
"2020-12-11","41.759998"
"2020-12-14","42.139999"
"2020-12-15","41.250000"
"2020-12-16","40.810001"
"2020-12-17","43.400002"
"2020-12-18","42.849998"
"2020-12-21","44.200001"
"2020-12-22","46.509998"
"2020-12-23","47.290001"
"2020-12-24","44.840000"
"2020-12-28","45.270000"
"2020-12-29","45.639999"
"2020-12-30","47.029999"
"2020-12-31","48.230000"
"2021-01-04","45.580002"
"2021-01-05","45.169998"
"2021-01-06","42.430000"
"2021-01-07","44.000000"
"2021-01-08","45.570000"
"2021-01-11","44.009998"
"2021-01-12","44.009998"
"2021-01-13","45.020000"
"2021-01-14","45.419998"
"2021-01-15","45.340000"
"2021-01-19","46.599998"
"2021-01-20","47.000000"
"2021-01-21","46.250000"
"2021-01-22","46.270000"
"2021-01-25","46.439999"
"2021-01-26","49.250000"
"2021-01-27","49.959999"
"2021-01-28","48.500000"
"2021-01-29","48.009998"
"2021-02-01","50.220001"
"2021-02-02","51.090000"
"2021-02-03","54.580002"
"2021-02-04","56.310001"
"2021-02-05","58.080002"
"2021-02-08","57.410000"
"2021-02-09","56.369999"
"2021-02-10","55.720001"
"2021-02-11","57.000000"
"2021-02-12","57.840000"
"2021-02-16","55.770000"
"2021-02-17","53.950001"
"2021-02-18","55.320000"
"2021-02-19","54.740002"
"2021-02-22","51.320000"
"2021-02-23","53.430000"
"2021-02-24","56.529999"
"2021-02-25","53.250000"
"2021-02-26","52.419998"
"2021-03-01","56.380001"
"2021-03-02","56.110001"
"2021-03-03","47.790001"
"2021-03-04","45.709999"
"2021-03-05","45.990002"
"2021-03-08","43.720001"
