"date, price"
"2014-12-04","24.400000"
"2014-12-05","25.040001"
"2014-12-08","24.240000"
"2014-12-09","24.420000"
"2014-12-10","23.780001"
"2014-12-11","23.790001"
"2014-12-12","23.660000"
"2014-12-15","23.389999"
"2014-12-16","23.850000"
"2014-12-17","24.459999"
"2014-12-18","25.010000"
"2014-12-19","24.889999"
"2014-12-22","25.400000"
"2014-12-23","25.400000"
"2014-12-24","25.250000"
"2014-12-26","25.190001"
"2014-12-29","25.309999"
"2014-12-30","25.219999"
"2014-12-31","24.920000"
"2015-01-02","24.959999"
"2015-01-05","24.160000"
"2015-01-06","23.250000"
"2015-01-07","23.469999"
"2015-01-08","24.219999"
"2015-01-09","24.240000"
"2015-01-12","23.660000"
"2015-01-13","23.330000"
"2015-01-14","23.020000"
"2015-01-15","23.330000"
"2015-01-16","23.469999"
"2015-01-20","23.629999"
"2015-01-21","24.320000"
"2015-01-22","24.620001"
"2015-01-23","24.110001"
"2015-01-26","24.240000"
"2015-01-27","23.570000"
"2015-01-28","23.379999"
"2015-01-29","23.620001"
"2015-01-30","22.840000"
"2015-02-02","22.860001"
"2015-02-03","23.450001"
"2015-02-04","23.620001"
"2015-02-05","23.959999"
"2015-02-06","24.240000"
"2015-02-09","23.510000"
"2015-02-10","24.280001"
"2015-02-11","24.260000"
"2015-02-12","24.139999"
"2015-02-13","24.120001"
"2015-02-17","24.129999"
"2015-02-18","24.100000"
"2015-02-19","24.930000"
"2015-02-20","25.129999"
"2015-02-23","24.910000"
"2015-02-24","25.360001"
"2015-02-25","25.100000"
"2015-02-26","24.910000"
"2015-02-27","25.049999"
"2015-03-02","25.629999"
"2015-03-03","24.490000"
"2015-03-04","24.270000"
"2015-03-05","24.180000"
"2015-03-06","23.910000"
"2015-03-09","24.090000"
"2015-03-10","23.510000"
"2015-03-11","23.459999"
"2015-03-12","23.770000"
"2015-03-13","24.240000"
"2015-03-16","24.570000"
"2015-03-17","24.209999"
"2015-03-18","24.370001"
"2015-03-19","24.080000"
"2015-03-20","24.120001"
"2015-03-23","23.969999"
"2015-03-24","23.900000"
"2015-03-25","22.629999"
"2015-03-26","22.400000"
"2015-03-27","22.830000"
"2015-03-30","22.770000"
"2015-03-31","22.559999"
"2015-04-01","22.389999"
"2015-04-02","22.270000"
"2015-04-06","22.160000"
"2015-04-07","21.990000"
"2015-04-08","22.379999"
"2015-04-09","22.510000"
"2015-04-10","22.500000"
"2015-04-13","22.330000"
"2015-04-14","22.200001"
"2015-04-15","22.549999"
"2015-04-16","21.879999"
"2015-04-17","21.490000"
"2015-04-20","21.760000"
"2015-04-21","22.290001"
"2015-04-22","22.309999"
"2015-04-23","22.170000"
"2015-04-24","21.799999"
"2015-04-27","19.969999"
"2015-04-28","20.040001"
"2015-04-29","20.010000"
"2015-04-30","19.790001"
"2015-05-01","19.980000"
"2015-05-04","19.879999"
"2015-05-05","19.360001"
"2015-05-06","19.450001"
"2015-05-07","19.559999"
"2015-05-08","19.690001"
"2015-05-11","19.920000"
"2015-05-12","19.889999"
"2015-05-13","19.930000"
"2015-05-14","19.860001"
"2015-05-15","20.200001"
"2015-05-18","20.190001"
"2015-05-19","19.990000"
"2015-05-20","19.910000"
"2015-05-21","20.150000"
"2015-05-22","20.139999"
"2015-05-26","19.990000"
"2015-05-27","20.340000"
"2015-05-28","20.360001"
"2015-05-29","20.129999"
"2015-06-01","20.309999"
"2015-06-02","20.379999"
"2015-06-03","20.360001"
"2015-06-04","20.059999"
"2015-06-05","20.150000"
"2015-06-08","19.870001"
"2015-06-09","19.910000"
"2015-06-10","20.040001"
"2015-06-11","19.780001"
"2015-06-12","19.620001"
"2015-06-15","19.709999"
"2015-06-16","19.820000"
"2015-06-17","19.540001"
"2015-06-18","19.840000"
"2015-06-19","19.719999"
"2015-06-22","19.860001"
"2015-06-23","19.959999"
"2015-06-24","20.100000"
"2015-06-25","20.059999"
"2015-06-26","19.780001"
"2015-06-29","19.209999"
"2015-06-30","19.219999"
"2015-07-01","19.510000"
"2015-07-02","19.610001"
"2015-07-06","19.270000"
"2015-07-07","19.170000"
"2015-07-08","18.549999"
"2015-07-09","18.520000"
"2015-07-10","18.770000"
"2015-07-13","19.309999"
"2015-07-14","18.889999"
"2015-07-15","18.570000"
"2015-07-16","17.870001"
"2015-07-17","17.770000"
"2015-07-20","17.770000"
"2015-07-21","17.830000"
"2015-07-22","17.490000"
"2015-07-23","17.719999"
