"date, price"
"2014-12-04","6.840000"
"2014-12-05","6.940000"
"2014-12-08","6.620000"
"2014-12-09","6.600000"
"2014-12-10","6.380000"
"2014-12-11","6.450000"
"2014-12-12","6.310000"
"2014-12-15","6.260000"
"2014-12-16","6.330000"
"2014-12-17","6.600000"
"2014-12-18","6.720000"
"2014-12-19","6.940000"
"2014-12-22","6.820000"
"2014-12-23","6.950000"
"2014-12-24","7.160000"
"2014-12-26","7.190000"
"2014-12-29","7.100000"
"2014-12-30","7.140000"
"2014-12-31","7.100000"
"2015-01-02","7.120000"
"2015-01-05","6.730000"
"2015-01-06","6.470000"
"2015-01-07","6.510000"
"2015-01-08","6.670000"
"2015-01-09","6.650000"
"2015-01-12","6.480000"
"2015-01-13","6.420000"
"2015-01-14","6.430000"
"2015-01-15","6.480000"
"2015-01-16","6.660000"
"2015-01-20","6.640000"
"2015-01-21","6.780000"
"2015-01-22","6.770000"
"2015-01-23","6.760000"
"2015-01-26","6.940000"
"2015-01-27","6.730000"
"2015-01-28","6.670000"
"2015-01-29","6.600000"
"2015-01-30","6.350000"
"2015-02-02","6.520000"
"2015-02-03","6.760000"
"2015-02-04","6.750000"
"2015-02-05","7.080000"
"2015-02-06","7.100000"
"2015-02-09","7.050000"
"2015-02-10","8.800000"
"2015-02-11","8.690000"
"2015-02-12","8.920000"
"2015-02-13","8.900000"
"2015-02-17","9.300000"
"2015-02-18","9.020000"
"2015-02-19","9.140000"
"2015-02-20","9.160000"
"2015-02-23","9.190000"
"2015-02-24","9.420000"
"2015-02-25","9.240000"
"2015-02-26","9.280000"
"2015-02-27","9.730000"
"2015-03-02","9.910000"
"2015-03-03","9.820000"
"2015-03-04","9.670000"
"2015-03-05","9.850000"
"2015-03-06","9.570000"
"2015-03-09","9.340000"
"2015-03-10","9.280000"
"2015-03-11","9.270000"
"2015-03-12","9.230000"
"2015-03-13","9.180000"
"2015-03-16","9.350000"
"2015-03-17","9.230000"
"2015-03-18","9.140000"
"2015-03-19","9.150000"
"2015-03-20","9.300000"
"2015-03-23","9.210000"
"2015-03-24","9.180000"
"2015-03-25","8.470000"
"2015-03-26","8.430000"
"2015-03-27","8.630000"
"2015-03-30","8.890000"
"2015-03-31","8.840000"
"2015-04-01","8.730000"
"2015-04-02","8.750000"
"2015-04-06","8.630000"
"2015-04-07","8.450000"
"2015-04-08","8.640000"
"2015-04-09","8.650000"
"2015-04-10","8.790000"
"2015-04-13","8.790000"
"2015-04-14","8.620000"
"2015-04-15","8.770000"
"2015-04-16","8.510000"
"2015-04-17","8.340000"
"2015-04-20","8.350000"
"2015-04-21","8.300000"
"2015-04-22","8.470000"
"2015-04-23","8.530000"
"2015-04-24","8.130000"
"2015-04-27","7.940000"
"2015-04-28","7.460000"
"2015-04-29","7.110000"
"2015-04-30","7.030000"
"2015-05-01","7.160000"
"2015-05-04","7.120000"
"2015-05-05","6.810000"
"2015-05-06","6.610000"
"2015-05-07","6.930000"
"2015-05-08","7.020000"
"2015-05-11","6.970000"
"2015-05-12","6.900000"
"2015-05-13","6.960000"
"2015-05-14","6.980000"
"2015-05-15","7.110000"
"2015-05-18","6.980000"
"2015-05-19","6.870000"
"2015-05-20","6.830000"
"2015-05-21","6.760000"
"2015-05-22","6.800000"
"2015-05-26","6.650000"
"2015-05-27","6.930000"
"2015-05-28","7.060000"
"2015-05-29","6.760000"
"2015-06-01","6.850000"
"2015-06-02","6.670000"
"2015-06-03","6.650000"
"2015-06-04","6.590000"
"2015-06-05","6.640000"
"2015-06-08","6.390000"
"2015-06-09","6.350000"
"2015-06-10","6.480000"
"2015-06-11","6.360000"
"2015-06-12","6.330000"
"2015-06-15","6.330000"
"2015-06-16","6.390000"
"2015-06-17","6.320000"
"2015-06-18","6.410000"
"2015-06-19","6.330000"
"2015-06-22","6.490000"
"2015-06-23","6.430000"
"2015-06-24","6.370000"
"2015-06-25","6.390000"
"2015-06-26","6.140000"
"2015-06-29","5.900000"
"2015-06-30","5.980000"
"2015-07-01","5.930000"
"2015-07-02","5.840000"
"2015-07-06","5.630000"
"2015-07-07","5.810000"
"2015-07-08","5.840000"
"2015-07-09","5.500000"
"2015-07-10","5.650000"
"2015-07-13","5.730000"
"2015-07-14","5.890000"
"2015-07-15","5.650000"
"2015-07-16","5.600000"
"2015-07-17","5.460000"
"2015-07-20","5.330000"
"2015-07-21","5.370000"
"2015-07-22","5.190000"
"2015-07-23","5.130000"
"2015-07-24","5.040000"
"2015-07-27","4.920000"
"2015-07-28","4.200000"
"2015-07-29","4.260000"
"2015-07-30","4.250000"
"2015-07-31","4.410000"
"2015-08-03","4.290000"
"2015-08-04","4.160000"
"2015-08-05","4.140000"
"2015-08-06","4.290000"
"2015-08-07","4.210000"
"2015-08-10","4.480000"
"2015-08-11","4.290000"
"2015-08-12","4.450000"
"2015-08-13","4.430000"
"2015-08-14","4.450000"
"2015-08-17","4.480000"
"2015-08-18","4.280000"
"2015-08-19","4.440000"
"2015-08-20","4.210000"
"2015-08-21","4.390000"
"2015-08-24","4.760000"
"2015-08-25","4.620000"
"2015-08-26","4.620000"
"2015-08-27","5.050000"
"2015-08-28","5.070000"
"2015-08-31","5.400000"
"2015-09-01","5.060000"
"2015-09-02","5.170000"
"2015-09-03","5.410000"
"2015-09-04","5.310000"
"2015-09-08","5.520000"
"2015-09-09","5.370000"
"2015-09-10","5.370000"
"2015-09-11","5.280000"
"2015-09-14","5.290000"
"2015-09-15","5.310000"
"2015-09-16","5.110000"
"2015-09-17","5.070000"
"2015-09-18","4.880000"
"2015-09-21","4.790000"
"2015-09-22","4.550000"
"2015-09-23","4.360000"
"2015-09-24","4.410000"
"2015-09-25","4.400000"
"2015-09-28","4.200000"
"2015-09-29","4.290000"
"2015-09-30","4.490000"
"2015-10-01","4.440000"
"2015-10-02","4.580000"
"2015-10-05","4.740000"
"2015-10-06","4.860000"
"2015-10-07","4.950000"
"2015-10-08","5.010000"
"2015-10-09","5.120000"
"2015-10-12","4.910000"
"2015-10-13","4.780000"
"2015-10-14","5.110000"
"2015-10-15","5.340000"
"2015-10-16","5.290000"
"2015-10-19","5.210000"
"2015-10-20","5.330000"
"2015-10-21","5.420000"
"2015-10-22","5.550000"
"2015-10-23","5.750000"
"2015-10-26","5.650000"
"2015-10-27","6.260000"
"2015-10-28","6.410000"
"2015-10-29","6.190000"
"2015-10-30","6.220000"
"2015-11-02","6.330000"
"2015-11-03","6.510000"
"2015-11-04","6.470000"
"2015-11-05","6.490000"
"2015-11-06","6.670000"
"2015-11-09","6.500000"
"2015-11-10","6.220000"
"2015-11-11","6.230000"
"2015-11-12","6.090000"
"2015-11-13","6.220000"
"2015-11-16","6.350000"
"2015-11-17","6.030000"
"2015-11-18","6.330000"
"2015-11-19","6.350000"
"2015-11-20","6.240000"
"2015-11-23","6.340000"
"2015-11-24","6.540000"
"2015-11-25","6.630000"
"2015-11-27","6.660000"
"2015-11-30","6.800000"
"2015-12-01","6.870000"
"2015-12-02","6.920000"
"2015-12-03","6.850000"
"2015-12-04","6.930000"
"2015-12-07","6.730000"
"2015-12-08","6.630000"
"2015-12-09","6.410000"
"2015-12-10","6.440000"
"2015-12-11","6.200000"
"2015-12-14","6.010000"
"2015-12-15","6.210000"
"2015-12-16","6.440000"
"2015-12-17","6.300000"
"2015-12-18","6.090000"
"2015-12-21","6.330000"
"2015-12-22","6.570000"
"2015-12-23","6.680000"
"2015-12-24","6.620000"
"2015-12-28","6.400000"
"2015-12-29","6.400000"
"2015-12-30","6.260000"
"2015-12-31","6.080000"
"2016-01-04","6.040000"
"2016-01-05","6.130000"
"2016-01-06","5.880000"
"2016-01-07","5.640000"
"2016-01-08","5.620000"
"2016-01-11","5.660000"
"2016-01-12","5.660000"
"2016-01-13","5.650000"
"2016-01-14","5.670000"
"2016-01-15","5.560000"
"2016-01-19","5.430000"
"2016-01-20","5.530000"
"2016-01-21","5.810000"
"2016-01-22","6.070000"
"2016-01-25","5.750000"
"2016-01-26","5.940000"
"2016-01-27","5.850000"
"2016-01-28","5.790000"
"2016-01-29","6.140000"
"2016-02-01","5.930000"
"2016-02-02","5.590000"
"2016-02-03","5.610000"
"2016-02-04","5.580000"
"2016-02-05","5.360000"
"2016-02-08","5.310000"
"2016-02-09","5.240000"
"2016-02-10","5.250000"
"2016-02-11","5.190000"
"2016-02-12","4.130000"
"2016-02-16","4.360000"
"2016-02-17","4.600000"
"2016-02-18","4.610000"
"2016-02-19","4.540000"
"2016-02-22","4.960000"
"2016-02-23","4.950000"
"2016-02-24","4.980000"
"2016-02-25","5.050000"
"2016-02-26","5.120000"
"2016-02-29","5.060000"
"2016-03-01","5.210000"
"2016-03-02","5.380000"
"2016-03-03","5.490000"
"2016-03-04","5.270000"
"2016-03-07","5.270000"
"2016-03-08","5.100000"
"2016-03-09","5.120000"
"2016-03-10","5.200000"
"2016-03-11","5.360000"
"2016-03-14","5.350000"
"2016-03-15","5.190000"
"2016-03-16","5.310000"
"2016-03-17","5.390000"
"2016-03-18","5.610000"
"2016-03-21","5.720000"
"2016-03-22","5.790000"
"2016-03-23","5.640000"
"2016-03-24","5.630000"
"2016-03-28","5.540000"
"2016-03-29","5.610000"
"2016-03-30","5.800000"
"2016-03-31","5.890000"
"2016-04-01","5.700000"
"2016-04-04","5.660000"
"2016-04-05","5.550000"
"2016-04-06","5.490000"
"2016-04-07","5.450000"
"2016-04-08","5.420000"
"2016-04-11","5.460000"
"2016-04-12","5.410000"
"2016-04-13","5.660000"
"2016-04-14","5.580000"
"2016-04-15","5.570000"
"2016-04-18","5.460000"
"2016-04-19","5.470000"
"2016-04-20","5.550000"
"2016-04-21","5.470000"
"2016-04-22","5.750000"
"2016-04-25","5.700000"
"2016-04-26","5.780000"
"2016-04-27","5.840000"
"2016-04-28","5.880000"
"2016-04-29","5.710000"
"2016-05-02","5.780000"
"2016-05-03","5.800000"
"2016-05-04","5.660000"
"2016-05-05","5.580000"
"2016-05-06","5.640000"
"2016-05-09","5.610000"
"2016-05-10","5.740000"
"2016-05-11","5.690000"
"2016-05-12","5.500000"
"2016-05-13","5.570000"
"2016-05-16","5.670000"
"2016-05-17","5.670000"
"2016-05-18","5.730000"
"2016-05-19","5.580000"
"2016-05-20","5.820000"
"2016-05-23","6.090000"
"2016-05-24","6.260000"
"2016-05-25","6.180000"
"2016-05-26","6.200000"
"2016-05-27","6.360000"
"2016-05-31","6.310000"
"2016-06-01","6.370000"
"2016-06-02","6.380000"
"2016-06-03","6.390000"
"2016-06-06","6.420000"
"2016-06-07","6.440000"
"2016-06-08","6.420000"
"2016-06-09","6.320000"
"2016-06-10","6.110000"
"2016-06-13","6.110000"
"2016-06-14","6.100000"
"2016-06-15","6.040000"
"2016-06-16","5.930000"
"2016-06-17","5.920000"
"2016-06-20","6.020000"
"2016-06-21","6.050000"
"2016-06-22","6.000000"
"2016-06-23","6.190000"
"2016-06-24","5.800000"
"2016-06-27","5.370000"
"2016-06-28","5.630000"
"2016-06-29","5.660000"
"2016-06-30","5.750000"
"2016-07-01","5.710000"
"2016-07-05","5.630000"
"2016-07-06","5.600000"
"2016-07-07","5.600000"
"2016-07-08","5.960000"
"2016-07-11","6.000000"
"2016-07-12","6.150000"
"2016-07-13","6.130000"
"2016-07-14","6.160000"
"2016-07-15","6.180000"
"2016-07-18","6.220000"
"2016-07-19","6.170000"
"2016-07-20","6.290000"
"2016-07-21","6.270000"
"2016-07-22","6.270000"
"2016-07-25","6.240000"
"2016-07-26","6.260000"
"2016-07-27","6.470000"
"2016-07-28","6.330000"
"2016-07-29","6.290000"
"2016-08-01","6.450000"
"2016-08-02","7.300000"
"2016-08-03","7.520000"
"2016-08-04","7.550000"
"2016-08-05","8.060000"
"2016-08-08","8.240000"
