"date, price"
"2014-12-04","24.150000"
"2014-12-05","24.820000"
"2014-12-08","23.320000"
"2014-12-09","23.260000"
"2014-12-10","22.520000"
"2014-12-11","23.190001"
"2014-12-12","23.190001"
"2014-12-15","22.870001"
"2014-12-16","22.850000"
"2014-12-17","24.610001"
"2014-12-18","24.180000"
"2014-12-19","23.980000"
"2014-12-22","26.059999"
"2014-12-23","26.020000"
"2014-12-24","26.870001"
"2014-12-26","26.910000"
"2014-12-29","26.709999"
"2014-12-30","26.820000"
"2014-12-31","26.480000"
"2015-01-02","26.510000"
"2015-01-05","25.690001"
"2015-01-06","25.570000"
"2015-01-07","25.980000"
"2015-01-08","26.629999"
"2015-01-09","26.270000"
"2015-01-12","25.840000"
"2015-01-13","25.719999"
"2015-01-14","25.910000"
"2015-01-15","25.230000"
"2015-01-16","25.360001"
"2015-01-20","26.910000"
"2015-01-21","26.799999"
"2015-01-22","27.440001"
"2015-01-23","27.610001"
"2015-01-26","27.889999"
"2015-01-27","27.690001"
"2015-01-28","27.280001"
"2015-01-29","27.809999"
"2015-01-30","27.010000"
"2015-02-02","26.900000"
"2015-02-03","25.799999"
"2015-02-04","26.420000"
"2015-02-05","26.980000"
"2015-02-06","26.639999"
"2015-02-09","26.280001"
"2015-02-10","26.580000"
"2015-02-11","26.270000"
"2015-02-12","27.379999"
"2015-02-13","26.959999"
"2015-02-17","26.870001"
"2015-02-18","26.990000"
"2015-02-19","27.160000"
"2015-02-20","27.580000"
"2015-02-23","27.760000"
"2015-02-24","27.510000"
"2015-02-25","27.049999"
"2015-02-26","22.690001"
"2015-02-27","23.480000"
"2015-03-02","22.639999"
"2015-03-03","21.930000"
"2015-03-04","22.650000"
"2015-03-05","22.540001"
"2015-03-06","22.650000"
"2015-03-09","22.030001"
"2015-03-10","21.840000"
"2015-03-11","22.059999"
"2015-03-12","24.129999"
"2015-03-13","23.930000"
"2015-03-16","23.530001"
"2015-03-17","23.440001"
"2015-03-18","23.959999"
"2015-03-19","24.370001"
"2015-03-20","24.090000"
"2015-03-23","24.290001"
"2015-03-24","25.299999"
"2015-03-25","24.350000"
"2015-03-26","24.209999"
"2015-03-27","24.070000"
"2015-03-30","24.629999"
"2015-03-31","24.110001"
"2015-04-01","24.240000"
"2015-04-02","24.440001"
"2015-04-06","24.510000"
"2015-04-07","24.530001"
"2015-04-08","25.160000"
"2015-04-09","27.400000"
"2015-04-10","27.070000"
"2015-04-13","27.020000"
"2015-04-14","26.830000"
"2015-04-15","27.150000"
"2015-04-16","27.830000"
"2015-04-17","28.400000"
"2015-04-20","30.370001"
"2015-04-21","29.500000"
"2015-04-22","29.500000"
"2015-04-23","29.680000"
"2015-04-24","29.670000"
"2015-04-27","28.370001"
"2015-04-28","28.889999"
"2015-04-29","28.070000"
"2015-04-30","30.190001"
"2015-05-01","32.369999"
"2015-05-04","33.700001"
"2015-05-05","34.599998"
"2015-05-06","34.410000"
"2015-05-07","32.580002"
"2015-05-08","31.940001"
"2015-05-11","33.189999"
"2015-05-12","33.660000"
"2015-05-13","33.540001"
"2015-05-14","33.700001"
"2015-05-15","32.970001"
"2015-05-18","32.430000"
"2015-05-19","32.349998"
"2015-05-20","31.860001"
"2015-05-21","32.259998"
"2015-05-22","31.870001"
"2015-05-26","31.299999"
"2015-05-27","31.410000"
"2015-05-28","31.910000"
"2015-05-29","31.580000"
"2015-06-01","30.889999"
"2015-06-02","31.510000"
"2015-06-03","31.719999"
"2015-06-04","31.360001"
"2015-06-05","32.209999"
"2015-06-08","32.880001"
"2015-06-09","33.590000"
"2015-06-10","34.959999"
"2015-06-11","35.029999"
"2015-06-12","33.990002"
