"date, price"
"2014-12-04","82.500000"
"2014-12-05","82.629997"
"2014-12-08","82.879997"
"2014-12-09","83.669998"
"2014-12-10","82.699997"
"2014-12-11","86.019997"
"2014-12-12","85.879997"
"2014-12-15","85.989998"
"2014-12-16","84.449997"
"2014-12-17","87.760002"
"2014-12-18","88.320000"
"2014-12-19","88.419998"
"2014-12-22","89.150002"
"2014-12-23","89.029999"
"2014-12-24","89.150002"
"2014-12-26","89.070000"
"2014-12-29","89.699997"
"2014-12-30","90.180000"
"2014-12-31","90.320000"
"2015-01-02","89.000000"
"2015-01-05","87.050003"
"2015-01-06","86.410004"
"2015-01-07","87.400002"
"2015-01-08","91.529999"
"2015-01-09","90.779999"
"2015-01-12","91.459999"
"2015-01-13","92.930000"
"2015-01-14","92.379997"
"2015-01-15","91.730003"
"2015-01-16","93.000000"
"2015-01-20","92.500000"
"2015-01-21","91.300003"
"2015-01-22","91.410004"
"2015-01-23","92.059998"
"2015-01-26","94.610001"
"2015-01-27","93.290001"
"2015-01-28","92.339996"
"2015-01-29","93.610001"
"2015-01-30","91.300003"
"2015-02-02","92.010002"
"2015-02-03","93.320000"
"2015-02-04","93.519997"
"2015-02-05","91.550003"
"2015-02-06","91.400002"
"2015-02-09","89.849998"
"2015-02-10","89.760002"
"2015-02-11","89.599998"
"2015-02-12","90.029999"
"2015-02-13","88.930000"
"2015-02-17","89.529999"
"2015-02-18","90.709999"
"2015-02-19","90.349998"
"2015-02-20","91.150002"
"2015-02-23","91.820000"
"2015-02-24","91.339996"
"2015-02-25","89.080002"
"2015-02-26","89.489998"
"2015-02-27","87.750000"
"2015-03-02","88.440002"
"2015-03-03","87.389999"
"2015-03-04","87.940002"
"2015-03-05","88.190002"
"2015-03-06","87.480003"
"2015-03-09","90.730003"
"2015-03-10","87.550003"
"2015-03-11","87.349998"
"2015-03-12","89.260002"
"2015-03-13","88.000000"
"2015-03-16","88.059998"
"2015-03-17","88.089996"
"2015-03-18","87.570000"
"2015-03-19","87.900002"
"2015-03-20","88.959999"
"2015-03-23","88.639999"
"2015-03-24","89.019997"
"2015-03-25","87.230003"
"2015-03-26","87.199997"
"2015-03-27","88.849998"
"2015-03-30","90.269997"
"2015-03-31","90.099998"
"2015-04-01","89.769997"
"2015-04-02","90.019997"
"2015-04-06","90.449997"
"2015-04-07","89.250000"
"2015-04-08","89.199997"
"2015-04-09","88.779999"
"2015-04-10","89.919998"
"2015-04-13","89.720001"
"2015-04-14","90.250000"
"2015-04-15","88.980003"
"2015-04-16","88.260002"
"2015-04-17","87.320000"
"2015-04-20","87.750000"
"2015-04-21","87.430000"
"2015-04-22","86.459999"
"2015-04-23","85.820000"
"2015-04-24","85.800003"
"2015-04-27","85.110001"
"2015-04-28","85.029999"
"2015-04-29","82.019997"
"2015-04-30","82.180000"
"2015-05-01","83.070000"
"2015-05-04","83.419998"
"2015-05-05","82.320000"
"2015-05-06","82.199997"
"2015-05-07","81.750000"
"2015-05-08","82.309998"
"2015-05-11","82.260002"
"2015-05-12","82.930000"
"2015-05-13","82.680000"
"2015-05-14","83.519997"
"2015-05-15","91.309998"
"2015-05-18","91.139999"
"2015-05-19","91.070000"
"2015-05-20","91.339996"
"2015-05-21","90.360001"
"2015-05-22","91.000000"
"2015-05-26","89.830002"
"2015-05-27","89.750000"
"2015-05-28","89.580002"
"2015-05-29","87.190002"
"2015-06-01","89.089996"
"2015-06-02","87.519997"
"2015-06-03","88.269997"
"2015-06-04","88.160004"
"2015-06-05","87.669998"
"2015-06-08","87.260002"
"2015-06-09","92.800003"
"2015-06-10","93.360001"
"2015-06-11","93.129997"
"2015-06-12","93.099998"
"2015-06-15","93.230003"
"2015-06-16","92.809998"
"2015-06-17","92.980003"
"2015-06-18","94.489998"
"2015-06-19","95.830002"
"2015-06-22","96.379997"
"2015-06-23","95.220001"
"2015-06-24","96.959999"
"2015-06-25","97.339996"
"2015-06-26","96.349998"
"2015-06-29","94.430000"
"2015-06-30","95.739998"
"2015-07-01","96.769997"
"2015-07-02","96.410004"
"2015-07-06","96.660004"
"2015-07-07","97.879997"
"2015-07-08","97.690002"
"2015-07-09","97.110001"
"2015-07-10","97.919998"
"2015-07-13","98.389999"
"2015-07-14","97.949997"
"2015-07-15","98.300003"
"2015-07-16","101.750000"
"2015-07-17","100.570000"
"2015-07-20","100.529999"
"2015-07-21","99.449997"
"2015-07-22","99.930000"
"2015-07-23","98.309998"
"2015-07-24","97.349998"
"2015-07-27","97.889999"
"2015-07-28","100.120003"
"2015-07-29","100.059998"
"2015-07-30","100.419998"
"2015-07-31","102.220001"
"2015-08-03","104.040001"
"2015-08-04","104.709999"
"2015-08-05","105.680000"
"2015-08-06","104.209999"
"2015-08-07","102.870003"
"2015-08-10","102.989998"
"2015-08-11","103.070000"
"2015-08-12","103.830002"
"2015-08-13","105.010002"
"2015-08-14","106.610001"
"2015-08-17","107.910004"
"2015-08-18","107.620003"
"2015-08-19","107.070000"
"2015-08-20","106.510002"
"2015-08-21","104.910004"
"2015-08-24","102.519997"
"2015-08-25","102.120003"
"2015-08-26","105.910004"
"2015-08-27","105.690002"
"2015-08-28","106.080002"
"2015-08-31","105.860001"
"2015-09-01","104.910004"
"2015-09-02","104.800003"
"2015-09-03","105.320000"
"2015-09-04","105.550003"
"2015-09-08","108.489998"
"2015-09-09","108.169998"
"2015-09-10","108.419998"
"2015-09-11","110.209999"
"2015-09-14","109.089996"
"2015-09-15","110.320000"
"2015-09-16","111.559998"
"2015-09-17","112.199997"
"2015-09-18","110.540001"
"2015-09-21","110.839996"
"2015-09-22","109.019997"
"2015-09-23","107.900002"
"2015-09-24","106.660004"
"2015-09-25","106.419998"
"2015-09-28","104.070000"
"2015-09-29","102.989998"
"2015-09-30","102.919998"
"2015-10-01","103.419998"
"2015-10-02","104.150002"
"2015-10-05","104.160004"
"2015-10-06","103.089996"
"2015-10-07","105.040001"
"2015-10-08","105.980003"
"2015-10-09","107.139999"
"2015-10-12","107.669998"
"2015-10-13","106.419998"
"2015-10-14","104.480003"
"2015-10-15","104.849998"
"2015-10-16","106.669998"
"2015-10-19","108.480003"
"2015-10-20","106.970001"
"2015-10-21","108.790001"
"2015-10-22","110.040001"
"2015-10-23","108.830002"
"2015-10-26","107.820000"
"2015-10-27","107.000000"
"2015-10-28","107.379997"
"2015-10-29","106.589996"
"2015-10-30","106.220001"
"2015-11-02","109.290001"
"2015-11-03","111.449997"
"2015-11-04","111.260002"
"2015-11-05","112.470001"
"2015-11-06","114.660004"
"2015-11-09","112.820000"
"2015-11-10","115.510002"
"2015-11-11","113.769997"
"2015-11-12","112.059998"
"2015-11-13","110.809998"
"2015-11-16","112.879997"
"2015-11-17","114.000000"
"2015-11-18","114.519997"
"2015-11-19","114.629997"
"2015-11-20","114.540001"
"2015-11-23","115.769997"
"2015-11-24","116.080002"
"2015-11-25","117.790001"
"2015-11-27","118.379997"
"2015-11-30","116.269997"
"2015-12-01","117.980003"
"2015-12-02","119.589996"
"2015-12-03","117.620003"
"2015-12-04","119.790001"
"2015-12-07","120.010002"
"2015-12-08","125.489998"
"2015-12-09","125.370003"
"2015-12-10","126.349998"
"2015-12-11","125.320000"
"2015-12-14","128.720001"
"2015-12-15","126.870003"
"2015-12-16","124.500000"
"2015-12-17","124.300003"
"2015-12-18","118.139999"
"2015-12-21","118.029999"
"2015-12-22","119.820000"
"2015-12-23","120.510002"
"2015-12-24","121.070000"
"2015-12-28","121.480003"
"2015-12-29","122.910004"
"2015-12-30","123.089996"
"2015-12-31","120.449997"
"2016-01-04","115.589996"
"2016-01-05","116.940002"
"2016-01-06","117.930000"
"2016-01-07","116.959999"
"2016-01-08","116.199997"
"2016-01-11","117.589996"
"2016-01-12","119.180000"
"2016-01-13","115.930000"
"2016-01-14","115.870003"
"2016-01-15","116.730003"
"2016-01-19","115.930000"
"2016-01-20","115.529999"
"2016-01-21","115.220001"
"2016-01-22","117.910004"
"2016-01-25","115.550003"
"2016-01-26","117.980003"
