"date, price"
"2017-05-18","23.000000"
"2017-05-19","21.850000"
"2017-05-22","21.410000"
"2017-05-23","20.969999"
"2017-05-24","20.620001"
"2017-05-25","21.410000"
"2017-05-26","20.150000"
"2017-05-30","20.790001"
"2017-05-31","20.850000"
"2017-06-01","20.270000"
"2017-06-02","20.879999"
"2017-06-05","21.330000"
"2017-06-06","20.799999"
"2017-06-07","20.690001"
"2017-06-08","20.450001"
"2017-06-09","20.070000"
"2017-06-12","21.020000"
"2017-06-13","21.000000"
"2017-06-14","21.299999"
"2017-06-15","20.549999"
"2017-06-16","20.980000"
"2017-06-19","20.139999"
"2017-06-20","20.700001"
"2017-06-21","20.590000"
"2017-06-22","20.010000"
"2017-06-23","20.000000"
"2017-06-26","19.764999"
"2017-06-27","20.930000"
"2017-06-28","20.760000"
"2017-06-29","20.750000"
"2017-06-30","21.209999"
"2017-07-03","20.670000"
"2017-07-05","20.309999"
"2017-07-06","20.400000"
"2017-07-07","20.330000"
"2017-07-10","20.330000"
"2017-07-11","20.209999"
"2017-07-12","20.219999"
"2017-07-13","20.350000"
"2017-07-14","20.629999"
"2017-07-17","20.070000"
"2017-07-18","20.760000"
"2017-07-19","20.549999"
"2017-07-20","21.059999"
"2017-07-21","20.280001"
"2017-07-24","21.420000"
"2017-07-25","20.110001"
"2017-07-26","21.350000"
"2017-07-27","20.540001"
"2017-07-28","21.350000"
"2017-07-31","20.969999"
"2017-08-01","20.650000"
"2017-08-02","20.900000"
"2017-08-03","21.049999"
"2017-08-04","20.990000"
"2017-08-07","20.559999"
"2017-08-08","20.721001"
"2017-08-09","20.510000"
"2017-08-10","20.600000"
"2017-08-11","19.809999"
"2017-08-14","20.270000"
"2017-08-15","20.639999"
"2017-08-16","20.670000"
"2017-08-17","20.350000"
"2017-08-18","20.549999"
"2017-08-21","21.969999"
"2017-08-22","20.660000"
"2017-08-23","20.625000"
"2017-08-24","20.770000"
"2017-08-25","20.510000"
"2017-08-28","20.790001"
"2017-08-29","20.500000"
"2017-08-30","20.785999"
"2017-08-31","20.900000"
"2017-09-01","20.700001"
"2017-09-05","20.795000"
"2017-09-06","20.730000"
"2017-09-07","20.962999"
"2017-09-08","20.889999"
"2017-09-11","21.100000"
"2017-09-12","21.059999"
"2017-09-13","21.059999"
"2017-09-14","21.059999"
"2017-09-15","21.870001"
"2017-09-18","21.299999"
"2017-09-19","21.299999"
"2017-09-20","21.500000"
"2017-09-21","21.500000"
"2017-09-22","21.500000"
"2017-09-25","21.700001"
"2017-09-26","21.815001"
"2017-09-27","21.799999"
"2017-09-28","22.000000"
"2017-09-29","22.610001"
"2017-10-02","22.570000"
"2017-10-03","23.959999"
"2017-10-04","24.990000"
"2017-10-05","26.200001"
"2017-10-06","26.549999"
"2017-10-09","26.510000"
"2017-10-10","26.719999"
"2017-10-11","26.150000"
"2017-10-12","25.709999"
"2017-10-13","25.420000"
"2017-10-16","24.799999"
"2017-10-17","24.379999"
"2017-10-18","24.105000"
"2017-10-19","24.000000"
"2017-10-20","23.309999"
"2017-10-23","23.275000"
"2017-10-24","22.990000"
"2017-10-25","22.750000"
"2017-10-26","23.469999"
"2017-10-27","23.000000"
"2017-10-30","23.500000"
"2017-10-31","22.920000"
"2017-11-01","22.620001"
"2017-11-02","23.200001"
"2017-11-03","23.209999"
"2017-11-06","22.820000"
"2017-11-07","22.709999"
"2017-11-08","23.214001"
"2017-11-09","22.719999"
"2017-11-10","24.150000"
"2017-11-13","23.700001"
"2017-11-14","24.000000"
"2017-11-15","24.110001"
"2017-11-16","24.340000"
"2017-11-17","24.190001"
"2017-11-20","24.580000"
"2017-11-21","25.000000"
"2017-11-22","25.090000"
"2017-11-24","25.799999"
"2017-11-27","25.830000"
"2017-11-28","26.820000"
"2017-11-29","28.010000"
"2017-11-30","32.020000"
"2017-12-01","31.000000"
"2017-12-04","30.670000"
"2017-12-05","29.760000"
"2017-12-06","29.299999"
"2017-12-07","30.400000"
"2017-12-08","30.450001"
"2017-12-11","54.470001"
"2017-12-12","55.000000"
"2017-12-13","52.730000"
"2017-12-14","59.470001"
"2017-12-15","58.209999"
"2017-12-18","58.060001"
"2017-12-19","58.380001"
"2017-12-20","57.259998"
"2017-12-21","59.509998"
"2017-12-22","62.139999"
"2017-12-26","61.380001"
"2017-12-27","63.560001"
"2017-12-28","62.540001"
"2017-12-29","63.139999"
"2018-01-02","63.750000"
"2018-01-03","62.430000"
"2018-01-04","59.790001"
"2018-01-05","56.950001"
"2018-01-08","58.110001"
"2018-01-09","63.080002"
"2018-01-10","60.230000"
"2018-01-11","62.389999"
"2018-01-12","70.519997"
"2018-01-16","68.849998"
"2018-01-17","67.669998"
"2018-01-18","65.279999"
"2018-01-19","66.330002"
"2018-01-22","66.250000"
"2018-01-23","72.949997"
"2018-01-24","75.919998"
"2018-01-25","75.739998"
"2018-01-26","75.419998"
"2018-01-29","82.830002"
"2018-01-30","78.099998"
"2018-01-31","77.580002"
"2018-02-01","75.519997"
"2018-02-02","72.970001"
"2018-02-05","72.839996"
"2018-02-06","73.790001"
"2018-02-07","74.720001"
"2018-02-08","75.980003"
"2018-02-09","75.099998"
