"date, price"
"2014-12-04","103.070000"
"2014-12-05","103.989998"
"2014-12-08","100.709999"
"2014-12-09","102.639999"
"2014-12-10","99.250000"
"2014-12-11","100.550003"
"2014-12-12","99.199997"
"2014-12-15","98.209999"
"2014-12-16","97.330002"
"2014-12-17","98.989998"
"2014-12-18","101.650002"
"2014-12-19","100.150002"
"2014-12-22","101.410004"
"2014-12-23","100.779999"
"2014-12-24","100.720001"
"2014-12-26","100.620003"
"2014-12-29","101.290001"
"2014-12-30","100.849998"
"2014-12-31","100.589996"
"2015-01-02","100.089996"
"2015-01-05","98.489998"
"2015-01-06","96.250000"
"2015-01-07","98.849998"
"2015-01-08","103.790001"
"2015-01-09","104.900002"
"2015-01-12","103.160004"
"2015-01-13","102.580002"
"2015-01-14","103.389999"
"2015-01-15","101.320000"
"2015-01-16","103.820000"
"2015-01-20","104.870003"
"2015-01-21","105.379997"
"2015-01-22","105.199997"
"2015-01-23","106.980003"
"2015-01-26","106.730003"
"2015-01-27","104.790001"
"2015-01-28","105.000000"
"2015-01-29","106.529999"
"2015-01-30","102.879997"
"2015-02-02","102.419998"
"2015-02-03","103.199997"
"2015-02-04","104.800003"
"2015-02-05","106.199997"
"2015-02-06","104.739998"
"2015-02-09","102.239998"
"2015-02-10","107.040001"
"2015-02-11","107.940002"
"2015-02-12","109.699997"
"2015-02-13","110.150002"
"2015-02-17","110.870003"
"2015-02-18","110.000000"
"2015-02-19","110.900002"
"2015-02-20","112.059998"
"2015-02-23","112.849998"
"2015-02-24","113.180000"
"2015-02-25","112.680000"
"2015-02-26","129.250000"
"2015-02-27","127.620003"
"2015-03-02","129.020004"
"2015-03-03","128.220001"
"2015-03-04","129.399994"
"2015-03-05","130.570007"
"2015-03-06","127.889999"
"2015-03-09","127.120003"
"2015-03-10","125.120003"
"2015-03-11","124.660004"
"2015-03-12","126.120003"
"2015-03-13","125.000000"
"2015-03-16","129.869995"
"2015-03-17","129.100006"
"2015-03-18","130.440002"
"2015-03-19","132.039993"
"2015-03-20","133.289993"
"2015-03-23","134.440002"
"2015-03-24","133.119995"
"2015-03-25","124.430000"
"2015-03-26","124.709999"
"2015-03-27","128.210007"
"2015-03-30","130.550003"
"2015-03-31","126.980003"
"2015-04-01","125.629997"
"2015-04-02","125.019997"
"2015-04-06","125.830002"
"2015-04-07","125.650002"
"2015-04-08","126.790001"
"2015-04-09","127.220001"
"2015-04-10","126.820000"
"2015-04-13","125.349998"
"2015-04-14","123.980003"
"2015-04-15","125.900002"
"2015-04-16","125.330002"
"2015-04-17","121.849998"
"2015-04-20","123.029999"
"2015-04-21","123.099998"
"2015-04-22","127.900002"
"2015-04-23","124.070000"
"2015-04-24","119.500000"
"2015-04-27","120.150002"
"2015-04-28","117.449997"
"2015-04-29","117.029999"
"2015-04-30","116.879997"
"2015-05-01","122.800003"
"2015-05-04","121.160004"
"2015-05-05","116.790001"
"2015-05-06","116.779999"
"2015-05-07","122.480003"
"2015-05-08","123.330002"
"2015-05-11","122.809998"
"2015-05-12","122.949997"
