"date, price"
"2014-12-04","341.179993"
"2014-12-05","340.869995"
"2014-12-08","344.049988"
"2014-12-09","347.609985"
"2014-12-10","343.589996"
"2014-12-11","342.329987"
"2014-12-12","344.489990"
"2014-12-15","335.799988"
"2014-12-16","325.130005"
"2014-12-17","332.890015"
"2014-12-18","353.700012"
"2014-12-19","360.670013"
"2014-12-22","352.290009"
"2014-12-23","335.760010"
"2014-12-24","340.890015"
"2014-12-26","342.399994"
"2014-12-29","343.429993"
"2014-12-30","342.190002"
"2014-12-31","339.450012"
"2015-01-02","342.010010"
"2015-01-05","336.739990"
"2015-01-06","334.649994"
"2015-01-07","353.239990"
"2015-01-08","350.250000"
"2015-01-09","342.339996"
"2015-01-12","347.839996"
"2015-01-13","352.739990"
"2015-01-14","348.750000"
"2015-01-15","339.880005"
"2015-01-16","352.750000"
"2015-01-20","363.279999"
"2015-01-21","361.829987"
"2015-01-22","353.649994"
"2015-01-23","357.529999"
"2015-01-26","362.440002"
"2015-01-27","357.890015"
"2015-01-28","351.179993"
"2015-01-29","353.250000"
"2015-01-30","389.160004"
"2015-02-02","390.000000"
"2015-02-03","393.890015"
"2015-02-04","391.119995"
"2015-02-05","401.790009"
"2015-02-06","402.000000"
"2015-02-09","396.880005"
"2015-02-10","395.130005"
"2015-02-11","390.000000"
"2015-02-12","392.109985"
"2015-02-13","391.660004"
"2015-02-17","397.910004"
"2015-02-18","401.119995"
"2015-02-19","406.730011"
"2015-02-20","408.049988"
"2015-02-23","408.579987"
"2015-02-24","404.890015"
"2015-02-25","408.940002"
"2015-02-26","410.100006"
"2015-02-27","409.589996"
"2015-03-02","415.790009"
"2015-03-03","412.790009"
"2015-03-04","414.130005"
"2015-03-05","425.609985"
"2015-03-06","417.630005"
"2015-03-09","415.510010"
"2015-03-10","414.200012"
"2015-03-11","408.109985"
"2015-03-12","407.640015"
"2015-03-13","413.350006"
"2015-03-16","421.320007"
"2015-03-17","426.119995"
"2015-03-18","427.929993"
"2015-03-19","433.649994"
"2015-03-20","475.980011"
"2015-03-23","463.730011"
"2015-03-24","452.709991"
"2015-03-25","431.630005"
"2015-03-26","428.929993"
"2015-03-27","429.869995"
"2015-03-30","431.619995"
"2015-03-31","422.239990"
"2015-04-01","413.809998"
"2015-04-02","412.440002"
"2015-04-06","413.420013"
"2015-04-07","418.089996"
"2015-04-08","425.359985"
"2015-04-09","426.630005"
"2015-04-10","425.649994"
"2015-04-13","423.359985"
"2015-04-14","423.570007"
"2015-04-15","430.959991"
"2015-04-16","428.649994"
"2015-04-17","419.440002"
"2015-04-20","422.920013"
"2015-04-21","422.109985"
"2015-04-22","423.570007"
"2015-04-23","430.279999"
"2015-04-24","401.709991"
"2015-04-27","389.269989"
"2015-04-28","374.679993"
"2015-04-29","383.779999"
"2015-04-30","373.929993"
"2015-05-01","386.220001"
"2015-05-04","386.220001"
"2015-05-05","385.799988"
"2015-05-06","383.559998"
"2015-05-07","383.290009"
"2015-05-08","398.429993"
"2015-05-11","396.910004"
"2015-05-12","395.299988"
"2015-05-13","390.040009"
"2015-05-14","394.350006"
"2015-05-15","391.239990"
"2015-05-18","395.420013"
"2015-05-19","395.170013"
"2015-05-20","401.000000"
"2015-05-21","401.149994"
"2015-05-22","398.679993"
"2015-05-26","392.880005"
"2015-05-27","402.920013"
"2015-05-28","400.100006"
"2015-05-29","396.989990"
"2015-06-01","393.350006"
"2015-06-02","387.619995"
"2015-06-03","387.480011"
"2015-06-04","384.339996"
"2015-06-05","387.859985"
"2015-06-08","386.369995"
"2015-06-09","382.000000"
"2015-06-10","388.500000"
"2015-06-11","393.540009"
"2015-06-12","388.769989"
"2015-06-15","388.279999"
"2015-06-16","388.279999"
"2015-06-17","390.859985"
"2015-06-18","401.549988"
"2015-06-19","411.049988"
"2015-06-22","417.570007"
"2015-06-23","416.260010"
"2015-06-24","410.649994"
"2015-06-25","411.290009"
"2015-06-26","408.730011"
"2015-06-29","396.209991"
"2015-06-30","403.940002"
"2015-07-01","405.410004"
"2015-07-02","404.279999"
"2015-07-06","404.630005"
"2015-07-07","408.059998"
"2015-07-08","397.679993"
"2015-07-09","399.290009"
