"date, price"
"2018-03-28","11.240000"
"2018-03-29","11.000000"
"2018-04-02","11.000000"
"2018-04-03","10.910000"
"2018-04-04","10.970000"
"2018-04-05","10.980000"
"2018-04-06","10.940000"
"2018-04-09","11.100000"
"2018-04-10","11.500000"
"2018-04-11","11.480000"
"2018-04-12","11.620000"
"2018-04-13","11.400000"
"2018-04-16","11.330000"
"2018-04-17","11.320000"
"2018-04-18","11.350000"
"2018-04-19","11.350000"
"2018-04-20","11.190000"
"2018-04-23","11.190000"
"2018-04-24","11.290000"
"2018-04-25","10.900000"
"2018-04-26","11.000000"
"2018-04-27","10.610000"
"2018-04-30","10.920000"
"2018-05-01","10.580000"
"2018-05-02","10.260000"
"2018-05-03","10.080000"
"2018-05-04","9.990000"
"2018-05-07","10.000000"
"2018-05-08","10.270000"
"2018-05-09","10.650000"
"2018-05-10","11.000000"
"2018-05-11","11.460000"
"2018-05-14","12.070000"
"2018-05-15","12.160000"
"2018-05-16","14.110000"
"2018-05-17","13.550000"
"2018-05-18","12.840000"
"2018-05-21","12.750000"
"2018-05-22","13.140000"
"2018-05-23","12.440000"
"2018-05-24","13.850000"
"2018-05-25","14.240000"
"2018-05-29","15.030000"
"2018-05-30","16.670000"
"2018-05-31","16.230000"
"2018-06-01","16.910000"
"2018-06-04","16.430000"
"2018-06-05","16.709999"
"2018-06-06","16.570000"
"2018-06-07","16.219999"
"2018-06-08","18.950001"
"2018-06-11","18.420000"
"2018-06-12","18.660000"
"2018-06-13","20.070000"
"2018-06-14","20.500000"
"2018-06-15","19.650000"
"2018-06-18","21.280001"
"2018-06-19","19.180000"
"2018-06-20","18.540001"
"2018-06-21","16.440001"
"2018-06-22","16.650000"
"2018-06-25","15.360000"
"2018-06-26","15.850000"
"2018-06-27","13.900000"
"2018-06-28","14.500000"
"2018-06-29","13.990000"
"2018-07-02","13.360000"
"2018-07-03","13.800000"
"2018-07-05","12.900000"
"2018-07-06","13.300000"
"2018-07-09","13.850000"
"2018-07-10","13.260000"
"2018-07-11","12.780000"
"2018-07-12","14.260000"
"2018-07-13","13.800000"
"2018-07-16","13.800000"
"2018-07-17","13.690000"
"2018-07-18","14.430000"
"2018-07-19","13.920000"
"2018-07-20","14.410000"
"2018-07-23","14.180000"
"2018-07-24","13.920000"
"2018-07-25","13.360000"
"2018-07-26","12.770000"
"2018-07-27","12.130000"
"2018-07-30","11.590000"
"2018-07-31","11.710000"
"2018-08-01","11.330000"
"2018-08-02","11.510000"
"2018-08-03","11.060000"
"2018-08-06","11.270000"
"2018-08-07","11.400000"
"2018-08-08","11.390000"
"2018-08-09","11.250000"
"2018-08-10","11.140000"
"2018-08-13","10.810000"
"2018-08-14","10.660000"
"2018-08-15","10.265000"
"2018-08-16","10.560000"
"2018-08-17","10.700000"
"2018-08-20","11.300000"
"2018-08-21","11.850000"
"2018-08-22","11.010000"
"2018-08-23","10.530000"
"2018-08-24","10.910000"
"2018-08-27","11.530000"
"2018-08-28","13.080000"
"2018-08-29","13.760000"
"2018-08-30","13.140000"
"2018-08-31","12.830000"
"2018-09-04","12.500000"
"2018-09-05","11.390000"
"2018-09-06","11.400000"
"2018-09-07","11.710000"
"2018-09-10","11.310000"
"2018-09-11","11.840000"
"2018-09-12","13.030000"
"2018-09-13","13.350000"
"2018-09-14","13.520000"
"2018-09-17","13.230000"
"2018-09-18","13.760000"
"2018-09-19","13.220000"
"2018-09-20","13.440000"
"2018-09-21","12.430000"
"2018-09-24","12.000000"
"2018-09-25","12.550000"
"2018-09-26","12.870000"
"2018-09-27","13.020000"
"2018-09-28","13.480000"
"2018-10-01","13.950000"
"2018-10-02","13.310000"
"2018-10-03","14.370000"
"2018-10-04","13.550000"
"2018-10-05","13.350000"
"2018-10-08","13.630000"
"2018-10-09","13.170000"
"2018-10-10","12.420000"
"2018-10-11","12.690000"
"2018-10-12","13.710000"
"2018-10-15","13.950000"
"2018-10-16","13.460000"
"2018-10-17","13.250000"
"2018-10-18","12.610000"
"2018-10-19","12.490000"
"2018-10-22","13.050000"
"2018-10-23","12.970000"
"2018-10-24","11.990000"
"2018-10-25","12.570000"
"2018-10-26","13.170000"
"2018-10-29","12.470000"
"2018-10-30","13.100000"
"2018-10-31","13.500000"
"2018-11-01","14.190000"
"2018-11-02","14.430000"
"2018-11-05","14.360000"
"2018-11-06","14.910000"
"2018-11-07","15.150000"
"2018-11-08","14.490000"
"2018-11-09","13.400000"
"2018-11-12","12.900000"
"2018-11-13","13.770000"
"2018-11-14","13.560000"
"2018-11-15","14.470000"
"2018-11-16","14.500000"
"2018-11-19","13.025000"
"2018-11-20","13.600000"
"2018-11-21","15.140000"
"2018-11-23","14.980000"
"2018-11-26","14.940000"
"2018-11-27","14.970000"
"2018-11-28","16.139999"
"2018-11-29","14.930000"
"2018-11-30","15.610000"
"2018-12-03","15.420000"
"2018-12-04","14.330000"
"2018-12-06","14.680000"
"2018-12-07","14.690000"
"2018-12-10","14.710000"
"2018-12-11","15.050000"
"2018-12-12","15.290000"
"2018-12-13","14.950000"
"2018-12-14","15.220000"
"2018-12-17","14.280000"
"2018-12-18","14.720000"
"2018-12-19","14.550000"
"2018-12-20","14.630000"
"2018-12-21","13.300000"
"2018-12-24","13.710000"
"2018-12-26","13.850000"
"2018-12-27","14.080000"
"2018-12-28","14.370000"
"2018-12-31","14.590000"
"2019-01-02","14.280000"
"2019-01-03","12.950000"
"2019-01-04","13.700000"
"2019-01-07","14.270000"
"2019-01-08","14.780000"
"2019-01-09","15.750000"
"2019-01-10","16.260000"
"2019-01-11","15.360000"
"2019-01-14","15.060000"
"2019-01-15","15.510000"
"2019-01-16","16.030001"
"2019-01-17","16.530001"
"2019-01-18","16.709999"
"2019-01-22","15.930000"
"2019-01-23","15.950000"
"2019-01-24","16.889999"
"2019-01-25","17.440001"
"2019-01-28","17.980000"
"2019-01-29","17.840000"
"2019-01-30","17.760000"
"2019-01-31","18.410000"
"2019-02-01","17.830000"
"2019-02-04","17.700001"
"2019-02-05","18.209999"
"2019-02-06","18.209999"
"2019-02-07","17.180000"
"2019-02-08","17.459999"
"2019-02-11","17.290001"
"2019-02-12","17.860001"
"2019-02-13","18.200001"
"2019-02-14","18.920000"
"2019-02-15","17.740000"
"2019-02-19","17.799999"
"2019-02-20","18.309999"
"2019-02-21","18.139999"
"2019-02-22","19.480000"
"2019-02-25","20.260000"
"2019-02-26","19.730000"
"2019-02-27","19.860001"
"2019-02-28","18.980000"
"2019-03-01","17.980000"
"2019-03-04","18.820000"
"2019-03-05","19.139999"
"2019-03-06","18.660000"
"2019-03-07","17.799999"
"2019-03-08","17.940001"
"2019-03-11","18.600000"
"2019-03-12","18.900000"
"2019-03-13","18.200001"
"2019-03-14","18.500000"
"2019-03-15","18.709999"
"2019-03-18","18.500000"
"2019-03-19","18.650000"
"2019-03-20","17.750000"
"2019-03-21","17.709999"
"2019-03-22","17.209999"
"2019-03-25","17.590000"
"2019-03-26","17.700001"
"2019-03-27","17.709999"
"2019-03-28","18.100000"
"2019-03-29","18.950001"
"2019-04-01","18.799999"
"2019-04-02","18.049999"
"2019-04-03","18.080000"
"2019-04-04","17.230000"
"2019-04-05","18.020000"
"2019-04-08","17.910000"
"2019-04-09","17.840000"
"2019-04-10","17.629999"
"2019-04-11","17.469999"
"2019-04-12","18.320000"
"2019-04-15","17.180000"
"2019-04-16","17.100000"
"2019-04-17","16.930000"
"2019-04-18","17.450001"
"2019-04-22","17.719999"
"2019-04-23","17.730000"
"2019-04-24","17.770000"
"2019-04-25","17.490000"
"2019-04-26","17.780001"
"2019-04-29","17.680000"
