"date, price"
"2014-12-04","89.959999"
"2014-12-05","90.180000"
"2014-12-08","92.720001"
"2014-12-09","94.190002"
"2014-12-10","91.400002"
"2014-12-11","92.900002"
"2014-12-12","91.519997"
"2014-12-15","87.230003"
"2014-12-16","86.059998"
"2014-12-17","87.209999"
"2014-12-18","91.830002"
"2014-12-19","93.839996"
"2014-12-22","92.800003"
"2014-12-23","87.290001"
"2014-12-24","88.180000"
"2014-12-26","91.529999"
"2014-12-29","92.209999"
"2014-12-30","90.339996"
"2014-12-31","90.400002"
"2015-01-02","92.169998"
"2015-01-05","93.110001"
"2015-01-06","90.279999"
"2015-01-07","93.760002"
"2015-01-08","94.180000"
"2015-01-09","93.779999"
"2015-01-12","96.580002"
"2015-01-13","97.129997"
"2015-01-14","98.940002"
"2015-01-15","97.779999"
"2015-01-16","99.449997"
"2015-01-20","99.160004"
"2015-01-21","96.139999"
"2015-01-22","95.849998"
"2015-01-23","97.690002"
"2015-01-26","99.510002"
"2015-01-27","99.580002"
"2015-01-28","97.250000"
"2015-01-29","99.650002"
"2015-01-30","97.160004"
"2015-02-02","95.339996"
"2015-02-03","92.760002"
"2015-02-04","94.360001"
"2015-02-05","95.639999"
"2015-02-06","93.849998"
"2015-02-09","94.000000"
"2015-02-10","94.739998"
"2015-02-11","95.800003"
"2015-02-12","98.779999"
"2015-02-13","100.760002"
"2015-02-17","101.510002"
"2015-02-18","103.360001"
"2015-02-19","104.190002"
"2015-02-20","107.160004"
"2015-02-23","107.830002"
"2015-02-24","106.029999"
"2015-02-25","107.500000"
"2015-02-26","108.839996"
"2015-02-27","107.070000"
"2015-03-02","108.419998"
"2015-03-03","108.360001"
"2015-03-04","109.790001"
"2015-03-05","113.500000"
"2015-03-06","113.769997"
"2015-03-09","113.180000"
"2015-03-10","113.160004"
"2015-03-11","114.449997"
"2015-03-12","115.589996"
"2015-03-13","123.519997"
"2015-03-16","124.370003"
"2015-03-17","127.269997"
"2015-03-18","126.110001"
"2015-03-19","127.489998"
"2015-03-20","125.169998"
"2015-03-23","123.620003"
"2015-03-24","123.000000"
"2015-03-25","115.620003"
"2015-03-26","115.550003"
"2015-03-27","128.779999"
"2015-03-30","129.139999"
"2015-03-31","124.620003"
"2015-04-01","120.949997"
"2015-04-02","120.379997"
"2015-04-06","118.779999"
"2015-04-07","121.169998"
"2015-04-08","123.639999"
"2015-04-09","122.080002"
"2015-04-10","122.199997"
"2015-04-13","122.139999"
"2015-04-14","121.500000"
"2015-04-15","120.800003"
"2015-04-16","121.660004"
"2015-04-17","120.910004"
"2015-04-20","120.129997"
"2015-04-21","121.239998"
"2015-04-22","121.080002"
"2015-04-23","122.949997"
"2015-04-24","120.279999"
"2015-04-27","116.970001"
"2015-04-28","115.650002"
"2015-04-29","115.190002"
"2015-04-30","112.050003"
"2015-05-01","115.919998"
"2015-05-04","116.320000"
"2015-05-05","113.919998"
"2015-05-06","119.699997"
"2015-05-07","120.360001"
"2015-05-08","121.660004"
"2015-05-11","120.959999"
"2015-05-12","121.089996"
"2015-05-13","121.470001"
"2015-05-14","122.650002"
"2015-05-15","122.779999"
"2015-05-18","126.019997"
"2015-05-19","124.989998"
"2015-05-20","127.970001"
"2015-05-21","126.879997"
"2015-05-22","127.190002"
"2015-05-26","127.110001"
"2015-05-27","129.539993"
"2015-05-28","127.389999"
