"date, price"
"2019-10-10","14.240000"
"2019-10-11","13.820000"
"2019-10-14","12.750000"
"2019-10-15","12.920000"
"2019-10-16","12.940000"
"2019-10-17","13.000000"
"2019-10-18","14.140000"
"2019-10-21","16.280001"
"2019-10-22","20.639999"
"2019-10-23","17.639999"
"2019-10-24","18.850000"
"2019-10-25","17.570000"
"2019-10-28","16.459999"
"2019-10-29","17.000000"
"2019-10-30","16.790001"
"2019-10-31","16.820000"
"2019-11-01","16.520000"
"2019-11-04","18.969999"
"2019-11-05","18.480000"
"2019-11-06","17.379999"
"2019-11-07","18.420000"
"2019-11-08","18.870001"
"2019-11-11","19.740000"
"2019-11-12","17.639999"
"2019-11-13","18.549999"
"2019-11-14","19.000000"
"2019-11-15","19.240000"
"2019-11-18","19.700001"
"2019-11-19","20.330000"
"2019-11-20","20.350000"
"2019-11-21","19.680000"
"2019-11-22","21.330000"
"2019-11-25","20.750000"
"2019-11-26","21.360001"
"2019-11-27","21.879999"
"2019-11-29","21.980000"
"2019-12-02","21.870001"
"2019-12-03","20.770000"
"2019-12-04","21.370001"
"2019-12-05","22.490000"
"2019-12-06","24.370001"
"2019-12-09","29.000000"
"2019-12-10","28.000000"
"2019-12-11","31.299999"
"2019-12-12","29.840000"
"2019-12-13","32.450001"
"2019-12-16","35.000000"
"2019-12-17","36.910000"
"2019-12-18","35.000000"
"2019-12-19","29.340000"
"2019-12-20","34.970001"
"2019-12-23","34.730000"
"2019-12-24","33.470001"
"2019-12-26","33.200001"
"2019-12-27","32.580002"
"2019-12-30","34.910000"
"2019-12-31","33.880001"
"2020-01-02","38.500000"
"2020-01-03","40.049999"
"2020-01-06","44.580002"
"2020-01-07","43.340000"
"2020-01-08","45.099998"
"2020-01-09","43.270000"
"2020-01-10","39.680000"
"2020-01-13","37.830002"
"2020-01-14","34.529999"
"2020-01-15","34.549999"
"2020-01-16","32.250000"
"2020-01-17","33.180000"
"2020-01-21","36.540001"
"2020-01-22","38.880001"
"2020-01-23","36.700001"
"2020-01-24","34.990002"
"2020-01-27","33.200001"
"2020-01-28","34.220001"
"2020-01-29","31.799999"
"2020-01-30","29.900000"
"2020-01-31","29.209999"
"2020-02-03","30.270000"
"2020-02-04","32.919998"
"2020-02-05","29.250000"
"2020-02-06","32.930000"
"2020-02-07","30.879999"
"2020-02-10","32.119999"
"2020-02-11","30.709999"
"2020-02-12","29.559999"
"2020-02-13","30.639999"
"2020-02-14","30.750000"
"2020-02-18","31.540001"
"2020-02-19","32.250000"
"2020-02-20","32.380001"
"2020-02-21","32.349998"
"2020-02-24","30.600000"
"2020-02-25","33.439999"
"2020-02-26","33.750000"
"2020-02-27","33.880001"
"2020-02-28","35.099998"
"2020-03-02","36.599998"
"2020-03-03","38.480000"
"2020-03-04","39.189999"
"2020-03-05","37.119999"
"2020-03-06","38.090000"
"2020-03-09","33.480000"
"2020-03-10","33.959999"
"2020-03-11","32.169998"
"2020-03-12","28.549999"
