"date, price"
"2014-12-04","19.629999"
"2014-12-05","19.530001"
"2014-12-08","19.219999"
"2014-12-09","19.180000"
"2014-12-10","18.719999"
"2014-12-11","19.010000"
"2014-12-12","18.570000"
"2014-12-15","18.230000"
"2014-12-16","17.980000"
"2014-12-17","18.670000"
"2014-12-18","19.129999"
"2014-12-19","19.559999"
"2014-12-22","19.639999"
"2014-12-23","19.410000"
"2014-12-24","19.500000"
"2014-12-26","19.660000"
"2014-12-29","19.959999"
"2014-12-30","19.920000"
"2014-12-31","19.620001"
"2015-01-02","19.629999"
"2015-01-05","19.120001"
"2015-01-06","18.690001"
"2015-01-07","19.150000"
"2015-01-08","20.020000"
"2015-01-09","19.250000"
"2015-01-12","19.360001"
"2015-01-13","19.440001"
"2015-01-14","19.340000"
"2015-01-15","18.350000"
"2015-01-16","18.430000"
"2015-01-20","18.540001"
"2015-01-21","18.400000"
"2015-01-22","18.480000"
"2015-01-23","18.500000"
"2015-01-26","18.629999"
"2015-01-27","18.610001"
"2015-01-28","18.730000"
"2015-01-29","19.260000"
"2015-01-30","18.860001"
"2015-02-02","18.870001"
"2015-02-03","19.330000"
"2015-02-04","19.219999"
"2015-02-05","19.400000"
"2015-02-06","18.969999"
"2015-02-09","18.969999"
"2015-02-10","18.760000"
"2015-02-11","18.730000"
"2015-02-12","18.790001"
"2015-02-13","18.770000"
"2015-02-17","18.740000"
"2015-02-18","19.170000"
"2015-02-19","19.370001"
"2015-02-20","18.770000"
"2015-02-23","19.080000"
"2015-02-24","18.980000"
"2015-02-25","18.650000"
"2015-02-26","19.020000"
"2015-02-27","19.030001"
"2015-03-02","19.000000"
"2015-03-03","18.830000"
"2015-03-04","18.889999"
"2015-03-05","19.139999"
"2015-03-06","18.820000"
"2015-03-09","19.100000"
"2015-03-10","18.780001"
"2015-03-11","18.820000"
"2015-03-12","19.170000"
"2015-03-13","18.910000"
"2015-03-16","19.299999"
"2015-03-17","19.020000"
"2015-03-18","19.530001"
"2015-03-19","19.719999"
"2015-03-20","19.180000"
"2015-03-23","19.139999"
"2015-03-24","18.760000"
"2015-03-25","18.459999"
"2015-03-26","18.250000"
"2015-03-27","18.299999"
"2015-03-30","18.750000"
"2015-03-31","18.469999"
"2015-04-01","18.610001"
"2015-04-02","18.860001"
"2015-04-06","20.150000"
"2015-04-07","19.850000"
"2015-04-08","19.570000"
"2015-04-09","19.559999"
"2015-04-10","20.180000"
"2015-04-13","19.780001"
"2015-04-14","19.670000"
"2015-04-15","19.930000"
"2015-04-16","19.930000"
"2015-04-17","19.610001"
"2015-04-20","19.620001"
"2015-04-21","19.730000"
"2015-04-22","19.379999"
"2015-04-23","19.320000"
"2015-04-24","19.469999"
"2015-04-27","18.990000"
"2015-04-28","19.320000"
"2015-04-29","19.209999"
"2015-04-30","18.959999"
"2015-05-01","19.540001"
"2015-05-04","19.480000"
"2015-05-05","19.190001"
"2015-05-06","19.780001"
"2015-05-07","21.230000"
"2015-05-08","21.459999"
"2015-05-11","21.040001"
"2015-05-12","20.900000"
"2015-05-13","20.879999"
"2015-05-14","21.170000"
"2015-05-15","21.520000"
"2015-05-18","21.850000"
"2015-05-19","21.820000"
"2015-05-20","22.209999"
"2015-05-21","19.040001"
"2015-05-22","19.600000"
"2015-05-26","19.760000"
"2015-05-27","19.930000"
"2015-05-28","19.900000"
"2015-05-29","19.840000"
"2015-06-01","19.840000"
"2015-06-02","20.049999"
"2015-06-03","20.450001"
"2015-06-04","20.590000"
"2015-06-05","20.540001"
"2015-06-08","20.230000"
"2015-06-09","20.330000"
"2015-06-10","20.469999"
"2015-06-11","21.000000"
"2015-06-12","20.510000"
"2015-06-15","20.250000"
"2015-06-16","20.559999"
"2015-06-17","20.680000"
"2015-06-18","20.889999"
"2015-06-19","20.860001"
"2015-06-22","21.129999"
"2015-06-23","21.180000"
"2015-06-24","20.790001"
"2015-06-25","20.780001"
"2015-06-26","20.889999"
"2015-06-29","20.370001"
"2015-06-30","20.410000"
"2015-07-01","20.559999"
"2015-07-02","20.370001"
"2015-07-06","20.480000"
"2015-07-07","20.650000"
"2015-07-08","20.080000"
"2015-07-09","20.200001"
"2015-07-10","20.530001"
"2015-07-13","20.959999"
"2015-07-14","21.340000"
"2015-07-15","21.010000"
"2015-07-16","21.160000"
"2015-07-17","21.100000"
"2015-07-20","20.969999"
"2015-07-21","20.740000"
"2015-07-22","21.330000"
"2015-07-23","21.410000"
"2015-07-24","21.059999"
"2015-07-27","20.700001"
"2015-07-28","20.590000"
"2015-07-29","20.510000"
"2015-07-30","20.690001"
"2015-07-31","21.049999"
"2015-08-03","21.459999"
"2015-08-04","21.160000"
"2015-08-05","21.250000"
"2015-08-06","20.020000"
"2015-08-07","19.820000"
"2015-08-10","20.180000"
"2015-08-11","19.900000"
"2015-08-12","20.020000"
"2015-08-13","20.129999"
"2015-08-14","20.139999"
"2015-08-17","20.370001"
"2015-08-18","20.120001"
"2015-08-19","20.100000"
"2015-08-20","19.510000"
"2015-08-21","19.070000"
"2015-08-24","18.320000"
"2015-08-25","18.150000"
"2015-08-26","18.520000"
"2015-08-27","18.730000"
"2015-08-28","18.580000"
"2015-08-31","18.379999"
"2015-09-01","17.830000"
"2015-09-02","18.100000"
"2015-09-03","18.000000"
"2015-09-04","17.809999"
"2015-09-08","18.080000"
"2015-09-09","18.120001"
"2015-09-10","18.020000"
"2015-09-11","18.100000"
"2015-09-14","18.000000"
"2015-09-15","18.160000"
"2015-09-16","18.280001"
"2015-09-17","18.360001"
"2015-09-18","17.910000"
"2015-09-21","17.969999"
"2015-09-22","17.760000"
"2015-09-23","17.670000"
"2015-09-24","17.389999"
"2015-09-25","17.059999"
"2015-09-28","16.510000"
"2015-09-29","16.459999"
"2015-09-30","16.430000"
"2015-10-01","16.309999"
"2015-10-02","16.840000"
"2015-10-05","17.120001"
"2015-10-06","17.400000"
"2015-10-07","17.790001"
"2015-10-08","17.709999"
"2015-10-09","17.830000"
"2015-10-12","17.860001"
"2015-10-13","17.570000"
"2015-10-14","17.440001"
"2015-10-15","17.910000"
"2015-10-16","18.049999"
"2015-10-19","18.160000"
"2015-10-20","18.250000"
"2015-10-21","17.940001"
"2015-10-22","17.900000"
"2015-10-23","18.350000"
"2015-10-26","18.290001"
"2015-10-27","18.260000"
