"date, price"
"2017-10-12","27.580000"
"2017-10-13","28.530001"
"2017-10-16","31.850000"
"2017-10-17","28.280001"
"2017-10-18","28.139999"
"2017-10-19","28.230000"
"2017-10-20","29.190001"
"2017-10-23","28.920000"
"2017-10-24","29.090000"
"2017-10-25","29.010000"
"2017-10-26","30.030001"
"2017-10-27","30.959999"
"2017-10-30","31.740000"
"2017-10-31","32.599998"
"2017-11-01","31.719999"
"2017-11-02","31.790001"
"2017-11-03","31.440001"
"2017-11-06","30.420000"
"2017-11-07","29.760000"
"2017-11-08","28.490000"
"2017-11-09","28.350000"
"2017-11-10","28.969999"
"2017-11-13","29.549999"
"2017-11-14","29.820000"
"2017-11-15","31.030001"
"2017-11-16","31.350000"
"2017-11-17","30.820000"
"2017-11-20","28.990000"
"2017-11-21","28.639999"
"2017-11-22","28.600000"
"2017-11-24","28.660000"
"2017-11-27","29.160000"
"2017-11-28","29.969999"
"2017-11-29","29.299999"
"2017-11-30","29.480000"
"2017-12-01","29.299999"
"2017-12-04","29.290001"
"2017-12-05","30.559999"
"2017-12-06","30.299999"
"2017-12-07","30.860001"
"2017-12-08","30.330000"
"2017-12-11","30.559999"
"2017-12-12","29.799999"
"2017-12-13","29.459999"
"2017-12-14","30.100000"
"2017-12-15","30.629999"
"2017-12-18","31.090000"
"2017-12-19","31.040001"
"2017-12-20","30.100000"
"2017-12-21","29.910000"
"2017-12-22","29.940001"
"2017-12-26","29.809999"
"2017-12-27","29.799999"
"2017-12-28","29.770000"
"2017-12-29","29.980000"
"2018-01-02","30.129999"
"2018-01-03","29.850000"
"2018-01-04","30.070000"
"2018-01-05","29.959999"
"2018-01-08","30.350000"
"2018-01-09","30.480000"
"2018-01-10","30.330000"
"2018-01-11","30.719999"
"2018-01-12","30.629999"
"2018-01-16","32.340000"
"2018-01-17","34.410000"
"2018-01-18","33.849998"
"2018-01-19","36.020000"
"2018-01-22","31.620001"
"2018-01-23","32.340000"
"2018-01-24","33.080002"
"2018-01-25","34.009998"
"2018-01-26","33.990002"
"2018-01-29","34.009998"
