"date, price"
"2014-12-04","35.145851"
"2014-12-05","35.598335"
"2014-12-08","35.655926"
"2014-12-09","35.952099"
"2014-12-10","35.112942"
"2014-12-11","35.293938"
"2014-12-12","34.940174"
"2014-12-15","34.685135"
"2014-12-16","34.676910"
"2014-12-17","35.285709"
"2014-12-18","35.804012"
"2014-12-19","35.853374"
"2014-12-22","35.771103"
"2014-12-23","35.853374"
"2014-12-24","35.664150"
"2014-12-26","35.771103"
"2014-12-29","36.157776"
"2014-12-30","35.985004"
"2014-12-31","35.779331"
"2015-01-02","35.581882"
"2015-01-05","34.940174"
"2015-01-06","34.068108"
"2015-01-07","34.216194"
"2015-01-08","34.495914"
"2015-01-09","33.780163"
"2015-01-12","33.418175"
"2015-01-13","33.442856"
"2015-01-14","33.138454"
"2015-01-15","32.587246"
"2015-01-16","32.891644"
"2015-01-20","32.850510"
"2015-01-21","33.039730"
"2015-01-22","34.356056"
"2015-01-23","34.207970"
"2015-01-26","34.512367"
"2015-01-27","33.714348"
"2015-01-28","32.899872"
"2015-01-29","33.122002"
"2015-01-30","32.908100"
"2015-02-02","33.525127"
"2015-02-03","34.150379"
"2015-02-04","33.821301"
"2015-02-05","34.430099"
"2015-02-06","34.693363"
"2015-02-09","34.430099"
"2015-02-10","34.561729"
"2015-02-11","34.479462"
"2015-02-12","35.030670"
"2015-02-13","35.088261"
"2015-02-17","35.269257"
"2015-02-18","34.833221"
"2015-02-19","34.701591"
"2015-02-20","34.997765"
"2015-02-23","34.973083"
"2015-02-24","34.849678"
"2015-02-25","34.775635"
"2015-02-26","34.430099"
"2015-02-27","34.158607"
"2015-03-02","34.487686"
"2015-03-03","34.487686"
"2015-03-04","34.298466"
"2015-03-05","34.364281"
"2015-03-06","34.512367"
"2015-03-09","34.676910"
"2015-03-10","34.101017"
"2015-03-11","34.388962"
"2015-03-12","35.162304"
"2015-03-13","34.800316"
"2015-03-16","34.940174"
"2015-03-17","35.112942"
"2015-03-18","35.186985"
"2015-03-19","34.923721"
"2015-03-20","35.351524"
"2015-03-23","35.055351"
"2015-03-24","34.907265"
"2015-03-25","34.569958"
"2015-03-26","34.652229"
"2015-03-27","34.685135"
"2015-03-30","35.096489"
"2015-03-31","34.816769"
"2015-04-01","34.594639"
"2015-04-02","34.816769"
"2015-04-06","34.824997"
"2015-04-07","34.997765"
"2015-04-08","34.866131"
"2015-04-09","34.594639"
"2015-04-10","34.454781"
"2015-04-13","34.931946"
"2015-04-14","34.940174"
"2015-04-15","35.425568"
"2015-04-16","35.376205"
"2015-04-17","34.997765"
"2015-04-20","35.186985"
"2015-04-21","35.129395"
"2015-04-22","35.244576"
"2015-04-23","35.186985"
"2015-04-24","35.104713"
"2015-04-27","34.833221"
"2015-04-28","35.269257"
"2015-04-29","35.450249"
"2015-04-30","35.137623"
"2015-05-01","34.841450"
"2015-05-04","35.236347"
"2015-05-05","35.236347"
"2015-05-06","35.565430"
"2015-05-07","35.376205"
"2015-05-08","35.540749"
"2015-05-11","35.845146"
"2015-05-12","35.960323"
"2015-05-13","36.042595"
"2015-05-14","36.240044"
"2015-05-15","35.680607"
"2015-05-18","36.166000"
"2015-05-19","36.799480"
"2015-05-20","36.470402"
"2015-05-21","36.495083"
"2015-05-22","36.462173"
"2015-05-26","36.396358"
"2015-05-27","36.659622"
"2015-05-28","36.865299"
"2015-05-29","36.700756"
"2015-06-01","36.667850"
"2015-06-02","36.955795"
"2015-06-03","37.219059"
"2015-06-04","36.964024"
"2015-06-05","37.860767"
"2015-06-08","38.033535"
"2015-06-09","38.428432"
"2015-06-10","38.568291"
"2015-06-11","38.823330"
"2015-06-12","38.724606"
"2015-06-15","38.675243"
"2015-06-16","39.193546"
"2015-06-17","38.617653"
"2015-06-18","38.946735"
"2015-06-19","38.230984"
"2015-06-22","38.749287"
"2015-06-23","39.193546"
"2015-06-24","38.864464"
"2015-06-25","39.012550"
"2015-06-26","39.119503"
"2015-06-29","38.370842"
"2015-06-30","38.477795"
"2015-07-01","38.872692"
"2015-07-02","38.395523"
"2015-07-06","38.354389"
"2015-07-07","37.893677"
"2015-07-08","37.589275"
"2015-07-09","37.885448"
"2015-07-10","38.247437"
"2015-07-13","38.732834"
"2015-07-14","38.880920"
"2015-07-15","39.432129"
"2015-07-16","39.588444"
"2015-07-17","39.251137"
"2015-07-20","39.596668"
"2015-07-21","39.284042"
"2015-07-22","39.530853"
"2015-07-23","39.267590"
"2015-07-24","38.897373"
"2015-07-27","38.469566"
"2015-07-28","38.444885"
"2015-07-29","38.535385"
"2015-07-30","38.724606"
"2015-07-31","38.741058"
"2015-08-03","38.757515"
"2015-08-04","38.897373"
"2015-08-05","39.193546"
"2015-08-06","38.930283"
"2015-08-07","38.798649"
"2015-08-10","39.423904"
"2015-08-11","38.864464"
"2015-08-12","38.420204"
"2015-08-13","38.609428"
"2015-08-14","39.119503"
"2015-08-17","39.185318"
"2015-08-18","39.029003"
"2015-08-19","38.584747"
"2015-08-20","37.819633"
"2015-08-21","37.309559"
"2015-08-24","35.779331"
"2015-08-25","34.956627"
"2015-08-26","35.993233"
"2015-08-27","36.774799"
"2015-08-28","36.684303"
"2015-08-31","36.865299"
"2015-09-01","35.285709"
"2015-09-02","35.828693"
"2015-09-03","36.017914"
"2015-09-04","35.762878"
"2015-09-08","36.750118"
"2015-09-09","36.182453"
"2015-09-10","36.511536"
"2015-09-11","36.577351"
"2015-09-14","36.495083"
"2015-09-15","37.079201"
"2015-09-16","37.145016"
"2015-09-17","36.445721"
"2015-09-18","35.795784"
"2015-09-21","36.511536"
"2015-09-22","36.264725"
"2015-09-23","36.593807"
"2015-09-24","36.692532"
"2015-09-25","37.350693"
"2015-09-28","36.996929"
"2015-09-29","37.038067"
"2015-09-30","37.482327"
"2015-10-01","37.309559"
"2015-10-02","36.824162"
"2015-10-05","37.622185"
"2015-10-06","37.564594"
"2015-10-07","38.198074"
"2015-10-08","38.411980"
"2015-10-09","38.099354"
"2015-10-12","38.313255"
"2015-10-13","37.992401"
"2015-10-14","36.149548"
"2015-10-15","36.346996"
"2015-10-16","36.281178"
"2015-10-19","36.322315"
"2015-10-20","36.733665"
"2015-10-21","36.207134"
"2015-10-22","36.807709"
"2015-10-23","37.679771"
"2015-10-26","37.457645"
"2015-10-27","36.799480"
"2015-10-28","38.263893"
"2015-10-29","38.148712"
"2015-10-30","37.474098"
"2015-11-02","38.107578"
"2015-11-03","38.099354"
"2015-11-04","38.206303"
"2015-11-05","38.683472"
"2015-11-06","39.465038"
"2015-11-09","39.473267"
"2015-11-10","39.596668"
"2015-11-11","39.308723"
"2015-11-12","38.551838"
"2015-11-13","38.115807"
"2015-11-16","38.625881"
"2015-11-17","38.609428"
"2015-11-18","39.135956"
"2015-11-19","39.061913"
"2015-11-20","39.234680"
"2015-11-23","39.300495"
"2015-11-24","39.347801"
"2015-11-25","39.442825"
"2015-11-27","39.598316"
"2015-11-30","39.667423"
"2015-12-01","39.848827"
"2015-12-02","39.244141"
"2015-12-03","38.717201"
"2015-12-04","39.555122"
"2015-12-07","38.622177"
"2015-12-08","37.887917"
"2015-12-09","37.283230"
"2015-12-10","37.360977"
"2015-12-11","36.626713"
"2015-12-14","36.600800"
"2015-12-15","37.559658"
"2015-12-16","37.749702"
"2015-12-17","37.101826"
"2015-12-18","36.194794"
"2015-12-21","36.410755"
"2015-12-22","36.626713"
"2015-12-23","37.058632"
"2015-12-24","37.300507"
"2015-12-28","37.309147"
"2015-12-29","37.663319"
"2015-12-30","37.248676"
"2015-12-31","36.747650"
"2016-01-04","35.952923"
"2016-01-05","35.970200"
"2016-01-06","35.590111"
"2016-01-07","34.873123"
"2016-01-08","34.225246"
"2016-01-11","34.302990"
"2016-01-12","34.553505"
"2016-01-13","33.689667"
"2016-01-14","34.112946"
"2016-01-15","33.724220"
"2016-01-19","33.724220"
"2016-01-20","33.698303"
"2016-01-21","32.894936"
"2016-01-22","33.879711"
"2016-01-25","32.696255"
"2016-01-26","33.931541"
"2016-01-27","34.017925"
"2016-01-28","34.605335"
"2016-01-29","35.529640"
"2016-02-01","35.270489"
"2016-02-02","34.527588"
"2016-02-03","35.089085"
"2016-02-04","35.693771"
"2016-02-05","35.529640"
"2016-02-08","35.417343"
"2016-02-09","35.495087"
"2016-02-10","35.011337"
"2016-02-11","34.147499"
"2016-02-12","35.555557"
"2016-02-16","36.471222"
"2016-02-17","36.177521"
"2016-02-18","36.186157"
"2016-02-19","36.566246"
"2016-02-22","37.015442"
"2016-02-23","36.445309"
"2016-02-24","36.436668"
"2016-02-25","36.989525"
"2016-02-26","37.352337"
"2016-02-29","36.695820"
"2016-03-01","37.931110"
"2016-03-02","38.483967"
"2016-03-03","38.872692"
"2016-03-04","39.365078"
"2016-03-07","39.295971"
"2016-03-08","38.492603"
"2016-03-09","37.697872"
"2016-03-10","38.449413"
"2016-03-11","38.889969"
"2016-03-14","38.578987"
"2016-03-15","38.535793"
"2016-03-16","38.354389"
"2016-03-17","38.535793"
"2016-03-18","39.010906"
"2016-03-21","38.984989"
"2016-03-22","39.036819"
"2016-03-23","38.967712"
"2016-03-24","38.587627"
"2016-03-28","38.518520"
"2016-03-29","38.838139"
"2016-03-30","39.313248"
"2016-03-31","38.829498"
"2016-04-01","39.105927"
"2016-04-04","38.967712"
"2016-04-05","37.974300"
"2016-04-06","38.363029"
"2016-04-07","37.317783"
"2016-04-08","37.507828"
"2016-04-11","37.671959"
"2016-04-12","38.285282"
"2016-04-13","39.356441"
"2016-04-14","39.727890"
"2016-04-15","39.822914"
"2016-04-18","40.030235"
"2016-04-19","40.496708"
"2016-04-20","41.040924"
"2016-04-21","40.418961"
"2016-04-22","40.764496"
"2016-04-25","40.790413"
"2016-04-26","41.040924"
"2016-04-27","40.868156"
"2016-04-28","40.470791"
"2016-04-29","40.444878"
"2016-05-02","40.781773"
"2016-05-03","40.107979"
"2016-05-04","39.840191"
"2016-05-05","39.805637"
"2016-05-06","40.168449"
"2016-05-09","40.254833"
"2016-05-10","41.023647"
"2016-05-11","41.015011"
"2016-05-12","41.248245"
"2016-05-13","40.617645"
"2016-05-16","41.023647"
"2016-05-17","40.367130"
"2016-05-18","41.412373"
"2016-05-19","41.075478"
"2016-05-20","41.524673"
"2016-05-23","41.282799"
"2016-05-24","41.870209"
"2016-05-25","42.284851"
"2016-05-26","41.896126"
"2016-05-27","42.457619"
"2016-05-31","42.267574"
"2016-06-01","42.552639"
"2016-06-02","42.673576"
"2016-06-03","42.008423"
"2016-06-06","42.431702"
"2016-06-07","42.284851"
"2016-06-08","42.198467"
"2016-06-09","41.783825"
"2016-06-10","41.533314"
"2016-06-13","41.049564"
"2016-06-14","40.488068"
"2016-06-15","40.634922"
"2016-06-16","40.142532"
"2016-06-17","40.228916"
"2016-06-20","40.712666"
"2016-06-21","40.876797"
"2016-06-22","40.937263"
"2016-06-23","42.189827"
"2016-06-24","40.064789"
"2016-06-27","38.734478"
"2016-06-28","39.658783"
"2016-06-29","40.341217"
"2016-06-30","41.377823"
"2016-07-01","40.721306"
"2016-07-05","39.917934"
"2016-07-06","40.220280"
"2016-07-07","40.367130"
"2016-07-08","40.738583"
"2016-07-11","41.265522"
"2016-07-12","41.904762"
"2016-07-13","41.878845"
"2016-07-14","42.310764"
"2016-07-15","41.757912"
"2016-07-18","41.611057"
"2016-07-19","41.541950"
"2016-07-20","41.360542"
"2016-07-21","40.989094"
"2016-07-22","41.464207"
"2016-07-25","41.040924"
"2016-07-26","41.066837"
"2016-07-27","41.040924"
"2016-07-28","40.850880"
"2016-07-29","40.850880"
"2016-08-01","40.643559"
"2016-08-02","40.211639"
"2016-08-03","40.980457"
"2016-08-04","40.885433"
"2016-08-05","42.086166"
"2016-08-08","41.939316"
"2016-08-09","41.973869"
"2016-08-10","41.593781"
"2016-08-11","41.757912"
"2016-08-12","41.697441"
"2016-08-15","42.051613"
"2016-08-16","41.904762"
"2016-08-17","42.094807"
"2016-08-18","42.353958"
"2016-08-19","42.388512"
"2016-08-22","42.448978"
"2016-08-23","42.423065"
"2016-08-24","42.587193"
"2016-08-25","42.690853"
"2016-08-26","42.932728"
"2016-08-29","43.243710"
"2016-08-30","43.770653"
"2016-08-31","43.779289"
"2016-09-01","43.580608"
"2016-09-02","44.072994"
"2016-09-06","43.425117"
"2016-09-07","43.442394"
"2016-09-08","43.243710"
"2016-09-09","42.984558"
"2016-09-12","43.165966"
"2016-09-13","42.535362"
"2016-09-14","42.267574"
"2016-09-15","42.371235"
"2016-09-16","42.094807"
"2016-09-19","42.379871"
"2016-09-20","42.042976"
"2016-09-21","42.077530"
"2016-09-22","42.621746"
"2016-09-23","42.630386"
"2016-09-26","41.783825"
"2016-09-27","41.973869"
"2016-09-28","42.492172"
"2016-09-29","42.017059"
"2016-09-30","42.552639"
"2016-10-03","42.181190"
"2016-10-04","42.224380"
"2016-10-05","42.829067"
"2016-10-06","43.165966"
"2016-10-07","43.269627"
"2016-10-10","43.580608"
"2016-10-11","43.425117"
"2016-10-12","43.537415"
"2016-10-13","42.759960"
"2016-10-14","41.835655"
"2016-10-17","41.593781"
"2016-10-18","41.913399"
"2016-10-19","42.630386"
"2016-10-20","42.690853"
"2016-10-21","42.794514"
"2016-10-24","43.053665"
"2016-10-25","42.682217"
"2016-10-26","43.140049"
"2016-10-27","43.278263"
"2016-10-28","42.941368"
"2016-10-31","43.036388"
"2016-11-01","42.932728"
"2016-11-02","42.353958"
"2016-11-03","42.595833"
"2016-11-04","42.544003"
"2016-11-07","43.183243"
"2016-11-08","43.062305"
"2016-11-09","44.910915"
"2016-11-10","46.724976"
"2016-11-11","47.839325"
"2016-11-14","49.532448"
"2016-11-15","49.333763"
"2016-11-16","48.711803"
"2016-11-17","49.411510"
"2016-11-18","49.428787"
"2016-11-21","49.739769"
"2016-11-22","50.085304"
"2016-11-23","50.085304"
"2016-11-25","50.042110"
"2016-11-28","49.385597"
"2016-11-29","49.670662"
"2016-11-30","47.346939"
"2016-12-01","48.659973"
"2016-12-02","48.158947"
"2016-12-05","48.780910"
"2016-12-06","49.394234"
"2016-12-07","49.800240"
"2016-12-08","50.810928"
"2016-12-09","51.130547"
"2016-12-12","49.808876"
"2016-12-13","50.491306"
"2016-12-14","49.774323"
"2016-12-15","50.093941"
"2016-12-16","49.497894"
"2016-12-19","50.085304"
"2016-12-20","50.793652"
"2016-12-21","50.240795"
"2016-12-22","50.327179"
"2016-12-23","50.214882"
"2016-12-27","50.629520"
"2016-12-28","50.093941"
"2016-12-29","49.869347"
"2016-12-30","49.938454"
"2017-01-03","49.800240"
"2017-01-04","50.672714"
"2017-01-05","49.973003"
"2017-01-06","50.275349"
"2017-01-09","49.584278"
"2017-01-10","49.990280"
"2017-01-11","50.249432"
"2017-01-12","49.480618"
"2017-01-13","50.033474"
"2017-01-17","48.288521"
"2017-01-18","47.606091"
"2017-01-19","47.286469"
"2017-01-20","47.511066"
"2017-01-23","47.355576"
"2017-01-24","48.219414"
"2017-01-25","48.919125"
"2017-01-26","49.696575"
"2017-01-27","49.195553"
"2017-01-30","48.806824"
"2017-01-31","48.832741"
"2017-02-01","48.055286"
"2017-02-02","47.632004"
"2017-02-03","48.893208"
"2017-02-06","48.884571"
"2017-02-07","48.426735"
"2017-02-08","47.917072"
"2017-02-09","48.461288"
"2017-02-10","48.867294"
"2017-02-13","49.368320"
"2017-02-14","50.223518"
"2017-02-15","50.534500"
"2017-02-16","50.724545"
"2017-02-17","51.070080"
"2017-02-21","51.579742"
"2017-02-22","51.890724"
"2017-02-23","51.527912"
"2017-02-24","51.199654"
"2017-02-27","51.605659"
"2017-02-28","50.983696"
"2017-03-01","52.236259"
"2017-03-02","50.802288"
"2017-03-03","51.139187"
"2017-03-06","50.897312"
"2017-03-07","50.785011"
"2017-03-08","50.068027"
"2017-03-09","49.964367"
"2017-03-10","49.938454"
"2017-03-13","50.128494"
"2017-03-14","50.093941"
"2017-03-15","49.791599"
"2017-03-16","50.353092"
"2017-03-17","50.309902"
"2017-03-20","49.722492"
"2017-03-21","47.476513"
"2017-03-22","46.975491"
"2017-03-23","47.295109"
"2017-03-24","47.493790"
"2017-03-27","47.251919"
"2017-03-28","47.554260"
"2017-03-29","47.338299"
"2017-03-30","48.815464"
"2017-03-31","48.513119"
"2017-04-03","48.262608"
"2017-04-04","48.305798"
"2017-04-05","47.467876"
"2017-04-06","47.951626"
"2017-04-07","47.891155"
"2017-04-10","47.338299"
"2017-04-11","47.485153"
"2017-04-12","46.845913"
"2017-04-13","45.705647"
"2017-04-17","46.604038"
"2017-04-18","46.534931"
"2017-04-19","46.673145"
"2017-04-20","47.485153"
"2017-04-21","47.485153"
"2017-04-24","48.288521"
"2017-04-25","48.314438"
"2017-04-26","48.806824"
"2017-04-27","48.418098"
"2017-04-28","47.467876"
"2017-05-01","47.977539"
"2017-05-02","47.796135"
"2017-05-03","48.158947"
"2017-05-04","48.452652"
"2017-05-05","48.340351"
"2017-05-08","48.677250"
