"date, price"
"2014-12-04","28.190001"
"2014-12-05","28.170000"
"2014-12-08","28.180000"
"2014-12-09","28.094999"
"2014-12-10","27.785000"
"2014-12-11","27.950001"
"2014-12-12","27.674999"
"2014-12-15","27.469999"
"2014-12-16","27.405001"
"2014-12-17","27.670000"
"2014-12-18","28.145000"
"2014-12-19","28.584999"
"2014-12-22","28.610001"
"2014-12-23","28.950001"
"2014-12-24","29.035000"
"2014-12-26","29.195000"
"2014-12-29","29.440001"
"2014-12-30","29.434999"
"2014-12-31","29.004999"
"2015-01-02","28.674999"
"2015-01-05","27.980000"
"2015-01-06","27.615000"
"2015-01-07","27.590000"
"2015-01-08","28.190001"
"2015-01-09","28.145000"
"2015-01-12","28.084999"
"2015-01-13","28.420000"
"2015-01-14","27.910000"
"2015-01-15","28.000000"
"2015-01-16","28.385000"
"2015-01-20","27.905001"
"2015-01-21","27.885000"
"2015-01-22","28.285000"
"2015-01-23","28.155001"
"2015-01-26","28.344999"
"2015-01-27","28.180000"
"2015-01-28","27.295000"
"2015-01-29","26.934999"
"2015-01-30","26.575001"
"2015-02-02","26.905001"
"2015-02-03","27.705000"
"2015-02-04","28.450001"
"2015-02-05","28.485001"
"2015-02-06","28.459999"
"2015-02-09","28.545000"
"2015-02-10","28.705000"
"2015-02-11","28.889999"
"2015-02-12","29.190001"
"2015-02-13","29.735001"
"2015-02-17","29.400000"
"2015-02-18","29.110001"
"2015-02-19","28.924999"
"2015-02-20","29.250000"
"2015-02-23","29.105000"
"2015-02-24","29.584999"
"2015-02-25","29.809999"
"2015-02-26","29.575001"
"2015-02-27","29.690001"
"2015-03-02","29.934999"
"2015-03-03","29.980000"
"2015-03-04","30.215000"
"2015-03-05","30.165001"
"2015-03-06","30.184999"
"2015-03-09","30.285000"
"2015-03-10","29.350000"
"2015-03-11","29.030001"
"2015-03-12","29.665001"
"2015-03-13","29.525000"
"2015-03-16","29.875000"
"2015-03-17","29.565001"
"2015-03-18","29.495001"
"2015-03-19","29.375000"
"2015-03-20","29.725000"
"2015-03-23","29.559999"
"2015-03-24","28.785000"
"2015-03-25","28.264999"
"2015-03-26","27.955000"
"2015-03-27","27.969999"
"2015-03-30","28.305000"
"2015-03-31","28.235001"
"2015-04-01","28.530001"
"2015-04-02","28.969999"
"2015-04-06","29.105000"
"2015-04-07","29.160000"
"2015-04-08","29.590000"
"2015-04-09","29.795000"
"2015-04-10","29.905001"
"2015-04-13","29.389999"
"2015-04-14","29.490000"
"2015-04-15","29.955000"
"2015-04-16","29.834999"
"2015-04-17","29.209999"
"2015-04-20","29.235001"
"2015-04-21","29.420000"
"2015-04-22","29.379999"
"2015-04-23","29.615000"
"2015-04-24","29.820000"
"2015-04-27","29.440001"
"2015-04-28","29.500000"
"2015-04-29","29.170000"
"2015-04-30","28.879999"
"2015-05-01","29.205000"
"2015-05-04","29.389999"
"2015-05-05","28.990000"
"2015-05-06","28.830000"
"2015-05-07","28.959999"
"2015-05-08","29.205000"
"2015-05-11","28.885000"
"2015-05-12","28.665001"
"2015-05-13","28.139999"
"2015-05-14","28.270000"
"2015-05-15","28.320000"
"2015-05-18","28.485001"
"2015-05-19","28.615000"
"2015-05-20","28.785000"
"2015-05-21","28.770000"
"2015-05-22","28.934999"
"2015-05-26","29.295000"
"2015-05-27","29.670000"
"2015-05-28","29.514999"
"2015-05-29","29.230000"
"2015-06-01","29.389999"
"2015-06-02","29.410000"
"2015-06-03","29.660000"
"2015-06-04","29.475000"
"2015-06-05","29.344999"
"2015-06-08","28.934999"
"2015-06-09","28.924999"
"2015-06-10","29.115000"
"2015-06-11","29.379999"
"2015-06-12","29.129999"
"2015-06-15","29.170000"
"2015-06-16","29.440001"
"2015-06-17","29.809999"
"2015-06-18","30.240000"
"2015-06-19","30.254999"
"2015-06-22","30.485001"
"2015-06-23","30.379999"
"2015-06-24","30.180000"
"2015-06-25","30.440001"
"2015-06-26","30.635000"
"2015-06-29","29.990000"
"2015-06-30","30.070000"
"2015-07-01","31.125000"
"2015-07-02","31.170000"
"2015-07-06","31.055000"
"2015-07-07","31.254999"
"2015-07-08","30.844999"
"2015-07-09","31.004999"
"2015-07-10","31.594999"
"2015-07-13","31.860001"
"2015-07-14","31.620001"
"2015-07-15","31.875000"
"2015-07-16","32.160000"
"2015-07-17","32.134998"
"2015-07-20","32.160000"
"2015-07-21","32.134998"
"2015-07-22","32.250000"
"2015-07-23","31.235001"
"2015-07-24","31.084999"
"2015-07-27","30.555000"
"2015-07-28","31.205000"
"2015-07-29","31.240000"
"2015-07-30","31.180000"
"2015-07-31","31.205000"
"2015-08-03","31.605000"
"2015-08-04","31.370001"
"2015-08-05","29.905001"
"2015-08-06","29.379999"
"2015-08-07","29.410000"
"2015-08-10","29.725000"
"2015-08-11","29.395000"
"2015-08-12","29.705000"
"2015-08-13","29.820000"
"2015-08-14","29.440001"
"2015-08-17","30.205000"
"2015-08-18","29.844999"
"2015-08-19","29.959999"
"2015-08-20","29.184999"
"2015-08-21","28.389999"
"2015-08-24","27.205000"
"2015-08-25","26.924999"
"2015-08-26","27.700001"
"2015-08-27","28.385000"
"2015-08-28","28.389999"
"2015-08-31","28.165001"
"2015-09-01","27.510000"
"2015-09-02","27.940001"
"2015-09-03","28.105000"
"2015-09-04","27.889999"
"2015-09-08","28.555000"
"2015-09-09","28.334999"
"2015-09-10","28.270000"
"2015-09-11","28.205000"
"2015-09-14","28.125000"
"2015-09-15","28.570000"
"2015-09-16","28.870001"
"2015-09-17","29.230000"
"2015-09-18","28.709999"
"2015-09-21","28.945000"
"2015-09-22","28.855000"
"2015-09-23","28.684999"
"2015-09-24","28.410000"
