"date, price"
"2014-12-04","87.239998"
"2014-12-05","88.739998"
"2014-12-08","88.930000"
"2014-12-09","88.580002"
"2014-12-10","89.029999"
"2014-12-11","88.480003"
"2014-12-12","87.080002"
"2014-12-15","87.940002"
"2014-12-16","87.500000"
"2014-12-17","89.940002"
"2014-12-18","92.279999"
"2014-12-19","92.360001"
"2014-12-22","92.910004"
"2014-12-23","92.720001"
"2014-12-24","90.580002"
"2014-12-26","90.389999"
"2014-12-29","90.180000"
"2014-12-30","89.849998"
"2014-12-31","88.650002"
"2015-01-02","88.139999"
"2015-01-05","88.639999"
"2015-01-06","87.290001"
"2015-01-07","88.300003"
"2015-01-08","88.709999"
"2015-01-09","88.790001"
"2015-01-12","87.610001"
"2015-01-13","87.129997"
"2015-01-14","85.010002"
"2015-01-15","84.870003"
"2015-01-16","85.040001"
"2015-01-20","85.550003"
"2015-01-21","85.550003"
"2015-01-22","88.570000"
"2015-01-23","88.519997"
"2015-01-26","88.790001"
"2015-01-27","87.370003"
"2015-01-28","85.169998"
"2015-01-29","86.220001"
"2015-01-30","85.300003"
"2015-02-02","87.080002"
"2015-02-03","87.269997"
"2015-02-04","89.250000"
"2015-02-05","90.839996"
"2015-02-06","94.209999"
"2015-02-09","93.820000"
"2015-02-10","94.620003"
"2015-02-11","94.809998"
"2015-02-12","95.309998"
"2015-02-13","93.919998"
"2015-02-17","94.199997"
"2015-02-18","93.760002"
"2015-02-19","94.180000"
"2015-02-20","94.250000"
"2015-02-23","94.989998"
"2015-02-24","96.169998"
"2015-02-25","96.529999"
"2015-02-26","96.019997"
"2015-02-27","95.930000"
"2015-03-02","97.120003"
"2015-03-03","97.099998"
"2015-03-04","96.489998"
"2015-03-05","96.820000"
"2015-03-06","95.419998"
"2015-03-09","96.570000"
"2015-03-10","95.300003"
"2015-03-11","96.290001"
"2015-03-12","97.330002"
"2015-03-13","96.830002"
"2015-03-16","100.059998"
"2015-03-17","99.750000"
"2015-03-18","98.989998"
"2015-03-19","99.669998"
"2015-03-20","99.750000"
"2015-03-23","98.750000"
"2015-03-24","97.339996"
"2015-03-25","94.269997"
"2015-03-26","94.790001"
"2015-03-27","94.660004"
"2015-03-30","95.290001"
"2015-03-31","94.709999"
"2015-04-01","94.500000"
"2015-04-02","92.910004"
"2015-04-06","92.099998"
"2015-04-07","90.580002"
"2015-04-08","90.360001"
"2015-04-09","90.849998"
"2015-04-10","92.269997"
"2015-04-13","92.029999"
"2015-04-14","91.199997"
"2015-04-15","91.150002"
"2015-04-16","91.519997"
"2015-04-17","89.910004"
"2015-04-20","90.790001"
"2015-04-21","90.239998"
"2015-04-22","90.669998"
"2015-04-23","90.309998"
"2015-04-24","89.889999"
"2015-04-27","88.860001"
"2015-04-28","89.510002"
"2015-04-29","89.199997"
"2015-04-30","90.910004"
"2015-05-01","90.779999"
"2015-05-04","90.820000"
"2015-05-05","90.910004"
"2015-05-06","90.300003"
"2015-05-07","92.400002"
"2015-05-08","94.370003"
"2015-05-11","95.400002"
"2015-05-12","95.050003"
"2015-05-13","95.139999"
"2015-05-14","96.089996"
"2015-05-15","94.989998"
"2015-05-18","94.919998"
"2015-05-19","95.010002"
"2015-05-20","93.940002"
"2015-05-21","93.400002"
"2015-05-22","93.980003"
"2015-05-26","93.459999"
"2015-05-27","93.879997"
"2015-05-28","94.029999"
"2015-05-29","94.199997"
"2015-06-01","94.129997"
"2015-06-02","94.300003"
"2015-06-03","94.519997"
"2015-06-04","94.239998"
"2015-06-05","95.949997"
"2015-06-08","95.169998"
"2015-06-09","96.300003"
"2015-06-10","98.589996"
"2015-06-11","98.870003"
"2015-06-12","96.930000"
"2015-06-15","96.239998"
"2015-06-16","96.529999"
"2015-06-17","96.449997"
"2015-06-18","96.010002"
"2015-06-19","93.989998"
"2015-06-22","94.669998"
"2015-06-23","94.790001"
"2015-06-24","93.660004"
"2015-06-25","94.000000"
"2015-06-26","93.830002"
"2015-06-29","92.309998"
"2015-06-30","93.059998"
"2015-07-01","93.709999"
"2015-07-02","94.269997"
"2015-07-06","94.580002"
"2015-07-07","95.239998"
"2015-07-08","95.010002"
"2015-07-09","96.970001"
"2015-07-10","98.510002"
"2015-07-13","98.089996"
"2015-07-14","97.220001"
"2015-07-15","97.809998"
"2015-07-16","99.169998"
"2015-07-17","99.730003"
"2015-07-20","99.839996"
"2015-07-21","98.699997"
"2015-07-22","98.940002"
"2015-07-23","96.620003"
"2015-07-24","96.660004"
"2015-07-27","95.550003"
"2015-07-28","96.160004"
"2015-07-29","97.010002"
"2015-07-30","97.010002"
"2015-07-31","96.040001"
"2015-08-03","96.970001"
"2015-08-04","96.690002"
"2015-08-05","97.889999"
"2015-08-06","97.089996"
"2015-08-07","97.239998"
"2015-08-10","98.000000"
"2015-08-11","97.250000"
"2015-08-12","97.019997"
"2015-08-13","97.720001"
"2015-08-14","98.160004"
"2015-08-17","98.250000"
"2015-08-18","98.290001"
"2015-08-19","97.230003"
"2015-08-20","96.059998"
"2015-08-21","91.639999"
"2015-08-24","88.739998"
"2015-08-25","89.099998"
"2015-08-26","91.739998"
"2015-08-27","93.769997"
"2015-08-28","94.620003"
"2015-08-31","94.440002"
"2015-09-01","91.120003"
"2015-09-02","92.559998"
"2015-09-03","93.809998"
"2015-09-04","92.430000"
"2015-09-08","94.820000"
"2015-09-09","92.000000"
"2015-09-10","93.470001"
"2015-09-11","94.480003"
"2015-09-14","94.440002"
"2015-09-15","95.239998"
"2015-09-16","95.370003"
"2015-09-17","92.320000"
"2015-09-18","90.400002"
"2015-09-21","91.949997"
"2015-09-22","90.709999"
"2015-09-23","91.239998"
"2015-09-24","90.160004"
"2015-09-25","92.379997"
"2015-09-28","90.519997"
"2015-09-29","90.389999"
"2015-09-30","92.739998"
"2015-10-01","93.779999"
"2015-10-02","90.570000"
"2015-10-05","91.230003"
"2015-10-06","89.849998"
"2015-10-07","90.690002"
"2015-10-08","89.879997"
"2015-10-09","88.300003"
"2015-10-12","89.559998"
"2015-10-13","88.260002"
"2015-10-14","87.320000"
"2015-10-15","89.190002"
"2015-10-16","89.900002"
"2015-10-19","91.400002"
"2015-10-20","91.540001"
"2015-10-21","90.339996"
"2015-10-22","92.459999"
"2015-10-23","93.949997"
"2015-10-26","93.900002"
"2015-10-27","93.889999"
"2015-10-28","95.940002"
"2015-10-29","97.419998"
"2015-10-30","94.470001"
"2015-11-02","96.430000"
"2015-11-03","96.010002"
"2015-11-04","95.389999"
"2015-11-05","95.510002"
"2015-11-06","96.790001"
"2015-11-09","97.220001"
"2015-11-10","97.650002"
"2015-11-11","97.900002"
"2015-11-12","96.349998"
"2015-11-13","95.449997"
"2015-11-16","95.839996"
"2015-11-17","95.220001"
"2015-11-18","96.169998"
"2015-11-19","97.180000"
"2015-11-20","97.629997"
"2015-11-23","97.320000"
"2015-11-24","96.160004"
"2015-11-25","95.930000"
"2015-11-27","96.650002"
"2015-11-30","97.650002"
"2015-12-01","97.849998"
"2015-12-02","98.230003"
"2015-12-03","95.430000"
"2015-12-04","99.669998"
"2015-12-07","99.540001"
"2015-12-08","97.809998"
"2015-12-09","94.050003"
"2015-12-10","94.919998"
"2015-12-11","92.150002"
"2015-12-14","94.690002"
"2015-12-15","95.150002"
"2015-12-16","95.519997"
"2015-12-17","94.970001"
"2015-12-18","92.550003"
"2015-12-21","92.440002"
"2015-12-22","94.690002"
"2015-12-23","90.989998"
"2015-12-24","91.900002"
"2015-12-28","91.889999"
"2015-12-29","92.320000"
"2015-12-30","91.519997"
"2015-12-31","90.599998"
"2016-01-04","88.669998"
"2016-01-05","89.370003"
"2016-01-06","88.930000"
"2016-01-07","87.529999"
"2016-01-08","86.230003"
"2016-01-11","86.949997"
"2016-01-12","87.250000"
"2016-01-13","84.169998"
"2016-01-14","84.699997"
"2016-01-15","84.709999"
"2016-01-19","86.110001"
"2016-01-20","84.199997"
"2016-01-21","81.989998"
"2016-01-22","84.769997"
"2016-01-25","84.639999"
"2016-01-26","86.370003"
"2016-01-27","86.720001"
"2016-01-28","87.089996"
"2016-01-29","89.849998"
"2016-02-01","89.440002"
"2016-02-02","89.110001"
"2016-02-03","89.400002"
"2016-02-04","86.330002"
"2016-02-05","88.550003"
"2016-02-08","90.190002"
"2016-02-09","93.309998"
"2016-02-10","90.529999"
"2016-02-11","89.320000"
"2016-02-12","91.150002"
"2016-02-16","90.709999"
"2016-02-17","92.150002"
"2016-02-18","91.300003"
"2016-02-19","93.320000"
"2016-02-22","91.970001"
"2016-02-23","91.900002"
"2016-02-24","92.300003"
"2016-02-25","93.190002"
"2016-02-26","93.169998"
"2016-02-29","91.440002"
"2016-03-01","92.559998"
"2016-03-02","93.300003"
"2016-03-03","94.339996"
"2016-03-04","94.800003"
"2016-03-07","93.580002"
"2016-03-08","93.290001"
"2016-03-09","93.900002"
"2016-03-10","93.730003"
"2016-03-11","94.589996"
"2016-03-14","96.389999"
"2016-03-15","96.709999"
"2016-03-16","96.379997"
"2016-03-17","96.419998"
"2016-03-18","95.949997"
"2016-03-21","95.800003"
"2016-03-22","95.580002"
"2016-03-23","96.360001"
"2016-03-24","95.169998"
"2016-03-28","95.209999"
"2016-03-29","95.000000"
"2016-03-30","95.570000"
"2016-03-31","96.050003"
"2016-04-01","96.949997"
"2016-04-04","96.739998"
"2016-04-05","94.529999"
"2016-04-06","94.379997"
"2016-04-07","92.220001"
"2016-04-08","89.089996"
"2016-04-11","89.699997"
"2016-04-12","90.050003"
"2016-04-13","90.269997"
"2016-04-14","90.970001"
"2016-04-15","91.440002"
"2016-04-18","91.480003"
"2016-04-19","92.620003"
"2016-04-20","93.099998"
"2016-04-21","93.050003"
"2016-04-22","94.199997"
"2016-04-25","93.699997"
"2016-04-26","94.120003"
"2016-04-27","94.459999"
"2016-04-28","92.330002"
"2016-04-29","91.910004"
"2016-05-02","93.620003"
"2016-05-03","92.830002"
"2016-05-04","92.320000"
"2016-05-05","92.930000"
"2016-05-06","92.879997"
"2016-05-09","94.000000"
"2016-05-10","94.739998"
"2016-05-11","93.680000"
"2016-05-12","95.099998"
"2016-05-13","94.330002"
"2016-05-16","95.040001"
"2016-05-17","94.440002"
"2016-05-18","96.790001"
"2016-05-19","95.779999"
"2016-05-20","96.449997"
"2016-05-23","96.629997"
"2016-05-24","97.949997"
"2016-05-25","97.720001"
"2016-05-26","97.470001"
"2016-05-27","98.610001"
"2016-05-31","97.889999"
"2016-06-01","98.010002"
"2016-06-02","97.540001"
"2016-06-03","96.809998"
"2016-06-06","96.779999"
"2016-06-07","96.040001"
"2016-06-08","95.389999"
"2016-06-09","95.029999"
"2016-06-10","95.230003"
"2016-06-13","95.260002"
"2016-06-14","94.820000"
"2016-06-15","94.180000"
"2016-06-16","95.160004"
"2016-06-17","94.089996"
"2016-06-20","94.029999"
"2016-06-21","93.489998"
"2016-06-22","94.050003"
