"date, price"
"2014-12-04","12.960000"
"2014-12-05","12.890000"
"2014-12-08","12.970000"
"2014-12-09","12.960000"
"2014-12-10","12.390000"
"2014-12-11","12.160000"
"2014-12-12","12.130000"
"2014-12-15","12.160000"
"2014-12-16","12.370000"
"2014-12-17","12.310000"
"2014-12-18","12.310000"
"2014-12-19","12.100000"
"2014-12-22","12.160000"
"2014-12-23","12.330000"
"2014-12-24","12.370000"
"2014-12-26","12.470000"
"2014-12-29","12.550000"
"2014-12-30","12.470000"
"2014-12-31","12.490000"
"2015-01-02","12.490000"
"2015-01-05","12.610000"
"2015-01-06","12.080000"
"2015-01-07","11.700000"
"2015-01-08","11.820000"
"2015-01-09","11.180000"
"2015-01-12","11.140000"
"2015-01-13","10.980000"
"2015-01-14","11.040000"
"2015-01-15","10.800000"
"2015-01-16","10.950000"
"2015-01-20","10.850000"
"2015-01-21","10.740000"
"2015-01-22","10.770000"
"2015-01-23","10.770000"
"2015-01-26","10.610000"
"2015-01-27","10.600000"
"2015-01-28","10.740000"
"2015-01-29","10.770000"
"2015-01-30","10.600000"
"2015-02-02","10.700000"
"2015-02-03","10.790000"
"2015-02-04","10.640000"
"2015-02-05","10.840000"
"2015-02-06","10.760000"
"2015-02-09","10.530000"
"2015-02-10","10.450000"
"2015-02-11","10.550000"
"2015-02-12","10.580000"
"2015-02-13","10.620000"
"2015-02-17","10.700000"
"2015-02-18","10.980000"
"2015-02-19","11.010000"
"2015-02-20","10.750000"
"2015-02-23","10.480000"
"2015-02-24","10.460000"
"2015-02-25","10.640000"
"2015-02-26","10.690000"
"2015-02-27","11.150000"
"2015-03-02","11.180000"
"2015-03-03","11.300000"
"2015-03-04","11.520000"
"2015-03-05","11.450000"
"2015-03-06","11.380000"
"2015-03-09","11.440000"
"2015-03-10","11.200000"
"2015-03-11","11.510000"
"2015-03-12","11.930000"
"2015-03-13","11.870000"
"2015-03-16","11.670000"
"2015-03-17","11.680000"
"2015-03-18","11.810000"
"2015-03-19","11.930000"
"2015-03-20","12.080000"
"2015-03-23","12.210000"
"2015-03-24","12.210000"
"2015-03-25","11.970000"
"2015-03-26","11.420000"
"2015-03-27","11.620000"
"2015-03-30","11.700000"
"2015-03-31","11.810000"
"2015-04-01","11.930000"
"2015-04-02","11.980000"
"2015-04-06","12.120000"
"2015-04-07","12.270000"
"2015-04-08","12.300000"
"2015-04-09","12.380000"
"2015-04-10","12.430000"
"2015-04-13","12.410000"
"2015-04-14","12.320000"
"2015-04-15","12.300000"
"2015-04-16","12.470000"
"2015-04-17","12.150000"
"2015-04-20","12.550000"
"2015-04-21","12.630000"
"2015-04-22","12.740000"
"2015-04-23","12.970000"
"2015-04-24","12.970000"
"2015-04-27","13.370000"
"2015-04-28","13.490000"
"2015-04-29","13.400000"
