"date, price"
"2014-12-04","17.950001"
"2014-12-05","18.180000"
"2014-12-08","18.459999"
"2014-12-09","18.980000"
"2014-12-10","18.990000"
"2014-12-11","18.959999"
"2014-12-12","18.840000"
"2014-12-15","22.959999"
"2014-12-16","22.889999"
"2014-12-17","22.389999"
"2014-12-18","22.680000"
"2014-12-19","22.730000"
"2014-12-22","23.760000"
"2014-12-23","23.600000"
"2014-12-24","23.600000"
"2014-12-26","23.650000"
"2014-12-29","23.629999"
"2014-12-30","23.549999"
"2014-12-31","23.570000"
"2015-01-02","23.709999"
"2015-01-05","23.330000"
"2015-01-06","22.910000"
"2015-01-07","23.080000"
"2015-01-08","23.440001"
"2015-01-09","23.650000"
"2015-01-12","23.549999"
"2015-01-13","23.940001"
"2015-01-14","24.260000"
"2015-01-15","24.020000"
"2015-01-16","23.969999"
"2015-01-20","24.150000"
"2015-01-21","24.850000"
"2015-01-22","25.110001"
"2015-01-23","25.080000"
"2015-01-26","26.299999"
"2015-01-27","26.030001"
"2015-01-28","27.549999"
"2015-01-29","26.139999"
"2015-01-30","26.500000"
"2015-02-02","27.350000"
"2015-02-03","27.650000"
"2015-02-04","28.480000"
"2015-02-05","28.000000"
"2015-02-06","27.969999"
"2015-02-09","28.580000"
"2015-02-10","29.540001"
"2015-02-11","28.959999"
"2015-02-12","29.350000"
"2015-02-13","29.360001"
"2015-02-17","29.620001"
"2015-02-18","29.700001"
"2015-02-19","29.830000"
"2015-02-20","29.820000"
"2015-02-23","29.780001"
"2015-02-24","30.400000"
"2015-02-25","29.660000"
"2015-02-26","30.230000"
"2015-02-27","30.110001"
"2015-03-02","31.400000"
"2015-03-03","30.860001"
"2015-03-04","31.299999"
"2015-03-05","32.240002"
"2015-03-06","32.779999"
"2015-03-09","32.860001"
"2015-03-10","32.509998"
"2015-03-11","32.919998"
"2015-03-12","34.209999"
"2015-03-13","33.490002"
"2015-03-16","34.369999"
"2015-03-17","33.480000"
"2015-03-18","33.389999"
"2015-03-19","33.380001"
"2015-03-20","33.720001"
"2015-03-23","33.779999"
"2015-03-24","33.560001"
"2015-03-25","32.290001"
"2015-03-26","32.490002"
