"date, price"
"2014-12-04","15.190000"
"2014-12-05","15.240000"
"2014-12-08","14.670000"
"2014-12-09","15.120000"
"2014-12-10","14.950000"
"2014-12-11","15.110000"
"2014-12-12","14.850000"
"2014-12-15","14.620000"
"2014-12-16","14.640000"
"2014-12-17","14.700000"
"2014-12-18","14.780000"
"2014-12-19","14.960000"
"2014-12-22","14.760000"
"2014-12-23","15.030000"
"2014-12-24","15.130000"
"2014-12-26","15.180000"
"2014-12-29","15.130000"
"2014-12-30","14.850000"
"2014-12-31","14.820000"
"2015-01-02","14.730000"
"2015-01-05","14.810000"
"2015-01-06","14.520000"
"2015-01-07","14.410000"
"2015-01-08","14.520000"
"2015-01-09","14.920000"
"2015-01-12","14.710000"
"2015-01-13","15.420000"
"2015-01-14","15.030000"
"2015-01-15","14.910000"
"2015-01-16","15.040000"
"2015-01-20","14.880000"
"2015-01-21","14.570000"
"2015-01-22","14.520000"
"2015-01-23","14.610000"
"2015-01-26","14.770000"
"2015-01-27","14.740000"
"2015-01-28","15.050000"
"2015-01-29","15.550000"
"2015-01-30","15.320000"
"2015-02-02","15.470000"
"2015-02-03","15.510000"
"2015-02-04","15.300000"
"2015-02-05","15.440000"
"2015-02-06","15.340000"
"2015-02-09","15.240000"
"2015-02-10","15.070000"
"2015-02-11","15.090000"
"2015-02-12","15.370000"
"2015-02-13","15.640000"
"2015-02-17","15.650000"
"2015-02-18","15.580000"
"2015-02-19","15.600000"
"2015-02-20","15.270000"
"2015-02-23","15.400000"
"2015-02-24","15.400000"
"2015-02-25","15.440000"
"2015-02-26","15.400000"
"2015-02-27","15.100000"
"2015-03-02","15.340000"
"2015-03-03","15.010000"
"2015-03-04","15.080000"
"2015-03-05","14.720000"
"2015-03-06","15.130000"
"2015-03-09","15.690000"
"2015-03-10","15.180000"
"2015-03-11","15.250000"
"2015-03-12","15.250000"
"2015-03-13","15.050000"
"2015-03-16","14.980000"
"2015-03-17","15.100000"
"2015-03-18","15.360000"
"2015-03-19","15.170000"
"2015-03-20","15.090000"
"2015-03-23","15.030000"
"2015-03-24","15.100000"
"2015-03-25","14.510000"
"2015-03-26","14.740000"
"2015-03-27","14.870000"
"2015-03-30","14.900000"
"2015-03-31","15.060000"
"2015-04-01","15.080000"
"2015-04-02","15.140000"
"2015-04-06","15.500000"
"2015-04-07","15.620000"
"2015-04-08","15.580000"
"2015-04-09","15.680000"
"2015-04-10","15.660000"
"2015-04-13","15.690000"
"2015-04-14","15.730000"
"2015-04-15","16.180000"
"2015-04-16","16.350000"
"2015-04-17","16.360001"
"2015-04-20","16.160000"
"2015-04-21","16.090000"
"2015-04-22","16.000000"
"2015-04-23","15.970000"
"2015-04-24","15.830000"
"2015-04-27","15.470000"
"2015-04-28","15.240000"
"2015-04-29","15.160000"
"2015-04-30","15.000000"
"2015-05-01","15.060000"
"2015-05-04","15.580000"
"2015-05-05","15.300000"
"2015-05-06","14.900000"
"2015-05-07","14.860000"
"2015-05-08","14.990000"
"2015-05-11","14.740000"
"2015-05-12","14.750000"
"2015-05-13","14.960000"
"2015-05-14","15.800000"
"2015-05-15","15.400000"
"2015-05-18","15.300000"
"2015-05-19","15.500000"
"2015-05-20","15.360000"
"2015-05-21","15.180000"
"2015-05-22","15.040000"
"2015-05-26","15.000000"
"2015-05-27","15.250000"
"2015-05-28","15.190000"
"2015-05-29","15.240000"
"2015-06-01","14.770000"
"2015-06-02","14.920000"
"2015-06-03","15.070000"
"2015-06-04","14.810000"
"2015-06-05","14.810000"
"2015-06-08","14.940000"
"2015-06-09","15.020000"
"2015-06-10","15.160000"
"2015-06-11","15.050000"
"2015-06-12","15.560000"
"2015-06-15","15.740000"
"2015-06-16","16.330000"
"2015-06-17","16.330000"
"2015-06-18","16.280001"
"2015-06-19","16.260000"
"2015-06-22","16.510000"
"2015-06-23","16.500000"
"2015-06-24","16.370001"
"2015-06-25","16.299999"
"2015-06-26","16.320000"
"2015-06-29","15.970000"
"2015-06-30","16.100000"
"2015-07-01","16.500000"
"2015-07-02","16.250000"
"2015-07-06","15.900000"
"2015-07-07","15.930000"
"2015-07-08","15.830000"
"2015-07-09","15.810000"
"2015-07-10","15.910000"
"2015-07-13","15.910000"
"2015-07-14","16.070000"
"2015-07-15","15.860000"
"2015-07-16","15.920000"
"2015-07-17","15.910000"
"2015-07-20","15.850000"
"2015-07-21","16.500000"
