"date, price"
"2014-12-04","89.730003"
"2014-12-05","89.589996"
"2014-12-08","93.349998"
"2014-12-09","92.610001"
"2014-12-10","91.779999"
"2014-12-11","92.050003"
"2014-12-12","90.790001"
"2014-12-15","88.760002"
"2014-12-16","88.750000"
"2014-12-17","88.949997"
"2014-12-18","89.430000"
"2014-12-19","88.580002"
"2014-12-22","89.519997"
"2014-12-23","90.400002"
"2014-12-24","90.769997"
"2014-12-26","89.809998"
"2014-12-29","91.230003"
"2014-12-30","91.540001"
"2014-12-31","90.769997"
"2015-01-02","89.339996"
"2015-01-05","86.120003"
"2015-01-06","84.110001"
"2015-01-07","86.309998"
"2015-01-08","88.239998"
"2015-01-09","87.120003"
"2015-01-12","87.750000"
"2015-01-13","88.209999"
"2015-01-14","87.790001"
"2015-01-15","87.690002"
"2015-01-16","88.410004"
"2015-01-20","87.879997"
"2015-01-21","87.860001"
"2015-01-22","90.000000"
"2015-01-23","89.440002"
"2015-01-26","89.800003"
"2015-01-27","89.129997"
"2015-01-28","88.639999"
"2015-01-29","88.910004"
"2015-01-30","86.660004"
"2015-02-02","89.809998"
"2015-02-03","89.940002"
"2015-02-04","89.720001"
"2015-02-05","90.660004"
"2015-02-06","90.489998"
"2015-02-09","89.139999"
"2015-02-10","89.610001"
"2015-02-11","90.629997"
"2015-02-12","91.050003"
"2015-02-13","90.870003"
"2015-02-17","91.559998"
"2015-02-18","92.360001"
"2015-02-19","92.199997"
"2015-02-20","92.489998"
"2015-02-23","93.010002"
"2015-02-24","92.739998"
"2015-02-25","91.680000"
"2015-02-26","92.570000"
"2015-02-27","86.910004"
"2015-03-02","87.489998"
"2015-03-03","86.699997"
"2015-03-04","85.120003"
"2015-03-05","86.099998"
"2015-03-06","84.980003"
"2015-03-09","85.199997"
"2015-03-10","84.180000"
"2015-03-11","84.900002"
"2015-03-12","87.419998"
"2015-03-13","87.110001"
"2015-03-16","87.919998"
"2015-03-17","88.000000"
"2015-03-18","88.059998"
"2015-03-19","87.800003"
"2015-03-20","89.900002"
"2015-03-23","90.970001"
"2015-03-24","89.430000"
"2015-03-25","87.370003"
"2015-03-26","86.430000"
"2015-03-27","86.389999"
"2015-03-30","88.540001"
"2015-03-31","87.260002"
"2015-04-01","87.150002"
"2015-04-02","86.470001"
"2015-04-06","86.610001"
"2015-04-07","85.870003"
"2015-04-08","86.029999"
"2015-04-09","85.610001"
"2015-04-10","85.389999"
"2015-04-13","86.589996"
"2015-04-14","86.260002"
"2015-04-15","86.029999"
"2015-04-16","85.529999"
"2015-04-17","84.440002"
"2015-04-20","85.779999"
"2015-04-21","85.680000"
"2015-04-22","85.430000"
"2015-04-23","85.879997"
"2015-04-24","85.669998"
"2015-04-27","84.550003"
"2015-04-28","84.550003"
"2015-04-29","83.680000"
"2015-04-30","82.750000"
"2015-05-01","80.110001"
"2015-05-04","80.570000"
"2015-05-05","80.269997"
"2015-05-06","80.379997"
"2015-05-07","80.980003"
"2015-05-08","81.529999"
"2015-05-11","81.010002"
"2015-05-12","80.629997"
"2015-05-13","81.019997"
"2015-05-14","81.730003"
