"date, price"
"2014-12-04","20.160000"
"2014-12-05","20.629999"
"2014-12-08","20.660000"
"2014-12-09","20.690001"
"2014-12-10","20.020000"
"2014-12-11","20.059999"
"2014-12-12","19.740000"
"2014-12-15","19.450001"
"2014-12-16","19.309999"
"2014-12-17","19.600000"
"2014-12-18","20.090000"
"2014-12-19","20.070000"
"2014-12-22","20.150000"
"2014-12-23","20.580000"
"2014-12-24","20.590000"
"2014-12-26","20.590000"
"2014-12-29","20.590000"
"2014-12-30","20.680000"
"2014-12-31","20.379999"
"2015-01-02","20.209999"
"2015-01-05","19.600000"
"2015-01-06","18.809999"
"2015-01-07","19.020000"
"2015-01-08","19.450001"
"2015-01-09","18.930000"
"2015-01-12","18.639999"
"2015-01-13","18.510000"
"2015-01-14","18.209999"
"2015-01-15","18.020000"
"2015-01-16","18.299999"
"2015-01-20","18.080000"
"2015-01-21","17.530001"
"2015-01-22","17.910000"
"2015-01-23","17.670000"
"2015-01-26","17.930000"
"2015-01-27","17.670000"
"2015-01-28","17.219999"
"2015-01-29","17.459999"
"2015-01-30","17.299999"
"2015-02-02","17.879999"
"2015-02-03","18.250000"
"2015-02-04","18.350000"
"2015-02-05","18.629999"
"2015-02-06","18.889999"
"2015-02-09","18.790001"
"2015-02-10","18.850000"
"2015-02-11","18.780001"
"2015-02-12","19.190001"
"2015-02-13","19.260000"
"2015-02-17","19.469999"
"2015-02-18","19.110001"
"2015-02-19","19.200001"
"2015-02-20","19.389999"
"2015-02-23","19.290001"
"2015-02-24","19.389999"
"2015-02-25","19.400000"
"2015-02-26","19.440001"
"2015-02-27","19.360001"
"2015-03-02","19.510000"
"2015-03-03","19.490000"
"2015-03-04","19.280001"
"2015-03-05","19.309999"
"2015-03-06","19.450001"
"2015-03-09","19.469999"
"2015-03-10","19.080000"
"2015-03-11","19.020000"
"2015-03-12","19.240000"
"2015-03-13","19.080000"
"2015-03-16","19.250000"
"2015-03-17","19.250000"
"2015-03-18","19.260000"
"2015-03-19","19.219999"
"2015-03-20","19.480000"
"2015-03-23","19.290001"
"2015-03-24","19.180000"
"2015-03-25","18.820000"
"2015-03-26","19.090000"
"2015-03-27","18.910000"
"2015-03-30","19.059999"
"2015-03-31","18.850000"
"2015-04-01","18.920000"
"2015-04-02","18.980000"
"2015-04-06","18.980000"
"2015-04-07","19.190001"
"2015-04-08","19.100000"
"2015-04-09","19.200001"
"2015-04-10","19.049999"
"2015-04-13","19.209999"
"2015-04-14","19.010000"
"2015-04-15","19.170000"
"2015-04-16","19.280001"
"2015-04-17","18.910000"
"2015-04-20","18.990000"
"2015-04-21","19.410000"
"2015-04-22","19.750000"
"2015-04-23","19.700001"
"2015-04-24","19.540001"
"2015-04-27","19.650000"
"2015-04-28","19.820000"
"2015-04-29","20.080000"
"2015-04-30","20.000000"
"2015-05-01","20.240000"
"2015-05-04","20.440001"
"2015-05-05","20.350000"
"2015-05-06","20.110001"
"2015-05-07","19.980000"
"2015-05-08","20.209999"
"2015-05-11","20.320000"
"2015-05-12","20.280001"
"2015-05-13","20.490000"
"2015-05-14","20.629999"
"2015-05-15","20.360001"
"2015-05-18","20.520000"
"2015-05-19","20.940001"
"2015-05-20","20.469999"
"2015-05-21","20.469999"
"2015-05-22","20.510000"
"2015-05-26","20.420000"
"2015-05-27","20.610001"
"2015-05-28","20.590000"
"2015-05-29","20.240000"
"2015-06-01","20.070000"
"2015-06-02","20.309999"
"2015-06-03","20.570000"
"2015-06-04","20.340000"
"2015-06-05","20.840000"
"2015-06-08","20.799999"
"2015-06-09","20.990000"
"2015-06-10","21.290001"
"2015-06-11","21.160000"
"2015-06-12","21.170000"
"2015-06-15","21.139999"
"2015-06-16","21.230000"
"2015-06-17","20.959999"
"2015-06-18","21.129999"
"2015-06-19","21.040001"
"2015-06-22","21.629999"
"2015-06-23","21.690001"
"2015-06-24","21.520000"
"2015-06-25","21.410000"
"2015-06-26","21.270000"
"2015-06-29","20.750000"
"2015-06-30","20.820000"
"2015-07-01","21.139999"
"2015-07-02","20.930000"
"2015-07-06","21.000000"
"2015-07-07","20.709999"
"2015-07-08","20.459999"
"2015-07-09","20.660000"
"2015-07-10","20.900000"
"2015-07-13","21.090000"
"2015-07-14","21.139999"
"2015-07-15","21.260000"
"2015-07-16","21.360001"
"2015-07-17","21.129999"
"2015-07-20","21.280001"
"2015-07-21","21.520000"
"2015-07-22","21.590000"
"2015-07-23","21.299999"
"2015-07-24","21.139999"
"2015-07-27","20.850000"
"2015-07-28","20.900000"
"2015-07-29","21.110001"
"2015-07-30","21.150000"
"2015-07-31","21.070000"
"2015-08-03","21.080000"
"2015-08-04","21.160000"
"2015-08-05","21.350000"
"2015-08-06","21.230000"
"2015-08-07","21.139999"
"2015-08-10","21.709999"
"2015-08-11","21.170000"
"2015-08-12","20.680000"
"2015-08-13","20.840000"
"2015-08-14","21.110001"
"2015-08-17","21.129999"
"2015-08-18","21.160000"
"2015-08-19","20.990000"
"2015-08-20","20.459999"
"2015-08-21","19.809999"
"2015-08-24","18.690001"
"2015-08-25","18.230000"
"2015-08-26","19.190001"
"2015-08-27","19.940001"
"2015-08-28","19.969999"
"2015-08-31","19.920000"
"2015-09-01","19.090000"
"2015-09-02","19.340000"
"2015-09-03","19.500000"
"2015-09-04","19.219999"
"2015-09-08","19.809999"
"2015-09-09","19.670000"
"2015-09-10","19.780001"
"2015-09-11","19.770000"
"2015-09-14","19.840000"
"2015-09-15","20.040001"
"2015-09-16","20.110001"
"2015-09-17","19.400000"
"2015-09-18","18.910000"
"2015-09-21","19.180000"
"2015-09-22","18.850000"
"2015-09-23","18.799999"
"2015-09-24","18.840000"
"2015-09-25","19.260000"
"2015-09-28","18.600000"
"2015-09-29","18.650000"
"2015-09-30","18.910000"
"2015-10-01","18.969999"
"2015-10-02","18.680000"
"2015-10-05","19.129999"
"2015-10-06","18.950001"
"2015-10-07","19.040001"
"2015-10-08","19.150000"
"2015-10-09","18.969999"
"2015-10-12","18.990000"
"2015-10-13","18.820000"
"2015-10-14","18.540001"
"2015-10-15","19.040001"
"2015-10-16","19.000000"
"2015-10-19","19.020000"
"2015-10-20","18.830000"
"2015-10-21","18.280001"
"2015-10-22","18.709999"
"2015-10-23","19.110001"
"2015-10-26","18.950001"
"2015-10-27","18.750000"
"2015-10-28","19.660000"
"2015-10-29","19.469999"
"2015-10-30","19.049999"
"2015-11-02","19.549999"
"2015-11-03","19.530001"
"2015-11-04","19.480000"
"2015-11-05","19.820000"
"2015-11-06","20.490000"
"2015-11-09","20.410000"
"2015-11-10","20.629999"
"2015-11-11","20.410000"
"2015-11-12","20.059999"
"2015-11-13","19.690001"
"2015-11-16","19.780001"
"2015-11-17","19.840000"
"2015-11-18","20.360001"
"2015-11-19","20.420000"
"2015-11-20","20.260000"
"2015-11-23","20.440001"
"2015-11-24","20.510000"
"2015-11-25","20.530001"
"2015-11-27","20.639999"
"2015-11-30","20.670000"
"2015-12-01","21.020000"
"2015-12-02","20.750000"
"2015-12-03","20.480000"
"2015-12-04","21.059999"
"2015-12-07","20.790001"
"2015-12-08","20.030001"
"2015-12-09","19.760000"
"2015-12-10","20.070000"
"2015-12-11","19.709999"
"2015-12-14","19.850000"
"2015-12-15","20.520000"
"2015-12-16","20.830000"
"2015-12-17","20.290001"
"2015-12-18","19.740000"
"2015-12-21","19.860001"
"2015-12-22","20.059999"
"2015-12-23","20.459999"
"2015-12-24","20.520000"
"2015-12-28","20.450001"
"2015-12-29","20.480000"
"2015-12-30","20.250000"
"2015-12-31","20.100000"
"2016-01-04","19.549999"
"2016-01-05","19.610001"
"2016-01-06","19.320000"
"2016-01-07","18.709999"
"2016-01-08","18.389999"
"2016-01-11","18.170000"
"2016-01-12","18.270000"
"2016-01-13","17.330000"
"2016-01-14","17.650000"
"2016-01-15","17.120001"
"2016-01-19","16.879999"
"2016-01-20","16.530001"
"2016-01-21","15.730000"
"2016-01-22","15.940000"
"2016-01-25","15.010000"
"2016-01-26","15.230000"
"2016-01-27","15.420000"
"2016-01-28","15.570000"
"2016-01-29","15.800000"
"2016-02-01","15.750000"
"2016-02-02","15.330000"
"2016-02-03","15.360000"
"2016-02-04","15.530000"
"2016-02-05","15.330000"
"2016-02-08","14.800000"
"2016-02-09","14.830000"
"2016-02-10","14.670000"
"2016-02-11","13.940000"
"2016-02-12","14.870000"
"2016-02-16","15.580000"
