"date, price"
"2019-03-13","39.200001"
"2019-03-14","39.959999"
"2019-03-15","41.020000"
"2019-03-18","40.860001"
"2019-03-19","39.549999"
"2019-03-20","37.599998"
"2019-03-21","38.880001"
"2019-03-22","37.459999"
"2019-03-25","36.450001"
"2019-03-26","36.709999"
"2019-03-27","36.200001"
"2019-03-28","35.669998"
"2019-03-29","35.880001"
"2019-04-01","36.150002"
"2019-04-02","35.700001"
"2019-04-03","35.500000"
"2019-04-04","36.029999"
"2019-04-05","36.980000"
"2019-04-08","36.849998"
"2019-04-09","36.889999"
"2019-04-10","35.930000"
"2019-04-11","36.410000"
"2019-04-12","36.950001"
"2019-04-15","36.980000"
"2019-04-16","37.209999"
"2019-04-17","38.209999"
"2019-04-18","37.919998"
"2019-04-22","37.240002"
"2019-04-23","37.599998"
"2019-04-24","37.450001"
"2019-04-25","37.639999"
"2019-04-26","37.910000"
"2019-04-29","38.730000"
"2019-04-30","38.500000"
"2019-05-01","38.740002"
"2019-05-02","36.840000"
"2019-05-03","37.020000"
"2019-05-06","37.310001"
"2019-05-07","36.700001"
"2019-05-08","36.820000"
"2019-05-09","37.970001"
"2019-05-10","38.049999"
"2019-05-13","37.500000"
"2019-05-14","37.480000"
"2019-05-15","37.230000"
"2019-05-16","36.320000"
"2019-05-17","36.830002"
"2019-05-20","36.680000"
"2019-05-21","37.180000"
"2019-05-22","36.669998"
"2019-05-23","36.509998"
"2019-05-24","36.450001"
"2019-05-28","36.160000"
"2019-05-29","35.299999"
"2019-05-30","34.810001"
"2019-05-31","34.709999"
"2019-06-03","33.779999"
"2019-06-04","34.090000"
"2019-06-05","34.020000"
"2019-06-06","33.740002"
"2019-06-07","33.680000"
"2019-06-10","33.740002"
"2019-06-11","33.830002"
"2019-06-12","34.700001"
"2019-06-13","34.939999"
"2019-06-14","34.959999"
"2019-06-17","35.799999"
"2019-06-18","35.830002"
"2019-06-19","35.740002"
"2019-06-20","35.349998"
"2019-06-21","35.880001"
"2019-06-24","35.540001"
"2019-06-25","35.189999"
"2019-06-26","35.310001"
"2019-06-27","35.750000"
"2019-06-28","36.529999"
"2019-07-01","35.959999"
"2019-07-02","36.529999"
"2019-07-03","36.349998"
"2019-07-05","36.560001"
"2019-07-08","36.130001"
"2019-07-09","36.009998"
"2019-07-10","36.139999"
"2019-07-11","36.310001"
"2019-07-12","36.959999"
"2019-07-15","37.040001"
"2019-07-16","36.689999"
"2019-07-17","36.169998"
"2019-07-18","36.610001"
"2019-07-19","36.450001"
"2019-07-22","36.320000"
"2019-07-23","36.509998"
"2019-07-24","36.889999"
"2019-07-25","37.430000"
"2019-07-26","37.490002"
"2019-07-29","37.689999"
"2019-07-30","37.849998"
"2019-07-31","37.200001"
"2019-08-01","36.840000"
"2019-08-02","36.560001"
"2019-08-05","36.000000"
"2019-08-06","36.400002"
"2019-08-07","36.790001"
"2019-08-08","35.000000"
"2019-08-09","35.369999"
"2019-08-12","34.810001"
"2019-08-13","35.000000"
"2019-08-14","33.660000"
"2019-08-15","32.810001"
"2019-08-16","33.009998"
"2019-08-19","33.599998"
"2019-08-20","33.360001"
"2019-08-21","33.150002"
"2019-08-22","32.820000"
"2019-08-23","31.440001"
"2019-08-26","31.709999"
"2019-08-27","31.620001"
"2019-08-28","31.559999"
"2019-08-29","32.450001"
"2019-08-30","32.799999"
"2019-09-03","32.430000"
"2019-09-04","33.209999"
"2019-09-05","33.910000"
"2019-09-06","33.869999"
"2019-09-09","33.990002"
"2019-09-10","34.220001"
"2019-09-11","33.970001"
"2019-09-12","33.700001"
"2019-09-13","33.709999"
"2019-09-16","33.490002"
"2019-09-17","32.820000"
"2019-09-18","32.500000"
"2019-09-19","31.969999"
"2019-09-20","32.080002"
"2019-09-23","32.180000"
"2019-09-24","31.530001"
"2019-09-25","32.000000"
"2019-09-26","31.469999"
"2019-09-27","31.480000"
"2019-09-30","31.540001"
"2019-10-01","31.180000"
"2019-10-02","30.309999"
"2019-10-03","30.389999"
"2019-10-04","30.485001"
"2019-10-07","30.490000"
"2019-10-08","30.035000"
"2019-10-09","30.260000"
"2019-10-10","30.424999"
"2019-10-11","31.160000"
"2019-10-14","31.010000"
"2019-10-15","31.440001"
"2019-10-16","31.584999"
"2019-10-17","31.490000"
"2019-10-18","31.525000"
"2019-10-21","32.090000"
"2019-10-22","32.770000"
"2019-10-23","32.610001"
"2019-10-24","31.600000"
"2019-10-25","31.700001"
"2019-10-28","32.209999"
"2019-10-29","32.049999"
"2019-10-30","31.360001"
"2019-10-31","31.240000"
"2019-11-01","31.860001"
"2019-11-04","31.900000"
"2019-11-05","32.150002"
"2019-11-06","32.330002"
"2019-11-07","34.250000"
"2019-11-08","34.430000"
"2019-11-11","34.220001"
"2019-11-12","33.810001"
"2019-11-13","33.570000"
"2019-11-14","33.450001"
"2019-11-15","33.595001"
"2019-11-18","34.459999"
"2019-11-19","35.430000"
"2019-11-20","34.994999"
"2019-11-21","34.779999"
"2019-11-22","34.875000"
"2019-11-25","34.849998"
"2019-11-26","35.189999"
"2019-11-27","35.029999"
"2019-11-29","34.980000"
"2019-12-02","34.814999"
"2019-12-03","34.349998"
"2019-12-04","34.639999"
"2019-12-05","34.634998"
"2019-12-06","34.599998"
"2019-12-09","34.790001"
"2019-12-10","34.919998"
"2019-12-11","35.290001"
"2019-12-12","35.959999"
"2019-12-13","35.860001"
