"date, price"
"2014-12-04","46.720001"
"2014-12-05","46.910000"
"2014-12-08","44.650002"
"2014-12-09","45.060001"
"2014-12-10","43.070000"
"2014-12-11","43.040001"
"2014-12-12","42.119999"
"2014-12-15","41.660000"
"2014-12-16","40.900002"
"2014-12-17","42.349998"
"2014-12-18","45.209999"
"2014-12-19","45.029999"
"2014-12-22","43.840000"
"2014-12-23","44.060001"
"2014-12-24","43.669998"
"2014-12-26","44.340000"
"2014-12-29","44.419998"
"2014-12-30","44.520000"
"2014-12-31","44.599998"
"2015-01-02","44.549999"
"2015-01-05","41.830002"
"2015-01-06","40.860001"
"2015-01-07","41.750000"
"2015-01-08","43.630001"
"2015-01-09","44.200001"
"2015-01-12","42.830002"
"2015-01-13","42.709999"
"2015-01-14","42.279999"
"2015-01-15","40.160000"
"2015-01-16","40.720001"
"2015-01-20","39.830002"
"2015-01-21","41.400002"
"2015-01-22","41.900002"
"2015-01-23","42.540001"
"2015-01-26","44.169998"
"2015-01-27","43.720001"
"2015-01-28","42.700001"
"2015-01-29","42.360001"
"2015-01-30","42.320000"
"2015-02-02","45.480000"
"2015-02-03","48.160000"
"2015-02-04","46.980000"
"2015-02-05","46.900002"
"2015-02-06","46.900002"
"2015-02-09","46.330002"
"2015-02-10","48.540001"
"2015-02-11","48.770000"
"2015-02-12","49.419998"
"2015-02-13","48.840000"
"2015-02-17","49.619999"
"2015-02-18","48.840000"
"2015-02-19","48.410000"
"2015-02-20","49.020000"
"2015-02-23","49.639999"
"2015-02-24","54.700001"
"2015-02-25","58.540001"
"2015-02-26","58.680000"
"2015-02-27","59.750000"
"2015-03-02","61.110001"
"2015-03-03","60.689999"
"2015-03-04","61.200001"
"2015-03-05","61.660000"
"2015-03-06","60.610001"
"2015-03-09","61.060001"
"2015-03-10","59.860001"
"2015-03-11","59.290001"
"2015-03-12","60.610001"
"2015-03-13","60.599998"
"2015-03-16","60.220001"
"2015-03-17","60.490002"
"2015-03-18","61.430000"
"2015-03-19","60.299999"
"2015-03-20","60.259998"
"2015-03-23","60.580002"
"2015-03-24","62.520000"
"2015-03-25","60.090000"
"2015-03-26","59.619999"
"2015-03-27","59.610001"
"2015-03-30","60.689999"
"2015-03-31","59.790001"
"2015-04-01","60.830002"
"2015-04-02","61.189999"
"2015-04-06","61.509998"
"2015-04-07","61.270000"
"2015-04-08","60.650002"
"2015-04-09","61.180000"
"2015-04-10","61.299999"
"2015-04-13","61.410000"
"2015-04-14","61.070000"
"2015-04-15","63.740002"
"2015-04-16","62.889999"
"2015-04-17","61.939999"
"2015-04-20","62.250000"
"2015-04-21","63.110001"
"2015-04-22","63.889999"
"2015-04-23","64.750000"
"2015-04-24","63.430000"
"2015-04-27","62.919998"
"2015-04-28","63.570000"
"2015-04-29","61.939999"
"2015-04-30","59.669998"
"2015-05-01","57.340000"
"2015-05-04","56.779999"
"2015-05-05","56.810001"
"2015-05-06","55.660000"
"2015-05-07","56.320000"
"2015-05-08","56.369999"
"2015-05-11","56.380001"
"2015-05-12","56.049999"
"2015-05-13","56.770000"
"2015-05-14","56.560001"
"2015-05-15","56.720001"
"2015-05-18","56.180000"
"2015-05-19","55.279999"
"2015-05-20","54.919998"
"2015-05-21","55.889999"
"2015-05-22","55.070000"
"2015-05-26","51.060001"
"2015-05-27","51.279999"
"2015-05-28","50.750000"
"2015-05-29","49.709999"
"2015-06-01","49.900002"
"2015-06-02","50.950001"
"2015-06-03","50.830002"
"2015-06-04","49.669998"
"2015-06-05","51.299999"
"2015-06-08","49.849998"
"2015-06-09","49.169998"
"2015-06-10","50.290001"
"2015-06-11","50.430000"
"2015-06-12","50.480000"
"2015-06-15","53.480000"
"2015-06-16","52.150002"
"2015-06-17","51.759998"
"2015-06-18","51.980000"
"2015-06-19","51.029999"
"2015-06-22","51.110001"
"2015-06-23","51.490002"
"2015-06-24","51.360001"
"2015-06-25","50.970001"
"2015-06-26","49.950001"
"2015-06-29","47.840000"
"2015-06-30","46.980000"
"2015-07-01","46.040001"
"2015-07-02","45.169998"
"2015-07-06","44.189999"
"2015-07-07","45.119999"
"2015-07-08","43.270000"
"2015-07-09","43.650002"
"2015-07-10","44.029999"
"2015-07-13","46.009998"
"2015-07-14","45.810001"
"2015-07-15","44.490002"
"2015-07-16","44.759998"
"2015-07-17","43.950001"
"2015-07-20","43.279999"
"2015-07-21","43.480000"
"2015-07-22","42.500000"
"2015-07-23","42.740002"
"2015-07-24","42.970001"
"2015-07-27","42.270000"
"2015-07-28","43.380001"
"2015-07-29","45.540001"
"2015-07-30","45.310001"
"2015-07-31","44.299999"
"2015-08-03","43.689999"
"2015-08-04","44.500000"
"2015-08-05","51.919998"
"2015-08-06","51.200001"
"2015-08-07","52.080002"
"2015-08-10","53.480000"
"2015-08-11","51.439999"
"2015-08-12","51.880001"
"2015-08-13","51.110001"
"2015-08-14","51.509998"
"2015-08-17","51.740002"
"2015-08-18","51.630001"
"2015-08-19","49.939999"
"2015-08-20","47.910000"
"2015-08-21","45.270000"
"2015-08-24","43.610001"
"2015-08-25","44.380001"
"2015-08-26","46.090000"
"2015-08-27","47.840000"
"2015-08-28","47.799999"
"2015-08-31","47.840000"
"2015-09-01","47.259998"
"2015-09-02","47.959999"
"2015-09-03","48.290001"
"2015-09-04","46.939999"
"2015-09-08","49.110001"
"2015-09-09","47.730000"
"2015-09-10","48.220001"
"2015-09-11","48.790001"
"2015-09-14","46.200001"
"2015-09-15","46.580002"
"2015-09-16","47.759998"
"2015-09-17","46.919998"
"2015-09-18","45.330002"
"2015-09-21","45.139999"
"2015-09-22","44.419998"
"2015-09-23","43.369999"
"2015-09-24","43.639999"
"2015-09-25","43.290001"
"2015-09-28","40.810001"
"2015-09-29","41.020000"
"2015-09-30","42.750000"
"2015-10-01","42.680000"
"2015-10-02","45.459999"
"2015-10-05","46.660000"
"2015-10-06","48.880001"
"2015-10-07","49.910000"
"2015-10-08","51.119999"
"2015-10-09","51.200001"
"2015-10-12","50.830002"
"2015-10-13","50.580002"
"2015-10-14","51.950001"
"2015-10-15","52.480000"
"2015-10-16","52.049999"
"2015-10-19","51.189999"
"2015-10-20","51.770000"
"2015-10-21","49.939999"
"2015-10-22","49.889999"
"2015-10-23","50.430000"
"2015-10-26","50.570000"
"2015-10-27","49.160000"
"2015-10-28","50.849998"
"2015-10-29","50.990002"
"2015-10-30","57.070000"
"2015-11-02","57.779999"
"2015-11-03","58.349998"
"2015-11-04","58.660000"
"2015-11-05","58.330002"
"2015-11-06","59.669998"
"2015-11-09","58.389999"
"2015-11-10","55.869999"
"2015-11-11","54.750000"
"2015-11-12","53.919998"
"2015-11-13","52.720001"
"2015-11-16","54.180000"
"2015-11-17","52.750000"
"2015-11-18","53.939999"
"2015-11-19","53.279999"
"2015-11-20","54.439999"
"2015-11-23","54.880001"
"2015-11-24","56.169998"
"2015-11-25","56.400002"
"2015-11-27","56.099998"
"2015-11-30","56.509998"
"2015-12-01","58.180000"
"2015-12-02","59.669998"
"2015-12-03","59.459999"
"2015-12-04","59.840000"
"2015-12-07","59.320000"
"2015-12-08","59.070000"
"2015-12-09","58.849998"
