"date, price"
"2014-12-04","101.820000"
"2014-12-05","104.589996"
"2014-12-08","105.559998"
"2014-12-09","105.910004"
"2014-12-10","104.839996"
"2014-12-11","104.309998"
"2014-12-12","104.129997"
"2014-12-15","103.160004"
"2014-12-16","100.459999"
"2014-12-17","102.400002"
"2014-12-18","105.540001"
"2014-12-19","108.449997"
"2014-12-22","92.900002"
"2014-12-23","89.449997"
"2014-12-24","91.290001"
"2014-12-26","93.790001"
"2014-12-29","97.300003"
"2014-12-30","95.279999"
"2014-12-31","94.260002"
"2015-01-02","94.910004"
"2015-01-05","96.790001"
"2015-01-06","97.650002"
"2015-01-07","99.480003"
"2015-01-08","102.300003"
"2015-01-09","102.209999"
"2015-01-12","101.209999"
"2015-01-13","97.209999"
"2015-01-14","99.260002"
"2015-01-15","97.400002"
"2015-01-16","100.709999"
"2015-01-20","103.779999"
"2015-01-21","103.580002"
"2015-01-22","105.139999"
"2015-01-23","105.540001"
"2015-01-26","107.110001"
"2015-01-27","105.029999"
"2015-01-28","102.449997"
"2015-01-29","104.180000"
"2015-01-30","104.830002"
"2015-02-02","106.190002"
"2015-02-03","107.180000"
"2015-02-04","98.430000"
"2015-02-05","99.900002"
"2015-02-06","97.480003"
"2015-02-09","96.900002"
"2015-02-10","98.320000"
"2015-02-11","99.980003"
"2015-02-12","100.800003"
"2015-02-13","101.900002"
"2015-02-17","103.839996"
"2015-02-18","103.940002"
"2015-02-19","102.730003"
"2015-02-20","102.610001"
"2015-02-23","104.510002"
"2015-02-24","104.699997"
"2015-02-25","104.430000"
"2015-02-26","104.190002"
"2015-02-27","103.529999"
"2015-03-02","103.830002"
"2015-03-03","102.790001"
"2015-03-04","103.059998"
"2015-03-05","103.419998"
"2015-03-06","101.809998"
"2015-03-09","101.370003"
"2015-03-10","98.830002"
"2015-03-11","98.970001"
"2015-03-12","99.930000"
"2015-03-13","99.610001"
"2015-03-16","101.300003"
"2015-03-17","100.440002"
"2015-03-18","100.279999"
"2015-03-19","101.440002"
"2015-03-20","102.290001"
"2015-03-23","100.260002"
"2015-03-24","101.410004"
"2015-03-25","99.860001"
"2015-03-26","101.080002"
"2015-03-27","101.000000"
"2015-03-30","100.690002"
"2015-03-31","98.129997"
"2015-04-01","97.720001"
"2015-04-02","98.430000"
"2015-04-06","97.790001"
"2015-04-07","98.690002"
"2015-04-08","99.870003"
"2015-04-09","101.160004"
"2015-04-10","101.769997"
"2015-04-13","102.279999"
"2015-04-14","102.209999"
"2015-04-15","104.029999"
"2015-04-16","103.339996"
"2015-04-17","101.379997"
"2015-04-20","100.660004"
"2015-04-21","105.199997"
"2015-04-22","104.180000"
"2015-04-23","105.209999"
"2015-04-24","103.699997"
"2015-04-27","102.940002"
"2015-04-28","103.720001"
"2015-04-29","102.320000"
"2015-04-30","100.510002"
"2015-05-01","105.010002"
"2015-05-04","105.660004"
"2015-05-05","102.989998"
"2015-05-06","102.269997"
"2015-05-07","101.790001"
"2015-05-08","103.849998"
"2015-05-11","104.730003"
"2015-05-12","105.559998"
"2015-05-13","106.389999"
"2015-05-14","108.739998"
"2015-05-15","109.300003"
"2015-05-18","111.000000"
"2015-05-19","110.559998"
"2015-05-20","110.169998"
"2015-05-21","111.220001"
"2015-05-22","111.709999"
"2015-05-26","109.769997"
"2015-05-27","112.459999"
"2015-05-28","112.849998"
"2015-05-29","112.269997"
"2015-06-01","114.080002"
"2015-06-02","113.940002"
"2015-06-03","114.650002"
"2015-06-04","113.930000"
"2015-06-05","113.959999"
"2015-06-08","113.699997"
"2015-06-09","114.750000"
"2015-06-10","117.669998"
"2015-06-11","119.129997"
"2015-06-12","117.660004"
"2015-06-15","118.160004"
"2015-06-16","119.070000"
"2015-06-17","118.879997"
"2015-06-18","121.209999"
"2015-06-19","119.800003"
"2015-06-22","121.489998"
"2015-06-23","122.209999"
"2015-06-24","122.010002"
"2015-06-25","120.230003"
"2015-06-26","119.500000"
"2015-06-29","115.459999"
"2015-06-30","117.080002"
"2015-07-01","116.010002"
"2015-07-02","115.040001"
"2015-07-06","115.660004"
"2015-07-07","115.129997"
"2015-07-08","112.940002"
"2015-07-09","113.360001"
"2015-07-10","113.739998"
"2015-07-13","114.550003"
"2015-07-14","117.360001"
"2015-07-15","117.389999"
"2015-07-16","118.849998"
"2015-07-17","118.260002"
"2015-07-20","118.199997"
"2015-07-21","117.779999"
"2015-07-22","117.440002"
"2015-07-23","117.660004"
"2015-07-24","112.830002"
"2015-07-27","110.540001"
"2015-07-28","113.070000"
"2015-07-29","115.709999"
"2015-07-30","117.900002"
"2015-07-31","117.860001"
"2015-08-03","119.599998"
"2015-08-04","118.870003"
"2015-08-05","118.660004"
"2015-08-06","115.300003"
"2015-08-07","114.440002"
"2015-08-10","116.580002"
"2015-08-11","115.610001"
"2015-08-12","116.250000"
"2015-08-13","115.199997"
"2015-08-14","115.599998"
"2015-08-17","116.419998"
"2015-08-18","117.059998"
"2015-08-19","116.209999"
"2015-08-20","112.389999"
"2015-08-21","105.330002"
"2015-08-24","100.660004"
"2015-08-25","102.559998"
"2015-08-26","106.959999"
"2015-08-27","107.989998"
"2015-08-28","107.779999"
"2015-08-31","105.070000"
"2015-09-01","101.489998"
"2015-09-02","104.269997"
"2015-09-03","101.910004"
"2015-09-04","102.059998"
"2015-09-08","104.900002"
"2015-09-09","103.820000"
"2015-09-10","107.250000"
"2015-09-11","109.629997"
"2015-09-14","109.349998"
"2015-09-15","111.050003"
"2015-09-16","111.029999"
"2015-09-17","111.610001"
"2015-09-18","108.440002"
"2015-09-21","105.739998"
"2015-09-22","106.510002"
"2015-09-23","105.489998"
"2015-09-24","102.510002"
"2015-09-25","100.139999"
