"date, price"
"2020-03-25","15.360000"
"2020-03-26","15.360000"
"2020-03-27","17.992001"
"2020-03-30","17.992001"
"2020-03-31","17.992001"
"2020-04-01","17.992001"
"2020-04-02","17.992001"
"2020-04-03","17.992001"
"2020-04-06","16.799999"
"2020-04-07","14.860000"
"2020-04-08","14.860000"
"2020-04-09","19.900000"
"2020-04-13","20.500000"
"2020-04-14","20.000000"
"2020-04-15","19.940001"
"2020-04-16","20.209999"
"2020-04-17","20.000000"
"2020-04-20","19.670000"
"2020-04-21","19.040001"
"2020-04-22","18.090000"
"2020-04-23","18.896000"
"2020-04-24","19.379999"
"2020-04-27","19.480000"
"2020-04-28","19.940001"
"2020-04-29","20.400000"
"2020-04-30","21.400000"
"2020-05-01","19.910000"
"2020-05-04","20.260000"
"2020-05-05","20.360001"
"2020-05-06","20.400000"
"2020-05-07","21.200001"
"2020-05-08","21.420000"
"2020-05-11","21.900000"
"2020-05-12","21.420000"
"2020-05-13","21.520000"
"2020-05-14","20.400000"
"2020-05-15","20.780001"
"2020-05-18","21.260000"
"2020-05-19","20.799999"
"2020-05-20","21.139999"
"2020-05-21","21.200001"
"2020-05-22","21.549999"
"2020-05-26","21.540001"
"2020-05-27","21.139999"
"2020-05-28","21.459999"
"2020-05-29","21.980000"
"2020-06-01","21.680000"
"2020-06-02","22.480000"
"2020-06-03","22.600000"
"2020-06-04","22.500000"
"2020-06-05","23.040001"
"2020-06-08","21.920000"
"2020-06-09","22.420000"
"2020-06-10","20.000000"
"2020-06-11","18.600000"
"2020-06-12","18.610001"
"2020-06-15","18.478001"
"2020-06-16","19.219999"
"2020-06-17","19.740000"
"2020-06-18","19.190001"
"2020-06-19","19.440001"
"2020-06-22","19.780001"
"2020-06-23","20.760000"
"2020-06-24","20.370001"
"2020-06-25","20.540001"
"2020-06-26","20.705999"
"2020-06-29","21.100000"
"2020-06-30","20.950001"
"2020-07-01","21.000000"
"2020-07-02","21.070000"
"2020-07-06","22.219999"
"2020-07-07","21.500000"
"2020-07-08","21.480000"
"2020-07-09","21.396000"
"2020-07-10","21.195999"
"2020-07-13","20.740000"
"2020-07-14","20.820000"
"2020-07-15","20.875999"
"2020-07-16","20.840000"
"2020-07-17","21.139999"
"2020-07-20","21.080000"
"2020-07-21","21.350000"
"2020-07-22","21.160000"
"2020-07-23","20.980000"
"2020-07-24","20.840000"
"2020-07-27","21.410000"
"2020-07-28","21.370001"
"2020-07-29","21.719999"
"2020-07-30","21.540001"
"2020-07-31","21.813999"
"2020-08-03","22.440001"
"2020-08-04","22.150000"
"2020-08-05","22.820000"
"2020-08-06","22.889999"
"2020-08-07","22.690001"
"2020-08-10","22.379999"
"2020-08-11","22.059999"
"2020-08-12","23.260000"
"2020-08-13","23.799999"
"2020-08-14","23.420000"
"2020-08-17","23.590000"
"2020-08-18","23.959999"
"2020-08-19","23.650000"
"2020-08-20","23.459999"
"2020-08-21","23.120001"
"2020-08-24","23.049999"
"2020-08-25","22.760000"
"2020-08-26","22.980000"
"2020-08-27","22.600000"
"2020-08-28","22.600000"
"2020-08-31","22.480000"
"2020-09-01","22.400000"
"2020-09-02","22.100000"
"2020-09-03","21.546000"
"2020-09-04","21.160000"
"2020-09-08","21.577999"
"2020-09-09","21.459999"
"2020-09-10","21.459999"
"2020-09-11","21.170000"
"2020-09-14","21.600000"
"2020-09-15","21.590000"
"2020-09-16","21.260000"
"2020-09-17","21.320000"
"2020-09-18","21.770000"
"2020-09-21","21.920000"
"2020-09-22","22.285999"
"2020-09-23","22.180000"
"2020-09-24","22.216000"
"2020-09-25","21.927999"
"2020-09-28","22.480000"
"2020-09-29","22.540001"
"2020-09-30","22.280001"
"2020-10-01","22.559999"
"2020-10-02","22.660000"
"2020-10-05","22.570000"
"2020-10-06","22.124001"
"2020-10-07","22.580000"
"2020-10-08","22.400000"
"2020-10-09","23.040001"
"2020-10-12","23.365999"
"2020-10-13","22.990000"
"2020-10-14","24.836000"
"2020-10-15","25.040001"
"2020-10-16","25.806000"
"2020-10-19","25.719999"
"2020-10-20","25.799999"
"2020-10-21","24.750000"
"2020-10-22","24.730000"
"2020-10-23","24.100000"
"2020-10-26","23.200001"
"2020-10-27","23.620001"
"2020-10-28","22.719999"
