"date, price"
"2014-12-04","26.520000"
"2014-12-05","26.559999"
"2014-12-08","26.629999"
"2014-12-09","26.980000"
"2014-12-10","26.450001"
"2014-12-11","26.370001"
"2014-12-12","25.850000"
"2014-12-15","25.600000"
"2014-12-16","25.639999"
"2014-12-17","26.370001"
"2014-12-18","26.959999"
"2014-12-19","26.930000"
"2014-12-22","27.049999"
"2014-12-23","26.790001"
"2014-12-24","26.889999"
"2014-12-26","26.930000"
"2014-12-29","26.930000"
"2014-12-30","26.920000"
"2014-12-31","26.740000"
"2015-01-02","26.379999"
"2015-01-05","26.120001"
"2015-01-06","25.750000"
"2015-01-07","26.400000"
"2015-01-08","27.110001"
"2015-01-09","26.760000"
"2015-01-12","28.730000"
"2015-01-13","28.780001"
"2015-01-14","28.990000"
"2015-01-15","28.760000"
"2015-01-16","29.030001"
"2015-01-20","29.280001"
"2015-01-21","29.400000"
"2015-01-22","29.510000"
"2015-01-23","29.350000"
"2015-01-26","29.620001"
"2015-01-27","29.610001"
"2015-01-28","29.610001"
"2015-01-29","31.120001"
"2015-01-30","30.370001"
"2015-02-02","30.250000"
"2015-02-03","30.559999"
"2015-02-04","30.000000"
"2015-02-05","30.270000"
"2015-02-06","29.959999"
"2015-02-09","30.000000"
"2015-02-10","30.070000"
"2015-02-11","30.049999"
"2015-02-12","30.250000"
"2015-02-13","30.459999"
"2015-02-17","30.510000"
"2015-02-18","30.830000"
"2015-02-19","31.670000"
"2015-02-20","31.740000"
"2015-02-23","31.719999"
"2015-02-24","31.850000"
"2015-02-25","32.060001"
"2015-02-26","32.209999"
"2015-02-27","32.380001"
"2015-03-02","32.680000"
"2015-03-03","32.570000"
"2015-03-04","32.349998"
"2015-03-05","32.439999"
"2015-03-06","32.160000"
"2015-03-09","31.790001"
"2015-03-10","31.920000"
"2015-03-11","31.959999"
"2015-03-12","32.250000"
"2015-03-13","32.290001"
"2015-03-16","32.520000"
"2015-03-17","32.459999"
"2015-03-18","32.740002"
"2015-03-19","32.980000"
"2015-03-20","33.259998"
"2015-03-23","32.990002"
"2015-03-24","32.590000"
"2015-03-25","32.029999"
"2015-03-26","31.940001"
"2015-03-27","32.490002"
"2015-03-30","33.169998"
"2015-03-31","33.029999"
"2015-04-01","32.580002"
"2015-04-02","32.950001"
"2015-04-06","33.209999"
"2015-04-07","33.029999"
"2015-04-08","33.240002"
"2015-04-09","33.400002"
"2015-04-10","33.299999"
"2015-04-13","33.169998"
"2015-04-14","33.180000"
"2015-04-15","32.740002"
"2015-04-16","32.820000"
"2015-04-17","32.470001"
"2015-04-20","33.080002"
"2015-04-21","33.330002"
"2015-04-22","33.259998"
"2015-04-23","33.419998"
"2015-04-24","33.990002"
"2015-04-27","33.150002"
